iso3166_1_a2,iso3166_1_a3,itemLabel
AD,AND,アンドラ
AE,ARE,アラブ首長国連邦
AF,AFG,アフガニスタン
AG,ATG,アンティグア・バーブーダ
AI,AIA,アンギラ
AL,ALB,アルバニア
AM,ARM,アルメニア
AN,ANT,オランダ領アンティル
AO,AGO,アンゴラ
AQ,ATA,Antarctic Treaty area
AR,ARG,アルゼンチン
AS,ASM,アメリカ領サモア
AT,AUT,オーストリア
AU,AUS,オーストラリア
AW,ABW,アルバ
AX,ALA,オーランド諸島
AZ,AZE,アゼルバイジャン
BA,BIH,ボスニア・ヘルツェゴビナ
BB,BRB,バルバドス
BD,BGD,バングラデシュ
BE,BEL,ベルギー
BF,BFA,ブルキナファソ
BG,BGR,ブルガリア
BH,BHR,バーレーン
BI,BDI,ブルンジ
BJ,BEN,ベナン
BL,BLM,サン・バルテルミー島
BM,BMU,バミューダ諸島
BN,BRN,ブルネイ
BO,BOL,ボリビア
BQ,ATB,イギリス領南極地域
BQ,BES,ボネール、シント・ユースタティウスおよびサバ
BR,BRA,ブラジル
BS,BHS,バハマ
BT,BTN,ブータン
BV,BVT,ブーベ島
BW,BWA,ボツワナ
BY,BYS,白ロシア・ソビエト社会主義共和国
BY,BLR,ベラルーシ
BZ,BLZ,ベリーズ
CA,CAN,カナダ
CC,CCK,ココス諸島
CD,COD,コンゴ民主共和国
CF,CAF,中央アフリカ共和国
CG,COG,コンゴ共和国
CH,CHE,スイス
CI,CIV,コートジボワール
CK,COK,クック諸島
CL,CHL,チリ
CM,CMR,カメルーン
CN,CHN,中華人民共和国
CO,COL,コロンビア
CR,CRI,コスタリカ
CS,SCG,セルビア・モンテネグロ
CU,CUB,キューバ
CV,CPV,カーボベルデ
CW,CUW,キュラソー島
CX,CXR,クリスマス島
CY,CYP,キプロス
CZ,CZE,チェコ
DD,DDR,ドイツ民主共和国
DE,DEU,ドイツ
DJ,DJI,ジブチ
DK,DNK,デンマーク
DK,DNK,デンマーク王国
DM,DMA,ドミニカ国
DO,DOM,ドミニカ共和国
DZ,DZA,アルジェリア
EC,ECU,エクアドル
EE,EST,エストニア
EG,EGY,エジプト
EH,ESH,西サハラ
ER,ERI,エリトリア
ES,ESP,スペイン
ET,ETH,エチオピア
FI,FIN,フィンランド
FJ,FJI,フィジー
FK,FLK,フォークランド諸島
FM,FSM,ミクロネシア連邦
FO,FRO,フェロー諸島
FR,FRA,フランス
GA,GAB,ガボン
GB,GBR,イギリス
GD,GRD,グレナダ
GE,GEO,ジョージア
GF,GUF,フランス領ギアナ
GG,GGY,ガーンジー
GH,GHA,ガーナ
GI,GIB,ジブラルタル
GL,GRL,グリーンランド
GM,GMB,ガンビア
GN,GIN,ギニア
GP,GLP,グアドループ
GQ,GNQ,赤道ギニア
GR,GRC,ギリシャ
GS,SGS,サウスジョージア・サウスサンドウィッチ諸島
GT,GTM,グアテマラ
GU,GUM,グアム
GW,GNB,ギニアビサウ
GY,GUY,ガイアナ
HK,HKG,香港
HM,HMD,ハード島とマクドナルド諸島
HN,HND,ホンジュラス
HR,HRV,クロアチア
HT,HTI,ハイチ
HU,HUN,ハンガリー
ID,IDN,インドネシア
IE,IRL,アイルランド
IL,ISR,イスラエル
IM,IMN,マン島
IN,IND,インド
IO,IOT,イギリス領インド洋地域
IQ,IRQ,イラク
IR,IRN,イラン
IS,ISL,アイスランド
IT,ITA,イタリア
JE,JEY,ジャージー
JM,JAM,ジャマイカ
JO,JOR,ヨルダン
JP,JPN,日本
KE,KEN,ケニア
KG,KGZ,キルギス
KH,KHM,カンボジア
KI,KIR,キリバス
KM,COM,コモロ
KN,KNA,セントクリストファー・ネイビス
KP,PRK,朝鮮民主主義人民共和国
KR,KOR,大韓民国
KW,KWT,クウェート
KY,CYM,ケイマン諸島
KZ,KAZ,カザフスタン
LA,LAO,ラオス
LB,LBN,レバノン
LC,LCA,セントルシア
LI,LIE,リヒテンシュタイン
LK,LKA,スリランカ
LR,LBR,リベリア
LS,LSO,レソト
LT,LTU,リトアニア
LU,LUX,ルクセンブルク
LV,LVA,ラトビア
LY,LBY,リビア
MA,MAR,モロッコ
MC,MCO,モナコ
MD,MDA,モルドバ
ME,MNE,モンテネグロ
MF,MAF,サン・マルタン
MG,MDG,マダガスカル
MH,MHL,マーシャル諸島
MK,MKD,マケドニア共和国
ML,MLI,マリ共和国
MM,MMR,ミャンマー
MN,MNG,モンゴル国
MO,MAC,マカオ
MP,MNP,北マリアナ諸島
MQ,MTQ,マルティニーク
MR,MRT,モーリタニア
MS,MSR,モントセラト
MT,MLT,マルタ
MU,MUS,モーリシャス
MV,MDV,モルディブ
MW,MWI,マラウイ
MX,MEX,メキシコ
MY,MYS,マレーシア
MZ,MOZ,モザンビーク
NA,NAM,ナミビア
NC,NCL,ニューカレドニア
NE,NER,ニジェール
NF,NFK,ノーフォーク島
NG,NGA,ナイジェリア
NI,NIC,ニカラグア
NL,NLD,オランダ
NL,NLD,オランダ王国
NO,NOR,ノルウェー
NP,NPL,ネパール
NR,NRU,ナウル
NU,NIU,ニウエ
NZ,NZL,ニュージーランド
OM,OMN,オマーン
PA,PAN,パナマ
PE,PER,ペルー
PF,PYF,フランス領ポリネシア
PG,PNG,パプアニューギニア
PH,PHL,フィリピン
PK,PAK,パキスタン
PL,POL,ポーランド
PM,SPM,サンピエール島・ミクロン島
PN,PCN,ピトケアン諸島
PR,PRI,プエルトリコ
PS,PSE,パレスチナ国
PS,PSE,パレスチナ領土
PT,PRT,ポルトガル
PW,PLW,パラオ
PY,PRY,パラグアイ
QA,QAT,カタール
RE,REU,レユニオン
RO,ROU,ルーマニア
RS,SRB,セルビア
RU,RUS,ロシア
RW,RWA,ルワンダ
SA,SAU,サウジアラビア
SB,SLB,ソロモン諸島
SC,SYC,セーシェル
SD,SDN,スーダン
SE,SWE,スウェーデン
SG,SGP,シンガポール
SH,SHN,セントヘレナ・アセンションおよびトリスタンダクーニャ
SI,SVN,スロベニア
SJ,SJM,スヴァールバル諸島およびヤンマイエン島
SK,SVK,スロバキア
SL,SLE,シエラレオネ
SM,SMR,サンマリノ
SN,SEN,セネガル
SO,SOM,ソマリア
SR,SUR,スリナム
SS,SSD,南スーダン
ST,STP,サントメ・プリンシペ
SV,SLV,エルサルバドル
SX,SXM,シント・マールテン
SY,SYR,シリア
SZ,SWZ,スワジランド
TC,TCA,タークス・カイコス諸島
TD,TCD,チャド
TF,ATF,フランス領南方・南極地域
TG,TGO,トーゴ
TH,THA,タイ王国
TJ,TJK,タジキスタン
TK,TKL,トケラウ
TL,TLS,東ティモール
TM,TKM,トルクメニスタン
TN,TUN,チュニジア
TO,TON,トンガ
TR,TUR,トルコ
TT,TTO,トリニダード・トバゴ
TV,TUV,ツバル
TW,TWN,中華民国
TZ,TZA,タンザニア
UA,UKR,ウクライナ
UG,UGA,ウガンダ
UM,UMI,合衆国領有小離島
US,USA,アメリカ合衆国
UY,URY,ウルグアイ
UZ,UZB,ウズベキスタン
VA,VAT,バチカン
VC,VCT,セントビンセント・グレナディーン
VE,VEN,ベネズエラ
VG,VGB,イギリス領ヴァージン諸島
VI,VIR,アメリカ領ヴァージン諸島
VN,VNM,ベトナム
VU,VUT,バヌアツ
WF,WLF,ウォリス・フツナ
WS,WSM,サモア
YE,YEM,イエメン
YT,MYT,マヨット
YU,YUG,ユーゴスラビア社会主義連邦共和国
YU,YUG,ユーゴスラビア連邦共和国
ZA,ZAF,南アフリカ共和国
ZM,ZMB,ザンビア
ZW,ZWE,ジンバブエ
