iso3166_1_a2,iso3166_1_a3,itemLabel
AD,AND,Андорра
AE,ARE,Объединённые Арабские Эмираты
AF,AFG,Афганистан
AG,ATG,Антигуа и Барбуда
AI,AIA,Ангилья
AL,ALB,Албания
AM,ARM,Армения
AN,ANT,Нидерландские Антильские острова
AO,AGO,Ангола
AQ,ATA,Территория Антарктического договора
AR,ARG,Аргентина
AS,ASM,Американское Самоа
AT,AUT,Австрия
AU,AUS,Австралия
AW,ABW,Аруба
AX,ALA,Аландские острова
AZ,AZE,Азербайджан
BA,BIH,Босния и Герцеговина
BB,BRB,Барбадос
BD,BGD,Бангладеш
BE,BEL,Бельгия
BF,BFA,Буркина-Фасо
BG,BGR,Болгария
BH,BHR,Бахрейн
BI,BDI,Бурунди
BJ,BEN,Бенин
BL,BLM,Сен-Бартелеми
BM,BMU,Бермудские Острова
BN,BRN,Бруней
BO,BOL,Боливия
BQ,ATB,Британская антарктическая территория
BQ,BES,"Бонэйр, Синт-Эстатиус и Саба"
BR,BRA,Бразилия
BS,BHS,Багамские Острова
BT,BTN,Бутан
BV,BVT,Остров Буве
BW,BWA,Ботсвана
BY,BLR,Белоруссия
BY,BYS,Белорусская Советская Социалистическая Республика
BZ,BLZ,Белиз
CA,CAN,Канада
CC,CCK,Кокосовые острова
CD,COD,Демократическая Республика Конго
CF,CAF,Центральноафриканская Республика
CG,COG,Республика Конго
CH,CHE,Швейцария
CI,CIV,Кот-д’Ивуар
CK,COK,Острова Кука
CL,CHL,Чили
CM,CMR,Камерун
CN,CHN,Китайская Народная Республика
CO,COL,Колумбия
CR,CRI,Коста-Рика
CS,SCG,Сербия и Черногория
CU,CUB,Куба
CV,CPV,Кабо-Верде
CW,CUW,Кюрасао
CX,CXR,Остров Рождества
CY,CYP,Кипр
CZ,CZE,Чехия
DD,DDR,Германская Демократическая Республика
DE,DEU,Германия
DJ,DJI,Джибути
DK,DNK,Дания
DK,DNK,Королевство Дании
DM,DMA,Доминика
DO,DOM,Доминиканская Республика
DZ,DZA,Алжир
EC,ECU,Эквадор
EE,EST,Эстония
EG,EGY,Египет
EH,ESH,Западная Сахара
ER,ERI,Эритрея
ES,ESP,Испания
ET,ETH,Эфиопия
FI,FIN,Финляндия
FJ,FJI,Фиджи
FK,FLK,Фолклендские острова
FM,FSM,Микронезия
FO,FRO,Фарерские острова
FR,FRA,Франция
GA,GAB,Габон
GB,GBR,Великобритания
GD,GRD,Гренада
GE,GEO,Грузия
GF,GUF,Французская Гвиана
GG,GGY,Гернси
GH,GHA,Гана
GI,GIB,Гибралтар
GL,GRL,Гренландия
GM,GMB,Гамбия
GN,GIN,Гвинея
GP,GLP,Гваделупа
GQ,GNQ,Экваториальная Гвинея
GR,GRC,Греция
GS,SGS,Южная Георгия и Южные Сандвичевы острова
GT,GTM,Гватемала
GU,GUM,Гуам
GW,GNB,Гвинея-Бисау
GY,GUY,Гайана
HK,HKG,Гонконг
HM,HMD,Остров Херд и острова Макдональд
HN,HND,Гондурас
HR,HRV,Хорватия
HT,HTI,Республика Гаити
HU,HUN,Венгрия
ID,IDN,Индонезия
IE,IRL,Ирландия
IL,ISR,Израиль
IM,IMN,остров Мэн
IN,IND,Индия
IO,IOT,Британская территория в Индийском океане
IQ,IRQ,Ирак
IR,IRN,Иран
IS,ISL,Исландия
IT,ITA,Италия
JE,JEY,Джерси
JM,JAM,Ямайка
JO,JOR,Иордания
JP,JPN,Япония
KE,KEN,Кения
KG,KGZ,Киргизия
KH,KHM,Камбоджа
KI,KIR,Кирибати
KM,COM,Коморы
KN,KNA,Сент-Китс и Невис
KP,PRK,Корейская Народно-Демократическая Республика
KR,KOR,Республика Корея
KW,KWT,Кувейт
KY,CYM,острова Кайман
KZ,KAZ,Казахстан
LA,LAO,Лаос
LB,LBN,Ливан
LC,LCA,Сент-Люсия
LI,LIE,Лихтенштейн
LK,LKA,Шри-Ланка
LR,LBR,Либерия
LS,LSO,Лесото
LT,LTU,Литва
LU,LUX,Люксембург
LV,LVA,Латвия
LY,LBY,Ливия
MA,MAR,Марокко
MC,MCO,Монако
MD,MDA,Молдавия
ME,MNE,Черногория
MF,MAF,Сен-Мартен
MG,MDG,Мадагаскар
MH,MHL,Маршалловы Острова
MK,MKD,Республика Македония
ML,MLI,Мали
MM,MMR,Мьянма
MN,MNG,Монголия
MO,MAC,Макао
