"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: March 2012 - May 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/14/2013","","","","","",""

"","","","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013"
"35","[P]","    PPStream, Inc.","62,846","61,815","58,777","61,962","70,636","74,266","72,466","76,267","75,980","83,214","85,886","77,423","74,352","87,773","89,924"
"36","[P]","    Oak Pacific Interactive Sites","72,091","63,400","59,745","64,854","70,148","67,427","70,120","79,841","84,063","78,264","71,822","56,873","62,432","89,896","89,689"
"37","[P](u)","    Federated Media Publishing","275,790","267,104","277,017","278,570","263,871","270,287","280,125","300,892","295,505","235,818","99,503","85,459","88,858","91,244","87,511"
"38","[P](u)","    NetShelter Technology Media","149,757","147,677","155,302","151,448","91,002","93,657","95,317","95,310","92,162","92,161","94,962","83,625","89,515","83,905","85,522"
"39","[P]","    56.COM","35,137","34,174","33,324","35,849","44,461","44,368","44,367","53,468","56,746","62,688","57,232","44,299","56,119","79,282","81,514"
"40","[P](u)","    BBC Sites","73,232","72,097","74,298","72,090","71,757","79,690","73,403","79,012","76,141","74,472","79,513","74,792","80,076","80,454","80,011"
"41","[P]","    The Mozilla Organization","109,936","109,129","119,062","158,001","144,036","109,963","105,320","88,262","97,222","76,297","79,174","75,467","80,737","86,060","78,595"
"42","[P]","    Sun Microsystems, Inc.","38,443","37,479","35,598","34,394","43,400","42,449","46,606","46,040","38,704","36,477","43,215","48,467","57,413","83,117","76,855"
"43","[P]","    Orange Sites","71,353","69,394","72,858","67,695","62,267","62,315","66,311","76,291","83,355","74,936","75,136","72,925","76,789","76,145","75,295"
"44","[P]","    People's Daily online","30,986","25,834","24,343","27,195","27,339","31,315","37,470","33,026","48,051","48,532","47,588","40,441","49,726","68,887","75,224"
"45","[P]","    Priceline.com Incorporated","49,356","55,763","58,713","64,277","71,331","67,029","59,468","60,376","61,953","56,709","69,034","66,184","72,758","72,318","74,522"
"46","[P]","    China Central Television Sites","29,010","25,475","26,068","36,835","47,286","51,099","35,681","37,706","43,850","43,483","46,465","45,102","48,484","70,354","73,637"
"47","[P]","    PCPOP Sites","46,886","41,370","36,669","36,346","44,153","46,838","50,811","48,380","52,879","58,662","52,464","39,892","51,284","76,071","73,465"
"48","[P]","    AVG Technologies","46,943","57,069","61,324","63,086","70,524","81,224","91,021","80,469","73,653","71,550","82,247","91,561","95,792","68,515","70,140"
"49","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","49,045","49,122","51,137","48,154","47,880","57,553","61,208","63,406","62,455","58,175","65,927","62,938","66,863","67,713","69,212"
"50","[P](u)","    Gannett Sites","69,145","64,451","65,590","62,905","66,080","71,632","67,823","71,562","67,906","64,832","69,496","65,784","70,239","71,754","68,747"
"51","[P]","    China Telecom Sites","40,821","61,079","67,545","63,041","64,389","61,114","58,752","47,554","42,576","41,582","47,982","25,300","34,974","67,360","68,622"
"52","[P]","    Sony Online","68,179","59,812","64,605","66,683","72,148","67,806","67,331","67,895","69,655","74,744","69,013","64,828","76,260","65,989","67,345"
"53","[P](u)","    Hearst Corporation","21,690","21,668","23,206","22,755","20,768","21,792","22,175","25,711","31,129","29,313","79,836","74,290","76,390","69,433","66,219"
"54","[P]","    EA Online","66,698","59,617","58,819","64,079","66,486","62,641","62,276","65,886","66,399","66,161","66,782","67,246","72,114","67,704","65,533"
"55","[P]","    Xinhua News Agency","30,002","28,305","26,571","27,605","30,253","30,882","30,842","29,987","38,020","36,584","32,132","26,851","45,624","63,225","64,977"
"56","[P]","    MEDIAFIRE.COM","93,398","86,759","90,294","86,651","84,311","81,281","80,100","74,173","69,379","70,131","69,192","62,623","70,616","66,827","64,631"
"57","[P]","    2345.COM","32,544","26,919","27,500","30,639","34,768","33,074","34,568","39,925","44,422","45,377","40,365","33,055","38,305","60,079","64,421"
"58","[P](u)","    Spil Games","61,382","68,498","64,497","65,511","65,819","61,901","55,863","58,966","59,207","63,945","62,802","60,309","66,097","63,641","63,472"
"59","[P]","    Rakuten Inc","69,836","70,750","72,785","72,255","70,386","70,047","68,285","68,426","66,304","68,153","65,981","60,216","62,335","59,493","62,648"
"60","[P]","    58.COM","38,032","35,145","35,863","38,076","42,166","40,419","39,700","39,222","40,172","39,725","38,688","34,931","45,622","58,666","62,428"
"61","[P]","    NHN Corporation","78,995","78,506","79,567","78,740","79,064","80,387","79,028","77,429","76,659","77,174","77,634","60,053","61,397","60,836","62,144"
"62","[P]","    Expedia Inc","52,141","49,920","51,199","56,528","62,750","56,894","49,331","47,560","43,169","42,402","51,724","47,707","55,846","60,049","62,090"
"63","[P](U)","    UOL","51,163","51,055","51,383","51,351","50,065","49,818","48,662","51,623","50,011","48,787","48,753","56,759","59,130","58,003","60,699"
"64","[P]","    Wal-Mart","51,469","51,996","55,421","55,963","58,725","57,443","56,459","56,163","75,178","74,017","58,168","59,730","63,182","60,238","60,673"
"65","[P]","    China Mobile Sites","37,753","33,193","35,862","33,908","37,184","37,335","37,801","38,811","41,439","45,498","40,976","32,505","37,375","50,727","60,436"
"66","[P](U)","    Wikia Sites","50,647","48,711","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647","60,192"
"67","[P]","    GSN Games","39,793","40,872","40,944","40,356","41,276","38,785","32,727","33,287","33,206","38,876","44,203","42,106","48,824","46,887","59,967"
"68","[P]","    Valve Corporation","21,162","21,236","21,810","23,076","26,148","27,845","53,050","53,329","55,393","59,898","60,197","59,480","60,069","58,708","59,911"
