"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: January 2012 - January 2013","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 2/25/2013","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013"
"1","    United States","85,219","83,537","82,588","81,583","82,470","79,303","80,127","82,080","84,708","85,252","82,516","82,348","84,506"
"2","    World-Wide","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473"
"3","    Non-US","396,938","392,163","406,814","391,797","409,923","390,340","371,694","374,176","390,157","403,112","401,974","390,204","403,967"
"4","    Canada","14,602","14,513","14,413","15,081","14,908","14,373","14,018","13,745","14,284","14,900","14,946","14,618","14,771"
"5","    Argentina","4,614","4,872","5,992","5,806","6,306","5,969","5,626","5,912","5,691","5,836","5,844","5,148","4,583"
"6","    Australia","5,393","5,553","5,955","5,669","5,952","5,767","5,660","5,818","5,655","5,781","5,517","5,008","5,252"
"7","    Austria","2,141","2,064","2,134","2,017","2,154","2,028","1,847","1,869","2,025","2,058","2,114","2,193","2,280"
"8","    Belgium","2,764","2,669","2,666","2,650","2,740","2,658","2,269","2,345","2,483","2,592","2,697","2,667","2,773"
"9","    Brazil","13,280","14,815","17,421","16,415","17,057","16,306","14,170","16,770","16,758","16,723","17,145","14,500","14,571"
"10","    Chile","2,538","2,330","3,161","3,260","3,394","3,261","2,862","3,214","2,946","3,174","3,030","2,619","2,401"
"11","    China","8,766","7,886","9,249","6,666","5,917","5,890","5,761","5,602","4,922","4,965","4,866","4,457","4,194"
"12","    Colombia","6,292","7,539","7,760","7,312","7,723","6,535","6,782","4,667","4,637","4,811","4,523","3,210","3,725"
"13","    Denmark","1,391","1,342","1,330","1,276","1,351","1,304","1,095","1,171","1,244","1,306","1,319","1,292","1,330"
"14","    Finland","1,877","1,796","1,888","1,803","1,861","1,710","1,737","1,756","1,779","1,863","1,884","1,853","1,916"
"15","    France","21,767","19,523","19,363","19,611","21,124","19,332","18,457","18,311","19,212","20,418","20,316","20,208","20,026"
"16","    Germany","26,869","25,607","25,655","24,970","26,324","26,296","24,943","24,939","25,752","25,911","26,277","25,708","27,610"
"17","    Hong Kong","1,608","1,649","1,697","1,747","1,761","1,623","1,604","1,575","1,651","1,681","1,615","1,634","1,636"
"18","    India","17,205","18,771","19,402","18,688","20,016","21,031","21,905","22,027","21,853","22,749","22,191","23,339","24,140"
"19","    Ireland","966","934","932","948","982","935","934","921","942","1,001","962","969","1,056"
"20","    Israel","2,126","2,062","2,018","2,064","2,097","1,991","1,876","1,801","1,918","2,002","2,015","2,041","2,009"
