"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : June 2008 - August 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 9/29/2009",

"Items 1 to 300","",""," Jun-2008"," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009",
"24","[C]","Naver.com Dictionary","5,153","4,147","4,900","6,175","6,287","5,684","6,071","5,884","6,581","6,820","7,030","6,168","6,413","5,570","5,797",
"25","[M]","Demand Media Network","20,591","21,285","21,950","23,825","26,153","5,642","5,544","6,040","5,923","6,468","6,573","6,047","5,455","5,632","5,714",
"26","[P]","SPRINGERLINK.COM","5,895","5,252","2,058","5,991","6,330","6,140","5,177","5,500","5,794","7,231","6,785","6,096","4,996","4,919","5,376",
"27","[M]","WER-WEISS-WAS.DE","3,377","3,587","3,640","4,047","3,779","4,440","4,299","5,120","4,729","5,408","5,002","5,287","4,580","5,058","5,244",
"28","[P]","THINKEXIST.COM","2,815","2,511","2,574","2,724","2,983","2,914","2,958","3,044","3,743","3,815","3,959","3,936","3,863","3,895","4,599",
"29","[P]","WISEGEEK.COM","2,330","2,527","2,411","3,337","3,340","3,141","2,951","4,032","3,995","4,298","4,025","4,280","3,738","4,172","4,541",
"30","[M]","THESAURUS.COM (w/ history)","3,509","3,046","3,407","5,055","5,416","4,589","4,416","5,134","4,813","5,350","5,004","4,498","3,915","3,670","4,207",
"31","[C]","Lycos Europe Lycos iQ","3,257","3,291","3,370","3,824","3,881","3,798","3,327","3,358","3,517","3,820","3,519","3,633","3,390","3,687","3,857",
"32","[P]","SOURTIMES.ORG","2,920","2,918","2,874","2,763","2,678","2,919","2,600","2,701","3,595","4,262","4,016","3,821","3,533","3,583","3,791",
"33","[P]","17U.COM","393","2,548","2,419","2,280","2,313","2,465","2,179","2,826","2,944","3,283","1,884","2,200","2,248","3,439","3,758",
"34","[P]","WEBLIO.JP","1,702","1,809","1,966","1,426","1,707","1,676","1,295","1,883","1,984","1,965","2,441","3,300","3,722","3,740","3,551",
"35","[P]","FUTURA-SCIENCES.COM","2,608","2,089","1,734","2,694","3,192","3,073","2,629","3,595","3,830","4,522","4,384","4,046","3,618","3,323","3,271",
"36","[P]","WAPEDIA.MOBI","1,090","1,150","1,276","1,428","1,101","1,488","1,500","1,666","1,696","3,444","3,656","3,752","2,902","2,304","3,243",
"37","[M]","INSTRUCTABLES.COM (w/ history)","1,692","1,837","1,823","1,995","2,501","2,391","2,498","2,655","2,817","3,127","3,250","3,270","3,102","3,117","3,123",
"38","[P]","BIBLEGATEWAY.COM","2,848","2,732","2,466","2,750","2,974","2,914","2,692","3,199","2,952","3,562","3,562","3,054","2,744","2,825","2,979",
"39","[P]","BrainyMedia Sites","2,051","2,263","1,964","2,257","2,305","2,139","2,171","2,791","2,641","2,809","2,844","2,647","2,330","2,846","2,958",
"40","[P]","LEXILOGOS.COM","2,194","1,660","1,519","2,584","2,882","2,594","2,574","3,137","3,458","3,750","3,716","3,334","2,763","2,815","2,930",
"41","[P]","DICT.CC","1,649","1,601","1,787","2,054","2,155","2,442","2,579","2,685","2,424","2,939","2,381","2,350","2,182","2,405","2,609",
"42","[M]","REFERENCE.COM (w/ history)","2,836","2,558","2,703","4,085","3,944","3,418","2,839","3,451","3,346","3,086","2,985","2,578","2,531","2,257","2,568",
"43","[P]","TRADUCEGRATIS.COM","1,304","1,164","1,272","1,358","1,528","1,712","2,034","1,885","1,819","2,179","2,650","2,414","2,054","2,343","2,544",
"44","[P]","ITUSOZLUK.COM","1,377","1,871","1,704","1,816","1,958","1,959","1,995","2,051","2,715","2,785","2,652","2,454","2,237","2,644","2,527",
"45","[C]","Livedoor - Wiki","1,271","1,451","1,490","1,653","1,715","1,592","1,413","1,527","1,366","1,554","1,354","1,644","1,691","2,372","2,468",
"46","[P]","TRANSLATE.RU","942","1,044","1,160","1,787","1,668","1,578","1,719","2,011","1,981","2,044","2,067","2,024","2,058","2,051","2,390",
"47","[C]","ALLEXPERTS.COM","1,954","2,065","1,856","1,735","1,917","1,636","1,952","2,087","1,782","2,054","1,880","2,149","1,882","2,172","2,312",
"48","[P]","ANTOLOJI.COM","1,861","1,681","1,778","2,488","2,730","2,818","2,152","2,219","3,015","3,371","2,853","2,413","1,905","2,014","2,180",
"49","[P]","HOWTODOTHINGS.COM","795","690","631","744","876","904","891","1,166","1,147","1,343","1,514","1,855","1,840","2,001","2,134",
"50","[P]","VDICT.COM","680","771","975","894","1,229","1,468","1,805","1,786","2,246","2,195","2,475","2,243","1,987","1,884","2,115",
"51","[P]","CONSUMERREPORTS.ORG","2,311","2,366","2,081","2,015","2,071","2,586","2,808","2,449","2,168","2,050","2,206","1,984","1,741","1,792","2,107",
"52","[C]","SCIENCEDIRECT.COM","2,158","2,012","1,629","1,916","2,368","2,707","1,861","2,093","2,324","3,045","2,609","2,252","1,880","2,225","2,031",
"53","[C]","INFOPLEASE.COM (w/ history)","2,416","2,200","2,716","3,303","3,594","3,266","2,846","4,045","3,582","3,489","3,080","3,345","1,948","1,642","1,984",
"54","[C]","Yandex Dictionary","1,115","1,112","1,195","1,453","1,879","1,831","2,397","2,430","2,058","1,994","2,092","2,041","1,793","1,497","1,802",
"55","[P]","ASKMEHELPDESK.COM","1,179","1,501","1,339","1,407","1,578","1,415","1,507","1,703","1,664","1,717","1,872","1,940","1,780","1,804","1,795",
"56","[C]","Voila.fr Translation","2,102","1,448","1,595","1,929","1,904","2,026","1,634","1,810","1,792","2,157","2,185","2,354","1,990","1,877","1,741",
"57","[M]","KALIPEDIA.COM","1,096","603","862","1,265","1,350","1,532","868","768","1,753","2,297","1,946","2,358","1,958","1,287","1,734",
"58","[P]","TURKCEBILGI.COM","1,276","1,398","1,155","1,703","2,071","2,052","2,030","1,907","2,705","3,013","2,796","2,316","1,856","1,633","1,671",
"59","[P]","POEMHUNTER.COM","1,691","1,279","1,412","1,586","1,698","1,682","1,988","1,849","2,215","1,984","2,226","2,176","1,796","1,622","1,541",
"60","[M]","YEDDA.COM*","617","1,494","1,795","N/A","1,500","1,628","1,932","2,207","1,630","1,807","1,786","1,558","1,682","1,696","1,540",
"61","[P]","QUESTIA.COM","1,902","1,429","1,575","2,209","2,217","2,296","1,360","1,640","1,939","2,178","1,983","2,051","1,591","1,517","1,508",
"62","[P]","BIOGRAFIASYVIDAS.COM","1,559","914","1,189","1,577","1,633","1,516","856","1,118","1,394","2,019","1,649","1,755","1,612","1,126","1,467",
"63","[P]","COINMILL.COM","557","573","673","545","619","855","887","934","1,041","1,362","1,081","1,124","1,197","1,375","1,416",
"64","[P]","THAIGOODVIEW.COM","963","920","980","1,057","439","917","844","1,056","1,018","813","541","951","1,153","1,039","1,365",
"65","[M]","SPANISHDICT.COM (w/ history)","570","558","826","1,308","1,430","1,348","1,242","1,464","1,436","1,661","1,636","1,575","1,291","1,144","1,332",
"66","[P]","ONLINECONVERSION.COM","1,173","1,118","1,074","1,153","1,222","1,021","1,240","1,377","1,300","1,411","1,377","1,385","1,226","1,377","1,328",
"67","[C]","LIBRARYTHING.COM (w/ history)","288","238","400","453","514","624","755","755","633","807","907","969","778","972","1,325",
"68","[P]","INFORMAWORLD.COM","787","1,302","814","854","1,336","1,619","1,205","1,051","1,175","1,088","1,015","1,302","1,204","1,382","1,310",
"69","[M]","ENOTES.COM (w/ history)","1,283","825","924","1,687","1,771","1,935","1,509","1,817","1,784","2,244","1,946","2,156","1,305","915","1,302",
"70","[P]","SCIELO.BR","2,092","840","1,243","1,734","1,685","1,743","890","801","1,270","2,013","1,584","1,554","1,597","1,141","1,277",
"71","[P]","WIKILEARNING.COM","1,437","1,027","1,209","1,537","1,529","1,488","915","1,064","1,475","1,617","1,440","1,565","1,502","1,109","1,270",
"72","[P]","UN.ORG","1,577","991","1,300","1,312","1,632","1,423","1,337","1,384","1,592","2,037","2,175","1,630","1,476","1,178","1,235",
"73","[P]","SMARTDRAW.COM","950","1,067","1,320","1,454","1,541","1,178","989","1,317","1,320","1,426","1,211","1,260","1,013","1,122","1,200",
"74","[P]","WOXIKON.DE","806","916","990","1,206","1,263","1,251","1,221","1,331","1,281","1,412","1,139","1,076","1,082","1,183","1,164",
"75","[P]","WORLDCAT.ORG","1,202","943","1,023","1,065","1,207","1,249","902","1,298","1,123","1,501","1,254","1,409","1,020","1,008","1,149",
"76","[P]","GUNS.RU","461","456","533","729","954","714","1,157","906","973","1,078","910","994","997","1,295","1,146",
"77","[P]","WISDOMQUOTES.COM","694","629","625","788","868","725","747","812","822","956","967","1,073","1,065","1,139","1,105",
"78","[P]","INGENTACONNECT.COM","2,147","2,527","1,886","1,063","2,848","2,702","1,919","2,108","2,205","2,251","157","105","941","1,628","1,093",
"79","[P]","ALC.CO.JP","1,252","1,335","1,070","1,358","1,261","2,185","2,810","1,221","1,099","1,058","1,102","1,265","1,220","1,030","1,081",
"80","[P]","LAWTIME.CN","N/A","N/A","N/A","N/A","N/A","1,004","806","690","747","717","726","812","837","908","1,074",
"81","[M]","WEBOPEDIA.COM","777","795","691","787","854","905","654","1,039","925","1,101","1,025","841","943","952","1,033",
"82","[P]","5156EDU.COM","N/A","N/A","N/A","N/A","N/A","1,680","1,253","795","1,204","1,577","1,294","895","1,270","1,348","1,011",
"83","[M]","ACCESSMYLIBRARY.COM","1,011","1,056","901","1,628","1,457","1,594","1,426","1,797","1,675","1,809","1,733","1,894","1,529","1,157","932",
"84","[P]","EVERYTHING2.COM","1,227","1,395","1,172","1,444","1,436","1,416","1,187","1,346","1,127","1,573","1,434","1,205","1,026","769","929",
"85","[P]","MIJNWOORDENBOEK.NL","725","566","492","603","811","839","899","1,019","1,061","1,177","944","1,082","1,000","953","902",
"86","[P]","TRANSLATE.PL","1,095","1,328","1,335","1,728","1,860","1,745","1,435","1,485","1,231","1,360","1,160","1,126","998","1,002","896",
"87","[P]","BOOKZ.RU","413","691","479","887","849","841","785","1,212","867","960","1,189","941","695","868","892",
"88","[P]","LOTSOFESSAYS.COM","378","280","242","740","637","656","650","498","636","1,603","1,435","1,507","1,096","816","865",
"89","[P]","PEOPLES.RU","521","847","958","750","835","736","874","1,051","833","1,274","949","1,032","725","927","849",
"90","[P]","ARTICLESNATCH.COM","N/A","N/A","N/A","272","286","240","244","257","361","438","476","793","735","1,159","846",
"91","[P]","ZARGAN.COM","631","506","586","629","662","659","609","560","609","821","768","742","724","736","837",
"92","[P]","ALDEBARAN.RU","523","781","779","974","975","1,173","1,186","1,093","1,047","844","976","732","737","827","834",
"93","[P]","DICIONARIOINFORMAL.COM.BR","206","204","215","361","346","354","296","327","468","660","591","703","634","611","799",
"94","[P]","RECAPTCHA.NET","513","689","633","686","695","921","1,088","689","680","651","683","589","581","690","786",
"95","[P]","OPPAPERS.COM","425","408","516","893","1,189","1,367","710","443","615","638","690","617","521","449","784",
"96","[M]","Informit Network","590","817","711","606","533","672","625","832","727","677","779","679","816","702","770",
"97","[P]","QURANEXPLORER.COM","330","132","246","350","222","227","189","272","367","393","380","390","408","417","748",
"98","[M]","LAROUSSE.FR","134","290","101","417","534","527","389","539","683","733","706","846","691","728","747",
"99","[P]","EMERALDINSIGHT.COM","505","565","485","587","901","983","781","833","930","1,015","1,186","1,239","850","729","746",
"100","[P]","STARS21.COM","355","375","297","475","320","325","295","442","463","369","564","632","566","711","733",
"101","[C]","Livedoor - Knowledge","530","325","459","437","583","557","428","410","462","626","466","590","649","609","699",
"102","[P]","ACRONYMFINDER.COM","479","732","538","663","726","661","699","787","799","793","820","627","593","686","689",
"103","[M]","QUIBBLO.COM (w/ history)","595","570","575","564","604","560","641","1,014","638","597","753","615","627","639","678",
"104","[P]","AIES.CN","N/A","N/A","N/A","1,597","1,348","1,318","1,149","1,136","1,157","898","783","592","899","1,047","670",
"105","[P]","SLD.CU","821","599","624","681","672","646","423","540","669","780","758","843","758","550","665",
"106","[P]","DUDEN.DE","690","549","530","455","619","855","659","855","725","922","687","527","458","550","663",
"107","[P]","ENERGYGUIDE.COM","270","357","559","682","588","691","619","661","532","643","564","714","588","701","659",
"108","[P]","ANGLAISFACILE.COM","525","315","403","647","713","678","533","666","783","922","858","927","875","665","659",
"109","[P]","SOCIETE.COM","872","951","919","1,253","1,545","1,250","1,163","1,374","1,427","1,441","1,410","1,214","2,432","781","657",
"110","[P]","SOZLUK.NET","N/A","N/A","N/A","N/A","583","487","526","512","749","832","703","699","647","690","653",
"111","[P]","SESLISOZLUK.COM","971","417","388","437","516","595","579","461","546","716","643","667","668","522","652",
"112","[P]","SCIELO.CL","828","625","725","804","727","653","550","474","687","929","856","750","737","545","647",
"113","[P]","FREEDICT.COM","811","720","814","941","888","818","710","753","727","905","803","715","553","629","634",
"114","[P]","QUID.FR","436","312","409","600","503","483","371","618","553","711","684","666","464","501","628",
"115","[P]","MORFIX.CO.IL","523","472","467","522","476","572","618","611","625","645","599","594","583","582","606",
"116","[P]","LABLAA.ORG","388","263","373","424","358","319","149","147","427","608","573","685","530","495","596",
"117","[P]","REPEC.ORG","517","541","472","720","670","1,083","537","665","724","820","796","819","560","627","596",
"118","[P]","PHRASES.ORG.UK","533","581","443","497","665","574","568","621","665","632","573","604","554","589","584",
"119","[P]","INFORMATIONSARCHIV.NET","486","540","625","538","602","691","473","533","476","516","485","464","391","462","582",
"120","[P]","TRANSLIT.RU","317","321","413","394","431","353","586","467","552","499","571","408","548","580","582",
"121","[P]","CALEND.RU","102","321","153","312","344","355","373","646","447","566","475","389","466","470","572",
"122","[P]","MIRSOVETOV.RU","225","209","468","638","482","505","400","741","745","789","477","419","380","542","572",
"123","[P]","TURNITIN.COM","494","301","388","892","921","904","935","832","1,022","1,233","1,098","1,072","611","361","567",
"124","[P]","BUSCALIBROS.CL","582","429","597","745","564","525","357","289","392","571","545","439","360","368","565",
"125","[P]","BEST-LOVE-POEMS.COM","754","590","547","488","533","557","627","597","619","528","565","457","520","495","557",
"126","[P]","BIREME.BR","2,314","1,232","473","451","447","427","274","323","446","847","823","841","941","612","556",
"127","[P]","123HELPME.COM","670","291","475","981","1,065","1,116","951","853","1,102","1,289","1,117","1,225","786","552","551",
"128","[P]","CLIFFSNOTES.COM","412","377","583","873","991","750","726","735","787","955","824","884","555","437","551",
"129","[P]","MYDICT.COM","266","129","52","94","153","262","259","228","338","332","310","379","445","397","550",
"130","[P]","BUSINESSBALLS.COM","600","495","555","590","530","581","510","660","696","812","784","734","620","577","548",
"131","[P]","LEXICOOL.COM","590","464","439","803","695","691","632","699","717","740","731","744","612","482","546",
"132","[P]","WISSEN.DE","340","324","251","508","426","548","539","533","599","678","539","701","475","452","534",
"133","[P]","NETPOETS.COM","672","524","575","539","610","448","495","508","690","545","549","689","450","469","529",
"134","[P]","OMNIGLOT.COM","427","323","373","371","333","412","471","474","417","495","545","546","571","418","527",
"135","[M]","CODEGURU.COM","164","183","222","287","415","273","271","439","312","327","424","390","319","488","519",
"136","[P]","DEFINICION.DE","N/A","N/A","107","164","175","157","79","202","282","333","329","454","376","216","518",
"137","[P]","MEGAESSAYS.COM","591","430","470","967","1,035","1,254","794","840","1,191","1,411","995","1,055","823","475","512",
"138","[P]","ONELOOK.COM","586","480","710","874","807","728","600","737","634","697","712","662","504","505","489",
"139","[P]","VERTALEN.NU","345","331","249","422","345","416","370","465","477","572","460","468","532","579","487",
"140","[P]","KNOWLEDGERUSH.COM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","319","607","567","482","525","479","413","483",
"141","[P]","JURIS.DE","237","366","281","239","198","239","271","423","395","458","435","421","215","311","479",
"142","[P]","POEMOFQUOTES.COM","341","260","299","297","454","293","372","383","498","463","389","454","420","416","471",
"143","[P]","DEFINICION.ORG","594","366","661","682","704","610","359","374","564","681","615","547","469","305","469",
"144","[P]","WEBSTERS-ONLINE-DICTIONARY.ORG","347","340","256","466","760","501","561","400","513","603","739","609","371","396","466",
"145","[P]","ARKITERA.COM","N/A","N/A","N/A","N/A","N/A","398","398","352","587","729","656","612","484","481","464",
"146","[P]","ARABIC-KEYBOARD.ORG","N/A","N/A","N/A","N/A","N/A","N/A","N/A","109","270","264","268","340","372","458","461",
"147","[P]","BIBILGI.COM","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","663","934","779","667","399","406","458",
"148","[P]","EXAMPLEESSAYS.COM","311","269","238","713","547","600","590","463","590","759","698","612","499","414","456",
"149","[P]","KLERK.RU","395","370","369","448","584","667","621","558","601","924","675","465","492","592","453",
"150","[P]","BIBLIOTEKAR.RU","341","329","546","527","717","906","627","640","741","720","881","823","446","338","447",
"151","[P]","WEBNARY.COM","307","655","522","298","493","594","232","215","330","448","692","404","388","493","437",
"152","[P]","NCIKU.COM","2,715","4,590","7,544","9,137","4,179","1,513","1,850","624","439","482","259","345","416","349","434",
"153","[P]","TOPPRODUCT.NL","291","141","243","194","365","269","282","379","353","241","271","357","304","369","424",
"154","[P]","GEOGRAPH.ORG.UK","182","160","190","133","177","191","200","180","258","245","300","334","292","312","422",
"155","[P]","SAIDWHAT.CO.UK","286","304","300","326","416","411","301","393","417","403","375","374","325","391","418",
"156","[P]","NOLO.COM","390","504","547","406","500","380","342","589","649","545","650","468","408","545","413",
"157","[P]","VISUALTHESAURUS.COM","267","333","352","457","368","355","356","329","337","400","369","423","269","238","409",
"158","[P]","MAGENERATION.COM","N/A","N/A","N/A","N/A","N/A","256","308","301","283","84","59","39","59","205","405",
"159","[P]","FOOTNOTE.COM","838","591","728","717","925","435","558","616","478","566","388","367","417","362","403",
"160","[P]","HONEYWELL.COM","465","709","465","319","425","327","442","477","448","524","436","508","406","412","400",
"161","[P]","DICOCITATIONS.COM","187","213","152","236","299","295","193","366","424","527","439","381","401","420","398",
"162","[P]","ASKOXFORD.COM","374","287","361","294","487","424","452","397","478","526","479","455","420","317","390",
"163","[P]","DICTS.INFO","259","248","225","279","296","388","310","374","450","457","394","384","429","352","388",
"164","[P]","POEMSOURCE.COM","442","323","342","376","398","464","641","490","1,063","494","588","898","595","394","387",
"165","[P]","CALCULATOR.COM","373","314","362","518","664","445","494","488","571","624","608","521","407","359","386",
"166","[P]","MANAGEMENTHELP.ORG","672","304","285","316","388","346","251","354","402","361","495","484","497","314","385",
"167","[P]","KDD.CC","N/A","N/A","N/A","N/A","N/A","N/A","N/A","834","675","943","799","689","295","331","381",
"168","[P]","IXL.COM","N/A","N/A","N/A","N/A","133","138","115","314","489","971","673","759","622","407","379",
"169","[P]","ACTUALICESE.COM","167","151","201","165","156","146","115","175","404","425","446","442","366","370","376",
"170","[P]","EPNET.COM","466","393","293","373","431","491","358","325","305","459","331","557","554","379","374",
"171","[C]","BIOLOGY-ONLINE.ORG","272","186","218","395","521","452","325","408","451","402","387","400","453","243","372",
"172","[P]","SO100.CN","324","279","617","695","558","607","1,189","575","676","475","560","316","450","370","370",
"173","[P]","MANSIONINGLES.COM","309","257","250","370","341","298","259","283","388","494","346","452","427","291","369",
"174","[P]","INFOVISUAL.INFO","293","187","228","278","296","479","301","361","459","582","451","411","316","256","363",
"175","[C]","BOOKFINDER.COM (w/ history)","306","317","342","465","376","335","330","405","471","507","489","433","334","327","360",
"176","[P]","ALLFREEESSAYS.COM","N/A","N/A","N/A","N/A","N/A","N/A","137","169","283","376","86","398","272","244","355",
"177","[P]","PWN.PL","661","489","384","1,056","1,046","856","800","786","702","789","645","649","480","383","355",
"178","[P]","ENGLISHPAGE.COM","401","315","230","475","534","539","417","413","575","577","496","553","469","331","349",
"179","[P]","TRANSLATION-GUIDE.COM","331","354","351","424","346","370","310","397","372","442","463","388","357","450","349",
"180","[P]","ABBREVIATIONS.COM","N/A","N/A","N/A","227","274","239","236","281","327","350","367","370","300","329","344",
"181","[P]","ENGLISCH-HILFEN.DE","358","265","302","573","425","526","485","428","530","781","614","731","542","331","344",
"182","[P]","BrainPOP","306","220","347","694","931","823","640","830","747","847","699","722","343","227","343",
"183","[P]","Farlex.com Sites","4,237","4,797","4,052","191","215","297","530","395","392","468","529","577","442","339","334",
"184","[P]","CUCUMIS.ORG","287","349","274","348","288","264","314","386","375","372","369","402","312","285","330",
"185","[P]","SACRED-TEXTS.COM","265","224","354","275","332","328","383","281","304","450","326","349","274","288","328",
"186","[P]","SYNONYMES.COM","N/A","N/A","N/A","105","212","209","184","292","422","385","385","418","411","216","311",
"187","[P]","PETS4YOU.COM","354","503","425","392","354","369","462","505","435","413","391","446","331","395","310",
"188","[P]","ABCPEDIA.COM","214","210","240","380","322","269","247","245","370","439","324","384","335","269","303",
"189","[P]","ALLGREATQUOTES.COM","229","235","280","323","250","309","277","233","337","327","496","371","322","292","299",
"190","[P]","DUDEN-SUCHE.DE","244","134","143","205","229","248","238","399","376","324","313","261","291","243","296",
"191","[P]","TURKCEBILGI.NET","N/A","N/A","N/A","N/A","N/A","336","323","324","444","577","508","372","259","227","295",
"192","[P]","ALMANAC.COM","360","472","346","520","426","485","374","469","445","359","286","340","284","258","294",
"193","[P]","FAMOUSPOETSANDPOEMS.COM","212","177","215","391","278","384","433","392","491","522","582","766","332","324","294",
"194","[P]","BNF.FR","392","345","198","363","420","457","381","412","463","527","443","442","408","263","293",
"195","[P]","THECANADIANENCYCLOPEDIA.COM (w/ history)","492","378","339","498","637","572","561","585","675","614","579","620","405","365","292",
"196","[P]","PSICOLOGIA-ONLINE.COM","379","266","316","362","373","365","233","242","334","388","343","279","299","262","291",
"197","[P]","NEWWORLDENCYCLOPEDIA.ORG","N/A","N/A","N/A","N/A","281","265","220","298","367","504","517","361","239","282","291",
"198","[P]","SEVGILIYE.COM","N/A","N/A","N/A","N/A","N/A","225","332","329","679","407","289","247","274","280","289",
"199","[P]","CHEATHOUSE.COM","370","220","190","432","529","593","595","535","728","936","725","649","393","273","288",
"200","[P]","ZENO.ORG","N/A","N/A","N/A","272","221","440","324","290","390","478","439","340","298","302","286",
"201","[M]","Ciao Sites (w/ history)","24,226","23,910","23,046","25,219","25,338","25,989","26,134","27,658","25,504","27,028","25,934","25,089","1,019","506","286",
"202","[P]","ILMAINENSANAKIRJA.FI","268","211","220","192","200","234","299","296","277","305","270","263","187","256","284",
"203","[P]","ALLWORDS.COM","403","234","235","315","294","306","218","327","379","334","310","243","269","248","283",
"204","[P]","SOBRESITES.COM","389","332","378","368","321","319","240","299","325","437","354","332","253","277","283",
"205","[P]","ARTCYCLOPEDIA.COM","455","360","330","493","507","393","337","431","400","496","491","449","275","259","280",
"206","[P]","MOREWORDS.COM","260","185","168","248","207","280","228","271","269","292","285","273","204","254","279",
"207","[P]","SERIALSSOLUTIONS.COM","220","160","166","349","457","395","353","355","353","452","477","270","268","288","278",
"208","[P]","QUECHOISIR.ORG","157","101","121","187","213","187","319","285","292","340","210","225","225","261","271",
"209","[P]","LECTLAW.COM","303","341","224","440","350","284","398","320","310","333","362","369","241","300","270",
