"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: September 2010 - November 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/19/2011","","","","","",""

"","","","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011"
"","","    Total Internet : Total Audience ","1,294,784","1,304,632","1,313,926","1,323,535","1,333,403","1,339,496","1,350,539","1,362,369","1,373,976","1,383,098","1,394,031","1,411,178","1,420,316","1,431,939","1,438,877"
"1","[P]","    Google Sites","976,431","976,693","970,109","972,486","985,289","976,374","996,706","990,970","1,009,699","1,023,643","1,031,584","1,048,918","1,066,695","1,083,316","1,081,821"
"2","[P](u)","    Microsoft Sites","827,496","840,677","869,373","867,914","889,163","837,039","895,813","892,893","905,454","882,818","898,728","887,917","914,237","878,510","886,560"
"3","[P]","    FACEBOOK.COM","620,269","633,548","647,482","662,420","675,361","676,733","692,998","697,970","713,647","734,240","736,465","752,382","769,655","788,181","792,999"
"4","[P](u)","    Yahoo! Sites","629,981","632,993","630,275","627,523","639,715","659,277","679,738","676,356","689,105","671,573","673,798","686,311","701,378","702,712","707,537"
"5","[P]","    Wikimedia Foundation Sites","398,178","408,350","410,816","395,472","413,957","379,415","400,011","380,716","411,061","399,362","393,543","422,779","454,529","476,627","474,723"
"6","[P]","    Amazon Sites","234,334","245,082","252,698","263,450","258,169","233,765","271,264","268,611","284,321","282,233","288,766","302,455","319,548","338,444","350,769"
"7","[P]","    Apple Inc.","226,129","227,768","228,285","240,557","236,347","221,271","234,944","228,366","244,182","246,889","256,743","260,749","264,537","299,360","285,234"
"8","[P](u)","    Federated Media Publishing","75,718","78,617","81,664","83,530","82,125","75,948","85,491","85,344","93,250","94,062","93,714","96,838","100,738","102,452","281,185"
"9","[P]","    TENCENT Inc.","197,617","204,266","211,656","215,211","208,512","207,793","214,254","216,190","220,707","229,175","237,849","243,094","245,220","249,286","248,554"
"10","[P](u)","    Ask Network","221,821","225,397","233,155","233,444","234,884","220,019","236,956","220,341","224,060","212,548","217,771","227,266","240,805","255,792","245,416"
