"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: September 2010 - November 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/19/2011","","","","","",""

"","","","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011"
"11","[P]","    eBay","221,574","222,283","229,915","225,280","226,079","211,945","218,809","215,085","225,893","223,520","224,511","230,320","232,945","244,368","243,222"
"12","[P]","    Baidu.com Inc.","184,728","185,318","184,703","185,005","190,956","192,845","202,995","201,227","211,060","215,086","225,898","231,609","237,997","243,226","241,368"
"13","[P](U)","    CBS Interactive","223,388","222,329","229,265","221,362","226,135","210,949","234,656","217,686","220,230","214,019","217,962","226,901","242,571","244,382","238,148"
"14","[P](U)","    AOL, Inc.","218,426","232,439","239,205","239,550","243,275","229,394","247,697","237,258","238,860","231,564","227,626","227,538","220,379","224,822","219,953"
"15","[P]","    Sohu.com Inc.","155,256","157,870","161,682","165,027","172,126","170,043","177,534","178,930","182,179","189,558","195,592","201,164","208,468","212,528","212,372"
"16","[P](u)","    Glam Media","179,892","181,888","197,937","196,886","202,299","194,173","204,134","200,186","213,528","203,630","200,757","202,836","206,764","210,711","209,031"
"17","[P]","    BitTorrent Network","113,999","123,415","128,354","133,164","137,865","136,015","142,495","145,982","156,067","164,101","172,531","173,435","180,816","193,170","194,166"
"18","[P](u)","    Viacom Digital","170,490","172,641","174,084","178,493","184,754","169,803","163,349","175,968","183,431","185,122","182,883","186,754","187,364","195,624","192,958"
"19","[P]","    Alibaba.com Corporation","130,213","133,634","131,631","124,680","124,453","114,887","132,534","144,488","152,501","156,780","164,230","167,517","167,324","184,715","186,245"
"20","[P]","    TWITTER.COM","101,902","104,617","102,980","104,995","113,216","112,229","129,439","123,035","139,213","144,441","146,413","155,968","157,303","166,536","167,903"
"21","[P]","    Adobe Sites","144,544","144,307","136,191","131,826","129,903","127,795","160,625","132,567","139,968","135,014","134,096","144,970","147,315","152,887","151,765"
"22","[P]","    SINA Corporation","112,464","106,577","106,420","101,202","108,153","104,736","116,166","114,371","125,533","129,116","139,096","137,986","147,155","153,389","150,065"
"23","[P](u)","    NetShelter Technology Media","136,347","143,330","151,455","149,696","154,827","142,908","150,348","137,498","139,254","135,513","140,404","142,521","146,239","152,455","145,783"
"24","[P](U)","    New York Times Digital","119,115","125,058","121,865","117,389","123,193","111,113","128,726","107,800","115,279","107,815","108,536","113,033","124,192","137,403","138,948"
"25","[P](u)","    Turner Digital","113,922","123,307","126,889","126,974","132,702","128,958","152,103","136,777","147,542","134,020","130,388","134,007","126,995","128,659","123,550"
"26","[P](u)","    Technorati Media","114,037","113,134","121,197","116,572","121,987","112,730","122,858","118,697","118,362","110,839","107,253","108,087","117,349","122,549","117,494"
"27","[P]","    The Mozilla Organization","142,184","152,646","121,534","124,889","95,529","82,655","134,863","100,668","145,477","117,557","112,887","126,894","134,629","96,492","108,468"
"28","[P]","    NetEase.com Inc.","89,923","83,449","83,249","79,119","79,670","75,825","86,075","80,456","89,643","88,900","93,060","91,763","99,370","97,234","100,758"
"29","[P]","    Youku Inc.","79,111","77,754","70,560","65,829","75,542","71,936","77,425","68,592","77,739","83,037","91,018","86,607","94,225","102,199","99,129"
"30","[P](u)","    Terra - Telefonica","80,507","83,101","82,482","86,936","88,688","85,461","92,590","91,273","93,018","91,737","93,215","97,598","99,592","99,654","98,329"
"31","[P](U)","    Demand Media","94,233","100,835","105,463","108,409","122,101","116,041","124,125","110,435","103,812","96,467","91,674","98,036","95,438","93,599","98,235"
"32","[P](U)","    LINKEDIN.COM","56,747","59,804","69,656","65,775","74,495","71,524","79,215","74,845","86,074","84,356","82,454","88,172","92,112","92,451","94,823"
"33","[P](U)","    DAILYMOTION.COM","73,519","89,176","83,308","83,224","85,922","92,168","109,601","110,552","114,292","101,929","83,971","85,089","88,764","96,648","94,808"
"34","[P]","    MEGAUPLOAD.COM","75,262","77,778","77,145","83,740","75,388","70,290","75,408","74,894","80,298","80,723","84,151","87,729","88,746","97,402","93,690"
"35","[P]","    Xunlei Networking","73,243","70,523","67,566","66,279","73,576","62,518","57,612","49,946","51,057","69,449","78,302","82,408","85,226","94,080","92,285"
"36","[P]","    MEDIAFIRE.COM","53,096","56,561","54,765","55,540","59,252","55,063","59,004","60,504","65,839","66,403","70,062","74,926","78,122","84,086","84,676"
"37","[P]","    Tudou Sites","68,878","65,817","62,761","58,706","63,564","59,870","62,696","58,747","66,498","67,723","77,914","74,838","76,920","82,203","80,337"
"38","[P](u)","    Orange Sites","67,618","67,987","68,421","60,598","63,211","62,162","66,043","66,989","70,685","67,491","63,491","68,846","72,576","79,220","79,663"
"39","[P]","    Expedia Inc","73,686","67,007","63,699","60,770","78,144","72,338","75,452","76,130","80,012","86,378","96,945","90,073","83,120","80,395","79,120"
"40","[P](U)","    Answers.com Sites","78,510","83,763","95,729","86,847","94,594","91,449","98,716","87,301","88,487","71,866","61,860","69,164","79,301","77,203","76,924"
"41","[P]","    NHN Corporation","38,656","38,607","38,373","40,054","41,280","39,004","41,727","40,465","42,383","41,891","70,131","74,056","76,868","77,961","76,866"
"42","[P](u)","    Axel Springer AG","27,652","28,306","28,510","28,843","29,914","27,783","69,817","65,524","56,997","65,630","66,842","67,806","71,500","76,990","76,371"
"43","[P](u)","    BBC Sites","62,925","65,270","66,155","66,305","67,469","65,659","80,594","71,434","74,281","65,593","67,675","72,209","71,250","77,127","74,949"
"44","[P]","    Wal-Mart","44,497","45,407","62,641","63,086","47,430","40,243","40,446","40,750","42,803","44,650","48,053","50,087","49,499","58,072","73,336"
"45","[P](u)","    Sony Online","64,137","64,202","65,672","69,364","66,393","59,487","63,402","58,923","67,799","66,787","62,537","66,022","66,621","70,878","73,191"
"46","[P]","    4SHARED.COM*","74,774","78,018","78,626","78,872","79,629","74,007","75,906","76,149","82,695","80,610","81,619","82,142","84,759","77,214","72,865"
"47","[P]","    Rakuten Inc","46,505","46,377","62,455","59,747","59,608","56,701","57,528","55,379","60,840","57,785","59,031","62,198","63,498","71,032","71,831"
"48","[P]","    Yandex Sites","51,717","53,022","54,283","56,421","57,497","57,163","58,814","58,751","60,543","61,976","64,116","64,632","68,765","70,071","71,503"
"49","[P]","    iG Sites","24,696","24,932","25,134","24,223","24,935","27,185","29,409","29,933","31,237","32,190","29,259","61,505","64,505","67,975","70,602"
"50","[P](u)","    Break Media","71,185","78,891","83,010","81,504","83,285","72,279","74,696","70,203","72,789","70,860","68,983","71,597","70,011","72,371","70,221"
"51","[P](U)","    ESPN","60,228","62,087","63,013","61,980","63,027","59,227","75,225","64,948","60,604","59,149","55,383","62,111","75,141","71,555","69,509"
"52","[P]","    Vkontakte","43,716","47,917","51,443","50,518","54,354","56,703","50,899","51,652","57,869","61,035","63,003","57,553","58,704","61,970","63,813"
"53","[P]","    Gretech Corp.","18,635","18,451","51,113","50,193","52,282","49,189","51,251","51,551","54,515","55,496","57,766","59,317","62,969","63,890","62,790"
"54","[P]","    Real.com Network","58,169","58,895","61,475","60,894","58,475","50,761","55,748","51,382","59,147","61,792","56,748","53,874","54,950","62,514","61,953"
"55","[P]","    Oak Pacific Interactive Sites","44,777","42,994","45,710","44,631","47,522","44,751","52,534","59,437","72,664","74,031","71,947","52,969","51,075","57,597","60,901"
"56","[P](U)","    Weather Channel, The","43,431","42,183","42,511","50,925","48,627","46,299","42,991","44,322","45,535","44,641","64,950","74,674","65,791","63,513","59,856"
"57","[P]","    PPStream, Inc.","49,903","54,516","52,879","51,162","57,085","58,746","57,939","57,789","60,718","61,329","61,807","60,906","58,619","59,397","58,404"
"58","[P]","    FC2 inc.","45,778","47,014","46,826","48,028","48,741","46,484","48,382","47,586","50,745","51,493","53,236","56,007","56,994","59,124","58,320"
"59","[P](u)","    Gannett Sites","47,258","47,713","50,616","47,942","51,387","49,738","54,487","53,589","56,973","53,509","53,985","58,635","55,644","56,690","56,766"
"60","[P]","    FILESTUBE.COM","39,910","45,232","44,945","40,994","40,205","33,075","38,028","41,168","48,563","49,158","48,914","49,354","51,632","57,749","56,423"
"61","[P]","    Spil Games","52,087","50,578","51,869","56,593","55,993","49,898","49,854","50,679","52,057","56,028","59,376","59,091","52,967","57,460","56,023"
"62","[P](u)","    Comcast Corporation","50,263","51,658","54,542","63,590","61,429","52,936","53,713","53,734","54,476","57,098","55,278","56,174","52,801","51,336","55,406"
"63","[P]","    craigslist, inc.","54,263","53,971","52,499","54,839","57,292","53,339","53,840","51,731","55,182","56,784","57,504","58,985","57,482","56,540","54,844"
"64","[P]","    BABYLON.COM","28,351","31,559","33,139","35,756","39,205","37,763","42,589","40,310","48,634","49,031","51,396","57,840","63,402","51,413","54,732"
"65","[P](u)","    Alloy Digital Network","47,533","59,597","68,429","71,181","69,684","44,679","43,569","40,105","37,516","42,761","43,912","43,396","42,628","51,698","53,608"
"66","[P]","    Deutsche Telekom","50,119","49,747","50,328","48,797","49,963","48,264","49,571","47,138","50,472","49,193","49,101","51,673","51,862","54,130","52,846"
"67","[P](u)","    UOL","31,668","39,997","41,069","41,815","42,541","41,286","44,602","46,072","46,594","47,153","49,845","49,506","50,122","51,153","52,203"
"68","[P]","    Hewlett Packard","39,122","44,308","39,734","41,079","41,809","36,404","39,238","37,850","38,699","38,491","41,350","44,352","49,156","53,575","51,034"
"69","[P]","    CCM-Benchmark","39,574","47,296","46,794","45,826","48,420","44,888","44,923","40,384","44,026","42,741","40,028","44,945","46,037","51,155","50,991"
"70","[P](u)","    IDG Network","43,199","43,879","46,871","45,557","46,569","42,183","42,919","39,909","41,359","42,265","43,137","45,320","45,381","51,583","49,764"
"71","[P](u)","    Disney Online","41,768","41,615","44,921","45,011","40,303","37,259","37,539","37,051","42,310","46,272","49,450","48,569","49,744","54,156","49,620"
"72","[P](U)","    Photobucket.com LLC","52,821","54,101","59,396","59,041","58,244","52,934","56,592","54,100","54,442","48,309","49,670","51,601","50,258","49,661","49,550"
"73","[P](u)","    Globo","28,038","29,206","28,518","26,215","29,295","29,018","31,260","29,591","29,624","29,574","35,953","39,315","40,559","45,806","47,430"
"74","[P]","    PPLive Inc.","19,415","18,740","20,074","18,934","23,016","22,452","23,524","25,008","32,035","29,626","36,738","43,656","43,732","46,375","47,282"
"75","[P](U)","    Wikia Sites","27,087","29,777","32,686","33,638","37,097","35,118","39,459","37,488","39,512","39,021","39,524","40,031","40,340","44,585","47,134"
"76","[P](u)","    Conde Nast Digital","39,742","42,710","44,893","43,160","37,318","37,913","38,360","37,970","40,588","37,490","36,864","40,361","40,502","45,134","47,114"
"77","[P]","    OLX Inc.","41,774","43,062","43,335","38,872","44,671","41,429","45,255","42,336","47,105","45,171","45,834","47,868","46,932","46,699","46,440"
"78","[P]","    EA Online","34,036","41,083","36,533","36,487","33,483","32,015","32,960","32,926","32,325","36,168","36,641","38,869","44,440","51,940","46,301"
"79","[P](u)","    iVillage.com: The Womens Network","45,569","46,427","45,748","42,841","43,696","39,364","43,727","40,678","41,091","44,209","42,190","42,231","42,028","40,358","45,823"
"80","[P]","    Priceline.com Incorporated","34,305","30,490","28,505","26,852","33,984","34,065","36,281","34,949","40,914","46,751","53,032","49,213","44,955","45,385","45,514"
"81","[P]","    Best Buy Sites","22,670","22,259","35,974","39,037","27,959","23,209","21,195","20,886","25,277","22,298","23,505","26,475","26,590","28,343","45,470"
"82","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","27,609","39,103","40,373","37,140","41,773","39,991","42,334","40,491","42,472","40,678","40,241","42,120","44,108","44,860","45,406"
"83","[P](U)","    Monster, Inc.","47,326","46,444","48,610","43,183","50,463","47,039","49,499","44,671","46,443","45,896","45,180","45,278","43,859","45,369","44,779"
"84","[P]","    Qihoo.com Sites","43,950","46,787","49,802","40,184","44,417","43,091","50,452","44,091","31,558","31,320","34,446","37,397","35,697","40,387","44,422"
"85","[P](u)","    BUZZMEDIA","38,367","45,121","47,766","50,811","51,934","48,368","51,750","48,188","39,034","41,796","41,757","43,993","41,886","44,168","44,335"
"86","[P](U)","    Shopzilla.com Sites","31,064","34,683","37,737","39,287","37,642","34,785","33,857","30,522","32,293","31,499","36,605","38,783","38,741","43,104","44,306"
"87","[P](u)","    Groupe Lagardere","42,486","44,313","46,414","44,101","45,416","41,843","45,039","46,473","46,521","47,076","46,413","43,618","44,540","44,618","43,997"
"88","[P]","    MIH Limited","40,839","41,170","41,213","40,443","40,092","38,164","39,537","39,869","42,619","41,006","40,098","41,226","42,249","45,151","43,431"
"89","[P](u)","    Lycos Global Search And Media","39,896","40,244","39,927","34,089","34,464","32,199","34,700","33,239","37,032","34,867","33,202","36,410","37,407","40,406","42,903"
"90","[P]","    NTT Group","38,957","38,920","39,332","38,555","39,398","37,059","38,176","36,443","39,409","39,214","40,345","41,125","42,199","42,712","42,196"
"91","[P](u)","    Yellowbook Network","43,523","49,195","51,299","50,937","37,845","42,742","46,021","34,144","33,263","31,719","31,052","40,889","44,566","45,294","41,933"
"92","[P]","    RapidShare AG","67,339","64,792","60,768","57,790","57,364","51,591","52,396","47,485","46,578","43,961","41,874","41,593","40,554","42,854","41,703"
"93","[P]","    THEPIRATEBAY.ORG","26,353","27,756","28,794","27,926","28,908","27,252","28,646","29,152","32,895","34,931","36,111","36,073","39,166","42,492","41,385"
"94","[P](U)","    Tribune Interactive","33,861","34,093","35,973","35,122","39,973","39,085","44,407","42,033","45,478","41,581","41,521","43,111","42,658","42,038","40,930"
"95","[P](u)","    Geeknet","38,635","41,215","41,987","41,486","43,137","37,140","39,755","36,951","37,397","37,428","36,067","36,823","37,653","40,645","40,763"
"96","[P]","    Target Corporation","25,048","26,936","38,556","37,148","25,831","21,186","21,728","20,237","22,005","23,660","26,059","26,543","25,734","27,016","40,187"
"97","[P](U)","    Internet Brands, Inc.","22,348","22,219","22,033","22,832","26,253","23,576","24,743","23,527","28,409","35,308","38,046","39,182","41,188","41,806","40,086"
"98","[P](U)","    DEVIANTART.COM","25,565","27,604","31,443","32,874","32,783","31,405","34,753","34,539","35,408","36,003","37,592","38,775","37,879","40,757","39,709"
"99","[P]","    CyberAgent","32,852","32,380","33,166","33,345","35,024","33,088","34,536","32,455","36,007","35,381","36,532","38,155","38,714","39,681","39,709"
"100","[P](u)","    Fox Interactive Media","149,645","123,007","113,413","110,651","107,900","95,278","99,059","104,867","106,234","97,266","95,943","37,407","41,502","44,630","39,643"
"101","[P]","    KuGou Inc.","32,562","33,631","32,701","33,983","39,702","39,959","44,818","43,509","47,424","48,141","49,539","45,198","41,019","40,017","39,526"
"102","[P](u)","    Metacafe","46,296","47,561","48,609","49,214","49,035","44,864","47,043","45,853","47,078","44,154","42,062","38,272","40,707","39,860","39,500"
"103","[P](u)","    WebMD Health","33,247","33,084","32,714","30,494","32,498","28,954","32,555","30,137","35,601","35,420","37,629","38,912","38,761","41,091","39,394"
"104","[P]","    Steam (App)","22,785","23,542","25,033","24,899","24,930","23,491","24,739","25,037","26,666","29,916","32,068","32,682","35,053","37,360","39,186"
"105","[P](u)","    Time Warner (Excl. Turner/WB)","35,515","41,359","41,996","42,993","47,935","43,106","49,503","41,910","47,814","40,699","41,270","38,369","39,730","39,341","38,805"
"106","[P](u)","    Discovery Digital Media Sites","34,400","35,518","36,456","34,677","37,264","34,376","37,845","37,568","40,058","37,700","36,578","37,442","39,100","40,587","38,698"
"107","[P]","    MercadoLibre","33,900","35,667","35,078","34,448","34,308","31,564","33,047","31,416","33,447","33,481","35,707","38,421","36,904","38,175","38,167"
"108","[P]","    Grupo Intercom","34,855","36,313","37,229","31,980","36,316","33,887","36,694","33,047","36,439","35,582","34,373","35,681","35,778","37,544","37,910"
"109","[P]","    GSN Games","42,247","43,940","47,105","50,447","40,504","35,409","35,710","34,555","39,743","42,472","45,795","45,340","40,645","40,375","37,700"
"110","[P]","    Groupe PPR","36,467","35,337","39,226","35,884","35,330","30,733","30,680","29,689","32,566","31,686","30,485","31,620","34,230","34,792","37,621"
"111","[P](u)","    United-Internet Sites","30,242","29,849","30,249","30,868","32,073","29,390","29,392","29,038","30,369","31,306","31,002","36,480","37,131","37,913","37,349"
"112","[P]","    Otto Gruppe","34,053","33,512","38,368","34,406","32,873","31,576","32,805","32,143","33,500","31,779","30,702","30,445","33,087","36,481","37,158"
"113","[P]","    Samsung Group","25,980","23,613","26,555","27,720","24,046","20,766","22,300","22,161","26,231","26,862","28,672","29,487","33,067","35,730","37,065"
"114","[P](U)","    CraveOnline (Evolve Media Corp.)","33,015","34,885","34,270","32,782","33,642","27,280","28,329","31,484","34,450","35,710","31,189","32,946","37,051","38,756","36,470"
"115","[P](U)","    Scripps Networks Interactive Inc.","16,702","21,102","34,692","34,013","33,966","27,947","30,591","31,223","31,907","26,665","28,873","29,274","28,918","31,267","36,209"
"116","[P](u)","    Prisa","19,932","21,356","21,805","20,184","20,601","19,610","21,036","22,395","24,703","23,160","21,636","26,226","34,113","35,676","36,069"
"117","[P](u)","    Everyday Health","32,293","33,102","32,682","33,167","33,918","29,320","33,072","32,901","32,041","32,213","34,217","34,243","35,044","34,819","35,697"
"118","[P]","    Sun Microsystems, Inc.","24,020","25,197","25,235","23,109","24,949","21,821","33,164","26,767","26,150","27,224","31,415","26,685","26,683","32,088","35,614"
"119","[P](u)","    Sears Sites","21,159","22,886","31,046","32,989","22,681","18,585","18,633","18,338","19,764","20,271","21,737","22,664","23,579","25,758","35,381"
"120","[P](u)","    AT&T Interactive Network","28,924","29,778","30,277","31,079","33,967","31,327","32,004","31,031","34,381","34,274","40,519","39,919","38,871","37,369","35,246"
"121","[P]","    2345.COM","20,142","20,697","22,570","22,101","24,888","27,464","31,816","31,156","32,877","31,230","34,477","35,807","34,434","35,204","34,524"
"122","[P]","    Opera Software","34,227","34,657","30,298","34,392","33,530","31,005","29,356","36,546","31,327","29,844","32,838","33,462","36,033","35,314","34,480"
"123","[P](u)","    Sheknows (Evolve Media Corp.)","29,810","33,856","36,110","36,548","35,571","31,761","30,852","30,562","30,925","28,992","29,513","30,941","30,919","29,253","34,478"
"124","[P](U)","    Reader's Digest Digital Network","23,234","26,542","30,815","32,238","27,292","26,602","25,835","25,683","24,198","23,747","25,644","26,548","27,905","31,026","34,443"
"125","[P]","    BADOO.COM","21,326","22,038","23,079","25,916","25,175","24,076","26,204","24,361","28,715","29,113","28,249","32,526","33,884","36,217","34,208"
"126","[P]","    WildTangent Media","25,341","33,948","28,826","33,400","31,946","29,667","29,657","30,021","31,905","37,061","36,226","34,759","32,115","34,468","34,201"
"127","[P](u)","    NBC Universal","35,751","32,940","32,061","33,502","36,375","33,505","35,125","33,173","37,484","34,314","31,221","33,738","34,656","34,070","34,141"
"128","[P]","    Hubert Burda Media","29,255","29,384","29,551","29,636","31,140","28,708","29,590","28,817","32,213","32,646","33,034","33,645","33,664","36,336","33,799"
"129","[P]","    RosBusinessConsulting","29,816","31,336","30,304","30,812","30,966","28,947","31,176","31,116","32,411","31,211","31,412","31,522","32,341","33,463","33,464"
"130","[P]","    Groupe Pages Jaunes","34,229","35,155","36,425","35,251","38,582","36,485","37,566","34,908","36,573","36,058","34,636","33,521","32,931","34,464","33,289"
"131","[P]","    PCPOP Sites","25,411","23,229","20,929","18,752","21,922","15,439","20,137","16,672","21,927","19,974","28,946","26,192","29,025","33,820","33,237"
"132","[P](u)","    Guardian Media Group","25,057","26,127","29,202","26,970","26,857","25,686","31,424","28,287","33,372","28,757","29,901","32,018","30,267","34,614","33,144"
"133","[P](U)","    Nextag.com Sites","15,520","15,986","18,885","17,452","17,106","25,871","28,290","26,862","28,246","27,243","29,094","30,743","29,224","29,900","33,103"
"134","[P]","    Dwango Co., Ltd.","20,470","19,993","20,499","20,856","21,228","19,978","22,195","21,638","23,745","25,692","27,261","29,490","30,647","32,263","32,908"
"135","[P](u)","    Superpages.com Network","29,400","29,184","30,091","35,368","35,413","33,476","35,488","30,422","30,080","30,856","32,518","31,840","30,526","33,019","32,585"
"136","[P](u)","    Liberty Media Holding Corporation","15,462","19,861","13,254","13,195","12,602","11,051","11,456","11,041","11,488","12,331","22,555","27,668","30,097","36,669","32,531"
"137","[P]","    GMO Internet Group","26,400","25,702","25,071","24,691","25,540","24,227","26,804","24,203","26,511","25,713","28,510","30,780","31,599","32,616","32,452"
"138","[P]","    56.COM","39,564","35,702","32,593","30,996","32,579","32,068","33,134","33,098","33,588","33,523","35,657","34,338","39,178","40,994","32,378"
"139","[P](u)","    The Washington Post Company","27,774","28,955","28,561","26,790","29,778","28,072","31,198","26,372","34,693","27,854","27,816","30,633","29,392","32,765","32,356"
"140","[P]","    Symantec","29,649","26,329","27,044","30,084","31,426","28,294","31,052","28,243","30,222","28,485","28,704","30,475","31,778","33,160","32,154"
"141","[P]","    Ebuzzing","7,862","27,267","27,279","27,075","27,520","24,369","26,285","27,849","29,614","28,256","28,464","30,830","30,753","32,143","32,052"
"142","[P](U)","    Indeed","22,626","23,902","24,620","22,587","28,886","28,883","33,185","31,806","33,544","35,520","29,007","26,672","31,889","32,229","31,909"
"143","[P]","    TARINGA.NET","30,263","32,215","30,253","27,880","29,126","28,281","30,373","29,895","30,207","29,231","29,845","31,484","32,743","32,683","31,432"
"144","[P]","    DEPOSITFILES.COM","31,770","32,622","32,646","30,102","30,946","27,369","28,822","27,358","26,094","27,788","27,662","27,652","29,040","32,118","31,361"
"145","[P](u)","    Dow Jones & Company","23,278","25,805","25,661","26,388","30,171","26,120","32,397","30,562","29,981","31,430","31,208","35,494","34,281","34,704","31,356"
"146","[P]","    Nokia","30,067","31,215","32,519","34,267","29,835","26,160","32,037","27,244","25,990","27,825","26,952","28,430","30,033","31,404","31,213"
"147","[P]","    Seesaa","19,615","19,277","20,172","23,262","24,515","21,896","23,095","22,673","25,575","26,288","27,649","28,896","29,964","31,181","31,127"
"148","[P](u)","    SLIDESHARE.NET","22,775","25,010","20,202","12,823","13,792","16,658","18,516","15,866","19,383","17,259","15,186","20,817","26,981","30,514","31,093"
"149","[P]","    HotChalk","15,373","17,524","19,193","16,394","21,318","20,220","27,518","25,943","26,594","23,021","19,855","23,188","29,947","32,767","31,002"
"150","[P](U)","    YELP.COM","24,334","24,845","25,140","25,452","27,576","26,958","30,088","30,596","31,270","32,712","35,005","35,256","33,470","33,189","30,811"
"151","[P]","    China Mobile Sites","8,533","7,083","21,305","19,644","17,619","16,692","19,067","17,142","22,055","24,848","26,743","28,498","28,460","29,837","30,641"
"152","[P](u)","    Gawker Media","32,187","37,445","34,725","34,239","35,458","25,436","25,883","24,931","29,105","29,763","27,667","28,194","29,727","32,936","30,531"
"153","[P]","    58.COM","16,708","13,958","12,680","13,558","15,193","16,039","20,774","17,584","21,053","23,319","28,898","28,293","31,272","38,028","30,319"
"154","[P]","    KAIXIN001.COM","19,189","18,056","17,758","13,993","17,212","16,596","19,079","21,268","20,107","20,621","24,334","24,396","29,830","31,595","29,915"
"155","[P]","    Iliad - Free.fr Sites","30,681","33,132","32,578","30,038","30,499","28,705","29,561","28,132","29,248","27,183","25,481","27,140","29,493","29,318","29,843"
"156","[P]","    Sakura Internet","23,005","23,045","23,029","24,612","23,985","21,556","23,326","22,815","24,684","25,418","25,908","26,536","28,144","30,352","29,501"
"157","[P]","    MEGAVIDEO.COM","33,973","34,627","34,936","50,873","42,854","30,618","32,611","30,951","34,015","32,341","33,282","31,434","29,740","31,272","29,495"
"158","[P](u)","    RCS Media Group","22,243","22,531","22,685","20,489","21,835","20,431","21,363","20,757","22,080","19,863","19,084","19,728","21,610","28,869","29,309"
"159","[P]","    Nifty Corporation","28,996","28,921","27,316","26,846","26,838","24,617","25,468","25,467","27,352","26,795","27,856","28,585","29,356","30,460","29,193"
"160","[P](U)","    NFL Internet Group","27,249","26,319","28,076","28,633","28,036","15,511","8,648","10,999","8,305","6,884","11,771","22,738","30,393","29,048","29,145"
"161","[P]","    DANGDANG.COM","13,216","11,002","9,904","9,264","12,207","10,849","12,456","11,625","13,267","13,404","16,002","19,075","22,207","25,849","29,079"
"162","[P](u)","    Big Lead Sports By FSV","25,718","27,298","28,571","29,021","30,923","27,928","26,226","26,561","26,910","26,707","27,624","29,981","31,063","31,496","28,966"
"163","[P]","    Vodafone Group","27,638","25,559","26,812","26,951","27,833","25,550","26,669","23,697","26,755","25,862","27,271","28,573","27,345","30,509","28,925"
"164","[P](u)","    Gorilla Nation (Evolve Media Corp)","36,160","38,328","38,787","37,236","37,566","32,635","30,601","31,698","40,099","37,974","40,806","40,700","31,657","30,867","28,835"
"165","[P](U)","    Hearst Digital Media","23,351","24,592","23,873","24,268","23,824","20,811","21,885","22,001","19,684","21,861","23,182","25,336","25,726","29,420","28,826"
"166","[P]","    ProSiebenSat1 Sites","33,079","33,622","34,869","34,293","31,890","29,064","30,318","30,352","31,678","31,158","30,024","30,248","29,683","29,747","28,667"
