"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: May 2012 - July 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 8/20/2013","","","","","",""

"","","","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013"
"","","    Total Internet : Total Audience ","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029"
"1","[P]","    Wikimedia Foundation Sites","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107"
"2","[C](U)","    Yahoo! Answers","248,834","241,753","231,699","285,149","290,423","309,347","306,205","294,797","313,515","303,340","313,820","313,754","313,857","290,174","293,825"
"3","[C]","    Baidu Answers","147,236","151,130","162,873","163,402","158,907","163,801","162,524","163,143","162,348","141,707","162,379","215,038","219,083","210,828","214,863"
"4","[C]","    Baidu Encyclopedia","92,660","93,376","99,357","98,440","91,891","97,166","100,417","101,704","99,365","85,217","105,082","145,171","147,479","139,603","144,890"
"5","[P](U)","    Answers.com Sites","89,732","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728","105,285","102,123","88,239","83,207"
"6","[C]","    SINA iAsk","33,053","35,169","40,080","39,639","42,383","47,115","50,160","48,162","47,339","37,151","47,746","65,642","66,588","60,458","65,437"
"7","[P](U)","    Wikia Sites","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647","60,192","58,364","60,141"
"8","[P](U)","    WORDREFERENCE.COM","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020","36,206","31,727","29,009"
"9","[C]","    Goo Teaching","25,072","24,349","25,400","25,617","25,350","24,148","23,990","23,828","24,918","22,713","23,613","22,034","23,014","22,056","22,154"
"10","[P](u)","    Encyclopaedia Britannica","16,757","14,168","13,292","14,706","17,690","20,648","19,831","18,527","22,007","22,394","23,714","23,254","22,339","18,437","17,614"
"11","[P]","    URBANDICTIONARY.COM","14,082","14,240","13,934","13,917","14,118","14,129","14,034","13,979","15,056","14,227","16,382","15,735","15,660","14,774","15,595"
"12","[P]","    ARCHIVE.ORG","8,583","7,476","8,247","8,813","9,510","9,527","10,258","9,938","11,655","10,617","11,441","11,811","11,677","11,728","11,905"
"13","[M]","    REVERSO.NET*","11,738","10,157","8,837","8,687","10,930","12,081","12,215","11,476","11,974","11,480","12,591","11,900","11,893","10,514","10,245"
"14","[M](U)","    HOWSTUFFWORKS.COM*","12,975","11,247","10,913","12,507","13,385","15,697","14,959","12,663","14,414","13,137","13,532","12,425","11,979","10,409","10,172"
"15","[M]","    ICIBA.COM","6,154","5,896","5,637","5,957","6,627","6,651","7,075","7,109","6,666","5,179","7,421","9,930","10,037","8,982","9,859"
"16","[P]","    LAWTIME.CN","1,204","1,517","2,523","3,352","3,527","3,698","3,775","4,501","5,286","3,129","5,476","7,896","8,787","8,171","9,834"
"17","[P]","    BIBLEGATEWAY.COM","5,572","5,202","4,804","5,110","5,698","5,778","5,508","5,685","5,957","5,927","6,599","6,441","6,299","5,578","5,712"
"18","[C]","    SCIENCEDIRECT.COM","7,198","4,893","4,291","4,135","5,675","7,343","7,075","6,261","6,729","6,050","7,359","7,372","6,658","5,347","5,444"
"19","[P](U)","    WISEGEEK.COM","9,102","7,254","6,659","7,742","8,767","10,563","10,642","10,608","12,859","13,201","13,402","10,573","7,333","5,862","5,437"
"20","[M](U)","    Demand Media Network","7,040","5,494","5,392","5,769","6,519","6,765","5,953","5,131","5,741","5,334","5,551","5,381","4,800","4,594","4,396"
"21","[P]","    DICT.CC","4,432","3,969","3,872","3,807","3,960","3,635","3,828","3,650","4,325","4,427","4,726","4,583","4,525","4,379","4,153"
"22","[C](u)","    Yahoo! Dictionary","7,457","6,826","6,825","6,478","6,424","6,519","5,881","4,875","4,988","4,327","4,643","3,768","3,795","3,805","4,097"
"23","[P]","    LEXILOGOS.COM","5,509","4,942","4,308","3,873","4,195","4,265","4,277","4,428","4,343","3,908","4,105","3,817","4,117","3,706","3,901"
"24","[P]","    5156EDU.COM","1,662","1,776","1,573","1,712","1,897","2,114","2,268","2,199","2,159","1,486","2,438","3,777","4,211","3,652","3,811"
"25","[P]","    CONSUMERREPORTS.ORG","2,411","2,288","2,300","2,770","2,918","3,141","3,702","3,181","3,281","3,015","2,710","2,742","2,817","2,780","3,093"
"26","[P]","    COINMILL.COM","2,251","2,087","2,057","1,897","1,668","1,971","2,309","2,141","2,433","2,473","2,570","2,544","2,717","2,931","3,079"
"27","[M]","    WER-WEISS-WAS.DE","5,687","5,155","5,186","4,904","4,439","4,850","4,802","4,364","5,104","4,273","4,495","3,564","3,316","3,075","2,964"
"28","[C]","    Naver.com Knowledge iN","13,044","11,704","11,097","10,516","10,054","10,090","9,149","8,618","9,424","3,095","2,995","2,757","3,132","2,827","2,449"
"29","[M]","    LAROUSSE.FR","2,465","2,167","1,744","1,793","2,512","3,120","3,225","3,255","3,346","3,303","3,738","3,510","3,633","3,037","2,408"
"30","[C](U)","    ANSWERBAG.COM*","4,753","3,591","3,393","3,905","3,797","4,153","3,937","4,056","4,405","4,090","4,365","4,170","3,140","2,436","2,364"
"31","[P](U)","    POEMHUNTER.COM","3,344","2,505","2,216","2,264","2,706","3,340","3,271","3,111","3,417","3,672","3,609","3,791","3,640","2,724","2,344"
"32","[P]","    IXL.COM","3,133","2,545","2,451","2,317","3,075","3,658","3,692","2,760","3,601","3,424","3,386","3,277","3,045","2,326","2,286"
"33","[P]","    SCIELO.BR","2,482","1,864","1,261","1,934","2,217","2,354","2,384","1,491","1,410","2,151","3,343","3,361","3,168","3,001","2,161"
"34","[P]","    UN.ORG","2,699","2,159","1,688","1,821","2,578","2,629","2,802","2,175","2,354","2,184","2,993","2,750","2,720","2,195","1,933"
"35","[P]","    WORLDCAT.ORG","2,179","1,686","1,866","1,641","2,295","2,546","2,455","2,361","2,448","2,512","2,763","2,486","2,187","1,934","1,917"
"36","[P]","    ITUSOZLUK.COM","3,611","3,033","2,661","2,931","2,842","2,652","2,724","2,584","2,552","1,863","1,996","1,979","1,956","1,706","1,914"
"37","[P]","    TRANSLATED.NET","1,347","1,382","1,295","1,317","1,556","1,707","1,932","1,844","2,145","1,821","2,144","2,036","1,967","1,795","1,869"
"38","[P]","    DEFINICION.DE","3,007","2,360","1,655","2,959","3,391","3,680","3,251","1,474","2,099","2,845","2,771","3,113","3,040","2,387","1,701"
"39","[P]","    MIRSOVETOV.RU","2,338","2,173","2,049","2,083","1,980","2,304","2,224","2,373","2,288","2,094","2,267","1,937","1,837","1,751","1,634"
"40","[P]","    ONLINECONVERSION.COM","1,987","1,730","1,513","1,402","1,508","1,618","1,402","1,485","1,660","1,621","1,764","1,993","1,677","1,433","1,629"
"41","[M]","    WEBOPEDIA.COM","1,512","1,329","1,475","1,431","1,773","1,601","1,515","1,314","1,428","1,388","1,678","1,808","1,832","1,622","1,600"
"42","[C]","    Naver.com Dictionary","5,709","5,393","5,145","4,746","4,981","4,367","4,594","4,500","3,807","1,375","1,941","1,915","2,082","1,841","1,563"
"43","[P]","    NOLO.COM","735","648","742","614","692","844","695","949","1,016","998","1,216","1,075","1,170","1,158","1,514"
"44","[P]","    ACRONYMFINDER.COM","1,869","1,788","1,560","1,882","1,873","1,683","1,497","1,347","1,571","1,342","1,528","1,585","1,334","1,223","1,440"
"45","[P]","    ASKMEHELPDESK.COM","2,310","2,766","2,780","2,177","1,982","1,858","1,659","1,455","1,478","1,194","1,389","1,190","1,137","1,073","1,196"
"46","[P]","    SO100.CN","293","724","703","873","943","861","1,062","1,317","1,226","546","1,026","1,572","1,841","1,991","1,180"
"47","[P]","    BIOGRAFIASYVIDAS.COM","2,898","2,102","1,512","2,056","2,663","2,684","2,284","1,068","1,379","1,556","1,914","2,116","2,125","1,459","1,154"
"48","[P]","    BIBLIOTEKAR.RU","2,442","1,851","1,152","1,078","2,135","2,727","2,387","2,670","2,436","2,313","2,581","2,674","2,559","2,069","1,143"
"49","[P]","    TRANSLIT.RU","1,322","1,203","1,205","1,159","1,374","1,500","1,540","1,595","1,364","1,177","1,280","1,148","1,219","1,105","1,141"
"50","[P]","    GUNS.RU","2,135","1,904","1,911","2,047","1,922","2,116","1,957","2,128","2,148","1,808","1,710","691","1,045","1,041","1,136"
"51","[P]","    ARABIC-KEYBOARD.ORG","1,413","1,305","1,148","1,065","1,008","1,185","1,151","1,201","1,241","1,391","1,117","1,239","1,182","1,105","1,083"
"52","[P]","    SERIALSSOLUTIONS.COM","1,136","855","933","978","1,203","1,718","1,558","1,087","1,212","1,460","1,536","1,645","1,200","881","1,072"
"53","[P]","    TURKCEBILGI.COM","2,312","1,407","1,313","1,249","1,660","2,175","2,247","2,004","1,819","1,584","1,915","2,037","1,943","1,228","1,070"
"54","[P]","    PEOPLES.RU","1,884","1,521","1,183","1,045","1,278","1,411","1,320","1,330","1,254","1,209","1,260","1,300","1,303","1,092","1,067"
"55","[P]","    SMARTDRAW.COM","1,184","1,070","1,051","1,056","972","1,250","1,171","929","1,023","998","1,136","1,041","1,093","965","1,015"
"56","[P]","    CALEND.RU","1,475","1,349","1,048","1,187","1,528","1,577","1,515","1,150","1,155","1,169","1,186","1,219","1,280","1,222","1,009"
"57","[P]","    TURNITIN.COM","2,427","1,387","932","1,551","2,852","3,660","3,316","2,971","2,370","2,941","3,668","3,882","3,391","1,653","1,007"
"58","[P](U)","    ALTALEX.COM","369","863","812","538","824","977","968","817","984","864","902","874","861","823","996"
"59","[P]","    KLERK.RU","1,186","991","997","895","937","1,203","1,108","1,212","1,429","1,311","1,362","1,423","1,137","1,058","991"
"60","[P]","    THINKEXIST.COM","5,355","4,694","3,721","3,577","3,728","3,457","2,881","2,625","2,353","2,206","2,286","2,007","1,698","1,316","976"
"61","[P]","    ALC.CO.JP","1,230","1,215","1,205","984","1,039","1,025","970","990","1,059","890","888","870","1,027","911","964"
"62","[P]","    BOOKZ.RU","1,252","1,255","1,169","1,154","1,313","1,375","1,257","1,222","1,378","1,327","1,331","1,239","1,125","1,017","958"
"63","[P]","    PHRASES.ORG.UK","979","984","854","944","913","1,080","698","974","1,055","1,075","1,010","1,070","988","918","915"
"64","[P]","    QUECHOISIR.ORG","512","637","593","507","628","861","774","788","648","862","786","702","647","663","865"
"65","[P]","    Farlex.com Sites","1,317","939","815","3,306","867","891","822","888","892","1,220","1,545","1,780","1,180","768","863"
"66","[P]","    ArticlesBase.com Sites","1,553","1,325","1,037","1,221","1,354","1,379","1,385","1,064","1,086","1,222","1,593","1,464","1,226","956","857"
"67","[P]","    MOREWORDS.COM","825","698","657","567","784","909","920","881","1,120","979","1,126","1,091","981","869","853"
"68","[P]","    EMERALDINSIGHT.COM","982","670","577","718","903","1,213","1,217","1,085","926","853","1,211","1,030","989","764","823"
"69","[M]","    QUIBBLO.COM","1,511","1,370","1,479","1,341","1,414","1,211","1,102","999","992","754","1,043","1,862","802","662","789"
"70","[P]","    BUSINESSBALLS.COM","1,065","842","676","673","778","877","774","924","975","700","840","771","817","733","787"
"71","[P]","    123HELPME.COM","1,903","1,066","701","741","1,426","1,757","1,899","1,442","1,282","1,522","1,901","1,744","1,556","864","760"
"72","[P]","    DEXONLINE.RO","822","728","601","583","757","897","886","821","950","948","1,017","950","948","884","739"
"73","[P]","    MIJNWOORDENBOEK.NL","1,205","1,105","914","781","1,141","1,165","1,187","1,222","1,266","1,032","1,174","1,091","1,239","1,160","730"
"74","[P]","    HONEYWELL.COM","659","539","698","533","609","807","553","656","771","720","757","625","728","702","709"
"75","[P]","    THAIGOODVIEW.COM","910","1,136","1,246","1,038","1,159","690","1,002","974","1,139","880","488","325","513","709","692"
"76","[P]","    QURANEXPLORER.COM","526","539","682","565","341","358","351","369","420","358","423","431","395","363","684"
"77","[P]","    VDICT.COM","956","856","847","845","774","798","696","592","689","500","710","661","643","595","682"
"78","[P]","    PWN.PL","1,106","954","592","573","933","1,112","1,088","981","1,250","1,004","1,056","1,060","1,106","1,054","682"
"79","[P]","    ENGLISCH-HILFEN.DE","1,318","964","598","603","1,008","1,106","1,221","1,125","1,054","1,115","1,194","1,213","1,304","1,008","665"
"80","[P]","    SLD.CU","1,592","1,156","894","971","988","1,181","1,112","721","736","859","928","1,059","1,025","808","653"
"81","[P]","    AIES.CN","185","162","207","234","274","292","293","327","337","250","330","468","529","483","641"
"82","[C]","    LIBRARYTHING.COM","438","525","356","546","486","528","502","421","497","552","624","628","553","591","637"
"83","[P]","    OMNIGLOT.COM","650","682","588","552","605","703","667","768","740","655","816","760","675","674","621"
"84","[P]","    ANGLAISFACILE.COM","1,686","1,276","835","665","1,241","1,329","1,247","1,208","1,366","1,281","1,116","1,129","1,104","1,023","614"
"85","[P](u)","    QUESTIA.COM","1,102","751","587","563","812","910","935","698","736","1,007","1,081","1,116","839","623","603"
"86","[P]","    VERTALEN.NU","811","785","627","632","720","797","752","802","791","688","827","718","766","820","598"
"87","[P]","    INGENTACONNECT.COM","579","511","616","516","556","714","617","697","569","792","863","815","651","574","569"
"88","[P]","    ALDEBARAN.RU","1,123","1,058","1,049","1,046","989","1,049","997","884","1,140","861","815","703","669","594","566"
"89","[P]","    BNF.FR","706","458","427","481","581","813","810","835","866","740","812","768","808","639","566"
"90","[P]","    REPEC.ORG","508","430","431","428","494","783","660","649","691","563","704","775","734","567","541"
"91","[P]","    SOZLUK.NET","820","644","572","547","678","732","777","763","879","685","806","683","773","521","530"
"92","[P]","    NOTAIRES.FR","262","295","305","243","392","400","406","279","358","344","448","293","598","339","492"
"93","[P]","    SACRED-TEXTS.COM","483","429","482","485","503","552","511","556","499","509","491","521","521","485","481"
"94","[P]","    GOGEN-ALLGUIDE.COM","575","600","644","640","667","596","601","551","706","498","583","517","508","637","478"
"95","[P]","    POETS.ORG","665","428","317","359","485","585","603","616","583","639","768","829","671","439","469"
"96","[P]","    SCIELO.CL","1,084","759","635","668","829","861","877","556","505","463","607","721","729","607","469"
"97","[P]","    OCLC.ORG","325","259","336","342","441","422","371","407","504","631","711","510","538","511","442"
"98","[P]","    ENGLISHPAGE.COM","723","684","408","439","673","805","837","644","639","751","755","855","764","614","426"
"99","[P]","    MANSIONINGLES.COM","545","505","385","360","432","539","475","322","349","463","351","419","534","418","426"
"100","[P]","    ENERGYGUIDE.COM","769","879","998","910","926","830","841","736","934","587","418","472","409","304","425"
"101","[P]","    STROYPORTAL.RU","455","475","469","508","467","482","454","428","431","468","470","415","368","332","422"
"102","[P]","    ONELOOK.COM","420","306","382","300","459","430","491","406","395","342","414","312","447","450","419"
"103","[P]","    ACTUALICESE.COM","750","545","521","441","407","470","429","304","446","478","503","583","574","397","418"
"104","[P]","    SYNONYMES.COM","856","641","473","453","697","684","823","640","697","841","839","805","797","726","411"
"105","[P]","    BIREME.BR","364","261","169","242","309","314","317","171","166","264","402","527","574","528","406"
"106","[P]","    ZARGAN.COM","777","632","579","576","645","770","782","799","745","627","710","660","697","632","401"
"107","[P]","    LEXICOOL.COM","394","342","304","265","336","354","331","334","342","265","318","278","322","290","377"
"108","[P]","    DICOCITATIONS.COM","1,101","882","622","639","700","531","552","755","630","530","515","439","427","405","376"
"109","[P]","    TRADUCEGRATIS.COM","826","756","733","659","759","748","818","647","655","514","652","589","556","454","369"
"110","[P]","    STARS21.COM","519","486","463","375","417","584","457","497","439","360","395","342","354","338","352"
"111","[P]","    USHISTORY.ORG","452","436","291","355","597","840","662","608","625","609","572","612","597","410","351"
"112","[P]","    NYPL.ORG","334","254","367","273","312","306","268","325","353","240","265","321","269","328","346"
"113","[P]","    ALA.ORG","297","278","242","160","260","300","277","244","373","299","376","372","229","217","338"
"114","[M]","    CODEGURU.COM","828","570","556","465","472","620","468","507","408","413","507","442","460","382","337"
"115","[P]","    BrainPOP","1,122","578","336","697","1,205","1,489","1,249","1,135","1,179","1,349","1,335","1,347","1,357","578","331"
"116","[P]","    KDD.CC","208","245","205","229","244","199","259","281","229","154","265","318","401","352","317"
"117","[P]","    TRANSLATE.PL","804","629","502","468","587","639","532","446","532","481","472","420","380","384","317"
"118","[P]","    WEBELEMENTS.COM","345","364","168","245","675","858","820","506","665","604","575","531","480","437","302"
"119","[P]","    EVERYTHING2.COM","423","356","393","322","276","324","290","314","380","348","429","455","305","287","291"
"120","[P]","    MORFIX.CO.IL","3","5","44","340","337","354","364","349","309","230","265","297","253","271","281"
"121","[P]","    WISSEN.DE","338","244","201","145","247","349","392","370","562","521","499","532","508","504","278"
"122","[P]","    CALCULATOR.COM","230","121","133","106","129","203","234","173","307","260","293","295","378","191","278"
"123","[P]","    PSICOLOGIA-ONLINE.COM","466","416","261","313","353","374","341","200","267","300","365","392","335","262","256"
"124","[P]","    CUCUMIS.ORG","167","175","206","150","149","180","179","174","158","157","160","176","149","156","250"
