"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: August 2011 - October 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/19/2012","","","","","",""

"","","","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012"
"","","    Total Internet : Total Audience ","1,411,178","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410"
"1","[P](u)","    Wikimedia Foundation Sites","422,779","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364"
"2","[C](U)","    Yahoo! Answers","245,508","257,017","256,433","256,005","247,060","255,897","250,048","257,704","247,396","248,834","241,753","231,699","285,149","290,423","309,347"
"3","[C]","    Baidu Answers","119,436","124,415","132,966","129,312","130,243","135,923","145,462","159,364","150,837","147,236","151,130","162,873","163,402","158,907","163,801"
"4","[P](U)","    Answers.com Sites","69,164","79,301","77,203","76,924","70,652","80,319","81,167","84,201","83,222","89,732","80,433","75,602","84,121","93,320","100,413"
"5","[C]","    Baidu Encyclopedia","73,551","76,002","84,184","79,460","80,078","83,530","99,302","102,442","95,174","92,660","93,376","99,357","98,440","91,891","97,166"
"6","[P](U)","    Wikia Sites","40,031","40,340","44,585","47,134","47,619","50,086","47,809","50,647","48,711","50,808","50,505","50,541","52,108","53,111","59,358"
"7","[C]","    SINA iAsk","37,576","41,210","44,618","43,467","47,024","46,355","49,887","49,259","37,429","33,053","35,169","40,080","39,639","42,383","47,115"
"8","[P](U)","    WORDREFERENCE.COM","13,716","16,344","17,806","17,349","14,229","15,671","16,464","17,733","16,573","18,354","15,998","24,285","25,495","29,422","32,623"
"9","[C]","    Goo Teaching","23,278","23,847","24,605","24,999","23,869","25,084","23,966","25,802","23,964","25,072","24,349","25,400","25,617","25,350","24,148"
"10","[P](u)","    Encyclopaedia Britannica","14,344","18,622","20,490","19,269","17,262","18,604","18,661","18,685","16,951","16,757","14,168","13,292","14,706","17,690","20,648"
"11","[M](U)","    HOWSTUFFWORKS.COM*","12,040","14,225","14,149","13,881","12,250","14,037","13,631","13,628","12,406","12,975","11,247","10,913","12,507","13,385","15,697"
"12","[P]","    URBANDICTIONARY.COM","12,734","12,676","14,089","14,566","14,666","14,705","14,138","13,170","13,240","14,082","14,240","13,934","13,917","14,118","14,129"
"13","[M]","    REVERSO.NET*","7,206","9,617","11,031","10,885","10,198","11,490","11,326","11,705","10,985","11,738","10,157","8,837","8,687","10,930","12,081"
"14","[P](U)","    WISEGEEK.COM","7,396","8,451","8,503","7,797","6,660","7,700","7,688","8,055","7,719","9,102","7,254","6,659","7,742","8,767","10,563"
