"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: September 2011 - November 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/18/2012","","","","","",""

"","","","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012"
"","","    Total Internet : Total Audience ","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555"
"1","[P]","    Wikimedia Foundation Sites","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489"
"2","[C](U)","    Yahoo! Answers","257,017","256,433","256,005","247,060","255,897","250,048","257,704","247,396","248,834","241,753","231,699","285,149","290,423","309,347","306,205"
"3","[C]","    Baidu Answers","124,415","132,966","129,312","130,243","135,923","145,462","159,364","150,837","147,236","151,130","162,873","163,402","158,907","163,801","162,524"
"4","[C]","    Baidu Encyclopedia","76,002","84,184","79,460","80,078","83,530","99,302","102,442","95,174","92,660","93,376","99,357","98,440","91,891","97,166","100,417"
"5","[P](U)","    Answers.com Sites","79,301","77,203","76,924","70,652","80,319","81,167","84,201","83,222","89,732","80,433","75,602","84,121","93,320","100,413","96,951"
"6","[P](U)","    Wikia Sites","40,340","44,585","47,134","47,619","50,086","47,809","50,647","48,711","50,808","50,505","50,541","52,108","53,111","59,358","59,266"
"7","[C]","    SINA iAsk","41,210","44,618","43,467","47,024","46,355","49,887","49,259","37,429","33,053","35,169","40,080","39,639","42,383","47,115","50,160"
"8","[P](U)","    WORDREFERENCE.COM","16,344","17,806","17,349","14,229","15,671","16,464","17,733","16,573","18,354","15,998","24,285","25,495","29,422","32,623","31,470"
"9","[C]","    Goo Teaching","23,847","24,605","24,999","23,869","25,084","23,966","25,802","23,964","25,072","24,349","25,400","25,617","25,350","24,148","23,990"
"10","[P](u)","    Encyclopaedia Britannica","18,622","20,490","19,269","17,262","18,604","18,661","18,685","16,951","16,757","14,168","13,292","14,706","17,690","20,648","19,831"
"11","[M](U)","    HOWSTUFFWORKS.COM*","14,225","14,149","13,881","12,250","14,037","13,631","13,628","12,406","12,975","11,247","10,913","12,507","13,385","15,697","14,959"
"12","[P]","    URBANDICTIONARY.COM","12,676","14,089","14,566","14,666","14,705","14,138","13,170","13,240","14,082","14,240","13,934","13,917","14,118","14,129","14,034"
"13","[M]","    REVERSO.NET*","9,617","11,031","10,885","10,198","11,490","11,326","11,705","10,985","11,738","10,157","8,837","8,687","10,930","12,081","12,215"
"14","[P](U)","    WISEGEEK.COM","8,451","8,503","7,797","6,660","7,700","7,688","8,055","7,719","9,102","7,254","6,659","7,742","8,767","10,563","10,642"
"15","[P]","    ARCHIVE.ORG","7,948","7,742","9,133","10,331","11,491","10,531","8,243","7,502","8,583","7,476","8,247","8,813","9,510","9,527","10,258"
"16","[C]","    Naver.com Knowledge iN","16,889","18,049","16,578","16,947","16,776","14,724","13,234","12,766","13,044","11,704","11,097","10,516","10,054","10,090","9,149"
"17","[M]","    ICIBA.COM","5,052","6,377","6,117","6,918","6,637","6,893","6,723","5,601","6,154","5,896","5,637","5,957","6,627","6,651","7,075"
"18","[C]","    SCIENCEDIRECT.COM","3,407","3,903","4,165","4,134","4,211","4,844","6,355","7,261","7,198","4,893","4,291","4,135","5,675","7,343","7,075"
"19","[M](U)","    Demand Media Network","7,105","7,476","6,637","5,632","6,272","6,187","6,524","6,211","7,040","5,494","5,392","5,769","6,519","6,765","5,953"
"20","[C](U)","    Yahoo! Dictionary","9,018","9,533","9,190","8,613","8,595","7,985","8,024","7,370","7,457","6,826","6,825","6,478","6,424","6,519","5,881"
"21","[P]","    BIBLEGATEWAY.COM","4,709","4,896","4,830","4,561","5,280","5,429","5,238","5,334","5,572","5,202","4,804","5,110","5,698","5,778","5,508"
"22","[M]","    WER-WEISS-WAS.DE","4,830","4,968","5,042","4,536","5,053","4,889","5,198","5,130","5,687","5,155","5,186","4,904","4,439","4,850","4,802"
"23","[C]","    Naver.com Dictionary","6,685","7,565","7,275","6,897","6,069","5,082","5,100","5,294","5,709","5,393","5,145","4,746","4,981","4,367","4,594"
"24","[P]","    LEXILOGOS.COM","5,008","4,913","4,937","5,164","5,524","5,208","5,583","5,161","5,509","4,942","4,308","3,873","4,195","4,265","4,277"
"25","[C](U)","    ANSWERBAG.COM*","3,746","3,349","3,141","2,974","3,296","3,699","4,523","4,270","4,753","3,591","3,393","3,905","3,797","4,153","3,937"
"26","[P]","    DICT.CC","3,688","3,649","4,056","3,941","4,153","4,052","3,814","3,992","4,432","3,969","3,872","3,807","3,960","3,635","3,828"
"27","[P]","    LAWTIME.CN","2,496","2,475","2,633","2,846","2,584","3,111","2,384","2,358","1,204","1,517","2,523","3,352","3,527","3,698","3,775"
"28","[P]","    CONSUMERREPORTS.ORG","2,011","2,234","2,949","2,520","2,413","2,302","2,448","2,163","2,411","2,288","2,300","2,770","2,918","3,141","3,702"
"29","[P]","    IXL.COM","3,027","4,515","4,540","2,973","4,572","4,634","4,533","3,552","3,133","2,545","2,451","2,317","3,075","3,658","3,692"
"30","[P]","    TURNITIN.COM","1,833","2,392","2,281","1,722","1,734","2,240","2,949","2,564","2,427","1,387","932","1,551","2,852","3,660","3,316"
"31","[P](U)","    POEMHUNTER.COM","2,160","2,483","2,603","2,700","3,011","3,238","3,141","2,966","3,344","2,505","2,216","2,264","2,706","3,340","3,271"
"32","[P]","    DEFINICION.DE","3,198","2,992","2,405","1,133","1,681","2,509","3,001","2,415","3,007","2,360","1,655","2,959","3,391","3,680","3,251"
"33","[M]","    LAROUSSE.FR","1,609","1,779","1,794","1,980","2,098","2,394","2,346","2,366","2,465","2,167","1,744","1,793","2,512","3,120","3,225"
"34","[P]","    THINKEXIST.COM","6,332","6,156","5,651","5,388","5,716","5,809","5,457","5,079","5,355","4,694","3,721","3,577","3,728","3,457","2,881"
"35","[P]","    UN.ORG","2,299","2,457","2,773","1,949","1,931","2,502","2,805","2,187","2,699","2,159","1,688","1,821","2,578","2,629","2,802"
"36","[P]","    WOXIKON.DE","1,842","2,288","2,244","2,094","2,253","2,108","2,123","2,140","2,305","2,349","2,101","2,133","2,459","2,543","2,782"
"37","[P]","    SPISHY.RU","1,498","1,455","1,450","1,542","1,362","1,534","1,524","1,845","1,612","282","125","259","2,970","2,899","2,773"
"38","[P]","    ITUSOZLUK.COM","3,104","3,072","3,263","3,543","3,892","3,216","3,418","3,422","3,611","3,033","2,661","2,931","2,842","2,652","2,724"
"39","[P]","    WORLDCAT.ORG","1,897","2,202","2,218","2,052","2,167","2,489","2,491","2,315","2,179","1,686","1,866","1,641","2,295","2,546","2,455"
"40","[P]","    BIBLIOTEKAR.RU","1,806","2,335","2,467","2,222","2,130","1,900","2,131","2,039","2,442","1,851","1,152","1,078","2,135","2,727","2,387"
"41","[P]","    SCIELO.BR","2,736","2,858","3,141","2,150","2,100","2,344","3,522","2,342","2,482","1,864","1,261","1,934","2,217","2,354","2,384"
"42","[P]","    COINMILL.COM","2,815","2,870","3,018","2,745","2,894","2,067","2,289","1,930","2,251","2,087","2,057","1,897","1,668","1,971","2,309"
"43","[P]","    BIOGRAFIASYVIDAS.COM","2,628","2,880","2,471","1,206","1,829","2,266","2,740","2,420","2,898","2,102","1,512","2,056","2,663","2,684","2,284"
"44","[P]","    5156EDU.COM","1,639","1,683","1,511","2,017","1,361","1,903","1,879","1,772","1,662","1,776","1,573","1,712","1,897","2,114","2,268"
"45","[P]","    TURKCEBILGI.COM","2,623","3,206","2,689","2,655","2,310","2,243","2,643","2,616","2,312","1,407","1,313","1,249","1,660","2,175","2,247"
"46","[P]","    MIRSOVETOV.RU","1,894","2,275","2,390","2,479","2,630","2,474","2,704","2,242","2,338","2,173","2,049","2,083","1,980","2,304","2,224"
"47","[P]","    DUDEN.DE","1,125","1,205","1,346","1,222","1,543","1,433","1,618","1,406","1,568","1,722","1,585","1,619","2,005","2,181","2,208"
"48","[P]","    GUNS.RU","1,772","2,040","2,089","2,095","2,235","2,362","2,438","2,202","2,135","1,904","1,911","2,047","1,922","2,116","1,957"
"49","[P]","    TRANSLATED.NET","1,013","1,045","1,146","951","1,159","1,059","1,158","1,067","1,347","1,382","1,295","1,317","1,556","1,707","1,932"
"50","[P]","    123HELPME.COM","1,323","1,665","1,789","1,366","1,318","1,647","1,829","1,651","1,903","1,066","701","741","1,426","1,757","1,899"
"51","[P]","    ASKMEHELPDESK.COM","1,339","2,520","2,260","1,944","2,079","2,083","2,087","2,354","2,310","2,766","2,780","2,177","1,982","1,858","1,659"
"52","[P]","    SERIALSSOLUTIONS.COM","891","1,061","1,058","863","1,071","1,156","1,466","1,451","1,136","855","933","978","1,203","1,718","1,558"
"53","[P]","    TRANSLIT.RU","1,160","1,196","1,232","1,322","1,417","1,490","1,468","1,408","1,322","1,203","1,205","1,159","1,374","1,500","1,540"
"54","[P]","    CALEND.RU","1,279","1,272","1,626","1,221","1,351","1,524","1,347","1,768","1,475","1,349","1,048","1,187","1,528","1,577","1,515"
"55","[M]","    WEBOPEDIA.COM","1,442","1,557","1,484","1,192","1,563","1,618","1,525","1,569","1,512","1,329","1,475","1,431","1,773","1,601","1,515"
"56","[P]","    ACRONYMFINDER.COM","1,253","1,538","1,474","1,473","1,738","1,715","1,731","1,852","1,869","1,788","1,560","1,882","1,873","1,683","1,497"
"57","[P]","    SPRINGERLINK.COM","3,394","3,896","3,861","3,360","3,629","3,748","4,057","4,312","4,326","3,222","2,512","2,639","2,968","3,036","1,473"
"58","[P]","    SLOVO.WS","826","656","622","879","779","883","776","979","966","142","64","143","1,776","1,739","1,466"
"59","[P]","    ONLINECONVERSION.COM","1,827","1,779","1,721","1,640","1,892","2,169","1,959","1,601","1,987","1,730","1,513","1,402","1,508","1,618","1,402"
"60","[P]","    ArticlesBase.com Sites","1,200","1,226","1,262","931","1,005","985","1,366","1,327","1,553","1,325","1,037","1,221","1,354","1,379","1,385"
"61","[P]","    PEOPLES.RU","1,235","1,419","1,500","1,834","1,878","1,801","2,176","2,039","1,884","1,521","1,183","1,045","1,278","1,411","1,320"
