"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: January 2013 - March 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 4/23/2014","","","","","",""

"","","","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014","Mar-2014"
"","","    Total Internet : Total Audience ","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029","1,596,237","1,604,290","1,611,886","1,619,952","1,627,086","1,632,535","1,627,681","1,748,563"
"1","[P]","    Wikimedia Foundation Sites","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471","532,699","490,200","495,362","474,139","495,184"
"2","[C](U)","    Yahoo Answers","313,515","303,340","313,820","313,754","313,857","290,174","293,825","300,342","288,513","301,283","288,763","272,759","276,609","268,497","289,805"
"3","[C]","    Baidu Answers","162,348","141,707","162,379","215,038","219,083","210,828","214,863","213,025","207,867","196,782","187,515","188,973","169,733","169,719","226,666"
"4","[C]","    Baidu Encyclopedia","99,365","85,217","105,082","145,171","147,479","139,603","144,890","142,928","133,318","129,860","126,949","129,231","113,406","115,976","161,755"
"5","[P](U)","    Answers.com Sites","93,216","89,943","101,728","105,285","102,123","88,239","83,207","84,651","86,668","87,438","74,879","79,089","76,259","80,695","89,132"
"6","[P](U)","    Wikia Sites","62,446","54,423","57,337","58,647","60,192","58,364","60,141","61,440","62,069","68,656","69,796","64,367","64,592","59,321","63,660"
"7","[C]","    SINA iAsk","47,339","37,151","47,746","65,642","66,588","60,458","65,437","65,410","62,186","61,161","57,025","53,902","44,619","46,819","63,319"
"8","[P](U)","    WORDREFERENCE.COM","29,938","31,250","34,517","36,020","36,206","31,727","29,009","28,883","30,817","37,587","35,924","27,074","27,225","28,813","28,296"
"9","[P](u)","    Encyclopaedia Britannica","22,007","22,394","23,714","23,254","22,339","18,437","17,614","17,564","20,878","23,976","23,040","19,210","19,605","19,471","21,859"
"10","[C]","    Goo Teaching","24,918","22,713","23,613","22,034","23,014","22,056","22,154","21,018","20,041","19,037","17,626","17,533","18,508","16,785","17,356"
"11","[M]","    REVERSO.NET*","11,974","11,480","12,591","11,900","11,893","10,514","10,245","9,843","11,930","13,986","13,583","12,475","13,562","12,473","12,519"
"12","[M](U)","    HOWSTUFFWORKS.COM*","14,414","13,137","13,532","12,425","11,979","10,409","10,172","10,826","11,672","13,241","12,793","10,560","11,197","10,253","12,099"
"13","[P]","    ARCHIVE.ORG","11,655","10,617","11,441","11,811","11,677","11,728","11,905","11,344","11,130","11,506","11,528","11,618","12,220","11,305","12,069"
"14","[P]","    LAWTIME.CN","5,286","3,129","5,476","7,896","8,787","8,171","9,834","8,987","7,931","8,032","7,245","8,929","6,835","7,184","11,553"
"15","[P]","    URBANDICTIONARY.COM","15,056","14,227","16,382","15,735","15,660","14,774","15,595","14,701","14,221","15,433","15,305","12,864","12,509","10,735","11,263"
"16","[M]","    ICIBA.COM","6,666","5,179","7,421","9,930","10,037","8,982","9,859","9,459","8,839","8,676","8,800","8,467","6,080","6,767","9,947"
"17","[C]","    SCIENCEDIRECT.COM","6,729","6,050","7,359","7,372","6,658","5,347","5,444","5,185","6,408","7,605","7,190","6,098","5,811","6,705","7,700"
"18","[P]","    BIBLEGATEWAY.COM","5,957","5,927","6,599","6,441","6,299","5,578","5,712","6,153","6,588","6,535","6,767","5,765","6,066","5,890","6,736"
"19","[P](U)","    WISEGEEK.COM","12,859","13,201","13,402","10,573","7,333","5,862","5,437","4,813","5,374","6,187","5,943","5,100","5,474","5,305","5,929"
"20","[M]","    LAROUSSE.FR","3,346","3,303","3,738","3,510","3,633","3,037","2,408","2,456","3,490","4,428","4,617","4,445","4,673","4,819","5,612"
"21","[P]","    5156EDU.COM","2,159","1,486","2,438","3,777","4,211","3,652","3,811","3,412","4,160","3,940","3,831","4,124","2,905","3,245","5,093"
