"MEDIA TREND REPORT","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: All Locations","","","","","","(c)2009 comScore, Inc"
"","","","Time Period :: August 2008 - October 2009","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/28/2009","","","","","",""

"","","","Aug-2008","Sep-2008","Oct-2008","Nov-2008","Dec-2008","Jan-2009","Feb-2009","Mar-2009","Apr-2009","May-2009","Jun-2009","Jul-2009","Aug-2009","Sep-2009","Oct-2009",
"","","    Total Internet : Total Audience ","960197.710262834","971945.356706592","984395.826294133","996304.186347561","1007729.81860618","1020582.44278524","1078911.08635968","1092598.40882481","1108030.9458575","1122330.92527274","1135655.52350335","1151380.73736206","1165193.68774526","1179318.23663022","1190150.95988819",
"1","[P]","    Google Sites","742389.50636387","748539.194637327","753081.18199818","758588.13888237","775980.315335309","771553.007559057","816983.239676272","830662.907302113","845622.755317938","840410.22282364","844245.495249014","853819.724101407","867617.642500262","879175.953021656","891948.998360446",
"2","[P]","    Microsoft Sites","645223.322999373","646071.760592661","639829.149643781","638569.823812533","646915.397793839","632548.405442514","675271.647914319","692478.942155128","690985.683307579","682204.540187859","691361.915115504","701833.782673618","707802.794124945","717909.860943044","732862.094671433",
"3","[P]","    Yahoo! Sites","552202.792302326","555268.640719765","557687.145083702","554145.243832762","562571.191073837","558113.909462185","578479.265699931","594148.991203578","590301.03311566","570250.493168438","581337.102905795","591757.838335354","595982.555972757","602609.777423054","605543.644763853",
"4","[P]","    FACEBOOK.COM","153944.739957967","161121.701664325","181772.389495134","200188.826231782","221790.736343478","236292.190930943","275642.122487932","294674.67459109","307100.66863879","315999.936594925","340011.382468703","369551.029810082","389524.97351596","410952.850296417","430208.903042349",
"5","[P]","    Wikimedia Foundation Sites","248538.911072394","272108.86990226","277207.6531177","280969.054817848","272998.17604537","289810.731922668","300751.439527477","327147.670937932","320042.850437752","317254.958053379","302939.582719941","295484.361601212","307641.427749709","325998.219950234","344563.337769953",
"6","[P]","    AOL LLC","268064.681369824","264196.028902325","267782.601797355","268312.474572626","273019.900454274","271016.248036263","276793.340047344","285516.951895221","290751.438564329","286825.592772437","279555.543783968","268382.654149661","260546.620380393","255088.13834679","258391.658955247",
"7","[P]","    eBay","233263.116388744","228805.285050594","233044.330808316","233173.32386531","240947.402037945","231551.506028518","234560.494700509","250155.800614224","246146.758179104","238147.630294216","233483.266979682","236818.723532804","243334.566277701","239633.702353817","243460.64673806",
"8","[P]","    Amazon Sites","156750.094821306","156720.496932829","159807.117314683","169903.207071481","187353.865939655","188202.006894928","183002.729162552","194927.843266853","192441.333438375","188601.84865658","185035.212079945","197306.208789825","200671.324995198","201903.852503201","212204.203426558",
"9","[P]","    Ask Network","138044.600863857","144689.351916714","153488.415477459","160489.296033971","164513.492596745","164190.623585786","164566.160991339","172551.979967465","169915.644040763","171612.533035182","173765.935330407","191752.302479852","189937.40227509","207555.10268701","209778.520502892",
"10","[P]","    CBS Interactive","172894.922690556","174197.609939153","174183.25368278","171724.352089544","178843.705449949","180319.157441068","185641.670246256","202560.045099691","192200.194219534","185351.245347975","185679.000208827","195694.855564081","194036.025485512","195793.800743179","201899.166661943",
"11","[P]","    Apple Inc.","142011.28858458","143583.46684766","145753.429834564","147927.7119082","161499.646762831","157638.943771112","158271.876873648","170395.052926281","167911.803769912","166754.070614427","173022.286700806","177227.078672546","176467.562502725","183162.6179613","187990.63620531",
"12","[P]","    Fox Interactive Media","167956.032682666","165265.091515843","169074.764247884","168475.103290706","172841.426588352","173366.107460764","175275.657210888","183136.982394439","179562.978634324","177339.611301312","169831.403703417","170108.61439103","164611.759822854","168676.886219005","166036.13902838",
"13","[P]","    Baidu.com Inc.","137393.844584596","143754.363580326","149514.17621891","148747.921765635","152446.568361794","147418.884963699","147588.933687737","147281.189409805","147447.089126077","152086.644709309","148321.658924016","145361.417483515","145573.073077133","147471.763729774","152489.867725155",
"14","[P]","    WordPress","103296.395092797","110745.48165436","112763.878118432","115123.448510868","117154.717157291","120191.522944373","126167.923954718","144111.351686719","143042.076135135","145981.202975205","137298.657043298","140138.795283252","137478.348506725","141230.56397842","151763.551356981",
"15","[P]","    TENCENT Inc.","139113.484141808","147993.114782723","155708.037337193","157213.00208336","158616.746207838","156047.230769749","155603.292715421","154583.346550981","154477.78520882","148169.279709648","152191.94865572","146397.973915314","145701.020262101","149802.564604258","151019.122337708",
"16","[P]","    Adobe Sites","110116.157039999","123382.959572868","127977.080517246","124739.595883204","123622.96840224","127542.652014159","127086.838037115","140949.819418167","134269.624584747","132616.537476323","145847.447674652","148608.340831896","148378.294588517","150206.422539308","149878.045637511",
"17","[P]","    The Mozilla Organization","83853.036101379","100243.88714374","77620.293313431","102559.221547643","114337.513304818","82643.1907740229","128380.335472256","153829.803398876","152228.829625633","113431.384052679","137198.367308682","138865.531728822","161892.8736612","155888.931236405","135901.616915493",
"18","[P]","    Glam Media","75251.8009980563","88296.2354268163","97588.5558486295","95165.6597496567","110577.353654078","103134.365228192","102197.924088118","108823.924731632","110811.407485842","117662.607899169","110407.925963077","114546.529332604","112687.633073466","125516.41263071","134384.614732163",
"19","[P]","    SINA Corporation","115004.363393693","109480.51142119","110930.741944658","110509.298183456","112374.907934356","109486.569618435","111460.251495143","111761.373499816","111114.454208843","98596.1281645228","100273.805681195","101584.206539508","108467.287331335","106003.575799829","112604.196576012",
"20","[P]","    Alibaba.com Corporation","86085.1134606002","95229.6412978937","85931.2918710628","91244.1275057812","94532.2561036915","82441.3653495042","85617.4086616089","89724.5713989588","84348.5520935883","82438.5989735069","91978.7896935993","96175.3577836738","102480.17281303","104549.230805459","106637.54713786",
"21","[P]","    NetShelter Technology Media","34285.1675472456","45389.1863843059","49572.3253662523","58426.779127575","74173.4241960437","77883.6530411894","83103.1387036013","90672.5363562939","90223.6214278936","90563.9268065059","86665.0097349911","89888.928187292","93643.801447798","97336.5605697876","104929.574177042",
