,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13
    World-Wide,"4,852","5,305","5,481","5,588","5,035","5,711","4,888","5,278","4,943","5,778","5,299","5,184","5,561","6,136","6,649","6,512","6,128","7,027","6,733","6,782","6,486","6,951","6,351","6,176","6,087","6,108","6,378","6,160","6,110","6,623","6,189","7,109","6,799","6,954","6,480","6,260","6,044","5,890","6,379"
    Europe,"1,827","2,154","2,228","2,396","2,168","2,596","2,070","2,222","2,046","2,449","2,191","1,968","2,109","2,369","2,589","2,629","2,476","2,875","2,622","2,538","2,462","2,710","2,413","2,226","2,215","2,300","2,490","2,512","2,474","2,881","2,533","2,789","2,637","2,764","2,481","2,317","2,224","2,273","2,513"
    North America,"1,177","1,239","1,264","1,271","1,214","1,293","1,117","1,163","1,117","1,224","1,192","1,299","1,296","1,420","1,544","1,491","1,548","1,705","1,725","1,676","1,707","1,737","1,622","1,653","1,574","1,573","1,656","1,525","1,660","1,614","1,519","1,903","1,801","1,737","1,659","1,603","1,531","1,450","1,561"
    Asia Pacific,"1,117","1,109","1,133","1,116","1,006","1,134",973,"1,080","1,040","1,236","1,162","1,220","1,310","1,402","1,528","1,422","1,360","1,602","1,482","1,558","1,424","1,510","1,428","1,501","1,452","1,365","1,331","1,246","1,262","1,353","1,237","1,372","1,325","1,417","1,394","1,481","1,394","1,285","1,339"
    United States,996,"1,058","1,067","1,071","1,016","1,058",918,930,886,964,975,"1,078","1,075","1,163","1,241","1,184","1,252","1,360","1,391","1,334","1,362","1,396","1,282","1,331","1,279","1,280","1,339","1,215","1,349","1,299","1,237","1,561","1,467","1,424","1,364","1,324","1,272","1,206","1,289"
    Latin America,468,512,500,515,369,389,439,509,449,521,464,424,570,629,625,617,396,456,539,604,539,607,525,457,503,525,536,497,365,413,580,687,680,681,621,526,575,577,624
    Middle East - Africa,263,290,354,290,278,299,289,305,291,349,290,273,276,316,362,352,347,390,365,407,355,387,363,339,343,343,365,380,349,363,320,358,355,355,326,333,321,304,341
    India,139,147,161,156,155,171,135,137,131,145,154,158,163,165,161,171,163,184,200,212,198,217,233,237,242,219,230,222,236,251,241,272,260,279,293,316,295,261,291
    China,26,25,41,48,39,50,33,26,25,32,30,51,49,89,128,86,99,122,111,129,96,115,50,46,43,31,25,23,23,21,15,21,27,31,28,40,29,25,32
