"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: August 2010 - October 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/28/2011","","","","","",""

"","","","Aug-2010","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011"
"11","[P]","    eBay","222,435","221,574","222,283","229,915","225,280","226,079","211,945","218,809","215,085","225,893","223,520","224,511","230,320","232,945","244,368"
"12","[P]","    Baidu.com Inc.","181,984","184,728","185,318","184,703","185,005","190,956","192,845","202,995","201,227","211,060","215,086","225,898","231,609","237,997","243,226"
"13","[P](U)","    AOL, Inc.","221,158","218,426","232,439","239,205","239,550","243,275","229,394","247,697","237,258","238,860","231,564","227,626","227,538","220,379","224,822"
"14","[P](u)","    WordPress","127,530","136,953","148,133","147,510","137,226","141,605","137,720","149,736","141,917","158,032","150,784","195,181","200,618","213,705","223,343"
"15","[P]","    Sohu.com Inc.","151,068","155,256","157,870","161,682","165,027","172,126","170,043","177,534","178,930","182,179","189,558","195,592","201,164","208,468","212,528"
"16","[P](u)","    Glam Media","186,414","179,892","181,888","197,937","196,886","202,299","194,173","204,134","200,186","213,528","203,630","200,757","202,836","206,764","210,711"
"17","[P](u)","    Viacom Digital","160,606","170,490","172,641","174,084","178,493","184,754","169,803","163,349","175,968","183,431","185,122","182,883","186,754","187,364","195,624"
"18","[P]","    BitTorrent Network","107,261","113,999","123,415","128,354","133,164","137,865","136,015","142,495","145,982","156,067","164,101","172,531","173,435","180,816","193,170"
"19","[P]","    Alibaba.com Corporation","123,509","130,213","133,634","131,631","124,680","124,453","114,887","132,534","144,488","152,501","156,780","164,230","167,517","167,324","184,715"
"20","[P]","    TWITTER.COM","95,915","101,902","104,617","102,980","104,995","113,216","112,229","129,439","123,035","139,213","144,441","146,413","155,968","157,303","166,536"
"21","[P]","    SINA Corporation","114,102","112,464","106,577","106,420","101,202","108,153","104,736","116,166","114,371","125,533","129,116","139,096","137,986","147,155","153,389"
"22","[P]","    Adobe Sites","137,103","144,544","144,307","136,191","131,826","129,903","127,795","160,625","132,567","139,968","135,014","134,096","144,970","147,315","152,887"
"23","[P](u)","    NetShelter Technology Media","133,820","136,347","143,330","151,455","149,696","154,827","142,908","150,348","137,498","139,254","135,513","140,404","142,521","146,239","152,455"
"24","[P](u)","    New York Times Digital","115,427","119,115","125,058","121,865","117,389","123,193","111,113","128,726","107,800","115,279","107,815","108,536","113,033","124,192","137,403"
"25","[P](u)","    Turner Digital","118,324","113,922","123,307","126,889","126,974","132,702","128,958","152,103","136,777","147,542","134,020","130,388","134,007","126,995","128,659"
"26","[P](u)","    Technorati Media","98,485","114,037","113,134","121,197","116,572","121,987","112,730","122,858","118,697","118,362","110,839","107,253","108,087","117,349","122,549"
"27","[C]","    Warner Music","68,644","77,681","84,876","85,514","88,051","85,016","83,853","87,950","85,028","94,673","99,535","102,635","101,308","104,783","113,734"
"28","[P](u)","    Federated Media Publishing","72,958","75,718","78,617","81,664","83,530","82,125","75,948","85,491","85,344","93,250","94,062","93,714","96,838","100,738","102,452"
"29","[P]","    Youku Inc.","83,917","79,111","77,754","70,560","65,829","75,542","71,936","77,425","68,592","77,739","83,037","91,018","86,607","94,225","102,199"
"30","[P](u)","    Terra - Telefonica","74,726","80,507","83,101","82,482","86,936","88,688","85,461","92,590","91,273","93,018","91,737","93,215","97,598","99,592","99,654"
"31","[P]","    MEGAUPLOAD.COM","72,949","75,262","77,778","77,145","83,740","75,388","70,290","75,408","74,894","80,298","80,723","84,151","87,729","88,746","97,402"
"32","[P]","    NetEase.com Inc.","87,344","89,923","83,449","83,249","79,119","79,670","75,825","86,075","80,456","89,643","88,900","93,060","91,763","99,370","97,234"
"33","[P](U)","    DAILYMOTION.COM","70,231","73,519","89,176","83,308","83,224","85,922","92,168","109,601","110,552","114,292","101,929","83,971","85,089","88,764","96,648"
"34","[P]","    The Mozilla Organization","119,782","142,184","152,646","121,534","124,889","95,529","82,655","134,863","100,668","145,477","117,557","112,887","126,894","134,629","96,492"
"35","[P]","    Xunlei Networking","76,929","73,243","70,523","67,566","66,279","73,576","62,518","57,612","49,946","51,057","69,449","78,302","82,408","85,226","94,080"
"36","[P](U)","    Demand Media","92,652","94,233","100,835","105,463","108,409","122,101","116,041","124,125","110,435","103,812","96,467","91,674","98,036","95,438","93,599"
"37","[P](U)","    LINKEDIN.COM","53,438","56,747","59,804","69,656","65,775","74,495","71,524","79,215","74,845","86,074","84,356","82,454","88,172","92,112","92,451"
"38","[P]","    MEDIAFIRE.COM","52,767","53,096","56,561","54,765","55,540","59,252","55,063","59,004","60,504","65,839","66,403","70,062","74,926","78,122","84,086"
"39","[P]","    Tudou Sites","73,979","68,878","65,817","62,761","58,706","63,564","59,870","62,696","58,747","66,498","67,723","77,914","74,838","76,920","82,203"
"40","[P]","    Expedia Inc","84,179","73,686","67,007","63,699","60,770","78,144","72,338","75,452","76,130","80,012","86,378","96,945","90,073","83,120","80,395"
"41","[P]","    Orange Sites","62,807","67,618","67,987","68,421","60,598","63,211","62,162","66,043","66,989","70,685","67,491","63,491","68,846","72,576","79,220"
"42","[P]","    NHN Corporation","36,506","38,656","38,607","38,373","40,054","41,280","39,004","41,727","40,465","42,383","41,891","70,131","74,056","76,868","77,961"
"43","[P]","    4SHARED.COM*","70,301","74,774","78,018","78,626","78,872","79,629","74,007","75,906","76,149","82,695","80,610","81,619","82,142","84,759","77,214"
"44","[P](U)","    Answers.com Sites","68,976","78,510","83,763","95,729","86,847","94,594","91,449","98,716","87,301","88,487","71,866","61,860","69,164","79,301","77,203"
"45","[P]","    BBC Sites","61,535","62,925","65,270","66,155","66,305","67,469","65,659","80,594","71,434","74,281","65,593","67,675","72,209","71,250","77,127"
"46","[P](u)","    Axel Springer AG","28,562","27,652","28,306","28,510","28,843","29,914","27,783","69,817","65,524","56,997","65,630","66,842","67,806","71,500","76,990"
"47","[P](u)","    Break Media","74,178","71,185","78,891","83,010","81,504","83,285","72,279","74,696","70,203","72,789","70,860","68,983","71,597","70,011","72,371"
"48","[P](U)","    ESPN","42,017","60,228","62,087","63,013","61,980","63,027","59,227","75,225","64,948","60,604","59,149","55,383","62,111","75,141","71,555"
"49","[P]","    Rakuten Inc","47,583","46,505","46,377","62,455","59,747","59,608","56,701","57,528","55,379","60,840","57,785","59,031","62,198","63,498","71,032"
"50","[P]","    Sony Online","66,131","64,137","64,202","65,672","69,364","66,393","59,487","63,402","58,923","67,799","66,787","62,537","66,022","66,621","70,878"
"51","[P]","    Yandex Sites","50,559","51,717","53,022","54,283","56,421","57,497","57,163","58,814","58,751","60,543","61,976","64,116","64,632","68,765","70,071"
"52","[P]","    iG Sites","24,393","24,696","24,932","25,134","24,223","24,935","27,185","29,409","29,933","31,237","32,190","29,259","61,505","64,505","67,975"
"53","[M]","    Mail.Ru Sites","47,913","49,926","51,355","52,483","55,853","54,582","53,869","55,574","53,482","54,524","56,654","60,536","60,204","62,938","65,813"
"54","[P]","    Gretech Corp.","19,094","18,635","18,451","51,113","50,193","52,282","49,189","51,251","51,551","54,515","55,496","57,766","59,317","62,969","63,890"
"55","[P](u)","    Weather Channel, The","44,434","43,431","42,183","42,511","50,925","48,627","46,299","42,991","44,322","45,535","44,641","64,950","74,674","65,791","63,513"
"56","[P]","    Real.com Network","62,090","58,169","58,895","61,475","60,894","58,475","50,761","55,748","51,382","59,147","61,792","56,748","53,874","54,950","62,514"
"57","[P]","    Vkontakte","39,372","43,716","47,917","51,443","50,518","54,354","56,703","50,899","51,652","57,869","61,035","63,003","57,553","58,704","61,970"
"58","[M]","    IFENG.COM","35,211","31,831","30,417","29,796","29,586","31,128","29,084","38,379","37,311","49,959","42,687","50,095","51,175","57,212","61,407"
"59","[P]","    PPStream, Inc.","48,514","49,903","54,516","52,879","51,162","57,085","58,746","57,939","57,789","60,718","61,329","61,807","60,906","58,619","59,397"
"60","[P]","    FC2 inc.","44,569","45,778","47,014","46,826","48,028","48,741","46,484","48,382","47,586","50,745","51,493","53,236","56,007","56,994","59,124"
"61","[P]","    Wal-Mart","45,421","44,497","45,407","62,641","63,086","47,430","40,243","40,446","40,750","42,803","44,650","48,053","50,087","49,499","58,072"
"62","[P]","    FILESTUBE.COM","38,984","39,910","45,232","44,945","40,994","40,205","33,075","38,028","41,168","48,563","49,158","48,914","49,354","51,632","57,749"
"63","[P]","    Oak Pacific Interactive Sites","50,666","44,777","42,994","45,710","44,631","47,522","44,751","52,534","59,437","72,664","74,031","71,947","52,969","51,075","57,597"
"64","[P]","    Spil Games","58,612","52,087","50,578","51,869","56,593","55,993","49,898","49,854","50,679","52,057","56,028","59,376","59,091","52,967","57,460"
"65","[P](u)","    Gannett Sites","42,759","47,258","47,713","50,616","47,942","51,387","49,738","54,487","53,589","56,973","53,509","53,985","58,635","55,644","56,690"
"66","[P](u)","    craigslist, inc.","56,452","54,263","53,971","52,499","54,839","57,292","53,339","53,840","51,731","55,182","56,784","57,504","58,985","57,482","56,540"
"67","[P](u)","    Disney Online","44,479","41,768","41,615","44,921","45,011","40,303","37,259","37,539","37,051","42,310","46,272","49,450","48,569","49,744","54,156"
"68","[P]","    Deutsche Telekom","51,535","50,119","49,747","50,328","48,797","49,963","48,264","49,571","47,138","50,472","49,193","49,101","51,673","51,862","54,130"
"69","[P]","    Hewlett Packard","41,111","39,122","44,308","39,734","41,079","41,809","36,404","39,238","37,850","38,699","38,491","41,350","44,352","49,156","53,575"
"70","[P]","    EA Online","34,432","34,036","41,083","36,533","36,487","33,483","32,015","32,960","32,926","32,325","36,168","36,641","38,869","44,440","51,940"
"71","[P](u)","    Alloy Digital Network","40,067","47,533","59,597","68,429","71,181","69,684","44,679","43,569","40,105","37,516","42,761","43,912","43,396","42,628","51,698"
"72","[P](u)","    IDG Network","41,480","43,199","43,879","46,871","45,557","46,569","42,183","42,919","39,909","41,359","42,265","43,137","45,320","45,381","51,583"
"73","[P]","    BABYLON.COM","25,764","28,351","31,559","33,139","35,756","39,205","37,763","42,589","40,310","48,634","49,031","51,396","57,840","63,402","51,413"
"74","[P](u)","    Comcast Corporation","51,979","50,263","51,658","54,542","63,590","61,429","52,936","53,713","53,734","54,476","57,098","55,278","56,174","52,801","51,336"
"75","[P]","    CCM-Benchmark","38,483","39,574","47,296","46,794","45,826","48,420","44,888","44,923","40,384","44,026","42,741","40,028","44,945","46,037","51,155"
"76","[P](u)","    UOL","30,792","31,668","39,997","41,069","41,815","42,541","41,286","44,602","46,072","46,594","47,153","49,845","49,506","50,122","51,153"
"77","[P](U)","    Photobucket.com LLC","54,115","52,821","54,101","59,396","59,041","58,244","52,934","56,592","54,100","54,442","48,309","49,670","51,601","50,258","49,661"
"78","[P]","    OLX Inc.","39,772","41,774","43,062","43,335","38,872","44,671","41,429","45,255","42,336","47,105","45,171","45,834","47,868","46,932","46,699"
"79","[P]","    PPLive Inc.","20,150","19,415","18,740","20,074","18,934","23,016","22,452","23,524","25,008","32,035","29,626","36,738","43,656","43,732","46,375"
"80","[C]","    ODNOKLASSNIKI.RU","26,461","29,090","31,818","39,117","42,754","45,918","37,546","36,058","34,833","35,789","35,939","38,079","42,280","44,118","46,310"
"81","[P](u)","    Globo","27,231","28,038","29,206","28,518","26,215","29,295","29,018","31,260","29,591","29,624","29,574","35,953","39,315","40,559","45,806"
"82","[P]","    Priceline.com Incorporated","40,310","34,305","30,490","28,505","26,852","33,984","34,065","36,281","34,949","40,914","46,751","53,032","49,213","44,955","45,385"
"83","[P](u)","    Monster, Inc.","42,487","47,326","46,444","48,610","43,183","50,463","47,039","49,499","44,671","46,443","45,896","45,180","45,278","43,859","45,369"
"84","[P](u)","    Yellowbook Network","33,167","43,523","49,195","51,299","50,937","37,845","42,742","46,021","34,144","33,263","31,719","31,052","40,889","44,566","45,294"
