"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2011 comScore, Inc"
"","","","Time Period :: August 2010 - October 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/28/2011","","","","","",""

"","","","Aug-2010","Sep-2010","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011"
"162","[P](u)","    Gorilla Nation (Evolve Media Corp)","34,447","36,160","38,328","38,787","37,236","37,566","32,635","30,601","31,698","40,099","37,974","40,806","40,700","31,657","30,867"
"163","[P](u)","    TravelAdNetwork","36,095","33,566","32,565","31,252","31,346","37,893","34,527","37,471","35,005","34,679","34,446","35,012","33,602","32,518","30,569"
"164","[P]","    SLIDESHARE.NET","17,939","22,775","25,010","20,202","12,823","13,792","16,658","18,516","15,866","19,383","17,259","15,186","20,817","26,981","30,514"
"165","[P]","    Vodafone Group","26,051","27,638","25,559","26,812","26,951","27,833","25,550","26,669","23,697","26,755","25,862","27,271","28,573","27,345","30,509"
"166","[P]","    Nifty Corporation","29,309","28,996","28,921","27,316","26,846","26,838","24,617","25,468","25,467","27,352","26,795","27,856","28,585","29,356","30,460"
"167","[P]","    Sakura Internet","23,126","23,005","23,045","23,029","24,612","23,985","21,556","23,326","22,815","24,684","25,418","25,908","26,536","28,144","30,352"
"168","[M]","    UCOZ.RU (w/ history)","13,959","15,032","15,710","16,367","17,351","18,508","22,246","24,490","23,400","24,692","24,222","24,353","25,232","27,146","30,197"
"169","[P](U)","    Nextag.com Sites","16,773","15,520","15,986","18,885","17,452","17,106","25,871","28,290","26,862","28,246","27,243","29,094","30,743","29,224","29,900"
"170","[P]","    China Mobile Sites","8,898","8,533","7,083","21,305","19,644","17,619","16,692","19,067","17,142","22,055","24,848","26,743","28,498","28,460","29,837"
"171","[P]","    ProSiebenSat1 Sites","32,400","33,079","33,622","34,869","34,293","31,890","29,064","30,318","30,352","31,678","31,158","30,024","30,248","29,683","29,747"
"172","[P]","    NETFLIX.COM","21,410","19,924","20,121","18,837","23,239","27,279","26,081","28,616","29,974","34,132","28,900","30,955","30,163","32,766","29,716"
"173","[P](U)","    Hearst Digital Media","24,774","23,351","24,592","23,873","24,268","23,824","20,811","21,885","22,001","19,684","21,861","23,182","25,336","25,726","29,420"
"174","[P](u)","    Iliad - Free.fr Sites","28,118","30,681","33,132","32,578","30,038","30,499","28,705","29,561","28,132","29,248","27,183","25,481","27,140","29,493","29,318"
"175","[P](u)","    Sheknows (Evolve Media Corp.)","30,551","29,810","33,856","36,110","36,548","35,571","31,761","30,852","30,562","30,925","28,992","29,513","30,941","30,919","29,253"
"176","[P]","    RTL Group Sites","28,574","29,601","30,187","30,341","30,073","29,298","26,214","28,563","27,971","30,173","27,872","27,269","26,453","27,348","29,182"
"177","[P](U)","    NFL Internet Group","19,884","27,249","26,319","28,076","28,633","28,036","15,511","8,648","10,999","8,305","6,884","11,771","22,738","30,393","29,048"
"178","[P](U)","    CareerBuilder LLC","26,379","26,615","26,429","28,164","23,545","30,764","27,205","30,222","29,858","29,886","26,465","28,893","29,640","29,158","28,941"
"179","[P](u)","    RCS Media Group","20,701","22,243","22,531","22,685","20,489","21,835","20,431","21,363","20,757","22,080","19,863","19,084","19,728","21,610","28,869"
"180","[P](u)","    Best Buy Sites","23,723","22,670","22,259","35,974","39,037","27,959","23,209","21,195","20,886","25,277","22,298","23,505","26,475","26,590","28,343"
"181","[P](u)","    Ticketmaster","22,095","20,973","20,902","19,360","18,629","18,953","20,659","21,797","19,141","20,188","20,016","21,374","21,338","22,963","27,873"
"182","[P](U)","    Bestofmedia Group","31,714","34,891","36,825","38,301","37,867","39,422","35,726","37,557","37,559","36,580","36,323","26,239","26,489","26,649","27,530"
"183","[P]","    MINICLIP.COM","30,247","23,051","23,418","26,172","29,721","28,346","24,369","23,526","23,959","25,135","27,633","28,094","28,995","26,220","27,431"
"184","[P]","    NIH","17,670","19,262","20,491","21,019","16,960","18,497","19,723","22,764","20,790","22,676","20,718","19,858","21,437","24,523","27,073"
"185","[P]","    Target Corporation","27,261","25,048","26,936","38,556","37,148","25,831","21,186","21,728","20,237","22,005","23,660","26,059","26,543","25,734","27,016"
"186","[P]","    Verizon Communications Corporation","30,331","27,651","26,295","25,824","26,943","25,257","23,135","23,440","22,048","22,165","23,792","25,927","25,121","24,950","26,895"
"187","[P](u)","    Hearst Corporation","19,456","20,828","21,026","21,735","18,929","20,697","18,720","20,856","20,537","24,382","22,725","22,488","25,997","27,414","26,833"
"188","[P]","    GANJI.COM","10,479","11,286","10,563","9,214","7,759","10,080","11,529","15,387","13,067","18,137","25,013","26,797","28,394","24,063","26,674"
"189","[P]","    Xinhua News Agency","23,584","22,571","20,288","19,620","18,472","18,600","17,839","23,197","19,802","22,534","23,917","26,215","24,855","26,168","26,575"
"190","[P](u)","    Hi-Media Group","25,655","26,152","27,350","29,431","27,964","27,050","24,250","24,831","22,772","23,643","23,887","22,983","24,433","24,423","26,440"
"191","[P]","    Bank of America","26,854","25,275","23,461","24,374","27,609","27,065","25,153","25,222","23,861","24,613","26,320","26,843","26,220","25,151","26,377"
"192","[P]","    FUNSHION.COM","15,263","14,748","14,642","13,829","15,141","17,618","17,685","16,121","15,757","20,117","21,812","25,750","26,569","26,353","26,249"
"193","[P]","    CONDUIT.COM","104,986","100,763","101,037","101,412","102,566","90,964","62,081","64,469","29,629","31,678","35,022","17,246","18,191","23,656","26,160"
"194","[C](U)","    METROLYRICS.COM","18,722","20,119","26,319","27,619","29,129","31,216","27,974","29,811","29,773","29,858","27,189","26,282","25,576","26,020","25,992"
"195","[P](u)","    Network 18","18,236","19,830","21,671","23,413","23,899","24,943","28,936","33,442","38,209","38,948","34,534","34,034","30,367","27,221","25,937"
"196","[P]","    Rambler Media","19,772","20,479","20,832","20,295","21,694","21,351","19,781","21,584","20,800","21,741","21,519","23,294","22,623","23,213","25,891"
"197","[P]","    DANGDANG.COM","12,463","13,216","11,002","9,904","9,264","12,207","10,849","12,456","11,625","13,267","13,404","16,002","19,075","22,207","25,849"
"198","[P]","    Samurai Factory Inc.","15,624","16,369","16,399","17,141","17,548","18,206","16,829","17,294","16,768","18,199","19,732","22,658","24,325","28,931","25,841"
"199","[P]","    Sears Sites","21,984","21,159","22,886","31,046","32,989","22,681","18,585","18,633","18,338","19,764","20,271","21,737","22,664","23,579","25,758"
"200","[P](u)","    Groupe TF1","20,965","21,776","22,142","21,614","22,435","24,639","21,349","24,052","21,460","24,041","21,093","22,455","23,183","24,320","25,517"
"201","[P]","    Dell","26,915","24,326","25,934","28,071","23,384","23,660","20,685","22,231","20,128","20,624","21,679","23,891","23,722","24,135","25,226"
"202","[P]","    DOUBAN.COM","14,106","14,185","13,345","11,992","12,725","16,111","14,031","14,549","13,108","16,465","17,983","19,012","19,214","21,743","25,219"
"203","[M]","    4399.COM","27,062","19,619","19,426","16,004","17,243","24,099","27,416","22,076","22,297","22,944","25,514","31,749","29,053","22,275","25,188"
"204","[P]","    AT&T, Inc.","25,099","23,543","23,229","23,256","24,039","22,975","21,853","22,916","20,208","21,990","23,140","23,720","24,951","24,310","25,171"
"205","[P]","    Gruner+Jahr Sites","20,579","21,532","22,283","22,388","22,971","23,367","20,664","22,016","20,505","21,854","21,544","21,511","21,736","22,393","24,917"
"206","[P]","    IKEA","23,385","22,418","21,297","21,600","19,955","24,342","19,110","19,896","17,822","18,929","19,311","21,616","24,279","23,915","24,555"
"207","[P]","    China Central Television Sites","8,090","6,884","5,405","5,874","13,636","16,154","15,908","17,865","16,868","20,147","21,143","22,191","20,938","24,378","24,480"
"208","[P]","    ARTISTdirect Network","23,496","25,080","26,327","25,568","24,818","22,231","19,648","20,031","19,771","22,210","22,489","22,324","22,682","23,386","24,360"
"209","[P]","    Vivendi","18,352","21,144","19,534","19,985","18,995","20,126","18,633","20,169","19,653","20,038","19,838","18,683","19,446","22,108","24,222"
"210","[P](u)","    Pearson Education","13,708","17,075","17,902","18,562","16,627","20,841","20,198","21,891","19,647","20,461","16,211","12,030","16,266","23,916","24,220"
"211","[P]","    AVAST.COM","14,808","16,783","19,540","19,949","18,009","18,874","16,141","16,989","16,473","15,803","19,558","21,435","12,879","21,637","24,016"
"212","[P]","    Hatena","15,974","16,258","15,655","18,129","16,867","18,045","15,998","17,300","16,737","18,619","18,689","19,449","20,616","22,060","23,706"
"213","[P](u)","    ValueClick Sites","25,532","27,067","26,683","23,527","24,921","23,122","21,861","22,351","21,092","21,752","18,886","17,994","19,623","21,266","23,679"
"214","[P](u)","    Cox Enterprises Inc.","22,272","22,549","21,604","20,364","21,862","22,944","21,057","24,298","23,408","24,631","24,423","23,920","24,355","23,684","23,577"
"215","[P]","    Kakaku.com Inc.","21,442","21,647","21,182","21,477","20,642","21,689","19,850","18,902","18,291","20,515","20,400","21,432","21,909","22,576","23,563"
"216","[P]","    JPMorgan Chase Property","21,423","20,646","19,118","19,521","21,967","21,039","19,513","19,273","18,867","19,140","20,350","21,677","21,687","21,646","23,432"
"217","[P](U)","    Times Internet Limited","15,881","17,632","20,091","19,243","19,257","20,206","19,869","22,483","23,044","24,424","21,247","22,782","23,403","24,159","23,393"
"218","[P]","    NEC Corporation","23,013","22,423","22,795","21,850","21,221","21,008","20,346","20,112","19,479","20,928","20,089","21,179","22,964","22,299","23,209"
"219","[P]","    Y8.COM","14,027","12,429","11,161","12,102","14,356","13,378","12,564","12,621","13,075","12,814","14,212","14,678","14,178","12,370","23,154"
"220","[P](U)","    CityGrid Media","15,723","14,528","14,386","22,135","22,538","23,867","24,736","26,181","24,756","24,974","24,783","25,984","25,973","23,466","23,013"
"221","[M]","    IT168.COM","14,226","14,968","12,630","9,739","9,285","12,251","10,184","13,507","11,842","13,202","13,989","14,968","18,005","19,673","22,999"
"222","[M]","    BROTHERSOFT.COM (w/ history)","34,845","34,803","37,086","36,540","36,537","36,695","31,783","31,970","28,882","29,892","26,368","24,089","23,616","23,469","22,899"
"223","[P]","    SK Group","22,910","22,603","22,203","21,608","21,553","21,379","19,756","20,503","19,603","20,602","20,210","20,712","22,134","22,469","22,805"
"224","[P]","    Verlagsgruppe Georg von Holtzbrinck","27,048","28,501","29,167","27,947","25,962","26,259","24,648","25,320","22,454","22,899","21,280","19,380","19,862","21,416","22,634"
"225","[P]","    Research In Motion Limited","15,924","16,101","15,700","16,313","15,355","15,608","14,641","14,000","13,322","16,689","15,869","16,338","19,190","18,525","22,535"
"226","[P](U)","    WhitePages","21,374","19,886","19,761","20,083","23,766","21,833","19,604","20,293","19,309","19,568","21,024","21,618","23,366","22,717","22,337"
"227","[P](u)","    WorldNow Sites","14,365","14,660","17,592","14,659","14,835","16,905","20,937","19,342","19,713","20,311","19,389","19,943","23,451","21,749","22,171"
"228","[P]","    SWEETIM.COM","8,692","11,714","9,602","9,436","9,451","10,724","11,197","11,099","12,510","13,924","11,231","13,850","19,461","17,219","22,134"
"229","[P]","    LETITBIT.NET","16,870","16,975","19,541","19,346","18,690","19,200","17,768","17,341","17,015","18,542","18,233","18,618","18,551","19,133","21,881"
"230","[P](u)","    CafeMom Network","20,013","19,876","23,835","31,210","24,503","21,465","22,314","24,226","23,588","23,959","24,277","25,245","28,464","26,305","21,880"
"231","[M]","    BAOFENG.COM","11,295","10,948","7,873","6,083","4,367","7,685","6,898","3,845","3,804","4,436","4,709","3,460","7,522","13,688","21,865"
"232","[P]","    PICNIK.COM","16,403","17,237","18,230","18,993","21,599","23,231","19,944","20,656","21,123","22,698","22,767","23,430","23,018","21,737","21,847"
"233","[P]","    WeatherBug Property","32,706","29,096","29,510","27,817","32,353","31,120","29,301","28,219","27,996","27,058","26,525","26,502","23,734","21,925","21,767"
"234","[P](u)","    Populis","17,060","17,802","18,416","20,803","18,100","21,996","23,133","23,461","22,492","19,804","16,599","15,891","13,632","20,228","21,623"
"235","[P]","    BEEMP3.COM","18,811","19,673","21,374","22,718","23,017","22,421","20,917","21,426","19,762","20,176","19,594","18,974","19,029","20,448","21,546"
"236","[P]","    United Online, Inc","31,996","30,181","31,355","33,093","27,096","26,422","22,986","20,845","18,913","20,959","21,362","23,731","24,742","22,842","21,530"
"237","[P]","    SHOUTMIX.COM","17,449","17,451","17,709","16,510","15,505","16,211","14,967","16,129","15,355","16,348","15,922","17,170","18,683","19,021","21,492"
"238","[P]","    SOFTPEDIA.COM","17,453","17,619","18,664","17,195","16,138","17,068","14,453","15,411","15,020","16,263","15,919","15,942","17,336","18,189","21,451"
"239","[P](U)","    AlloCine Sites","12,020","10,976","15,595","15,379","15,202","16,311","15,419","15,321","14,652","17,020","18,450","20,124","22,752","19,191","20,905"
"240","[S](U)","    ZIMBIO.COM (w/ history)","15,651","14,473","14,516","18,723","19,205","20,945","18,960","19,927","22,607","22,560","22,345","23,459","22,393","20,125","20,831"
"241","[G](u)","    BAIXAKI.COM.BR","14,145","15,319","15,181","15,193","16,669","17,893","16,286","17,872","17,895","17,537","17,430","18,391","18,983","19,962","20,754"
"242","[P](u)","    Hulu","19,633","20,772","22,921","22,117","21,672","22,339","21,009","21,396","20,915","21,162","18,750","19,384","20,784","19,622","20,718"
"243","[P]","    Excite Japan Sites","19,315","19,571","19,187","18,265","16,914","17,840","16,319","17,474","17,663","19,177","18,703","18,542","19,106","19,974","20,706"
"244","[P]","    Kingsoft Corp","26,237","20,437","17,759","19,574","15,315","11,424","10,187","21,889","10,912","14,653","18,774","18,049","19,298","14,710","20,633"
"245","[P](u)","    Encyclopaedia Britannica","16,593","19,262","18,817","18,472","17,498","18,650","15,603","18,127","16,765","17,298","15,640","13,696","14,344","18,622","20,490"
"246","[M]","    BITAUTO.COM (w/ history)","11,534","11,703","7,948","7,760","5,905","5,661","6,375","8,674","8,339","10,804","10,629","10,158","9,233","19,531","20,396"
"247","[P]","    BitComet (App)","15,734","15,788","15,281","15,421","15,400","14,958","15,418","15,358","15,074","16,328","16,817","17,854","18,448","18,922","20,328"
"248","[P](U)","    PANDORA.COM","14,460","14,516","15,431","17,484","21,606","20,529","16,829","18,006","18,040","17,213","16,763","17,111","17,708","18,863","20,200"
"249","[P]","    People's Daily online","17,716","16,095","14,412","14,611","13,353","15,393","13,200","16,280","14,016","16,493","18,630","20,674","21,084","19,474","20,196"
"250","[P]","    Cyworld","19,668","19,340","18,389","17,663","16,817","17,587","15,843","16,114","15,750","16,917","17,349","17,924","19,686","21,714","20,184"
"251","[P]","    BTJUNKIE.ORG","14,673","15,221","15,615","15,586","15,899","15,832","14,511","15,312","14,873","15,853","16,407","17,842","18,052","19,212","20,139"
"252","[M]","    ICBC.COM.CN","13,045","14,068","12,643","13,529","11,448","13,955","11,379","13,177","12,776","13,574","13,435","16,295","17,037","16,504","20,131"
"253","[P](u)","    Advance Internet","18,849","19,107","19,397","19,213","17,783","19,750","18,551","20,279","20,263","20,674","19,513","18,935","21,411","20,017","20,080"
"254","[P]","    Citigroup","20,416","19,125","18,394","17,626","18,413","17,948","17,400","17,628","17,271","17,891","19,003","19,484","19,732","19,971","19,893"
"255","[P](u)","    BuscaPe.com Inc.","10,754","11,132","10,935","11,486","11,410","11,387","11,249","12,201","11,857","12,911","13,187","12,962","13,617","19,956","19,882"
"256","[P]","    HSBC","20,156","19,347","18,354","18,217","18,881","18,948","17,458","17,710","17,141","18,216","18,589","19,320","19,495","19,329","19,633"
"257","[P]","    GiantRealm","22,773","20,250","21,973","22,814","22,261","21,113","17,332","19,120","21,054","19,445","20,816","20,795","19,906","18,144","19,568"
"258","[P]","    Recruit Co., Ltd.","19,595","19,047","18,167","17,736","16,249","17,037","17,876","18,676","16,681","17,314","17,266","18,847","19,772","21,286","19,430"
"259","[P]","    Vocento","16,464","17,156","17,939","17,476","17,506","17,848","16,787","18,107","16,492","17,789","17,075","16,777","17,384","17,868","19,349"
"260","[P]","    Wells Fargo","19,040","17,938","16,758","17,162","19,281","19,168","18,442","18,124","17,493","18,242","19,386","19,617","19,355","19,362","19,333"
"261","[P]","    SOFTBANK Group","15,566","16,095","15,806","15,413","15,252","15,943","14,439","15,388","14,381","16,089","15,222","15,148","16,127","17,324","19,262"
"262","[P]","    Valve Corporation","10,892","10,417","11,283","11,493","11,406","11,217","10,072","11,041","11,627","12,459","14,540","15,431","16,482","17,390","19,165"
"263","[P]","    Groupe M6","16,540","16,988","17,613","18,938","17,846","17,380","16,190","16,690","15,636","15,723","17,793","16,694","16,858","17,933","19,150"
"264","[P](u)","    Meredith Women's Network","10,722","10,594","12,864","11,499","11,852","11,745","10,871","15,181","16,667","17,859","18,007","18,080","16,440","16,234","19,147"
"265","[P]","    KOOWO.COM","1,998","1,329","1,248","1,769","3,120","2,101","1,165","1,389","1,271","1,561","1,402","1,347","3,276","10,532","19,140"
"266","[P]","    NASZA-KLASA.PL","16,568","16,901","16,913","17,000","17,502","17,354","16,498","16,674","17,340","18,192","18,135","18,168","18,546","18,599","19,120"
"267","[P](U)","    MANTA.COM","15,830","16,601","17,986","18,814","19,027","23,346","22,163","21,195","19,002","18,611","18,962","18,952","20,864","19,519","19,078"
"268","[P](u)","    Rediff.com India Ltd","13,094","13,740","13,239","12,758","17,514","18,236","17,111","19,103","18,351","18,458","18,331","19,675","19,022","19,003","19,024"
"269","[P]","    Xacti Corporation","8,056","7,868","7,706","8,017","8,650","9,660","11,196","13,748","15,033","16,296","16,083","17,704","19,918","20,901","18,718"
"270","[P](U)","    Sugar, Inc - PopSugar Network","14,551","13,669","14,794","14,836","16,291","16,726","16,021","16,928","18,124","19,813","18,984","18,730","18,729","18,400","18,671"
"271","[P](U)","    Forbes Digital","13,524","14,223","15,628","17,596","13,811","14,230","13,467","15,724","15,195","14,382","16,280","15,762","18,021","18,190","18,657"
"272","[P]","    MUSICA.COM","14,470","14,874","15,665","15,891","15,200","15,347","14,456","15,684","15,105","16,894","16,999","17,432","18,367","18,198","18,522"
"273","[P]","    WIND Telecomunicazioni","11,317","12,027","12,294","17,703","17,050","17,573","16,297","16,950","16,717","17,056","16,932","15,945","15,721","18,085","18,387"
"274","[P]","    SouFun.com Limited","16,592","16,910","14,808","14,007","12,971","12,706","13,632","15,908","13,467","14,668","13,846","16,139","14,575","18,574","18,349"
"275","[P]","    CUSTHELP.COM*","13,765","14,412","13,291","14,565","17,515","18,202","14,988","15,234","15,137","15,474","15,603","15,921","16,825","17,883","18,262"
"276","[P]","    UPS Sites","16,116","16,102","15,858","16,146","21,746","16,358","16,014","15,980","13,701","15,320","16,264","16,414","16,925","17,630","18,247"
"277","[M]","    JOY.CN","17,097","17,359","12,780","10,891","9,680","10,754","12,535","11,953","12,829","14,091","16,898","19,917","14,668","13,965","18,148"
"278","[P]","    HEXUN.COM","13,511","11,944","11,684","13,920","11,924","12,808","12,471","13,590","13,393","15,393","16,935","19,380","17,426","15,827","18,082"
"279","[P]","    Reed Business Information","24,840","25,173","24,653","23,438","21,682","25,902","23,986","25,440","21,812","23,320","21,762","19,596","18,802","17,637","18,029"
"280","[P]","    eMule (App)","28,889","28,797","27,190","26,675","24,761","24,131","20,278","20,708","19,726","19,593","19,013","18,475","18,095","17,745","17,973"
"281","[P](U)","    BabyCenter Network","11,221","11,994","12,622","13,914","14,660","15,973","14,595","15,741","15,803","16,532","16,026","16,291","17,300","17,686","17,898"
"282","[P]","    WORDREFERENCE.COM","12,179","14,535","14,796","15,017","12,130","13,525","12,349","14,274","12,447","14,625","13,376","11,473","13,716","16,344","17,806"
"283","[P]","    Volkswagen","15,657","17,195","15,249","15,246","13,476","14,372","13,792","15,437","13,550","13,870","13,450","14,254","14,160","16,787","17,652"
"284","[P]","    UPLOADED.TO","8,122","7,424","7,950","8,413","7,211","7,811","7,650","9,275","9,883","12,875","14,468","13,698","13,968","14,872","17,470"
"285","[P](u)","    Healthline","8,334","7,900","8,164","8,088","7,374","8,439","9,084","14,352","13,924","15,836","16,161","15,444","15,146","16,146","17,374"
"286","[P]","    General Motors","14,779","15,337","15,676","16,153","17,113","13,499","13,841","14,366","12,800","13,205","14,924","14,459","14,021","14,756","17,349"
"287","[P]","    McDonald's","9,492","9,558","12,684","10,572","8,791","9,130","8,540","9,912","10,518","11,400","9,924","9,724","9,033","11,535","17,283"
"288","[P]","    TOM.COM Limited","19,565","18,303","16,756","15,335","14,583","14,512","14,883","16,094","14,089","14,680","15,561","15,199","16,857","17,042","17,257"
"289","[P]","    NextRadio TV","13,847","14,250","15,341","15,817","14,699","15,709","13,375","14,204","13,251","14,168","14,556","14,382","15,996","16,075","17,168"
"290","[P]","    Toyota","12,545","12,036","11,617","12,675","12,246","12,836","12,202","13,846","10,313","10,241","10,196","12,263","12,207","15,899","17,050"
"291","[P]","    WIKIHOW.COM","15,184","14,403","18,013","17,863","19,250","17,634","13,942","14,066","14,800","17,680","15,846","14,077","14,934","15,336","17,025"
"292","[P]","    Globe7","15,667","15,017","16,935","14,386","13,375","12,523","11,995","12,430","12,202","13,321","12,871","14,210","14,281","15,961","16,975"
"293","[M]","    OKWAVE.JP*","12,658","11,095","11,257","11,593","12,419","13,210","12,032","13,362","12,971","14,541","14,940","14,248","14,832","15,529","16,839"
"294","[M]","    MARKETGID.COM","9,914","8,382","9,405","9,197","9,378","10,060","9,956","12,434","14,651","16,473","16,103","16,891","16,899","16,675","16,768"
"295","[P]","    Gameforge Sites","24,512","22,897","20,332","15,697","16,255","18,182","13,316","13,972","13,334","13,902","13,622","15,207","18,837","19,846","16,758"
"296","[P]","    Capital One","13,162","12,606","12,110","12,182","13,580","13,117","12,416","12,662","12,532","13,211","14,701","15,241","15,102","15,493","16,699"
"297","[P]","    QIANQIAN.COM","13,219","13,488","12,862","12,303","12,655","12,759","11,954","14,435","13,481","13,238","12,928","14,236","13,419","14,700","16,653"
"298","[P]","    7K7K.COM","18,709","11,253","11,450","10,732","10,979","14,808","16,135","11,756","13,023","13,222","14,447","19,337","17,138","13,562","16,634"
"299","[P]","    METRO Group","11,439","11,450","12,069","13,453","15,368","13,591","10,045","10,432","9,889","11,243","12,440","12,177","12,070","12,648","16,628"
"300","[P]","    TALEO.NET","14,015","13,085","12,923","11,693","11,514","13,858","12,053","12,715","12,304","13,821","14,936","15,875","16,163","16,796","16,464"
"301","[P](u)","    Sky Sites","14,896","14,244","14,275","14,341","13,795","14,932","12,863","12,793","14,485","15,717","14,347","16,061","18,427","17,039","16,443"
"302","[M]","    ONET.PL","14,374","14,623","14,751","15,282","15,434","15,395","14,812","15,545","15,232","16,004","15,098","14,926","15,531","15,926","16,438"
"303","[M](U)","    MLB.COM* (w/ history)","13,817","11,177","10,554","5,045","5,455","4,837","5,624","7,537","12,306","10,896","12,301","19,575","18,845","19,054","16,425"
"304","[P]","    Grupo Abril","12,753","13,149","12,762","13,226","12,098","13,270","12,472","13,950","12,865","13,317","13,494","13,046","14,679","15,322","16,416"
"305","[P]","    Procter & Gamble","14,010","14,420","13,586","14,118","14,426","13,070","12,380","12,607","11,810","13,213","14,661","13,192","15,456","16,902","16,363"
"306","[P]","    FedEx","12,027","11,354","10,724","10,536","13,810","11,019","10,438","10,510","9,064","10,351","10,436","10,851","16,281","21,133","16,277"
"307","[P](u)","    Grupo Clarin","11,037","11,171","11,719","11,567","8,259","8,424","8,535","10,520","8,873","9,425","12,931","13,654","13,849","14,381","16,254"
"308","[M]","    TISTORY.COM","14,352","14,057","12,887","11,171","11,782","12,253","11,310","11,234","10,960","12,584","12,325","13,277","14,391","15,406","16,247"
"309","[M]","    YOUDAO.COM (w/ history)","10,126","13,034","11,712","11,824","11,239","10,539","10,956","13,905","13,309","15,801","15,443","14,819","14,510","15,179","16,231"
"310","[P](u)","    Clear Channel Online","12,543","12,404","13,556","14,175","13,569","13,011","12,649","13,602","14,300","14,565","14,213","15,599","15,920","17,011","16,135"
"311","[P]","    Telecom Italia","15,642","17,523","17,350","17,621","17,138","17,944","17,313","18,049","16,154","16,974","15,450","13,702","13,873","14,755","16,133"
"312","[P](u)","    Michelin Group","12,932","11,487","11,571","11,241","9,752","13,816","13,599","14,964","15,478","16,407","17,501","18,422","16,951","16,272","16,055"
"313","[P]","    Hispavista Sites","16,351","16,872","17,784","17,733","15,568","16,562","15,901","17,823","16,788","17,713","16,726","16,284","15,568","15,488","15,930"
"314","[P]","    Oracle Corporation","8,470","9,852","10,354","10,058","8,270","10,737","10,664","11,624","10,027","12,481","12,351","10,471","11,429","13,909","15,908"
"315","[P](U)","    LeGuide.com Sites","12,766","12,979","14,290","16,476","15,493","15,687","13,995","14,221","12,980","16,507","17,201","17,225","15,387","14,877","15,833"
"316","[M]","    Qip","13,644","14,639","15,546","15,169","13,508","13,749","12,807","12,634","13,094","14,557","13,529","13,644","14,777","15,234","15,810"
"317","[M]","    WEATHER.COM.CN","14,419","15,532","12,056","9,155","10,400","11,303","9,841","12,060","12,977","15,249","12,811","17,789","14,498","15,734","15,757"
"318","[P]","    CT10000.COM","7,783","8,513","9,065","9,390","9,161","9,872","8,824","11,358","10,399","10,131","11,869","12,813","9,524","14,563","15,694"
"319","[P](U)","    Skyrock","18,675","18,724","18,006","18,274","17,609","16,803","15,841","16,552","15,674","15,047","15,095","14,664","14,712","14,972","15,688"
"320","[P]","    Orbitz Worldwide","17,616","16,185","15,390","16,028","12,708","17,016","15,605","16,548","14,756","15,174","16,221","18,689","17,005","15,624","15,680"
"321","[P](u)","    Experian Interactive","16,861","15,545","16,878","14,758","14,882","15,411","14,339","14,714","13,360","13,747","13,622","13,862","14,040","14,819","15,663"
"322","[M]","    Groupe PriceMinister (w/ history)","13,683","12,818","13,415","14,022","12,412","12,152","11,098","11,892","11,664","13,606","11,533","11,404","12,533","13,879","15,618"
"323","[P]","    Ford Motor Company","13,256","14,473","13,508","13,834","14,061","11,921","12,557","15,242","13,543","14,190","13,283","13,597","12,976","15,899","15,494"
"324","[P]","    Chosun Ilbo","11,117","10,772","10,927","9,836","10,161","11,564","9,596","10,667","11,205","11,694","11,090","11,981","13,443","13,570","15,488"
"325","[P]","    McAfee.com Sites","27,705","26,566","25,222","25,903","37,839","24,843","21,934","15,024","12,545","11,828","11,533","11,668","12,045","14,870","15,437"
"326","[P]","    ING Group","14,273","12,782","12,959","13,435","12,536","13,861","12,577","12,792","12,089","13,749","13,618","13,971","13,886","13,893","15,397"
"327","[P](u)","    Kingfisher","12,907","12,828","13,776","15,497","14,544","13,747","12,213","12,707","13,066","13,433","13,613","13,970","13,635","14,598","15,365"
"328","[P]","    KDDI Corporation","12,497","12,594","12,767","12,349","11,307","13,006","12,775","12,570","11,853","12,598","12,197","13,069","12,925","13,728","15,303"
"329","[P]","    Groupe Figaro","9,925","10,713","11,070","11,658","11,928","11,797","11,321","11,683","11,976","13,585","12,650","12,828","13,118","13,863","15,276"
"330","[P]","    American Express","13,266","14,255","13,042","12,985","13,463","13,414","12,064","11,623","10,577","11,273","14,254","12,502","12,764","14,096","15,206"
"331","[P]","    LG Group","13,570","13,715","13,668","13,614","13,579","12,560","10,714","10,901","11,455","13,591","12,946","12,255","12,220","13,972","15,186"
"332","[M]","    ATWIKI.JP (w/ history)","6,743","7,409","7,546","7,240","8,419","8,694","7,458","8,181","7,688","9,453","9,856","10,981","12,726","14,099","14,932"
"333","[P]","    Telegraph Media Group","11,523","11,149","11,483","10,979","9,672","9,772","10,619","11,860","12,053","13,669","11,557","12,222","13,187","12,319","14,894"
