"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: October 2010 - December 2011","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 1/20/2012","","","","","",""

"","","","Oct-2010","Nov-2010","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011"
"10","[P](u)","    Baidu.com Inc.","185,318","184,703","185,005","190,956","192,845","202,995","201,227","211,060","215,086","225,898","231,609","237,997","243,226","241,368","246,108"
"11","[P](u)","    CBS Interactive","222,329","229,265","221,362","226,135","210,949","234,656","217,686","220,230","214,019","217,962","226,901","242,571","244,382","238,148","245,870"
"12","[P]","    eBay","222,283","229,915","225,280","226,079","211,945","218,809","215,085","225,893","223,520","224,511","230,320","232,945","244,368","243,222","241,919"
"13","[P](u)","    Ask Network","225,397","233,155","233,444","234,884","220,019","236,956","220,341","224,060","212,548","217,771","227,266","240,805","255,792","245,416","239,319"
"14","[P](U)","    AOL, Inc.","232,439","239,205","239,550","243,275","229,394","247,697","237,258","238,860","231,564","227,626","227,538","220,379","224,822","219,953","221,648"
"15","[P](u)","    Glam Media","181,888","197,937","196,886","202,299","194,173","204,134","200,186","213,528","203,630","200,757","202,836","206,764","210,711","209,031","216,334"
"16","[P]","    Sohu.com Inc.","157,870","161,682","165,027","172,126","170,043","177,534","178,930","182,179","189,558","195,592","201,164","208,468","212,528","212,372","215,631"
"17","[P]","    BitTorrent Network","123,415","128,354","133,164","137,865","136,015","142,495","145,982","156,067","164,101","172,531","173,435","180,816","193,170","194,166","200,213"
"18","[P]","    Alibaba.com Corporation","133,634","131,631","124,680","124,453","114,887","132,534","144,488","152,501","156,780","164,230","167,517","167,324","184,715","186,245","198,329"
"19","[P](u)","    Viacom Digital","172,641","174,084","178,493","184,754","169,803","163,349","175,968","183,431","185,122","182,883","186,754","187,364","195,624","192,958","197,389"
"20","[P]","    TWITTER.COM","104,617","102,980","104,995","113,216","112,229","129,439","123,035","139,213","144,441","146,413","155,968","157,303","166,536","167,903","175,613"
"21","[P]","    Adobe Sites","144,307","136,191","131,826","129,903","127,795","160,625","132,567","139,968","135,014","134,096","144,970","147,315","152,887","151,765","161,875"
"22","[P]","    SINA Corporation","106,577","106,420","101,202","108,153","104,736","116,166","114,371","125,533","129,116","139,096","137,986","147,155","153,389","150,065","155,718"
"23","[P](u)","    NetShelter Technology Media","143,330","151,455","149,696","154,827","142,908","150,348","137,498","139,254","135,513","140,404","142,521","146,239","152,455","145,783","143,638"
"24","[P](U)","    New York Times Digital","125,058","121,865","117,389","123,193","111,113","128,726","107,800","115,279","107,815","108,536","113,033","124,192","137,403","138,948","135,000"
"25","[P](u)","    Turner Digital","123,307","126,889","126,974","132,702","128,958","152,103","136,777","147,542","134,020","130,388","134,007","126,995","128,659","123,550","123,264"
"26","[P]","    The Mozilla Organization","152,646","121,534","124,889","95,529","82,655","134,863","100,668","145,477","117,557","112,887","126,894","134,629","96,492","108,468","112,291"
"27","[P](u)","    Technorati Media","113,134","121,197","116,572","121,987","112,730","122,858","118,697","118,362","110,839","107,253","108,087","117,349","122,549","117,494","112,180"
"28","[P]","    NetEase.com Inc.","83,449","83,249","79,119","79,670","75,825","86,075","80,456","89,643","88,900","93,060","91,763","99,370","97,234","100,758","103,039"
"29","[P]","    Youku Inc.","77,754","70,560","65,829","75,542","71,936","77,425","68,592","77,739","83,037","91,018","86,607","94,225","102,199","99,129","98,086"
"30","[P](u)","    Terra - Telefonica","83,101","82,482","86,936","88,688","85,461","92,590","91,273","93,018","91,737","93,215","97,598","99,592","99,654","98,329","97,434"
"31","[P]","    MEGAUPLOAD.COM","77,778","77,145","83,740","75,388","70,290","75,408","74,894","80,298","80,723","84,151","87,729","88,746","97,402","93,690","95,508"
"32","[P](U)","    DAILYMOTION.COM","89,176","83,308","83,224","85,922","92,168","109,601","110,552","114,292","101,929","83,971","85,089","88,764","96,648","94,808","95,449"
"33","[P]","    Xunlei Networking","70,523","67,566","66,279","73,576","62,518","57,612","49,946","51,057","69,449","78,302","82,408","85,226","94,080","92,285","94,576"
"34","[P](U)","    Demand Media","100,835","105,463","108,409","122,101","116,041","124,125","110,435","103,812","96,467","91,674","98,036","95,438","93,599","98,235","94,072"
"35","[P](u)","    MEDIAFIRE.COM","56,561","54,765","55,540","59,252","55,063","59,004","60,504","65,839","66,403","70,062","74,926","78,122","84,086","84,676","89,541"
"36","[P](U)","    LINKEDIN.COM","59,804","69,656","65,775","74,495","71,524","79,215","74,845","86,074","84,356","82,454","88,172","92,112","92,451","94,823","88,742"
"37","[P]","    Tudou Sites","65,817","62,761","58,706","63,564","59,870","62,696","58,747","66,498","67,723","77,914","74,838","76,920","82,203","80,337","83,807"
"38","[P]","    iG Sites","24,932","25,134","24,223","24,935","27,185","29,409","29,933","31,237","32,190","29,259","61,505","64,505","67,975","70,602","83,045"
"39","[P]","    Expedia Inc","67,007","63,699","60,770","78,144","72,338","75,452","76,130","80,012","86,378","96,945","90,073","83,120","80,395","79,120","82,633"
"40","[P](u)","    Axel Springer AG","28,306","28,510","28,843","29,914","27,783","69,817","65,524","56,997","65,630","66,842","67,806","71,500","76,990","76,371","77,208"
"41","[P]","    Sony Online","64,202","65,672","69,364","66,393","59,487","63,402","58,923","67,799","66,787","62,537","66,022","66,621","70,878","73,191","77,159"
"42","[P]","    NHN Corporation","38,607","38,373","40,054","41,280","39,004","41,727","40,465","42,383","41,891","70,131","74,056","76,868","77,961","76,866","77,023"
"43","[P]","    Rakuten Inc","46,377","62,455","59,747","59,608","56,701","57,528","55,379","60,840","57,785","59,031","62,198","63,498","71,032","71,831","75,263"
"44","[P](u)","    Break Media","78,891","83,010","81,504","83,285","72,279","74,696","70,203","72,789","70,860","68,983","71,597","70,011","72,371","70,221","74,839"
"45","[P]","    Yandex Sites","53,022","54,283","56,421","57,497","57,163","58,814","58,751","60,543","61,976","64,116","64,632","68,765","70,071","71,503","74,405"
"46","[P]","    4SHARED.COM*","78,018","78,626","78,872","79,629","74,007","75,906","76,149","82,695","80,610","81,619","82,142","84,759","77,214","72,865","73,476"
"47","[P](u)","    BBC Sites","65,270","66,155","66,305","67,469","65,659","80,594","71,434","74,281","65,593","67,675","72,209","71,250","77,127","74,949","72,739"
"48","[P]","    Wal-Mart","45,407","62,641","63,086","47,430","40,243","40,446","40,750","42,803","44,650","48,053","50,087","49,499","58,072","73,336","72,011"
"49","[P](U)","    Answers.com Sites","83,763","95,729","86,847","94,594","91,449","98,716","87,301","88,487","71,866","61,860","69,164","79,301","77,203","76,924","70,652"
"50","[P]","    Orange Sites","67,987","68,421","60,598","63,211","62,162","66,043","66,989","70,685","67,491","63,491","68,846","72,576","79,220","79,663","68,994"
"51","[P](u)","    Vkontakte","47,917","51,443","50,518","54,354","56,703","50,899","51,652","57,869","61,035","63,003","57,553","58,704","61,970","63,813","66,969"
"52","[P](U)","    ESPN","62,087","63,013","61,980","63,027","59,227","75,225","64,948","60,604","59,149","55,383","62,111","75,141","71,555","69,509","66,265"
"53","[P]","    Real.com Network","58,895","61,475","60,894","58,475","50,761","55,748","51,382","59,147","61,792","56,748","53,874","54,950","62,514","61,953","65,571"
"54","[P](u)","    Spil Games","50,578","51,869","56,593","55,993","49,898","49,854","50,679","52,057","56,028","59,376","59,091","52,967","57,460","56,023","64,527"
"55","[P]","    Gretech Corp.","18,451","51,113","50,193","52,282","49,189","51,251","51,551","54,515","55,496","57,766","59,317","62,969","63,890","62,790","64,496"
"56","[P]","    BABYLON.COM","31,559","33,139","35,756","39,205","37,763","42,589","40,310","48,634","49,031","51,396","57,840","63,402","51,413","54,732","63,599"
"57","[P]","    Oak Pacific Interactive Sites","42,994","45,710","44,631","47,522","44,751","52,534","59,437","72,664","74,031","71,947","52,969","51,075","57,597","60,901","62,301"
"58","[P](u)","    Weather Channel, The","42,183","42,511","50,925","48,627","46,299","42,991","44,322","45,535","44,641","64,950","74,674","65,791","63,513","59,856","60,530"
"59","[P]","    FC2 inc.","47,014","46,826","48,028","48,741","46,484","48,382","47,586","50,745","51,493","53,236","56,007","56,994","59,124","58,320","58,816"
"60","[P](u)","    Gannett Sites","47,713","50,616","47,942","51,387","49,738","54,487","53,589","56,973","53,509","53,985","58,635","55,644","56,690","56,766","58,353"
"61","[P]","    FILESTUBE.COM","45,232","44,945","40,994","40,205","33,075","38,028","41,168","48,563","49,158","48,914","49,354","51,632","57,749","56,423","58,096"
"62","[P](u)","    Alloy Digital Network","59,597","68,429","71,181","69,684","44,679","43,569","40,105","37,516","42,761","43,912","43,396","42,628","51,698","53,608","56,740"
"63","[P](u)","    Comcast Corporation","51,658","54,542","63,590","61,429","52,936","53,713","53,734","54,476","57,098","55,278","56,174","52,801","51,336","55,406","55,486"
"64","[P]","    Disney Online","41,615","44,921","45,011","40,303","37,259","37,539","37,051","42,310","46,272","49,450","48,569","49,744","54,156","49,620","54,765"
"65","[P]","    PPStream, Inc.","54,516","52,879","51,162","57,085","58,746","57,939","57,789","60,718","61,329","61,807","60,906","58,619","59,397","58,404","53,863"
"66","[P]","    craigslist, inc.","53,971","52,499","54,839","57,292","53,339","53,840","51,731","55,182","56,784","57,504","58,985","57,482","56,540","54,844","53,283"
"67","[P]","    PPLive Inc.","18,740","20,074","18,934","23,016","22,452","23,524","25,008","32,035","29,626","36,738","43,656","43,732","46,375","47,282","53,121"
"68","[P]","    Deutsche Telekom","49,747","50,328","48,797","49,963","48,264","49,571","47,138","50,472","49,193","49,101","51,673","51,862","54,130","52,846","53,057"
"69","[P](u)","    IDG Network","43,879","46,871","45,557","46,569","42,183","42,919","39,909","41,359","42,265","43,137","45,320","45,381","51,583","49,764","53,003"
"70","[P](u)","    UOL","39,997","41,069","41,815","42,541","41,286","44,602","46,072","46,594","47,153","49,845","49,506","50,122","51,153","52,203","52,109"
"71","[P]","    Hewlett Packard","44,308","39,734","41,079","41,809","36,404","39,238","37,850","38,699","38,491","41,350","44,352","49,156","53,575","51,034","52,063"
"72","[P]","    CCM-Benchmark","47,296","46,794","45,826","48,420","44,888","44,923","40,384","44,026","42,741","40,028","44,945","46,037","51,155","50,991","51,400"
"73","[P](u)","    iVillage.com: The Womens Network","46,427","45,748","42,841","43,696","39,364","43,727","40,678","41,091","44,209","42,190","42,231","42,028","40,358","45,823","50,853"
"74","[P]","    EA Online","41,083","36,533","36,487","33,483","32,015","32,960","32,926","32,325","36,168","36,641","38,869","44,440","51,940","46,301","49,229"
"75","[P](u)","    Qihoo.com Sites","46,787","49,802","40,184","44,417","43,091","50,452","44,091","31,558","31,320","34,446","37,397","35,697","40,387","44,422","48,654"
"76","[P]","    MIH Limited","41,170","41,213","40,443","40,092","38,164","39,537","39,869","42,619","41,006","40,098","41,226","42,249","45,151","43,431","48,341"
"77","[P](U)","    Photobucket.com LLC","54,101","59,396","59,041","58,244","52,934","56,592","54,100","54,442","48,309","49,670","51,601","50,258","49,661","49,550","48,097"
"78","[P](u)","    Conde Nast Digital","42,710","44,893","43,160","37,318","37,913","38,360","37,970","40,588","37,490","36,864","40,361","40,502","45,134","47,114","48,033"
"79","[P](U)","    Wikia Sites","29,777","32,686","33,638","37,097","35,118","39,459","37,488","39,512","39,021","39,524","40,031","40,340","44,585","47,134","47,619"
"80","[P](u)","    BUZZMEDIA","45,121","47,766","50,811","51,934","48,368","51,750","48,188","39,034","41,796","41,757","43,993","41,886","44,168","44,335","46,055"
"81","[P]","    Samsung Group","23,613","26,555","27,720","24,046","20,766","22,300","22,161","26,231","26,862","28,672","29,487","33,067","35,730","37,065","44,987"
"82","[P](u)","    Best Buy Sites","22,259","35,974","39,037","27,959","23,209","21,195","20,886","25,277","22,298","23,505","26,475","26,590","28,343","45,470","44,908"
"83","[P](u)","    Globo","29,206","28,518","26,215","29,295","29,018","31,260","29,591","29,624","29,574","35,953","39,315","40,559","45,806","47,430","44,668"
"84","[P]","    THEPIRATEBAY.ORG","27,756","28,794","27,926","28,908","27,252","28,646","29,152","32,895","34,931","36,111","36,073","39,166","42,492","41,385","44,512"
"85","[P]","    OLX Inc.","43,062","43,335","38,872","44,671","41,429","45,255","42,336","47,105","45,171","45,834","47,868","46,932","46,699","46,440","44,453"
"86","[P](u)","    Shopzilla.com Sites","34,683","37,737","39,287","37,642","34,785","33,857","30,522","32,293","31,499","36,605","38,783","38,741","43,104","44,306","44,161"
"87","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","39,103","40,373","37,140","41,773","39,991","42,334","40,491","42,472","40,678","40,241","42,120","44,108","44,860","45,406","43,783"
"88","[P](U)","    DEVIANTART.COM","27,604","31,443","32,874","32,783","31,405","34,753","34,539","35,408","36,003","37,592","38,775","37,879","40,757","39,709","43,198"
"89","[P](U)","    Hearst Digital Media","24,592","23,873","24,268","23,824","20,811","21,885","22,001","19,684","21,861","23,182","25,336","25,726","29,420","28,826","43,119"
"90","[P](U)","    Tribune Interactive","34,093","35,973","35,122","39,973","39,085","44,407","42,033","45,478","41,581","41,521","43,111","42,658","42,038","40,930","42,028"
"91","[P]","    Priceline.com Incorporated","30,490","28,505","26,852","33,984","34,065","36,281","34,949","40,914","46,751","53,032","49,213","44,955","45,385","45,514","41,594"
"92","[P]","    NTT Group","38,920","39,332","38,555","39,398","37,059","38,176","36,443","39,409","39,214","40,345","41,125","42,199","42,712","42,196","41,512"
"93","[P]","    Opera Software","34,657","30,298","34,392","33,530","31,005","29,356","36,546","31,327","29,844","32,838","33,462","36,033","35,314","34,480","41,437"
"94","[P](u)","    Geeknet","41,215","41,987","41,486","43,137","37,140","39,755","36,951","37,397","37,428","36,067","36,823","37,653","40,645","40,763","41,266"
"95","[P]","    RapidShare AG","64,792","60,768","57,790","57,364","51,591","52,396","47,485","46,578","43,961","41,874","41,593","40,554","42,854","41,703","41,215"
"96","[P](u)","    Monster, Inc.","46,444","48,610","43,183","50,463","47,039","49,499","44,671","46,443","45,896","45,180","45,278","43,859","45,369","44,779","41,085"
"97","[P](U)","    CraveOnline (Evolve Media Corp.)","34,885","34,270","32,782","33,642","27,280","28,329","31,484","34,450","35,710","31,189","32,946","37,051","38,756","36,470","40,782"
"98","[P]","    Steam (App)","23,542","25,033","24,899","24,930","23,491","24,739","25,037","26,666","29,916","32,068","32,682","35,053","37,360","39,186","40,774"
"99","[P]","    GSN Games","43,940","47,105","50,447","40,504","35,409","35,710","34,555","39,743","42,472","45,795","45,340","40,645","40,375","37,700","40,001"
"100","[P](U)","    Internet Brands, Inc.","22,219","22,033","22,832","26,253","23,576","24,743","23,527","28,409","35,308","38,046","39,182","41,188","41,806","40,086","39,964"
"101","[P]","    KuGou Inc.","33,631","32,701","33,983","39,702","39,959","44,818","43,509","47,424","48,141","49,539","45,198","41,019","40,017","39,526","39,944"
"102","[P]","    MEGAVIDEO.COM","34,627","34,936","50,873","42,854","30,618","32,611","30,951","34,015","32,341","33,282","31,434","29,740","31,272","29,495","39,877"
"103","[P]","    Groupe PPR","35,337","39,226","35,884","35,330","30,733","30,680","29,689","32,566","31,686","30,485","31,620","34,230","34,792","37,621","39,277"
"104","[P]","    CyberAgent","32,380","33,166","33,345","35,024","33,088","34,536","32,455","36,007","35,381","36,532","38,155","38,714","39,681","39,709","39,139"
"105","[P](U)","    Reader's Digest Digital Network","26,542","30,815","32,238","27,292","26,602","25,835","25,683","24,198","23,747","25,644","26,548","27,905","31,026","34,443","38,488"
"106","[P](u)","    Discovery Digital Media Sites","35,518","36,456","34,677","37,264","34,376","37,845","37,568","40,058","37,700","36,578","37,442","39,100","40,587","38,698","37,956"
"107","[P]","    United-Internet Sites","29,849","30,249","30,868","32,073","29,390","29,392","29,038","30,369","31,306","31,002","36,480","37,131","37,913","37,349","37,905"
"108","[P](u)","    Yellowbook Network","49,195","51,299","50,937","37,845","42,742","46,021","34,144","33,263","31,719","31,052","40,889","44,566","45,294","41,933","37,808"
"109","[P](u)","    Time Warner (Excl. Turner/WB)","41,359","41,996","42,993","47,935","43,106","49,503","41,910","47,814","40,699","41,270","38,369","39,730","39,341","38,805","37,628"
"110","[P]","    Target Corporation","26,936","38,556","37,148","25,831","21,186","21,728","20,237","22,005","23,660","26,059","26,543","25,734","27,016","40,187","37,610"
"111","[P](u)","    MercadoLibre","35,667","35,078","34,448","34,308","31,564","33,047","31,416","33,447","33,481","35,707","38,421","36,904","38,175","38,167","37,583"
"112","[P]","    NETFLIX.COM","20,121","18,837","23,239","27,279","26,081","28,616","29,974","34,132","28,900","30,955","30,163","32,766","29,716","28,337","37,382"
"113","[P](u)","    WebMD Health","33,084","32,714","30,494","32,498","28,954","32,555","30,137","35,601","35,420","37,629","38,912","38,761","41,091","39,394","36,895"
"114","[P](u)","    Fox Interactive Media","123,007","113,413","110,651","107,900","95,278","99,059","104,867","106,234","97,266","95,943","37,407","41,502","44,630","39,643","36,591"
"115","[P](u)","    Metacafe","47,561","48,609","49,214","49,035","44,864","47,043","45,853","47,078","44,154","42,062","38,272","40,707","39,860","39,500","36,497"
"116","[P](U)","    Scripps Networks Interactive Inc.","21,102","34,692","34,013","33,966","27,947","30,591","31,223","31,907","26,665","28,873","29,274","28,918","31,267","36,209","36,249"
"117","[P](u)","    AT&T Interactive Network","29,778","30,277","31,079","33,967","31,327","32,004","31,031","34,381","34,274","40,519","39,919","38,871","37,369","35,246","36,215"
"118","[P]","    Otto Gruppe","33,512","38,368","34,406","32,873","31,576","32,805","32,143","33,500","31,779","30,702","30,445","33,087","36,481","37,158","36,010"
"119","[P]","    Grupo Intercom","36,313","37,229","31,980","36,316","33,887","36,694","33,047","36,439","35,582","34,373","35,681","35,778","37,544","37,910","35,897"
"120","[P]","    2345.COM","20,697","22,570","22,101","24,888","27,464","31,816","31,156","32,877","31,230","34,477","35,807","34,434","35,204","34,524","35,798"
"121","[P]","    PCPOP Sites","23,229","20,929","18,752","21,922","15,439","20,137","16,672","21,927","19,974","28,946","26,192","29,025","33,820","33,237","35,795"
"122","[P](u)","    Sheknows (Evolve Media Corp.)","33,856","36,110","36,548","35,571","31,761","30,852","30,562","30,925","28,992","29,513","30,941","30,919","29,253","34,478","35,646"
"123","[P]","    China Mobile Sites","7,083","21,305","19,644","17,619","16,692","19,067","17,142","22,055","24,848","26,743","28,498","28,460","29,837","30,641","35,093"
"124","[P](u)","    Liberty Media Holding Corporation","19,861","13,254","13,195","12,602","11,051","11,456","11,041","11,488","12,331","22,555","27,668","30,097","36,669","32,531","35,046"
"125","[P](u)","    WildTangent Media","33,948","28,826","33,400","31,946","29,667","29,657","30,021","31,905","37,061","36,226","34,759","32,115","34,468","34,201","34,953"
"126","[P](u)","    RosBusinessConsulting","31,336","30,304","30,812","30,966","28,947","31,176","31,116","32,411","31,211","31,412","31,522","32,341","33,463","33,464","34,729"
"127","[P]","    Sears Sites","22,886","31,046","32,989","22,681","18,585","18,633","18,338","19,764","20,271","21,737","22,664","23,579","25,758","35,381","34,684"
"128","[P](U)","    Nextag.com Sites","15,986","18,885","17,452","17,106","25,871","28,290","26,862","28,246","27,243","29,094","30,743","29,224","29,900","33,103","34,449"
"129","[P](u)","    Prisa","21,356","21,805","20,184","20,601","19,610","21,036","22,395","24,703","23,160","21,636","26,226","34,113","35,676","36,069","33,838"
"130","[P]","    Lycos Global Search And Media","40,244","39,927","34,089","34,464","32,199","34,700","33,239","37,032","34,867","33,202","36,410","37,407","40,406","42,903","33,486"
"131","[P]","    Hubert Burda Media","29,384","29,551","29,636","31,140","28,708","29,590","28,817","32,213","32,646","33,034","33,645","33,664","36,336","33,799","33,456"
"132","[P](u)","    Everyday Health","33,102","32,682","33,167","33,918","29,320","33,072","32,901","32,041","32,213","34,217","34,243","35,044","34,819","35,697","33,321"
"133","[P]","    Dwango Co., Ltd.","19,993","20,499","20,856","21,228","19,978","22,195","21,638","23,745","25,692","27,261","29,490","30,647","32,263","32,908","33,162"
"134","[P](u)","    The Washington Post Company","28,955","28,561","26,790","29,778","28,072","31,198","26,372","34,693","27,854","27,816","30,633","29,392","32,765","32,356","32,808"
"135","[P]","    Symantec","26,329","27,044","30,084","31,426","28,294","31,052","28,243","30,222","28,485","28,704","30,475","31,778","33,160","32,154","32,596"
"136","[P]","    AVG Technologies","34,068","58,760","45,625","22,147","19,879","19,463","21,051","33,812","35,374","34,400","33,435","33,860","40,205","24,428","32,517"
"137","[P]","    BADOO.COM","22,038","23,079","25,916","25,175","24,076","26,204","24,361","28,715","29,113","28,249","32,526","33,884","36,217","34,208","32,212"
"138","[P]","    Groupe Pages Jaunes","35,155","36,425","35,251","38,582","36,485","37,566","34,908","36,573","36,058","34,636","33,521","32,931","34,464","33,289","31,960"
"139","[P](u)","    Gawker Media","37,445","34,725","34,239","35,458","25,436","25,883","24,931","29,105","29,763","27,667","28,194","29,727","32,936","30,531","31,889"
"140","[P]","    DEPOSITFILES.COM","32,622","32,646","30,102","30,946","27,369","28,822","27,358","26,094","27,788","27,662","27,652","29,040","32,118","31,361","31,691"
"141","[P](U)","    YELP.COM","24,845","25,140","25,452","27,576","26,958","30,088","30,596","31,270","32,712","35,005","35,256","33,470","33,189","30,811","31,613"
"142","[P]","    Sun Microsystems, Inc.","25,197","25,235","23,109","24,949","21,821","33,164","26,767","26,150","27,224","31,415","26,685","26,683","32,088","35,614","31,613"
"143","[P]","    GMO Internet Group","25,702","25,071","24,691","25,540","24,227","26,804","24,203","26,511","25,713","28,510","30,780","31,599","32,616","32,452","31,459"
"144","[P]","    Groupe Lagardere","44,313","46,414","44,101","45,416","41,843","45,039","46,473","46,521","47,076","46,413","43,618","44,540","44,618","43,997","31,431"
"145","[P]","    Ebuzzing","27,267","27,279","27,075","27,520","24,369","26,285","27,849","29,614","28,256","28,464","30,830","30,753","32,143","32,052","31,395"
"146","[P](u)","    Gorilla Nation (Evolve Media Corp)","38,328","38,787","37,236","37,566","32,635","30,601","31,698","40,099","37,974","40,806","40,700","31,657","30,867","28,835","31,358"
"147","[P]","    Nokia","31,215","32,519","34,267","29,835","26,160","32,037","27,244","25,990","27,825","26,952","28,430","30,033","31,404","31,213","31,042"
"148","[P](u)","    Superpages.com Network","29,184","30,091","35,368","35,413","33,476","35,488","30,422","30,080","30,856","32,518","31,840","30,526","33,019","32,585","31,027"
"149","[P](u)","    Seesaa","19,277","20,172","23,262","24,515","21,896","23,095","22,673","25,575","26,288","27,649","28,896","29,964","31,181","31,127","30,878"
"150","[P]","    TARINGA.NET","32,215","30,253","27,880","29,126","28,281","30,373","29,895","30,207","29,231","29,845","31,484","32,743","32,683","31,432","30,783"
"151","[P]","    56.COM","35,702","32,593","30,996","32,579","32,068","33,134","33,098","33,588","33,523","35,657","34,338","39,178","40,994","32,378","30,057"
"152","[P](u)","    Dow Jones & Company","25,805","25,661","26,388","30,171","26,120","32,397","30,562","29,981","31,430","31,208","35,494","34,281","34,704","31,356","29,875"
"153","[P](u)","    Guardian Media Group","26,127","29,202","26,970","26,857","25,686","31,424","28,287","33,372","28,757","29,901","32,018","30,267","34,614","33,144","29,856"
"154","[P](u)","    NBC Universal","32,940","32,061","33,502","36,375","33,505","35,125","33,173","37,484","34,314","31,221","33,738","34,656","34,070","34,141","29,671"
"155","[P]","    Vodafone Group","25,559","26,812","26,951","27,833","25,550","26,669","23,697","26,755","25,862","27,271","28,573","27,345","30,509","28,925","29,468"
"156","[P]","    AVAST.COM","19,540","19,949","18,009","18,874","16,141","16,989","16,473","15,803","19,558","21,435","12,879","21,637","24,016","27,375","29,178"
"157","[P]","    Sakura Internet","23,045","23,029","24,612","23,985","21,556","23,326","22,815","24,684","25,418","25,908","26,536","28,144","30,352","29,501","29,172"
"158","[P]","    Iliad - Free.fr Sites","33,132","32,578","30,038","30,499","28,705","29,561","28,132","29,248","27,183","25,481","27,140","29,493","29,318","29,843","29,143"
"159","[P](U)","    NFL Internet Group","26,319","28,076","28,633","28,036","15,511","8,648","10,999","8,305","6,884","11,771","22,738","30,393","29,048","29,145","28,927"
"160","[P](u)","    Nifty Corporation","28,921","27,316","26,846","26,838","24,617","25,468","25,467","27,352","26,795","27,856","28,585","29,356","30,460","29,193","28,851"
"161","[P]","    Y8.COM","11,161","12,102","14,356","13,378","12,564","12,621","13,075","12,814","14,212","14,678","14,178","12,370","23,154","23,716","28,850"
"162","[P](U)","    Bestofmedia Group","36,825","38,301","37,867","39,422","35,726","37,557","37,559","36,580","36,323","26,239","26,489","26,649","27,530","28,263","28,805"
"163","[P]","    Rambler Media","20,832","20,295","21,694","21,351","19,781","21,584","20,800","21,741","21,519","23,294","22,623","23,213","25,891","26,155","28,568"
"164","[P]","    58.COM","13,958","12,680","13,558","15,193","16,039","20,774","17,584","21,053","23,319","28,898","28,293","31,272","38,028","30,319","28,431"
"165","[P]","    DOUBAN.COM","13,345","11,992","12,725","16,111","14,031","14,549","13,108","16,465","17,983","19,012","19,214","21,743","25,219","24,978","28,352"
"166","[P](U)","    ABCNEWS DIGITAL","19,321","21,917","22,002","25,079","21,951","26,449","26,043","33,008","22,852","26,004","29,082","27,095","31,187","27,249","28,312"
