"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: March 2013 - March 2014","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Pages Viewed (MM)","","","","","",""
"","","","Date :: 4/28/2014","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014","Mar-2014"
"1","    United States","1,561","1,467","1,424","1,364","1,324","1,272","1,206","1,289","1,197","1,170","1,070","917","898"
"2","    Worldwide","7,109","6,799","6,954","6,480","6,260","6,044","5,890","6,379","6,463","5,829","6,349","5,405","5,626"
"3","    Non-US","5,548","5,331","5,531","5,116","4,936","4,772","4,684","5,091","5,266","4,659","5,279","4,488","4,728"
"4","    Canada","342","333","313","294","279","259","244","273","269","264","264","215","214"
"5","    Argentina","60","59","61","57","51","56","49","52","54","35","32","34","39"
"6","    Australia","84","83","87","87","79","76","68","71","65","56","60","49","58"
"7","    Austria","29","27","30","28","24","21","21","25","30","25","29","23","25"
"8","    Belgium","32","32","34","30","20","25","25","27","30","24","28","21","19"
"9","    Brazil","290","273","267","266","210","220","217","222","228","168","162","159","195"
"10","    Chile","23","25","27","27","24","23","18","21","19","14","13","9","14"
"11","    China","21","27","31","28","40","29","25","32","30","34","26","28","42"
"12","    Colombia","63","67","68","47","60","68","61","62","49","26","34","57","56"
"13","    Denmark","16","16","15","15","12","11","12","12","11","11","12","10","11"
"14","    Finland","28","31","30","25","26","27","24","23","26","21","20","19","17"
"15","    France","252","246","280","255","263","230","236","295","313","247","287","245","250"
"16","    Germany","410","382","381","374","316","325","302","319","328","281","350","288","283"
"17","    Hong Kong","38","40","40","37","36","38","37","37","35","33","33","31","35"
"18","    India","272","260","279","293","316","295","261","291","288","276","291","250","256"
