Media Trend,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,,Time Period :,Time Period :,August 2009 - October 2010,August 2009 - October 2010,August 2009 - October 2010,August 2009 - October 2010,August 2009 - October 2010,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2010 comScore, Inc","©2010 comScore, Inc","©2010 comScore, Inc",,,,
,,,Media :,Media :,"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,11/18/2010,11/18/2010,11/18/2010,11/18/2010,11/18/2010,,,,,,,,
,,,,,,,,,,,,,,,,,
Media/Measures,Media/Measures,Media/Measures,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010
,,    Total Internet : Total Audience ,"1,165,194","1,179,318","1,190,151","1,206,051","1,222,237","1,237,448","1,203,547","1,219,389","1,231,777","1,244,104","1,253,406","1,261,762","1,285,378","1,294,784","1,304,632"
1,[P],    Google Sites,"867,618","879,176","891,949","889,522","899,426","919,720","883,498","907,371","921,153","931,583","942,199","952,484","971,045","976,431","976,693"
2,[P],    Microsoft Sites,"707,803","717,910","732,862","730,348","727,410","734,177","734,981","757,017","728,546","789,035","799,898","800,636","814,562","827,496","840,677"
3,[P],    FACEBOOK.COM,"389,525","410,953","430,209","438,146","468,708","471,447","462,682","484,209","519,076","548,134","550,939","571,480","598,084","620,269","633,548"
4,[P],    Yahoo! Sites,"595,983","602,610","605,544","601,503","594,349","598,881","558,892","585,632","588,305","622,343","620,796","621,898","631,803","629,981","632,993"
5,[P],    Wikimedia Foundation Sites,"307,641","325,998","344,563","345,805","347,020","364,719","345,218","370,744","374,846","388,932","379,112","360,225","373,392","398,178","408,350"
6,[P],    Amazon Sites,"200,671","201,904","212,204","223,851","240,584","244,658","224,564","230,804","222,873","228,083","221,785","230,554","237,156","234,334","245,082"
7,[P](U),"    AOL, Inc.","260,547","255,088","258,392","256,386","268,197","267,055","255,999","262,514","263,704","266,787","255,895","248,233","221,158","218,426","232,439"
8,[P],    Apple Inc.,"176,468","183,163","187,991","192,620","209,500","204,258","190,382","201,406","212,251","213,166","213,671","212,905","219,498","226,129","227,768"
9,[P](u),    Ask Network,"189,937","207,555","209,779","213,975","215,730","227,804","214,937","225,365","223,251","215,039","208,313","211,622","216,371","221,821","225,397"
10,[P](u),    CBS Interactive,"194,036","195,794","201,899","201,809","211,360","211,785","190,589","210,468","204,916","211,496","204,162","209,288","214,875","223,388","222,329"
11,[P],    eBay,"243,335","239,634","243,461","246,712","262,746","259,866","241,811","255,651","253,924","252,803","217,671","217,586","222,435","221,574","222,283"
12,[P],    TENCENT Inc.,"145,701","149,803","151,019","152,325","153,376","156,423","168,183","172,822","173,092","175,771","177,789","182,572","191,021","197,617","204,266"
13,[P],    Baidu.com Inc.,"145,573","147,472","152,490","152,398","152,199","157,107","163,041","169,952","174,710","180,965","174,672","179,920","181,984","184,728","185,318"
