"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: February 2013 - April 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/1/2014","","","","","",""

"","","","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014","Mar-2014","Apr-2014"
"","","    Total Internet : Total Audience ","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029","1,596,237","1,604,290","1,611,886","1,619,952","1,627,086","1,632,535","1,627,681","1,748,563","1,759,578"
"1","[P]","    Google Sites","1,123,439","1,163,988","1,179,091","1,185,840","1,194,404","1,208,800","1,208,941","1,209,554","1,214,986","1,222,761","1,232,646","1,220,700","1,210,350","1,253,796","1,251,918"
"2","[P](u)","    Microsoft Sites","852,263","896,209","914,598","920,877","891,369","877,967","858,463","867,869","887,403","890,718","897,966","893,485","858,433","924,791","891,884"
"3","[M]","    FACEBOOK.COM","817,711","845,445","818,469","834,871","826,868","782,863","784,535","818,563","816,567","821,147","832,074","840,644","817,091","838,021","828,802"
"4","[P](u)","    Yahoo Sites","708,166","742,145","742,804","742,449","711,502","724,542","727,051","718,607","717,790","711,133","694,754","705,562","677,271","705,244","685,969"
"5","[P]","    Wikimedia Foundation Sites","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471","532,699","490,200","495,362","474,139","495,184","465,494"
"6","[P]","    Baidu.com Inc.","254,261","288,897","328,472","335,319","356,664","358,243","354,603","356,025","351,599","348,008","355,931","342,999","342,749","445,753","452,569"
"7","[P]","    Alibaba.com Corporation","221,562","254,821","313,176","321,168","314,272","317,744","333,168","357,868","358,717","363,615","370,330","355,152","340,491","453,520","432,910"
"8","[P]","    Sohu.com Inc.","245,316","260,138","312,454","314,511","312,305","317,645","318,611","299,723","320,141","313,388","317,145","313,597","314,101","408,709","420,369"
"9","[P]","    TENCENT Inc.","274,535","285,968","340,079","334,617","338,853","341,391","340,053","335,772","336,537","335,802","332,589","335,028","322,262","416,643","415,912"
"10","[P](u)","    Amazon Sites","352,119","384,160","390,465","395,669","383,802","403,717","405,993","401,154","400,418","419,839","416,846","392,042","374,027","400,096","394,592"
"11","[P]","    Qihoo.com Sites","106,631","112,337","142,142","146,925","149,197","162,539","149,280","177,927","300,265","301,166","303,337","306,144","297,970","386,406","388,617"
"12","[M]","    360.CN","100,556","106,024","133,151","137,348","137,486","137,870","138,053","139,192","289,713","289,570","291,079","296,391","287,504","369,168","371,308"
"13","[P]","    SINA Corporation","161,851","181,686","243,762","238,654","241,203","247,144","244,181","243,307","241,634","240,883","242,626","221,628","219,449","274,904","294,365"
"14","[P](u)","    CBS Interactive","245,140","270,899","287,474","291,450","281,473","281,778","285,689","285,899","284,796","284,489","282,530","259,803","243,019","300,550","293,060"
"15","[P]","    Apple Inc.","289,082","306,872","302,251","306,120","300,297","297,702","297,974","314,312","301,442","301,093","304,492","290,904","273,882","293,210","278,280"
"16","[P](u)","    Ask Network","254,087","273,799","277,281","290,440","283,949","290,419","303,111","296,370","303,957","296,391","286,853","288,554","267,105","290,001","268,747"
"17","[P](u)","    Youku & Tudou","131,245","149,580","192,749","266,842","267,873","262,765","287,653","278,012","279,111","268,044","266,384","268,386","247,334","260,281","257,982"
"18","[P]","    eBay","226,441","244,653","240,874","242,756","240,614","251,910","251,606","256,028","258,417","270,276","269,474","260,230","244,700","255,504","244,409"
"19","[P](u)","    BitTorrent Network","236,761","247,655","243,892","244,956","244,552","246,771","245,764","246,119","246,212","246,943","249,046","250,053","240,460","246,480","243,568"
"20","[P](u)","    Glam Media","276,802","294,231","297,215","296,276","283,805","252,706","244,225","242,480","251,881","252,107","250,234","241,612","226,983","253,009","236,971"
"21","[P]","    NetEase.com Inc.","108,546","124,012","180,625","187,975","181,573","195,503","185,371","196,162","187,607","189,469","192,397","170,514","169,141","239,999","232,825"
"22","[P](U)","    AOL, Inc.","213,157","221,865","217,725","223,081","211,573","218,890","220,277","221,908","236,671","241,978","240,178","238,932","231,887","228,635","223,705"
"23","[P]","    TWITTER.COM","175,485","185,095","174,401","186,089","182,990","166,785","172,674","183,792","183,187","191,236","196,468","204,351","195,417","205,556","197,315"
"24","[M]","    IFENG.COM","88,348","105,638","157,757","173,043","164,859","172,562","164,599","165,029","164,111","158,488","165,224","147,130","144,983","206,149","196,415"
"25","[P](u)","    Xunlei Networking","137,708","144,364","163,715","171,469","163,194","164,847","161,540","129,901","135,230","127,551","133,032","138,524","141,804","160,649","169,406"
"26","[M](U)","    LINKEDIN.COM","127,295","137,925","140,912","145,211","141,563","145,973","139,434","141,368","147,438","140,728","129,378","145,743","135,301","145,251","137,574"
"27","[P]","    KuGou Inc.","85,285","92,858","111,190","112,584","104,359","105,185","100,137","98,584","97,821","95,427","95,354","98,860","95,127","135,912","135,058"
"28","[P]","    Oak Pacific Interactive Sites","56,873","62,432","89,896","89,689","95,576","97,465","85,124","78,222","81,152","83,804","84,609","72,896","66,988","152,331","129,604"
"29","[P]","    Adobe Sites","165,798","169,791","151,617","149,192","139,420","159,219","142,068","142,884","150,298","155,296","142,538","151,461","136,103","139,717","129,152"
"30","[P](u)","    Turner Digital","120,602","127,780","139,383","130,310","122,339","125,426","124,626","123,008","129,659","128,503","127,778","125,036","119,057","142,420","126,671"
"31","[P]","    Xinhua News Agency","26,851","45,624","63,225","64,977","74,903","85,370","85,158","88,714","89,606","84,048","92,349","80,837","79,939","134,843","122,240"
"32","[P]","    Wal-Mart","59,730","63,182","60,238","60,673","61,996","67,546","67,246","61,508","64,799","85,225","151,483","124,008","105,258","135,043","118,778"
"33","[P](U)","    IDG Network","43,500","48,012","102,144","105,833","109,595","113,940","117,925","123,207","121,138","119,138","119,226","114,561","115,187","116,728","110,646"
"34","[P]","    Axel Springer SE","101,822","107,857","105,601","109,436","108,488","113,161","113,880","115,371","119,465","119,115","114,293","118,707","108,288","112,440","109,737"
"35","[M](U)","    DAILYMOTION.COM (w/ history)","107,257","112,707","110,322","115,367","116,812","116,538","119,541","108,921","111,610","105,967","109,205","112,701","101,471","108,022","108,555"
"36","[M](u)","    Mail.Ru Sites","83,733","88,050","87,478","87,496","87,635","88,916","93,244","93,544","97,008","104,387","106,641","102,671","100,138","114,125","107,747"
"37","[P]","    PCPOP Sites","39,892","51,284","76,071","73,465","72,590","75,764","77,692","85,492","75,494","77,436","78,442","68,815","69,680","101,191","104,602"
"38","[P]","    Yandex Sites","89,862","94,719","93,050","93,120","92,978","94,247","92,146","92,308","92,423","98,811","101,533","102,075","99,571","103,535","103,924"
"39","[P]","    PPStream, Inc.","77,423","74,352","87,773","89,924","93,394","99,835","103,604","91,669","90,848","93,906","98,329","107,595","92,500","112,684","103,754"
"40","[M]","    WEATHER.COM.CN","27,133","31,960","57,107","62,158","63,874","77,149","67,382","61,083","58,760","57,849","56,051","57,364","62,493","92,566","95,548"
"41","[P]","    People's Daily online","40,441","49,726","68,887","75,224","68,560","78,773","78,953","72,925","69,664","73,256","78,839","72,764","70,780","103,093","94,233"
"42","[P](U)","    Answers.com Sites","89,943","101,728","105,285","102,123","88,239","83,207","84,651","86,668","87,438","74,879","79,089","76,259","80,695","89,132","88,322"
"43","[P]","    58.COM","34,931","45,622","58,666","62,428","56,906","63,261","61,712","60,186","63,739","65,309","64,294","55,078","66,125","89,793","88,037"
"44","[P]","    Ctrip.com International","23,357","26,778","41,707","42,200","43,826","50,372","51,458","48,249","45,233","46,226","52,697","58,964","59,227","76,774","86,833"
"45","[P]","    China Central Television Sites","45,102","48,484","70,354","73,637","87,856","77,388","76,139","71,197","66,409","71,223","86,755","80,874","69,615","99,347","86,802"
"46","[P]","    PPLive Inc.","65,113","69,737","88,367","90,681","87,128","83,306","80,433","72,290","70,331","70,886","72,444","72,464","70,068","90,975","84,842"
"47","[P](u)","    Schibsted Media Group","62,938","66,863","67,713","69,212","67,283","74,901","74,541","76,872","79,692","77,359","73,961","91,630","90,314","90,484","83,401"
"48","[C]","    ODNOKLASSNIKI.RU","57,609","59,478","60,117","65,310","62,226","63,435","65,219","65,728","65,789","77,877","79,307","81,032","78,818","74,353","82,875"
"49","[M]","    56.COM (w/ history)","44,299","56,119","79,282","81,514","65,661","68,047","67,076","58,779","47,725","64,323","68,026","60,961","62,979","84,197","79,839"
"50","[P]","    Priceline.com Incorporated","66,184","72,758","72,318","74,522","80,805","92,597","88,263","74,752","71,329","68,397","63,767","74,919","71,635","79,566","79,486"
"51","[P](U)","    Terra - Telefonica","92,219","99,161","100,255","104,950","98,075","96,611","97,452","95,314","100,374","95,672","92,263","85,032","80,363","80,863","77,496"
"52","[P](U)","    Demand Media","125,721","126,716","125,412","121,316","103,002","102,707","98,156","96,171","96,920","90,061","80,049","88,170","80,427","80,747","76,569"
"53","[P]","    CHINA.COM.CN","14,264","28,292","48,537","50,143","44,854","47,927","71,109","66,242","63,966","58,689","58,677","59,531","60,475","96,767","76,135"
"54","[M]","    4399.COM","43,333","34,625","48,900","46,914","49,225","60,592","60,289","43,584","45,799","43,307","43,180","54,062","51,833","70,212","72,873"
"55","[P](u)","    Gannett Sites","65,784","70,239","71,754","68,747","67,461","76,683","76,533","76,446","80,535","79,994","76,748","76,994","70,982","76,299","72,658"
"56","[P]","    2345.COM","33,055","38,305","60,079","64,421","58,523","61,292","62,265","71,596","70,798","60,395","62,928","56,299","54,272","71,123","72,395"
"57","[P](u)","    Hearst Corporation","74,290","76,390","69,433","66,219","63,211","68,339","64,840","68,651","74,128","72,579","71,655","71,867","67,297","75,566","72,237"
"58","[P]","    Sun Microsystems, Inc.","48,467","57,413","83,117","76,855","88,660","77,868","55,209","51,214","90,927","66,302","48,169","86,874","56,284","46,314","71,718"
"59","[P](u)","    Ziff Davis Tech","83,625","89,515","83,905","85,522","85,848","85,655","87,450","84,817","85,667","82,610","77,779","76,385","78,460","80,078","71,555"
"60","[P]","    BBC Sites","74,792","80,076","80,454","80,011","79,842","81,412","77,342","78,476","78,588","79,920","75,615","77,538","69,804","84,704","66,216"
"61","[P](u)","    Federated Media Publishing","85,459","88,858","91,244","87,511","79,076","82,243","86,629","91,401","91,124","91,222","81,293","80,223","69,096","71,682","66,059"
"62","[P]","    NHN Corporation","60,053","61,397","60,836","62,144","60,478","61,679","62,457","60,908","62,291","60,944","69,445","69,057","66,805","67,571","65,983"
"63","[P]","    Expedia Inc","47,707","55,846","60,049","62,090","66,093","77,886","74,075","64,590","69,560","62,458","57,103","60,390","56,112","64,177","63,477"
"64","[M]","    BITAUTO.COM","22,977","33,329","47,640","45,488","41,442","42,502","41,630","40,647","39,070","41,783","45,076","41,602","40,477","58,329","62,964"
"65","[M](u)","    Weather Channel, The","54,394","52,091","52,590","55,550","54,788","51,904","55,073","52,540","54,899","54,420","62,612","69,901","68,441","64,449","62,859"
"66","[P](U)","    Wikia Sites","54,423","57,337","58,647","60,192","58,364","60,141","61,440","62,069","68,656","69,796","64,367","64,592","59,321","63,660","62,484"
"67","[P]","    The Mozilla Organization","75,467","80,737","86,060","78,595","70,713","64,097","68,392","74,795","76,024","70,624","67,711","66,925","62,592","65,813","62,353"
"68","[P]","    China Economic Net","6,204","8,508","11,754","13,674","22,591","28,197","28,553","28,355","40,639","34,819","40,264","33,987","31,499","56,619","62,072"
"69","[M]","    DOUBAN.COM (w/ history)","29,410","32,477","41,194","48,029","47,232","53,468","51,761","47,607","50,015","52,531","53,150","46,480","48,108","61,634","61,839"
"70","[P]","    GANJI.COM","19,091","33,858","42,229","43,446","41,843","46,962","43,985","40,670","40,927","39,448","42,050","34,058","50,152","59,815","61,516"
"71","[P]","    Valve Corporation","59,480","60,069","58,708","59,911","61,651","67,843","67,910","66,805","65,464","66,395","71,834","67,948","62,607","63,187","60,986"
"72","[P]","    China Mobile Sites","32,505","37,375","50,727","60,436","55,686","54,248","55,102","59,137","52,239","55,132","63,461","52,515","48,933","65,024","60,937"
"73","[M]","    FUNSHION.COM (w/ history)","24,340","27,515","37,993","39,042","35,786","37,675","39,646","32,517","33,975","36,638","39,100","46,213","44,788","55,695","60,565"
"74","[P]","    AVG Technologies","91,561","95,792","68,515","70,140","74,941","68,662","76,272","83,094","75,749","70,183","62,967","58,550","61,313","53,901","58,423"
"75","[P](U)","    Viacom Digital","183,334","187,104","187,388","192,496","187,231","191,503","198,404","78,874","82,818","83,745","78,488","67,929","61,682","65,770","58,041"
"76","[P]","    Rakuten Inc","60,216","62,335","59,493","62,648","60,311","62,876","61,709","61,683","61,221","63,955","63,910","58,964","56,754","59,821","57,823"
"77","[M](U)","    SLIDESHARE.NET","49,780","55,954","57,472","60,576","62,284","52,539","52,062","61,403","65,163","69,558","48,574","51,071","56,519","63,157","57,717"
"78","[P]","    Conde Nast Digital","44,332","49,570","49,897","50,090","46,762","48,135","50,452","53,171","56,035","55,706","56,706","57,962","58,058","61,157","57,268"
"79","[P](U)","    Indeed (w/ history)","52,753","54,938","55,908","55,007","54,908","57,402","55,856","56,255","58,945","56,298","48,907","61,645","57,102","59,230","56,752"
"80","[P]","    EA Websites","67,246","72,114","67,704","65,533","68,445","69,323","69,360","63,729","59,883","62,821","63,961","60,484","55,673","57,314","55,776"
"81","[P](u)","    Orange Sites","72,925","76,789","76,145","75,295","70,805","69,203","68,362","73,115","76,410","74,861","66,265","57,600","55,734","58,644","55,555"
"82","[P](U)","    UOL","56,759","59,130","58,003","60,699","61,216","64,093","63,846","57,934","61,811","60,150","57,929","56,570","54,499","55,932","53,764"
"83","[P]","    WIKIHOW.COM","28,634","36,439","40,712","45,624","47,653","50,917","53,117","53,089","56,140","56,046","53,232","56,977","53,756","56,664","53,661"
"84","[M]","    Steam (App)","53,810","53,486","52,563","53,395","54,774","59,253","60,160","59,353","57,941","58,342","62,234","59,199","55,404","55,371","53,003"
"85","[P]","    China Telecom Sites","25,300","34,974","67,360","68,622","62,489","61,837","60,731","59,270","58,437","53,118","56,077","44,069","37,111","47,511","52,546"
"86","[M]","    ICBC.COM.CN","26,430","29,979","43,207","45,410","43,558","46,013","45,911","46,321","45,282","46,730","46,714","44,545","39,492","53,219","52,047"
"87","[P](U)","    ESPN","50,606","63,194","59,818","57,120","65,417","58,980","60,759","67,777","67,462","65,217","63,048","57,754","51,466","59,208","51,834"
"88","[P]","    FC2 inc.","55,463","57,491","56,861","57,425","57,092","57,538","57,217","56,801","56,873","55,632","55,099","54,901","52,367","53,121","51,426"
"89","[P](u)","    Spil Games","60,309","66,097","63,641","63,472","64,544","65,741","61,779","55,798","58,518","59,827","60,841","58,027","53,223","54,906","51,337"
"90","[P]","    Sony Online","64,828","76,260","65,989","67,345","76,335","71,038","70,383","75,336","67,594","70,124","72,746","61,475","53,402","55,887","50,812"
"91","[P](U)","    CCM-Benchmark","47,847","53,570","59,596","58,677","56,936","54,728","52,800","55,941","59,767","56,812","53,280","55,368","53,256","54,453","50,121"
"92","[P]","    China Construction Bank","24,127","27,718","39,557","42,237","40,699","43,504","43,347","44,502","43,172","46,465","46,986","44,160","38,895","53,659","50,090"
"93","[P](u)","    WebMD Health","48,101","51,304","51,632","48,736","45,304","48,403","50,658","49,933","55,559","52,957","48,340","51,115","48,134","52,607","49,815"
"94","[P]","    MercadoLibre","45,938","50,092","50,008","51,016","50,170","51,906","55,582","54,167","55,022","54,688","52,083","53,149","49,489","51,530","49,385"
"95","[M]","    IT168.COM","20,384","27,729","41,225","42,549","42,571","42,322","37,993","38,654","36,161","44,908","47,817","46,287","38,133","52,834","49,061"
"96","[P](U)","    Globo","46,919","50,997","50,646","51,073","51,081","52,107","52,386","50,013","52,347","51,149","48,921","50,570","49,703","50,299","48,389"
"97","[P]","    HEXUN.COM","16,420","26,816","40,685","42,043","37,922","42,482","38,980","41,681","42,445","47,109","47,156","37,243","37,028","75,676","48,268"
"98","[P](u)","    OLX Inc.","44,185","51,306","47,173","42,996","44,498","48,878","48,967","47,787","47,541","44,442","38,644","42,271","38,820","41,582","47,855"
"99","[P]","    Deutsche Telekom","51,080","53,621","55,371","56,382","53,060","53,713","55,532","57,410","55,857","55,570","52,427","52,515","49,375","50,526","47,536"
"100","[P]","    DANGDANG.COM","18,602","27,190","36,036","41,699","42,231","49,968","41,958","46,354","43,239","51,497","46,294","33,592","34,982","55,810","46,658"
"101","[P]","    6.CN","16,008","18,903","23,566","27,166","27,674","32,764","35,274","30,783","32,912","36,864","34,887","43,830","40,104","49,272","45,438"
"102","[P]","    GSN Games","42,106","48,824","46,887","59,967","59,800","60,839","57,762","50,178","48,182","49,370","52,449","50,179","44,644","44,166","44,468"
"103","[P]","    120ASK.COM","16,866","24,520","37,117","41,891","36,530","39,783","38,376","34,253","34,886","35,071","35,602","30,289","31,364","44,961","44,354"
"104","[M](u)","    Hearst Digital Media","48,792","50,645","41,213","39,537","38,321","42,142","39,690","44,035","46,672","46,417","45,600","44,234","40,794","46,628","43,597"
"105","[P]","    United-Internet Sites","35,756","38,716","38,624","38,748","38,837","42,657","40,473","37,895","38,331","37,712","41,860","48,511","40,623","47,017","43,559"
"106","[P]","    craigslist, inc.","50,757","53,948","53,983","52,515","52,852","56,610","55,142","52,100","50,105","48,097","44,696","46,866","42,743","45,590","43,029"
"107","[P](U)","    New York Times Digital","47,797","52,018","59,253","51,278","46,027","47,938","43,606","48,767","50,853","48,801","45,149","42,225","42,438","46,929","42,810"
"108","[P]","    NETFLIX.COM","39,718","45,163","42,470","42,593","43,984","43,816","44,229","43,662","43,127","43,323","47,346","46,128","44,080","47,951","42,081"
"109","[P](u)","    Disney Online","40,327","48,469","43,980","44,509","46,771","49,931","48,296","43,254","48,087","46,101","45,149","43,971","41,263","44,900","41,841"
"110","[P](U)","    Gawker Media","38,450","38,628","39,753","42,259","41,137","42,030","42,472","48,000","45,892","47,008","42,072","43,500","41,452","43,634","41,520"
"111","[P]","    Hewlett Packard","34,408","40,217","42,779","39,334","39,489","41,830","40,884","41,740","43,015","39,891","41,345","43,280","36,182","40,542","41,323"
"112","[P](U)","    Meredith Digital","47,036","51,994","43,059","44,988","44,481","46,756","46,605","46,394","49,789","50,738","53,387","46,136","41,035","43,376","41,222"
"113","[P]","    Samsung Group","36,211","44,438","46,158","52,604","45,472","46,564","49,212","46,979","47,551","51,574","53,119","42,428","38,479","42,546","40,932"
"114","[P]","    DUOWAN.COM","21,981","22,653","28,676","31,304","30,022","33,493","32,598","28,029","27,473","27,209","28,930","31,916","30,637","39,460","40,752"
"115","[M](u)","    AuFeminin","45,166","47,536","45,909","46,467","44,421","43,886","44,434","45,303","48,961","46,559","44,084","45,380","42,274","44,068","40,362"
"116","[P]","    Gretech Corp.","46,799","43,780","42,921","44,780","44,109","44,236","44,718","42,752","40,738","41,159","42,608","42,574","40,295","41,255","40,199"
"117","[P](u)","    Time Warner (Excl. Turner/WB)","37,039","38,466","39,238","38,053","38,529","38,060","38,744","40,920","43,943","42,206","41,458","41,746","38,381","40,868","39,921"
