, Mar-2008, Apr-2008, May-2008, Jun-2008, Jul-2008, Aug-2008, Sep-2008, Oct-2008, Nov-2008, Dec-2008, Jan-2009, Feb-2009, Mar-2009, Apr-2009, May-2009,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10,Mar-10,Apr-10,May-10,Jun-10,Jul-10,Aug-10,Sep-10,Oct-10,Nov-10,Dec-10,Jan-11,Feb-11,Mar-11,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Apr-12,May-12,Jun-12,Jul-12,Aug-12,Sep-12,Oct-12,Nov-12,Dec-12,Jan-13,Feb-13,Mar-13,Apr-13,May-13,Jun-13,Jul-13,Aug-13,Sep-13,Oct-13
World-Wide,"256,061","261,414","263,120","251,502","244,326","248,539","272,109","277,208","280,969","272,998","289,811","300,751","327,148","320,043","317,255","302,940","295,484","307,641","325,998","344,563","345,805","347,020","364,719","345,218","370,744","374,846","388,932","379,112","360,225","373,392","398,178","408,350","410,816","395,472","413,957","379,415","400,011","380,716","411,061","399,362","393,543","422,779","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471"
Europe,"92,283","93,642","95,234","89,427","86,905","83,931","98,304","102,955","106,199","105,318","112,449","117,828","126,474","119,578","118,874","112,270","108,552","111,190","123,062","128,647","129,798","129,763","136,935","133,807","140,834","144,087","150,313","151,013","138,975","140,560","155,438","159,384","165,020","157,837","168,571","150,775","156,913","149,211","161,311","153,883","146,724","152,109","166,505","176,918","178,580","173,496","184,668","179,385","180,827","176,376","185,344","174,151","163,811","163,167","175,027","183,372","184,660","183,718","192,293","182,809","193,348","190,229","192,353","182,455","176,767","176,114","184,950","195,496"
Asia Pacific,"62,380","63,963","63,560","65,764","65,838","66,895","68,291","65,703","68,371","66,026","71,203","70,862","78,009","76,024","75,595","76,239","74,990","77,365","77,948","83,671","82,379","84,201","89,049","72,378","77,678","77,535","80,502","80,393","79,888","81,295","85,606","87,359","85,732","87,087","88,233","80,038","81,918","78,234","82,081","80,753","83,859","97,661","102,341","106,128","105,296","103,851","108,186","105,783","110,909","104,524","108,087","107,603","108,690","108,428","107,902","108,013","105,964","105,288","109,258","104,931","113,263","115,045","119,197","117,677","121,316","120,185","116,734","120,838"
North America,"63,518","63,827","63,186","58,272","57,347","59,494","64,075","66,785","65,133","63,782","67,971","65,855","66,878","70,908","69,387","64,678","66,142","68,084","71,661","73,452","75,050","77,607","82,489","80,940","83,696","83,792","85,929","80,269","80,260","83,015","83,119","83,406","82,736","80,958","85,593","77,468","80,997","77,891","84,666","86,539","90,378","88,277","93,193","96,252","94,689","94,413","99,821","98,049","97,001","96,664","97,378","93,676","94,146","95,824","98,992","100,152","97,462","96,966","99,277","96,653","100,735","100,633","98,666","92,442","95,094","94,693","96,520","99,543"
United States,"53,400","53,433","53,062","48,695","48,220","50,171","53,951","56,340","54,556","52,860","56,159","54,150","54,783","58,977","57,684","53,613","54,873","56,943","60,276","61,656","63,011","65,708","69,966","68,345","71,065","71,263","73,410","68,069","68,242","69,441","73,411","74,956","72,880","74,607","74,870","67,677","69,084","65,710","69,353","68,320","71,855","75,535","79,656","82,245","80,497","80,464","85,219","83,537","82,588","81,583","82,470","79,303","80,127","82,080","84,708","85,252","82,516","82,348","84,506","82,348","85,825","85,546","83,875","78,190","81,411","81,212","82,731","85,391"
Latin America,"24,542","26,347","27,002","26,099","23,220","26,847","28,886","27,974","27,416","22,769","22,558","27,440","34,229","33,400","33,870","33,263","29,298","33,186","35,264","36,440","36,495","31,391","32,834","36,414","43,574","44,286","45,790","43,826","38,111","42,303","45,265","45,152","46,617","38,738","39,446","41,411","47,583","45,108","49,095","47,203","42,700","52,983","56,613","57,210","56,544","45,235","47,386","51,425","58,584","55,227","58,825","54,654","49,387","52,510","54,499","55,850","54,874","45,777","47,216","60,701","68,711","69,779","69,932","68,162","61,155","67,071","68,179","72,075"
Middle East - Africa,"13,337","13,634","14,139","11,941","11,016","11,371","12,553","13,790","13,850","15,103","15,630","18,765","21,558","20,133","19,529","16,489","16,502","17,816","18,063","22,353","22,083","24,058","23,411","21,680","24,962","25,146","26,399","23,611","22,991","26,220","28,749","33,049","30,711","30,852","32,113","29,722","32,599","30,272","33,908","30,985","29,882","31,749","35,877","40,119","39,614","40,068","42,097","41,056","42,081","40,589","42,759","39,560","35,788","36,327","38,445","40,977","41,530","40,802","40,429","37,906","41,553","41,062","41,620","38,842","37,774","38,812","39,522","42,520"
India,"5,200","5,079","5,264","5,979","5,720","6,217","6,025","5,799","6,286","6,421","6,764","6,587","7,014","6,807","7,168","7,522","7,908","8,398","8,480","9,287","9,437","9,696","10,216","9,865","10,516","10,923","11,675","12,373","12,828","13,187","13,433","13,674","13,614","14,004","15,067","12,960","13,011","12,801","13,701","14,163","14,979","15,944","16,180","16,019","16,425","16,425","17,205","18,771","19,402","18,688","20,016","21,031","21,905","22,027","21,853","22,749","22,191","23,339","24,140","23,104","24,934","24,889","25,892","26,861","28,658","28,286","27,181","28,677"
China,669,"2,288",994,958,232,"1,382","2,735","2,037","2,185","2,286","1,825","2,002","2,752","3,115","2,936","4,566","3,839","3,547","2,882","3,702","3,718","3,657","3,351","2,935","3,443","4,081","2,700","2,613","2,536","2,829","3,181","3,156","3,108","3,372","3,048","2,664","2,854","2,866","3,492","3,960","4,814","5,163","5,709","7,386","7,355","8,803","8,766","7,886","9,249","6,666","5,917","5,890","5,761","5,602","4,922","4,965","4,866","4,457","4,194","3,218","4,608","7,412","8,173","7,265","7,996","7,828","6,147","7,900"
