"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: May 2011 - July 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 8/20/2012","","","","","",""

"","","","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012"
"20","[P]","    TWITTER.COM","139,213","144,441","146,413","155,968","157,303","166,536","167,903","175,613","181,872","178,157","188,006","190,379","200,620","188,483","175,669"
"21","[P]","    SINA Corporation","125,533","129,116","139,096","137,986","147,155","153,389","150,065","155,718","163,853","159,730","167,814","158,500","157,930","163,349","169,154"
"22","[P]","    The Mozilla Organization","145,477","117,557","112,887","126,894","134,629","96,492","108,468","112,291","131,089","120,557","109,936","109,129","119,062","158,001","144,036"
"23","[P]","    Adobe Sites","139,968","135,014","134,096","144,970","147,315","152,887","151,765","161,875","182,234","150,409","158,563","152,712","141,060","137,531","138,414"
"24","[P]","    NetEase.com Inc.","89,643","88,900","93,060","91,763","99,370","97,234","100,758","103,039","103,534","110,372","115,776","109,177","109,430","119,691","132,694"
"25","[P]","    Youku Inc.","77,739","83,037","91,018","86,607","94,225","102,199","99,129","98,086","109,040","105,606","117,610","109,237","104,820","109,842","124,267"
"26","[P](U)","    New York Times Digital","115,279","107,815","108,536","113,033","124,192","137,403","138,948","135,000","141,903","134,466","136,017","127,092","132,671","123,804","120,868"
"27","[P]","    BABYLON.COM","48,634","49,031","51,396","57,840","63,402","51,413","54,732","63,599","67,783","72,695","84,109","92,505","100,049","106,416","117,586"
"28","[P](U)","    Demand Media","103,812","96,467","91,674","98,036","95,438","93,599","98,235","94,072","101,138","97,615","104,273","104,701","112,544","109,050","111,734"
"29","[P](u)","    Technorati Media","118,362","110,839","107,253","108,087","117,349","122,549","117,494","112,180","118,653","114,164","122,967","120,462","123,727","112,688","111,714"
"30","[P](u)","    Turner Digital","147,542","134,020","130,388","134,007","126,995","128,659","123,550","123,264","129,934","122,612","122,156","112,807","114,584","116,304","108,162"
"31","[P](u)","    Terra - Telefonica","93,018","91,737","93,215","97,598","99,592","99,654","98,329","97,434","96,185","91,036","94,879","98,297","103,753","107,144","104,577"
"32","[P]","    Tudou Sites","66,498","67,723","77,914","74,838","76,920","82,203","80,337","83,807","94,839","94,665","99,255","96,009","80,186","84,486","95,553"
"33","[P](u)","    NetShelter Technology Media","139,254","135,513","140,404","142,521","146,239","152,455","145,783","143,638","146,508","142,435","149,757","147,677","155,302","151,448","91,002"
"34","[P](U)","    DAILYMOTION.COM","114,292","101,929","83,971","85,089","88,764","96,648","94,808","95,449","93,161","93,354","98,443","109,532","94,410","90,491","88,594"
"35","[P]","    KuGou Inc.","47,424","48,141","49,539","45,198","41,019","40,017","39,526","39,944","41,253","44,561","60,957","67,871","63,908","68,553","87,601"
"36","[P]","    Qihoo.com Sites","31,558","31,320","34,446","37,397","35,697","40,387","44,422","48,654","49,239","58,305","73,112","81,558","83,534","83,976","86,492"
"37","[P]","    Axel Springer AG","56,997","65,630","66,842","67,806","71,500","76,990","76,371","77,208","92,150","87,813","88,013","86,941","89,727","88,147","84,994"
"38","[P]","    MEDIAFIRE.COM","65,839","66,403","70,062","74,926","78,122","84,086","84,676","89,541","96,031","93,594","93,398","86,759","90,294","86,651","84,311"
"39","[P](u)","    Break Media","72,789","70,860","68,983","71,597","70,011","72,371","70,221","74,839","79,068","79,026","79,818","78,591","81,251","79,976","82,133"
"40","[P]","    Yandex Sites","60,543","61,976","64,116","64,632","68,765","70,071","71,503","74,405","76,946","76,237","79,433","80,772","82,008","80,883","81,379"
"41","[P]","    NHN Corporation","42,383","41,891","70,131","74,056","76,868","77,961","76,866","77,023","79,661","78,997","78,995","78,506","79,567","78,740","79,064"
"42","[P](U)","    Answers.com Sites","88,487","71,866","61,860","69,164","79,301","77,203","76,924","70,652","80,319","81,167","84,201","83,222","89,732","80,433","75,602"
"43","[P](u)","    BUZZMEDIA","39,034","41,796","41,757","43,993","41,886","44,168","44,335","46,055","47,081","44,318","38,537","62,124","72,934","76,120","74,543"
"44","[P]","    Sony Online","67,799","66,787","62,537","66,022","66,621","70,878","73,191","77,159","75,304","72,734","68,179","59,812","64,605","66,683","72,148"
"45","[P](u)","    BBC Sites","74,281","65,593","67,675","72,209","71,250","77,127","74,949","72,739","75,671","73,269","73,232","72,097","74,298","72,090","71,757"
"46","[P]","    Priceline.com Incorporated","40,914","46,751","53,032","49,213","44,955","45,385","45,514","41,594","49,960","49,541","49,356","55,763","58,713","64,277","71,331"
"47","[P]","    PPStream, Inc.","60,718","61,329","61,807","60,906","58,619","59,397","58,404","53,863","52,951","52,152","62,846","61,815","58,777","61,962","70,636"
"48","[P]","    AVG Technologies","33,812","35,374","34,400","33,435","33,860","40,205","24,428","32,517","39,951","43,217","46,943","57,069","61,324","63,086","70,524"
"49","[P]","    Rakuten Inc","60,840","57,785","59,031","62,198","63,498","71,032","71,831","75,263","71,654","68,319","69,836","70,750","72,785","72,255","70,386"
"50","[P]","    Oak Pacific Interactive Sites","72,664","74,031","71,947","52,969","51,075","57,597","60,901","62,301","64,091","65,875","72,091","63,400","59,745","64,854","70,148"
"51","[P]","    4SHARED.COM*","82,695","80,610","81,619","82,142","84,759","77,214","72,865","73,476","75,431","72,187","77,321","87,844","86,435","84,353","69,219"
"52","[P]","    PPLive Inc.","32,035","29,626","36,738","43,656","43,732","46,375","47,282","53,121","61,413","59,113","66,142","64,008","59,551","68,358","68,993"
"53","[P]","    EA Online","32,325","36,168","36,641","38,869","44,440","51,940","46,301","49,229","46,290","62,120","66,698","59,617","58,819","64,079","66,486"
"54","[P](u)","    Gannett Sites","56,973","53,509","53,985","58,635","55,644","56,690","56,766","58,353","62,556","70,932","69,145","64,451","65,590","62,905","66,080"
"55","[P](u)","    Spil Games","52,057","56,028","59,376","59,091","52,967","57,460","56,023","64,527","63,345","59,257","61,382","68,498","64,497","65,511","65,819"
"56","[P](u)","    IG Portal","31,237","32,190","29,259","61,505","64,505","67,975","70,602","83,045","80,138","74,934","76,505","68,069","68,891","67,373","64,613"
"57","[P]","    China Telecom Sites","5,770","6,260","7,841","6,102","5,892","6,931","6,245","6,326","5,071","5,259","40,821","61,079","67,545","63,041","64,389"
"58","[P]","    Expedia Inc","80,012","86,378","96,945","90,073","83,120","80,395","79,120","82,633","49,255","46,728","52,141","49,920","51,199","56,528","62,750"
"59","[P]","    Orange Sites","70,685","67,491","63,491","68,846","72,576","79,220","79,663","68,994","73,561","68,461","71,353","69,394","72,858","67,695","62,267"
"60","[P]","    FC2 inc.","50,745","51,493","53,236","56,007","56,994","59,124","58,320","58,816","60,779","60,237","60,687","60,214","60,551","60,543","61,191"
"61","[P]","    craigslist, inc.","55,182","56,784","57,504","58,985","57,482","56,540","54,844","53,283","57,069","56,658","57,298","55,824","56,339","57,165","59,667"
"62","[P](U)","    Weather Channel, The","45,535","44,641","64,950","74,674","65,791","63,513","59,856","60,530","65,712","63,341","61,553","59,577","58,343","57,951","59,574"
"63","[P](u)","    Wal-Mart","42,803","44,650","48,053","50,087","49,499","58,072","73,336","72,011","54,372","50,534","51,469","51,996","55,421","55,963","58,725"
"64","[P]","    Gretech Corp.","54,515","55,496","57,766","59,317","62,969","63,890","62,790","64,496","66,326","62,154","62,192","59,593","59,908","58,690","57,698"
"65","[P]","    DEPOSITFILES.COM","26,094","27,788","27,662","27,652","29,040","32,118","31,361","31,691","40,328","56,705","59,170","57,044","58,581","55,513","56,213"
"66","[P]","    Real.com Network","59,147","61,792","56,748","53,874","54,950","62,514","61,953","65,571","60,466","54,681","52,619","49,663","57,995","59,874","55,859"
"67","[P](U)","    ESPN","60,604","59,149","55,383","62,111","75,141","71,555","69,509","66,265","61,894","56,783","64,753","57,784","54,072","58,975","55,640"
"68","[P]","    Deutsche Telekom","50,472","49,193","49,101","51,673","51,862","54,130","52,846","53,057","53,730","52,565","53,075","54,726","54,206","54,202","53,095"
"69","[P]","    OLX Inc.","47,105","45,171","45,834","47,868","46,932","46,699","46,440","44,453","51,777","52,278","55,081","53,225","56,140","52,514","53,045"
"70","[P]","    FILESTUBE.COM","48,563","49,158","48,914","49,354","51,632","57,749","56,423","58,096","62,760","63,006","64,694","64,323","58,962","51,666","50,848"
"71","[P](U)","    Wikia Sites","39,512","39,021","39,524","40,031","40,340","44,585","47,134","47,619","50,086","47,809","50,647","48,711","50,808","50,505","50,541"
"72","[P]","    Disney Online","42,310","46,272","49,450","48,569","49,744","54,156","49,620","54,765","50,119","48,404","52,427","49,343","49,669","50,044","50,478"
"73","[P]","    MIH Limited","42,619","41,006","40,098","41,226","42,249","45,151","43,431","48,341","48,595","45,478","46,838","48,624","51,728","48,853","50,115"
"74","[P](U)","    UOL","46,594","47,153","49,845","49,506","50,122","51,153","52,203","52,109","51,599","48,370","51,163","51,055","51,383","51,351","50,065"
"75","[P](u)","    Grupo Intercom","36,439","35,582","34,373","35,681","35,778","37,544","37,910","35,897","40,167","48,351","51,478","48,316","53,004","49,771","49,949"
"76","[P]","    Steam (App)","26,666","29,916","32,068","32,682","35,053","37,360","39,186","40,774","41,936","42,644","44,436","44,481","47,138","47,885","48,637"
"77","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","42,472","40,678","40,241","42,120","44,108","44,860","45,406","43,783","47,424","46,253","49,045","49,122","51,137","48,154","47,880"
"78","[P]","    China Central Television Sites","20,147","21,143","22,191","20,938","24,378","24,480","23,458","26,758","23,843","25,401","29,010","25,475","26,068","36,835","47,286"
"79","[P](u)","    Globo","29,624","29,574","35,953","39,315","40,559","45,806","47,430","44,668","47,683","44,867","46,469","45,567","46,731","47,116","46,779"
"80","[P](u)","    Monster, Inc.","46,443","45,896","45,180","45,278","43,859","45,369","44,779","41,085","45,175","46,794","51,183","43,699","44,312","42,031","45,630"
"81","[P](U)","    Indeed","33,544","35,520","29,007","26,672","31,889","32,229","31,909","27,023","37,788","34,631","37,735","38,217","40,960","42,691","45,071"
"82","[P]","    CyberAgent","36,007","35,381","36,532","38,155","38,714","39,681","39,709","39,139","41,786","41,753","44,582","42,784","43,723","43,432","44,658"
"83","[P]","    CCM-Benchmark","44,026","42,741","40,028","44,945","46,037","51,155","50,991","51,400","55,204","52,361","51,982","51,089","50,116","47,047","44,585"
"84","[P]","    56.COM","33,588","33,523","35,657","34,338","39,178","40,994","32,378","30,057","28,259","29,674","35,137","34,174","33,324","35,849","44,461"
"85","[P]","    PCPOP Sites","21,927","19,974","28,946","26,192","29,025","33,820","33,237","35,795","36,560","39,134","46,886","41,370","36,669","36,346","44,153"
"86","[P]","    Samsung Group","26,231","26,862","28,672","29,487","33,067","35,730","37,065","44,987","38,633","34,770","36,569","35,002","42,859","43,833","43,955"
"87","[P](U)","    Hearst Digital Media","19,684","21,861","23,182","25,336","25,726","29,420","28,826","43,119","42,439","48,051","47,762","51,451","59,944","65,267","43,783"
"88","[P]","    Sun Microsystems, Inc.","26,150","27,224","31,415","26,685","26,683","32,088","35,614","31,613","30,199","28,931","38,443","37,479","35,598","34,394","43,400"
"89","[P](U)","    Photobucket.com LLC","54,442","48,309","49,670","51,601","50,258","49,661","49,550","48,097","49,570","47,394","48,002","46,334","47,174","46,086","43,077"
"90","[P]","    NTT Group","39,409","39,214","40,345","41,125","42,199","42,712","42,196","41,512","43,502","42,135","44,091","41,342","43,102","41,720","42,538"
"91","[P](u)","    Meredith Women's Network","17,859","18,007","18,080","16,440","16,234","19,147","19,840","21,239","19,342","21,473","21,697","41,851","42,132","41,749","42,362"
"92","[P]","    58.COM","21,053","23,319","28,898","28,293","31,272","38,028","30,319","28,431","29,546","33,042","38,032","35,145","35,863","38,076","42,166"
"93","[P]","    RapidShare AG","46,578","43,961","41,874","41,593","40,554","42,854","41,703","41,215","47,682","54,462","51,192","49,485","49,770","42,276","42,055"
"94","[P](u)","    IDG Network","41,359","42,265","43,137","45,320","45,381","51,583","49,764","53,003","49,894","46,630","45,948","41,891","42,878","42,880","41,621"
"95","[P]","    GSN Games","39,743","42,472","45,795","45,340","40,645","40,375","37,700","40,001","39,831","39,881","39,793","40,872","40,944","40,356","41,276"
"96","[P](U)","    Internet Brands, Inc.","28,409","35,308","38,046","39,182","41,188","41,806","40,086","39,964","42,852","41,511","43,794","43,846","44,800","41,680","41,071"
"97","[P]","    MercadoLibre","33,447","33,481","35,707","38,421","36,904","38,175","38,167","37,583","38,856","35,994","38,647","38,683","40,743","39,412","39,834"
"98","[P](U)","    Tribune Interactive","45,478","41,581","41,521","43,111","42,658","42,038","40,930","42,028","44,403","42,132","43,273","40,968","40,344","37,066","38,963"
"99","[P](U)","    DEVIANTART.COM","35,408","36,003","37,592","38,775","37,879","40,757","39,709","43,198","46,817","42,846","42,562","41,452","41,941","39,913","38,924"
"100","[P]","    Hewlett Packard","38,699","38,491","41,350","44,352","49,156","53,575","51,034","52,063","40,667","36,607","39,695","35,919","35,892","34,283","38,109"
"101","[P](u)","    Geeknet","37,397","37,428","36,067","36,823","37,653","40,645","40,763","41,266","42,656","40,748","42,410","40,299","40,107","39,172","37,769"
"102","[P](u)","    SheKnows (Evolve Media Corp.)","30,925","28,992","29,513","30,941","30,919","29,253","34,478","35,646","35,175","32,988","32,857","32,690","34,075","35,307","37,619"
"103","[P]","    United-Internet Sites","30,369","31,306","31,002","36,480","37,131","37,913","37,349","37,905","41,715","36,462","37,358","37,001","36,352","35,532","37,311"
"104","[P](u)","    Alloy Digital Properties","37,516","42,761","43,912","43,396","42,628","51,698","53,608","56,740","49,905","51,984","55,427","39,928","42,355","36,922","37,259"
"105","[P]","    China Mobile Sites","22,055","24,848","26,743","28,498","28,460","29,837","30,641","35,093","34,632","35,342","37,753","33,193","35,862","33,908","37,184"
"106","[P]","    NETFLIX.COM","34,132","28,900","30,955","30,163","32,766","29,716","28,337","37,382","34,063","36,379","34,251","33,343","35,518","34,029","37,007"
"107","[P]","    Dwango Co., Ltd.","23,745","25,692","27,261","29,490","30,647","32,263","32,908","33,162","34,574","34,130","36,101","35,600","36,314","36,368","36,616"
"108","[P]","    Conde Nast Digital","40,588","37,490","36,864","40,361","40,502","45,134","47,114","48,033","47,609","43,494","45,494","45,678","45,581","38,072","35,659"
"109","[P](u)","    YP Local Media Network","34,381","34,274","40,519","39,919","38,871","37,369","35,246","36,215","36,153","35,558","36,451","35,416","37,990","34,423","35,316"
"110","[P](U)","    YELP.COM","31,270","32,712","35,005","35,256","33,470","33,189","30,811","31,613","32,643","32,272","34,180","33,837","35,158","34,984","35,269"
"111","[P]","    IncrediMail Ltd","7,693","7,980","6,901","6,782","8,996","10,894","14,938","19,682","19,918","20,785","24,262","19,238","20,651","27,880","34,985"
"112","[P]","    2345.COM","32,877","31,230","34,477","35,807","34,434","35,204","34,524","35,798","33,419","32,819","32,544","26,919","27,500","30,639","34,768"
"113","[P](u)","    Lycos Global Search And Media","37,032","34,867","33,202","36,410","37,407","40,406","42,903","33,486","35,672","36,816","38,465","35,528","36,213","32,859","34,487"
"114","[P]","    Groupe PPR","32,566","31,686","30,485","31,620","34,230","34,792","37,621","39,277","37,905","34,810","36,221","34,644","36,424","34,675","34,202"
"115","[P](U)","    CraveOnline (Evolve Media Corp.)","34,450","35,710","31,189","32,946","37,051","38,756","36,470","40,782","40,563","39,439","38,507","38,171","37,900","36,367","34,144"
"116","[P]","    GMO Internet Group","26,511","25,713","28,510","30,780","31,599","32,616","32,452","31,459","33,780","33,272","34,198","33,228","33,550","33,884","33,530"
"117","[P](u)","    Dow Jones & Company","29,981","31,430","31,208","35,494","34,281","34,704","31,356","29,875","31,841","32,509","32,781","31,891","33,348","33,050","33,521"
"118","[P](u)","    Everyday Health","32,041","32,213","34,217","34,243","35,044","34,819","35,697","33,321","38,015","35,274","37,125","35,109","35,418","33,409","33,359"
"119","[P]","    Hubert Burda Media","32,213","32,646","33,034","33,645","33,664","36,336","33,799","33,456","35,761","33,782","33,741","32,753","33,500","31,841","32,524"
"120","[P]","    TARINGA.NET","30,207","29,231","29,845","31,484","32,743","32,683","31,432","30,783","32,362","30,348","32,524","31,994","34,495","32,451","32,237"
"121","[P]","    Seesaa","25,575","26,288","27,649","28,896","29,964","31,181","31,127","30,878","33,198","31,922","34,300","32,888","33,132","32,061","32,223"
"122","[P](u)","    Discovery Digital Media Sites","40,058","37,700","36,578","37,442","39,100","40,587","38,698","37,956","40,527","39,024","40,159","38,051","38,186","32,818","32,125"
"123","[P]","    Sakura Internet","24,684","25,418","25,908","26,536","28,144","30,352","29,501","29,172","30,233","30,091","31,592","30,451","30,801","31,493","31,955"
"124","[P]","    DOUBAN.COM","16,465","17,983","19,012","19,214","21,743","25,219","24,978","28,352","29,323","32,118","31,887","28,813","28,105","29,072","31,876"
"125","[P](U)","    Scripps Networks Interactive Inc.","31,907","26,665","28,873","29,274","28,918","31,267","36,209","36,249","34,870","30,812","30,780","31,499","31,127","30,576","31,569"
"126","[P]","    CONDUIT.COM","31,678","35,022","17,246","18,191","23,656","26,160","28,168","18,814","22,741","23,968","28,176","29,190","35,423","30,830","31,422"
"127","[P]","    Ebuzzing","29,614","28,256","28,464","30,830","30,753","32,143","32,052","31,395","33,608","32,962","33,833","37,587","36,600","33,142","31,240"
"128","[P]","    WebMD Health","35,601","35,420","37,629","38,912","38,761","41,091","39,394","36,895","32,354","31,256","32,582","31,304","32,168","31,411","31,219"
"129","[P](U)","    Times Internet Limited","24,424","21,247","22,782","23,403","24,159","23,393","25,425","26,513","26,818","25,748","28,061","28,474","30,189","28,994","31,147"
"130","[P]","    Groupe Pages Jaunes","36,573","36,058","34,636","33,521","32,931","34,464","33,289","31,960","32,403","32,050","32,693","31,224","32,959","30,926","31,078"
"131","[P]","    Otto Gruppe","33,500","31,779","30,702","30,445","33,087","36,481","37,158","36,010","35,630","35,591","34,943","31,634","33,552","30,261","31,065"
"132","[P](u)","    Yellowbook Network","33,263","31,719","31,052","40,889","44,566","45,294","41,933","37,808","43,441","37,083","37,909","37,177","36,301","37,044","30,658"
"133","[P]","    RosBusinessConsulting","32,411","31,211","31,412","31,522","32,341","33,463","33,464","34,729","34,109","34,474","35,663","33,226","33,340","31,703","30,577"
"134","[P]","    Y8.COM","12,814","14,212","14,678","14,178","12,370","23,154","23,716","28,850","34,467","29,657","34,087","35,835","34,470","32,251","30,526"
"135","[P]","    RTL Group Sites","30,173","27,872","27,269","26,453","27,348","29,182","27,229","27,548","28,628","30,105","29,381","29,918","32,106","30,339","30,366"
"136","[P]","    Xinhua News Agency","22,534","23,917","26,215","24,855","26,168","26,575","26,550","27,043","24,704","28,185","30,002","28,305","26,571","27,605","30,253"
"137","[P]","    Nifty Corporation","27,352","26,795","27,856","28,585","29,356","30,460","29,193","28,851","30,028","29,763","30,473","28,664","30,256","29,146","30,208"
"138","[P](u)","    Shopzilla.com Sites","32,293","31,499","36,605","38,783","38,741","43,104","44,306","44,161","40,800","33,705","33,017","31,434","31,219","28,121","29,973"
"139","[P]","    Groupe Lagardere","46,521","47,076","46,413","43,618","44,540","44,618","43,997","31,431","33,635","32,927","33,972","33,049","34,531","32,543","29,964"
"140","[P](u)","    Fox Interactive Media","106,234","97,266","95,943","37,407","41,502","44,630","39,643","36,591","35,750","33,340","36,105","32,966","34,475","30,088","29,767"
"141","[P]","    Opera Software","31,327","29,844","32,838","33,462","36,033","35,314","34,480","41,437","38,440","36,290","37,490","34,892","34,763","31,637","29,757"
"142","[P]","    Verizon Communications Corporation","22,165","23,792","25,927","25,121","24,950","26,895","27,468","26,598","27,150","23,745","23,205","21,970","23,340","27,693","29,462"
"143","[P](u)","    Gawker Media","29,105","29,763","27,667","28,194","29,727","32,936","30,531","31,889","34,025","30,941","32,296","31,402","29,752","29,793","29,456"
"144","[P]","    WIKIHOW.COM","17,680","15,846","14,077","14,934","15,336","17,025","15,437","16,236","19,612","19,618","21,275","21,602","23,774","26,468","28,973"
"145","[P](u)","    Prisa","24,703","23,160","21,636","26,226","34,113","35,676","36,069","33,838","35,827","34,324","37,956","36,303","35,689","34,546","28,804"
"146","[P]","    Vodafone Group","26,755","25,862","27,271","28,573","27,345","30,509","28,925","29,468","28,502","29,014","28,279","28,906","28,401","28,474","28,412"
"147","[P](U)","    AlloCine Sites","17,020","18,450","20,124","22,752","19,191","20,905","25,971","27,027","28,804","28,110","27,176","27,401","26,348","27,627","28,360"
"148","[P]","    Symantec","30,222","28,485","28,704","30,475","31,778","33,160","32,154","32,596","34,281","31,220","32,324","29,688","28,606","28,133","28,176"
"149","[P]","    ProSiebenSat1 Sites","31,678","31,158","30,024","30,248","29,683","29,747","28,667","28,289","28,298","27,918","28,654","29,853","29,873","27,876","28,091"
"150","[P](u)","    The Washington Post Company","34,693","27,854","27,816","30,633","29,392","32,765","32,356","32,808","34,119","31,710","32,358","31,000","28,803","28,030","27,984"
"151","[P](U)","    LeGuide.com Sites","16,507","17,201","17,225","15,387","14,877","15,833","17,379","18,599","19,072","16,751","17,260","31,452","32,671","29,481","27,901"
"152","[P]","    People's Daily online","16,493","18,630","20,674","21,084","19,474","20,196","22,932","24,832","21,189","27,236","30,986","25,834","24,343","27,195","27,339"
"153","[P]","    SouFun.com Limited","14,668","13,846","16,139","14,575","18,574","18,349","19,343","17,708","17,894","22,507","25,959","21,270","22,412","25,505","27,312"
"154","[P]","    UPLOADED.TO","12,875","14,468","13,698","13,968","14,872","17,470","17,787","18,865","29,038","44,116","40,113","32,793","31,062","27,983","27,193"
"155","[P]","    GANJI.COM","18,137","25,013","26,797","28,394","24,063","26,674","25,197","25,463","19,973","23,487","27,543","24,345","21,379","21,421","26,610"
"156","[P](U)","    CareerBuilder LLC","29,886","26,465","28,893","29,640","29,158","28,941","25,176","22,440","29,977","27,572","27,789","26,691","26,982","25,472","26,574"
"157","[P]","    Iliad - Free.fr Sites","29,248","27,183","25,481","27,140","29,493","29,318","29,843","29,143","32,449","30,729","31,594","30,134","30,822","28,932","26,560"
"158","[P](u)","    Liberty Media Holding Corporation","11,488","12,331","22,555","27,668","30,097","36,669","32,531","35,046","29,864","31,769","27,588","29,241","33,628","27,683","26,557"
"159","[P]","    BADOO.COM","28,715","29,113","28,249","32,526","33,884","36,217","34,208","32,212","31,195","30,696","34,406","36,944","36,492","25,868","26,473"
"160","[P]","    Target Corporation","22,005","23,660","26,059","26,543","25,734","27,016","40,187","37,610","26,507","24,353","24,324","23,955","23,667","24,596","26,413"
"161","[P](u)","    Gorilla Nation (Evolve Media Corp)","40,099","37,974","40,806","40,700","31,657","30,867","28,835","31,358","33,698","23,585","24,807","25,558","26,766","25,622","26,287"
"162","[P](u)","    Best Buy Sites","25,277","22,298","23,505","26,475","26,590","28,343","45,470","44,908","27,967","25,959","25,059","22,980","24,788","25,020","26,243"
"163","[P]","    Valve Corporation","12,459","14,540","15,431","16,482","17,390","19,165","20,379","21,216","20,904","20,592","21,162","21,236","21,810","23,076","26,148"
"164","[P]","    ARTISTdirect Network","22,210","22,489","22,324","22,682","23,386","24,360","24,025","24,046","24,319","24,019","25,776","25,833","28,068","27,925","26,146"
"165","[P]","    WildTangent Media","31,905","37,061","36,226","34,759","32,115","34,468","34,201","34,953","36,637","25,730","29,791","28,799","26,449","26,617","25,836"
"166","[P](u)","    Reuters Sites","31,089","25,233","27,649","29,016","28,123","31,209","26,399","25,908","25,125","25,796","24,314","23,094","24,139","24,925","25,818"
