"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: August 2012 - October 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/22/2013","","","","","",""

"","","","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013"
"47","[P]","    2345.COM","33,074","34,568","39,925","44,422","45,377","40,365","33,055","38,305","60,079","64,421","58,523","61,292","62,265","71,596","70,798"
"48","[P]","    PPLive Inc.","69,007","64,669","68,479","69,553","76,109","72,518","65,113","69,737","88,367","90,681","87,128","83,306","80,433","72,290","70,331"
"49","[P]","    People's Daily online","31,315","37,470","33,026","48,051","48,532","47,588","40,441","49,726","68,887","75,224","68,560","78,773","78,953","72,925","69,664"
"50","[P]","    Expedia Inc","56,894","49,331","47,560","43,169","42,402","51,724","47,707","55,846","60,049","62,090","66,093","77,886","74,075","64,590","69,560"
"51","[P]","    Infospace Network","10,344","11,919","12,873","12,053","18,407","24,483","26,433","26,370","28,828","25,039","33,308","46,191","60,924","65,279","69,289"
"52","[P](U)","    Wikia Sites","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647","60,192","58,364","60,141","61,440","62,069","68,656"
"53","[P]","    Sony Online","67,806","67,331","67,895","69,655","74,744","69,013","64,828","76,260","65,989","67,345","76,335","71,038","70,383","75,336","67,594"
"54","[P](U)","    ESPN","61,575","72,971","66,710","62,716","59,913","62,688","50,606","63,194","59,818","57,120","65,417","58,980","60,759","67,777","67,462"
"55","[P]","    China Central Television Sites","51,099","35,681","37,706","43,850","43,483","46,465","45,102","48,484","70,354","73,637","87,856","77,388","76,139","71,197","66,409"
"56","[P]","    Valve Corporation","27,845","53,050","53,329","55,393","59,898","60,197","59,480","60,069","58,708","59,911","61,651","67,843","67,910","66,805","65,464"
"57","[P]","    Wal-Mart","57,443","56,459","56,163","75,178","74,017","58,168","59,730","63,182","60,238","60,673","61,996","67,546","67,246","61,508","64,799"
"58","[P]","    CHINA.COM.CN","15,972","17,047","17,707","25,209","19,425","18,182","14,264","28,292","48,537","50,143","44,854","47,927","71,109","66,242","63,966"
"59","[P]","    58.COM","40,419","39,700","39,222","40,172","39,725","38,688","34,931","45,622","58,666","62,428","56,906","63,261","61,712","60,186","63,739"
"60","[P]","    NHN Corporation","80,387","79,028","77,429","76,659","77,174","77,634","60,053","61,397","60,836","62,144","60,478","61,679","62,457","60,908","62,291"
"61","[P](U)","    UOL","49,818","48,662","51,623","50,011","48,787","48,753","56,759","59,130","58,003","60,699","61,216","64,093","63,846","57,934","61,811"
"62","[P]","    Rakuten Inc","70,047","68,285","68,426","66,304","68,153","65,981","60,216","62,335","59,493","62,648","60,311","62,876","61,709","61,683","61,221"
"63","[P]","    EA Websites","62,641","62,276","65,886","66,399","66,161","66,782","67,246","72,114","67,704","65,533","68,445","69,323","69,360","63,729","59,883"
"64","[P](U)","    CCM-Benchmark","41,687","42,847","45,841","47,142","48,099","50,486","47,847","53,570","59,596","58,677","56,936","54,728","52,800","55,941","59,767"
"65","[P](u)","    Spil Games","61,901","55,863","58,966","59,207","63,945","62,802","60,309","66,097","63,641","63,472","64,544","65,741","61,779","55,798","58,518"
"66","[P]","    China Telecom Sites","61,114","58,752","47,554","42,576","41,582","47,982","25,300","34,974","67,360","68,622","62,489","61,837","60,731","59,270","58,437"
"67","[P]","    FC2 inc.","61,452","60,552","59,494","58,640","58,424","58,985","55,463","57,491","56,861","57,425","57,092","57,538","57,217","56,801","56,873"
"68","[P]","    WIKIHOW.COM","26,123","25,205","27,069","25,610","25,544","27,953","28,634","36,439","40,712","45,624","47,653","50,917","53,117","53,089","56,140"
"69","[P]","    Conde Nast Digital","40,197","41,820","45,345","43,409","45,399","50,071","44,332","49,570","49,897","50,090","46,762","48,135","50,452","53,171","56,035"
"70","[P](u)","    Deutsche Telekom","52,399","55,510","56,852","57,674","56,252","56,510","51,080","53,621","55,371","56,382","53,060","53,713","55,532","57,410","55,857"
"71","[P](u)","    WebMD Health","44,771","44,972","50,281","48,490","44,643","52,723","48,101","51,304","51,632","48,736","45,304","48,403","50,658","49,933","55,559"
"72","[P]","    MercadoLibre","39,536","38,887","40,431","40,653","41,243","42,603","45,938","50,092","50,008","51,016","50,170","51,906","55,582","54,167","55,022"
"73","[P](u)","    Globo","46,869","45,869","47,817","45,826","43,688","46,368","46,919","50,997","50,646","51,073","51,081","52,107","52,386","50,013","52,347"
"74","[P]","    China Mobile Sites","37,335","37,801","38,811","41,439","45,498","40,976","32,505","37,375","50,727","60,436","55,686","54,248","55,102","59,137","52,239"
"75","[P](u)","    SpinMedia","79,536","75,573","76,209","74,930","81,988","81,160","62,276","63,476","61,151","56,693","54,327","55,416","55,893","49,957","52,076"
"76","[P](U)","    New York Times Digital","134,693","133,489","54,990","55,505","47,412","51,127","47,797","52,018","59,253","51,278","46,027","47,938","43,606","48,767","50,853"
"77","[P]","    craigslist, inc.","56,995","53,878","52,079","50,218","48,901","51,921","50,757","53,948","53,983","52,515","52,852","56,610","55,142","52,100","50,105"
"78","[P](U)","    Meredith Digital","42,587","42,784","50,330","51,144","59,585","52,518","47,036","51,994","43,059","44,988","44,481","46,756","46,605","46,394","49,789"
"79","[P]","    GSN Games","38,785","32,727","33,287","33,206","38,876","44,203","42,106","48,824","46,887","59,967","59,800","60,839","57,762","50,178","48,182"
"80","[P](u)","    Disney Online","49,300","48,010","49,148","44,133","44,451","42,331","40,327","48,469","43,980","44,509","46,771","49,931","48,296","43,254","48,087"
"81","[P]","    56.COM","44,368","44,367","53,468","56,746","62,688","57,232","44,299","56,119","79,282","81,514","65,661","68,047","67,076","58,779","47,725"
"82","[P]","    Samsung Group","42,473","42,110","43,453","46,167","51,359","41,136","36,211","44,438","46,158","52,604","45,472","46,564","49,212","46,979","47,551"
"83","[P](U)","    OLX Inc.","50,606","52,659","55,401","53,345","47,010","50,245","44,185","51,306","47,173","42,996","44,498","48,878","48,967","47,787","47,541"
"84","[P](u)","    CraveOnline (Evolve Media LLC.)","34,716","32,787","53,956","54,870","61,794","62,598","54,858","57,268","53,860","50,549","49,104","49,434","49,250","47,799","47,479"
"85","[P]","    MIH Limited","52,171","53,566","54,291","53,319","55,357","60,331","53,494","54,000","50,732","49,614","45,823","47,280","47,223","45,708","46,342"
"86","[P](U)","    Gawker Media","35,061","39,390","39,033","33,405","39,472","43,325","38,450","38,628","39,753","42,259","41,137","42,030","42,472","48,000","45,892"
"87","[P]","    Ctrip.com International","20,445","22,861","22,978","22,112","22,694","27,214","23,357","26,778","41,707","42,200","43,826","50,372","51,458","48,249","45,233"
"88","[P]","    MEDIAFIRE.COM","81,281","80,100","74,173","69,379","70,131","69,192","62,623","70,616","66,827","64,631","54,769","54,326","51,359","47,152","44,369"
"89","[P](u)","    Time Warner (Excl. Turner/WB)","27,106","26,373","28,277","26,928","27,652","38,565","37,039","38,466","39,238","38,053","38,529","38,060","38,744","40,920","43,943"
"90","[P](U)","    YELP.COM","37,738","36,521","38,361","37,788","38,856","43,025","41,155","44,259","42,620","43,692","43,285","46,829","45,888","42,311","43,421"
"91","[P]","    DANGDANG.COM","26,787","29,785","30,052","33,064","30,134","26,241","18,602","27,190","36,036","41,699","42,231","49,968","41,958","46,354","43,239"
"92","[P]","    China Construction Bank","24,609","25,294","25,534","28,497","30,794","31,335","24,127","27,718","39,557","42,237","40,699","43,504","43,347","44,502","43,172"
"93","[P]","    NETFLIX.COM","34,401","36,453","36,829","36,174","40,653","40,912","39,718","45,163","42,470","42,593","43,984","43,816","44,229","43,662","43,127"
"94","[P]","    Hewlett Packard","36,218","37,893","37,844","37,284","37,728","40,566","34,408","40,217","42,779","39,334","39,489","41,830","40,884","41,740","43,015"
"95","[P](u)","    Break Media","69,900","64,012","61,190","60,056","60,214","58,755","50,280","54,403","50,365","48,489","46,638","48,446","48,852","42,954","42,501"
"96","[P]","    HEXUN.COM","24,178","34,546","31,926","35,533","33,434","30,802","16,420","26,816","40,685","42,043","37,922","42,482","38,980","41,681","42,445"
"97","[P]","    Technorati Media","114,410","109,892","88,851","82,650","84,149","87,499","64,448","81,390","47,089","44,567","44,421","43,378","44,566","42,424","42,021"
"98","[P](u)","    Everyday Health","36,791","34,236","38,196","40,637","35,763","39,259","36,666","38,930","37,313","36,744","33,967","35,214","36,208","38,965","41,628"
"99","[P]","    GANJI.COM","26,034","25,349","26,383","26,763","25,733","25,607","19,091","33,858","42,229","43,446","41,843","46,962","43,985","40,670","40,927"
"100","[P]","    Gretech Corp.","56,847","55,332","54,762","53,372","54,619","55,639","46,799","43,780","42,921","44,780","44,109","44,236","44,718","42,752","40,738"
"101","[P]","    China Economic Net","6,602","7,677","5,567","7,498","6,934","7,830","6,204","8,508","11,754","13,674","22,591","28,197","28,553","28,355","40,639"
"102","[P](u)","    Discovery Digital Media Sites","35,453","37,466","42,885","41,214","36,932","40,169","36,197","37,098","36,907","40,037","39,121","32,614","36,948","34,678","39,229"
"103","[P](U)","    Monster, Inc.","45,463","45,133","49,367","45,518","39,484","48,163","43,548","44,510","42,765","37,438","37,108","37,720","37,149","37,570","38,947"
"104","[P]","    United-Internet Sites","38,207","35,963","36,385","35,442","36,604","37,544","35,756","38,716","38,624","38,748","38,837","42,657","40,473","37,895","38,331"
"105","[P](u)","    Times Internet Limited","32,063","32,368","35,302","34,290","35,723","36,160","32,919","35,096","35,467","36,747","37,789","36,872","37,160","34,888","37,804"
"106","[P](u)","    Slashdot Media","38,687","40,086","43,785","42,101","42,956","44,156","40,330","43,450","38,152","36,937","35,138","36,111","34,423","34,957","37,599"
"107","[P](U)","    WORDREFERENCE.COM","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020","36,206","31,727","29,009","28,883","30,817","37,587"
"108","[P](U)","    AlloCine Sites","28,011","27,698","30,317","32,107","34,512","35,202","34,013","35,536","39,696","40,144","36,639","38,609","39,220","33,019","37,508"
"109","[P]","    NTT Group","42,495","42,149","40,975","39,923","39,816","40,920","37,672","39,032","37,352","38,162","37,683","38,886","38,084","37,614","37,035"
"110","[P](U)","    T365 - Tribune","42,879","43,304","45,060","43,567","42,470","41,095","40,299","37,147","39,300","39,052","33,905","35,051","34,407","35,090","36,749"
"111","[P]","    Otto Gruppe","30,517","32,686","35,150","38,975","36,708","36,970","33,935","39,220","35,087","33,411","32,355","33,879","32,224","34,280","36,065"
"112","[P]","    120ASK.COM","19,010","18,402","20,653","21,507","20,619","21,357","16,866","24,520","37,117","41,891","36,530","39,783","38,376","34,253","34,886"
"113","[P](u)","    YP Local Media Network","36,531","34,235","35,788","34,403","32,216","31,928","30,762","33,743","35,195","36,398","36,909","39,748","38,798","34,641","34,618"
"114","[P](U)","    Scripps Networks Interactive Inc.","33,748","33,869","35,979","40,436","42,385","39,009","35,031","37,715","34,088","33,410","34,052","36,739","35,792","32,807","34,522"
"115","[P](u)","    The Washington Post Company","35,805","32,519","38,019","35,196","34,445","33,057","32,718","34,550","37,170","35,507","30,398","29,868","31,170","33,019","34,152"
"116","[P]","    FUNSHION.COM","16,980","21,192","22,885","26,553","31,611","33,369","24,340","27,515","37,993","39,042","35,786","37,675","39,646","32,517","33,975"
"117","[P](U)","    Internet Brands, Inc.","43,612","42,012","43,732","40,146","41,035","44,422","37,798","41,203","40,348","40,956","37,557","38,286","37,365","33,924","33,652"
"118","[P]","    Dwango Co., Ltd.","36,781","36,204","35,955","34,313","34,682","35,084","32,951","34,701","34,337","34,300","33,495","34,043","34,049","33,931","33,492"
"119","[P](u)","    IG Portal","31,297","30,577","31,514","29,721","28,809","30,007","31,409","32,633","32,395","32,988","32,606","33,259","33,023","31,798","33,489"
"120","[P]","    CyberAgent","44,562","43,954","41,774","41,099","40,549","40,457","36,605","39,956","38,603","39,469","39,502","36,169","36,047","34,652","33,342"
"121","[P]","    Alloy Digital Properties","36,991","29,967","33,750","34,008","36,204","34,467","30,881","34,888","37,320","34,551","32,820","38,112","36,873","34,299","33,269"
"122","[P](u)","    Prisa","28,728","30,226","32,401","30,531","26,720","29,956","29,932","31,538","33,010","32,609","31,352","31,218","29,900","31,927","33,246"
"123","[P](U)","    DEVIANTART.COM","40,507","40,542","43,687","41,705","43,822","45,380","30,010","32,092","31,705","30,934","30,064","30,713","30,645","31,335","33,167"
"124","[P]","    6.CN","13,297","13,478","11,598","10,409","12,077","15,630","16,008","18,903","23,566","27,166","27,674","32,764","35,274","30,783","32,912"
"125","[P](U)","    SheKnows","39,263","39,321","41,760","39,073","42,392","43,227","37,493","39,554","41,270","41,121","43,392","39,697","38,762","35,051","32,861"
"126","[P](U)","    Dow Jones & Company","37,355","36,567","40,027","37,683","31,365","35,024","32,357","33,980","35,226","32,307","32,385","31,190","31,647","32,716","32,454"
"127","[P]","    Oracle Corporation","11,342","14,384","15,808","13,834","13,701","15,305","13,115","14,295","13,482","13,934","30,724","29,450","27,256","30,639","32,105"
"128","[P]","    NIH","23,243","26,040","29,480","27,623","23,817","25,985","26,214","28,449","27,271","26,797","25,274","26,055","25,594","27,083","31,332"
"129","[P]","    SouFun.com Limited","28,564","18,525","18,845","20,383","19,441","15,579","15,717","23,996","33,450","34,770","30,315","34,400","34,317","31,643","31,110"
"130","[P]","    Symantec","27,101","28,170","28,561","27,278","27,185","27,596","24,251","26,834","27,147","27,235","28,151","26,996","27,616","30,927","30,565"
"131","[P]","    IKEA","26,892","27,375","26,450","27,465","26,606","29,639","24,533","27,416","25,428","25,022","24,831","28,308","32,956","31,403","30,406"
"132","[P]","    Hubert Burda Media","32,073","32,269","31,917","31,592","33,176","36,088","32,801","35,575","31,404","32,484","31,496","31,030","31,145","30,153","30,145"
"133","[P]","    Groupe Lagardere","28,680","28,964","30,345","29,383","30,842","31,635","28,177","31,687","29,028","29,352","28,190","28,691","27,176","29,145","30,110"
"134","[P]","    39.NET","16,860","16,735","17,748","18,023","18,675","20,040","16,815","23,587","35,911","38,099","33,553","35,663","34,731","30,461","30,075"
"135","[P](u)","    Network 18","27,010","27,887","30,152","29,975","31,181","30,994","27,171","27,496","28,213","28,872","29,169","28,750","31,258","29,316","29,924"
"136","[P](u)","    Fox Interactive Media","30,421","36,032","34,617","32,617","31,093","22,235","18,032","20,759","21,127","21,575","20,180","22,563","23,500","29,502","29,897"
"137","[P](u)","    Forbes Digital","21,018","21,222","25,264","23,801","22,969","26,383","25,604","26,964","26,196","26,431","26,051","27,676","26,151","27,676","29,876"
"138","[P]","    TARINGA.NET","31,027","32,275","34,559","32,180","27,358","26,922","23,755","25,564","25,108","26,885","25,918","24,991","26,707","28,422","29,072"
"139","[P]","    Vodafone Group","28,044","28,373","29,298","27,976","29,961","31,675","29,728","30,920","28,988","27,911","26,400","28,948","28,427","28,936","28,937"
"140","[P](u)","    Grupo Abril","22,333","21,769","22,737","21,688","19,798","21,644","23,997","26,672","26,538","27,283","27,090","26,573","27,874","26,517","28,918"
"141","[P](U)","    Telegraph Media Group","17,562","17,807","30,083","30,748","29,476","31,161","27,474","27,335","28,107","26,618","24,718","26,078","27,422","28,662","28,875"
"142","[P](u)","    Ticketmaster","27,299","27,892","29,404","30,365","27,986","27,975","28,875","29,195","28,184","27,601","25,166","26,515","26,698","27,210","28,856"
"143","[P](u)","    Populis","26,781","25,838","28,535","27,812","25,410","26,608","26,402","28,752","30,249","29,433","28,732","29,525","30,870","30,626","28,482"
"144","[P]","    Agricultural Bank of China","17,247","18,288","18,720","20,099","20,681","21,325","16,977","19,869","27,136","28,655","26,866","28,803","28,767","28,505","27,945"
"145","[P]","    Gruner+Jahr Sites","23,350","23,768","24,708","25,096","27,078","27,564","24,691","26,356","24,647","24,452","23,908","25,147","26,110","26,919","27,872"
"146","[P]","    UPLOADED.NET","17,011","124","72","34,139","34,349","35,095","34,848","38,248","34,754","35,726","32,836","32,404","30,565","27,742","27,617"
"147","[P]","    RTL Group Sites","29,293","29,647","28,448","27,477","28,255","28,793","25,902","28,346","28,030","29,525","28,337","26,929","27,696","27,538","27,507"
"148","[P]","    DUOWAN.COM","21,101","18,963","21,168","22,237","23,552","23,767","21,981","22,653","28,676","31,304","30,022","33,493","32,598","28,029","27,473"
"149","[P](u)","    Liberty Interactive Corporation","28,913","29,859","35,649","34,966","34,849","29,314","31,623","28,368","27,509","34,677","27,179","27,498","27,501","26,970","26,770"
"150","[P]","    Target Corporation","26,437","25,155","27,270","38,183","38,105","25,417","24,167","25,626","24,492","24,965","23,915","26,482","27,118","24,308","26,628"
"151","[P](U)","    CareerBuilder LLC","27,665","26,859","28,340","27,185","24,773","26,636","25,409","27,120","25,944","26,056","24,307","25,892","25,351","25,473","26,609"
"152","[P]","    AT&T, Inc.","23,809","24,873","23,175","23,449","27,522","26,305","25,054","27,427","26,312","26,678","27,127","26,766","26,289","27,300","26,591"
"153","[P]","    TQ Digital Entertainment","18,364","19,467","19,035","18,150","20,219","19,016","19,780","20,720","25,442","24,721","23,117","26,847","25,694","26,493","26,513"
"154","[P]","    Kering","31,530","33,674","34,408","35,983","37,643","34,872","32,579","33,975","34,311","34,310","34,188","27,744","26,720","27,314","26,055"
"155","[P]","    RosBusinessConsulting","30,908","31,257","32,917","32,864","32,844","32,041","31,118","32,761","29,172","28,306","26,105","25,442","23,786","25,329","25,981"
"156","[P]","    Sakura Internet","31,226","30,644","29,109","28,280","28,412","28,617","25,188","26,255","26,267","27,649","26,449","26,620","27,487","26,730","25,724"
"157","[P](u)","    Best Buy Sites","26,860","27,056","25,989","44,011","41,790","28,690","23,584","26,055","23,513","23,480","24,526","26,638","27,457","25,849","25,676"
"158","[P](U)","    NFL Internet Group","21,669","31,176","27,544","26,120","26,384","24,237","16,941","12,303","14,919","10,334","9,392","11,511","22,439","30,965","25,675"
"159","[P]","    Real.com Network","41,768","40,761","44,298","39,766","44,656","41,034","35,094","39,992","36,622","33,205","36,155","32,183","28,720","35,040","25,614"
"160","[P]","    GMO Internet Group","32,962","31,776","30,568","29,279","29,338","29,783","25,816","27,403","26,729","26,879","25,597","26,028","26,040","25,426","25,437"
"161","[P]","    McAfee.com Sites","22,390","19,519","19,877","20,440","20,000","20,524","20,443","23,776","22,385","23,286","22,823","25,384","25,750","25,772","25,136"
"162","[P]","    Iliad - Free.fr Sites","25,452","26,937","27,646","27,005","26,462","27,003","23,995","25,650","24,618","24,708","23,275","22,874","22,527","24,513","25,090"
"163","[P]","    Procter & Gamble","15,449","17,214","16,917","19,862","19,969","15,904","13,228","17,060","17,117","20,147","21,792","21,971","18,525","23,865","25,031"
"164","[P]","    CDC Corporation Sites","17,946","21,914","18,123","18,625","18,799","19,662","15,475","18,901","30,637","30,026","27,093","29,033","29,071","26,586","24,793"
"165","[P]","    Ebuzzing","30,845","31,088","31,301","31,153","28,238","27,790","24,095","25,944","24,930","24,124","22,924","24,087","22,929","23,074","24,763"
"166","[P]","    BADOO.COM","25,429","25,108","24,159","23,211","22,937","24,626","24,239","25,582","26,317","25,722","24,718","26,387","26,528","25,323","24,692"
"167","[P]","    CONDUIT.COM","32,521","28,411","31,174","31,731","32,992","43,269","28,169","24,745","19,349","15,735","15,693","24,062","30,587","22,303","24,649"
