"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: August 2012 - October 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 11/22/2013","","","","","",""

"","","","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013"
"","","    Total Internet : Total Audience ","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029","1,596,237","1,604,290","1,611,886"
"1","[P]","    Google Sites","1,161,178","1,133,937","1,140,335","1,124,825","1,136,502","1,140,056","1,123,439","1,163,988","1,179,091","1,185,840","1,194,404","1,208,800","1,208,941","1,209,554","1,214,986"
"2","[P](u)","    Microsoft Sites","853,791","849,708","871,044","873,262","868,099","878,268","852,263","896,209","914,598","920,877","891,369","877,967","858,463","867,869","887,403"
"3","[P](u)","    Yahoo Sites","698,651","715,742","730,535","728,361","735,098","736,122","708,166","742,145","742,804","742,449","711,502","724,542","727,051","718,607","717,790"
"4","[P]","    Wikimedia Foundation Sites","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471"
"5","[P]","    Amazon Sites","352,400","362,129","369,504","379,102","388,671","383,891","352,119","384,160","390,465","395,669","383,802","403,717","405,993","401,154","400,418"
"6","[P]","    Alibaba.com Corporation","221,261","226,107","243,191","257,086","262,344","257,643","221,562","254,821","313,176","321,168","314,272","317,744","333,168","357,868","358,717"
"7","[P]","    Baidu.com Inc.","273,986","268,810","275,406","272,449","275,988","256,277","254,261","288,897","328,472","335,319","356,664","358,243","354,603","356,025","351,599"
"8","[P]","    TENCENT Inc.","276,181","280,038","279,937","280,478","285,268","283,652","274,535","285,968","340,079","334,617","338,853","341,391","340,053","335,772","336,537"
"9","[P]","    Sohu.com Inc.","249,030","248,946","254,822","255,678","259,412","259,286","245,316","260,138","312,454","314,511","312,305","317,645","318,611","299,723","320,141"
"10","[P](u)","    Ask Network","263,633","240,050","315,681","305,867","317,486","331,927","254,087","273,799","277,281","290,440","283,949","290,419","303,111","296,370","303,957"
"11","[P]","    Apple Inc.","289,245","308,688","299,868","300,081","314,241","303,827","289,082","306,872","302,251","306,120","300,297","297,702","297,974","314,312","301,442"
"12","[P]","    Qihoo.com Sites","88,519","88,627","94,167","99,759","102,009","105,084","106,631","112,337","142,142","146,925","149,197","162,539","149,280","177,927","300,265"
"13","[P](u)","    CBS Interactive","255,418","270,247","283,104","283,103","279,517","275,358","245,140","270,899","287,474","291,450","281,473","281,778","285,689","285,899","284,796"
"14","[P](u)","    Youku & Tudou","124,037","128,844","139,425","146,793","148,691","149,112","131,245","149,580","192,749","266,842","267,873","262,765","287,653","278,012","279,111"
"15","[P]","    eBay","248,452","248,920","252,380","247,262","252,154","246,959","226,441","244,653","240,874","242,756","240,614","251,910","251,606","256,028","258,417"
"16","[P](u)","    Glam Media","241,643","252,199","296,357","298,337","296,810","318,758","276,802","294,231","297,215","296,276","283,805","252,706","244,225","242,480","251,881"
"17","[P]","    BitTorrent Network","229,913","230,739","230,614","231,969","238,517","240,352","236,761","247,655","243,892","244,956","244,552","246,771","245,764","246,119","246,212"
"18","[P]","    SINA Corporation","173,504","173,198","172,764","178,113","185,155","179,539","161,851","181,686","243,762","238,654","241,203","247,144","244,181","243,307","241,634"
"19","[P](U)","    AOL, Inc.","217,044","218,366","224,968","223,002","220,331","226,026","213,157","221,865","217,725","223,081","211,573","218,890","220,277","221,908","236,671"
"20","[P]","    NetEase.com Inc.","136,275","120,893","122,656","129,225","135,638","130,688","108,546","124,012","180,625","187,975","181,573","195,503","185,371","196,162","187,607"
"21","[P]","    TWITTER.COM","170,819","167,131","182,897","181,729","189,780","189,819","175,485","185,095","174,401","186,089","182,990","166,785","172,674","183,792","183,187"
"22","[P]","    Adobe Sites","191,650","163,452","143,165","150,790","135,321","144,067","165,798","169,791","151,617","149,192","139,420","159,219","142,068","142,884","150,298"
"23","[P](u)","    Turner Digital","112,121","118,492","129,053","131,446","127,077","125,134","120,602","127,780","139,383","130,310","122,339","125,426","124,626","123,008","129,659"
"24","[P](U)","    IDG Network","44,903","45,247","45,218","46,011","44,197","46,450","43,500","48,012","102,144","105,833","109,595","113,940","117,925","123,207","121,138"
"25","[P](u)","    Axel Springer AG","85,264","90,304","96,058","93,474","101,773","109,402","101,822","107,857","105,601","109,436","108,488","113,161","113,880","115,371","119,465"
"26","[P](U)","    Terra - Telefonica","103,763","102,539","104,387","103,441","101,322","99,094","92,219","99,161","100,255","104,950","98,075","96,611","97,452","95,314","100,374"
"27","[P]","    KuGou Inc.","89,784","92,738","98,090","96,593","97,476","96,191","85,285","92,858","111,190","112,584","104,359","105,185","100,137","98,584","97,821"
"28","[P](U)","    Demand Media","122,203","125,615","137,175","127,140","116,938","125,465","125,721","126,716","125,412","121,316","103,002","102,707","98,156","96,171","96,920"
"29","[P]","    Yandex Sites","81,318","82,637","85,807","86,845","89,965","90,359","89,862","94,719","93,050","93,120","92,978","94,247","92,146","92,308","92,423"
"30","[P](u)","    Federated Media Publishing","270,287","280,125","300,892","295,505","235,818","99,503","85,459","88,858","91,244","87,511","79,076","82,243","86,629","91,401","91,124"
"31","[P]","    Sun Microsystems, Inc.","42,449","46,606","46,040","38,704","36,477","43,215","48,467","57,413","83,117","76,855","88,660","77,868","55,209","51,214","90,927"
"32","[P]","    PPStream, Inc.","74,266","72,466","76,267","75,980","83,214","85,886","77,423","74,352","87,773","89,924","93,394","99,835","103,604","91,669","90,848"
"33","[P]","    Xinhua News Agency","30,882","30,842","29,987","38,020","36,584","32,132","26,851","45,624","63,225","64,977","74,903","85,370","85,158","88,714","89,606"
"34","[P](U)","    Answers.com Sites","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728","105,285","102,123","88,239","83,207","84,651","86,668","87,438"
"35","[P](u)","    NetShelter Technology Media","93,657","95,317","95,310","92,162","92,161","94,962","83,625","89,515","83,905","85,522","85,848","85,655","87,450","84,817","85,667"
"36","[P](U)","    Viacom Digital","187,928","189,859","193,004","191,589","191,739","189,425","183,334","187,104","187,388","192,496","187,231","191,503","198,404","78,874","82,818"
"37","[P]","    Oak Pacific Interactive Sites","67,427","70,120","79,841","84,063","78,264","71,822","56,873","62,432","89,896","89,689","95,576","97,465","85,124","78,222","81,152"
"38","[P](u)","    Gannett Sites","71,632","67,823","71,562","67,906","64,832","69,496","65,784","70,239","71,754","68,747","67,461","76,683","76,533","76,446","80,535"
"39","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","57,553","61,208","63,406","62,455","58,175","65,927","62,938","66,863","67,713","69,212","67,283","74,901","74,541","76,872","79,692"
"40","[P]","    BBC Sites","79,690","73,403","79,012","76,141","74,472","79,513","74,792","80,076","80,454","80,011","79,842","81,412","77,342","78,476","78,588"
"41","[P]","    Orange Sites","62,315","66,311","76,291","83,355","74,936","75,136","72,925","76,789","76,145","75,295","70,805","69,203","68,362","73,115","76,410"
"42","[P]","    The Mozilla Organization","109,963","105,320","88,262","97,222","76,297","79,174","75,467","80,737","86,060","78,595","70,713","64,097","68,392","74,795","76,024"
"43","[P]","    AVG Technologies","81,224","91,021","80,469","73,653","71,550","82,247","91,561","95,792","68,515","70,140","74,941","68,662","76,272","83,094","75,749"
"44","[P]","    PCPOP Sites","46,838","50,811","48,380","52,879","58,662","52,464","39,892","51,284","76,071","73,465","72,590","75,764","77,692","85,492","75,494"
"45","[P](u)","    Hearst Corporation","21,792","22,175","25,711","31,129","29,313","79,836","74,290","76,390","69,433","66,219","63,211","68,339","64,840","68,651","74,128"
"46","[P]","    Priceline.com Incorporated","67,029","59,468","60,376","61,953","56,709","69,034","66,184","72,758","72,318","74,522","80,805","92,597","88,263","74,752","71,329"
