"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: October 2012 - December 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 1/22/2014","","","","","",""

"","","","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013"
"15","[P]","    LAWTIME.CN","3,698","3,775","4,501","5,286","3,129","5,476","7,896","8,787","8,171","9,834","8,987","7,931","8,032","7,245","8,929"
"16","[M]","    ICIBA.COM","6,651","7,075","7,109","6,666","5,179","7,421","9,930","10,037","8,982","9,859","9,459","8,839","8,676","8,800","8,467"
"17","[C]","    SCIENCEDIRECT.COM","7,343","7,075","6,261","6,729","6,050","7,359","7,372","6,658","5,347","5,444","5,185","6,408","7,605","7,190","6,098"
"18","[P]","    BIBLEGATEWAY.COM","5,778","5,508","5,685","5,957","5,927","6,599","6,441","6,299","5,578","5,712","6,153","6,588","6,535","6,767","5,765"
"19","[P](U)","    WISEGEEK.COM","10,563","10,642","10,608","12,859","13,201","13,402","10,573","7,333","5,862","5,437","4,813","5,374","6,187","5,943","5,100"
"20","[M]","    LAROUSSE.FR","3,120","3,225","3,255","3,346","3,303","3,738","3,510","3,633","3,037","2,408","2,456","3,490","4,428","4,617","4,445"
"21","[P]","    5156EDU.COM","2,114","2,268","2,199","2,159","1,486","2,438","3,777","4,211","3,652","3,811","3,412","4,160","3,940","3,831","4,124"
"22","[P]","    LEXILOGOS.COM","4,265","4,277","4,428","4,343","3,908","4,105","3,817","4,117","3,706","3,901","3,557","3,864","3,669","4,041","4,044"
"23","[P]","    DICT.CC","3,635","3,828","3,650","4,325","4,427","4,726","4,583","4,525","4,379","4,153","3,944","4,187","4,575","4,597","4,026"
"24","[P]","    TURNITIN.COM","3,660","3,316","2,971","2,370","2,941","3,668","3,882","3,391","1,653","1,007","1,693","3,742","4,702","4,439","3,850"
"25","[M](U)","    Demand Media Network","6,765","5,953","5,131","5,741","5,334","5,551","5,381","4,800","4,594","4,396","4,119","4,354","4,538","4,213","3,650"
"26","[C]","    Naver.com Knowledge iN","10,090","9,149","8,618","9,424","3,095","2,995","2,757","3,132","2,827","2,449","2,743","2,572","2,971","3,286","3,418"
"27","[P]","    SPISHY.RU","2,899","2,773","2,955","2,549","2,576","2,013","2,544","1,853","462","190","175","3,087","3,329","2,732","3,246"
"28","[P]","    IXL.COM","3,658","3,692","2,760","3,601","3,424","3,386","3,277","3,045","2,326","2,286","2,618","4,327","4,630","5,020","3,101"
"29","[C](U)","    Yahoo Dictionary","6,519","5,881","4,875","4,988","4,327","4,643","3,768","3,795","3,805","4,097","3,847","3,743","3,685","3,455","2,983"
"30","[P]","    ITUSOZLUK.COM","2,652","2,724","2,584","2,552","1,863","1,996","1,979","1,956","1,706","1,914","1,971","1,943","1,898","2,918","2,876"
"31","[P]","    BIBLIOTEKAR.RU","2,727","2,387","2,670","2,436","2,313","2,581","2,674","2,559","2,069","1,143","1,054","1,935","2,292","2,654","2,822"
"32","[P]","    COINMILL.COM","1,971","2,309","2,141","2,433","2,473","2,570","2,544","2,717","2,931","3,079","3,262","2,786","2,616","2,786","2,705"
"33","[C]","    Naver.com Dictionary","4,367","4,594","4,500","3,807","1,375","1,941","1,915","2,082","1,841","1,563","1,802","1,739","2,263","2,151","2,668"
"34","[P]","    SO100.CN","861","1,062","1,317","1,226","546","1,026","1,572","1,841","1,991","1,180","804","1,391","1,527","1,983","2,614"
"35","[P]","    CONSUMERREPORTS.ORG","3,141","3,702","3,181","3,281","3,015","2,710","2,742","2,817","2,780","3,093","2,752","2,794","2,832","3,015","2,594"
"36","[P]","    UN.ORG","2,629","2,802","2,175","2,354","2,184","2,993","2,750","2,720","2,195","1,933","1,973","2,850","3,024","5,085","2,568"
"37","[P](U)","    POEMHUNTER.COM","3,340","3,271","3,111","3,417","3,672","3,609","3,791","3,640","2,724","2,344","2,134","2,567","2,658","2,909","2,426"
"38","[M]","    WER-WEISS-WAS.DE","4,850","4,802","4,364","5,104","4,273","4,495","3,564","3,316","3,075","2,964","2,975","2,879","2,715","2,780","2,420"
"39","[P]","    TURKCEBILGI.COM","2,175","2,247","2,004","1,819","1,584","1,915","2,037","1,943","1,228","1,070","960","1,194","1,394","2,191","2,410"
"40","[P]","    SLOVO.WS","1,739","1,466","1,542","1,388","1,385","1,374","1,567","1,136","288","138","212","2,647","2,173","2,410","2,273"
"41","[P]","    SCIELO.BR","2,354","2,384","1,491","1,410","2,151","3,343","3,361","3,168","3,001","2,161","2,577","2,913","3,395","3,823","2,210"
"42","[P]","    WORLDCAT.ORG","2,546","2,455","2,361","2,448","2,512","2,763","2,486","2,187","1,934","1,917","2,027","2,318","2,533","2,353","2,161"
"43","[P]","    PEOPLES.RU","1,411","1,320","1,330","1,254","1,209","1,260","1,300","1,303","1,092","1,067","1,058","1,323","1,435","1,674","1,750"
"44","[C](U)","    ANSWERBAG.COM*","4,153","3,937","4,056","4,405","4,090","4,365","4,170","3,140","2,436","2,364","2,262","2,200","2,308","1,962","1,707"
"45","[P]","    DEFINICION.DE","3,680","3,251","1,474","2,099","2,845","2,771","3,113","3,040","2,387","1,701","3,169","3,680","3,968","3,241","1,693"
"46","[P]","    MIRSOVETOV.RU","2,304","2,224","2,373","2,288","2,094","2,267","1,937","1,837","1,751","1,634","1,555","1,679","1,555","1,790","1,649"
"47","[P]","    ONLINECONVERSION.COM","1,618","1,402","1,485","1,660","1,621","1,764","1,993","1,677","1,433","1,629","1,552","1,806","1,832","1,779","1,591"
"48","[P]","    KLERK.RU","1,203","1,108","1,212","1,429","1,311","1,362","1,423","1,137","1,058","991","901","1,033","1,333","1,436","1,551"
"49","[P]","    QUECHOISIR.ORG","861","774","788","648","862","786","702","647","663","865","979","1,068","1,447","1,089","1,505"
"50","[P]","    TRANSLATED.NET","1,707","1,932","1,844","2,145","1,821","2,144","2,036","1,967","1,795","1,869","1,921","1,974","2,251","2,282","1,500"
"51","[P]","    GUNS.RU","2,116","1,957","2,128","2,148","1,808","1,710","691","1,045","1,041","1,136","1,136","1,169","1,178","1,461","1,452"
"52","[P]","    MIJNWOORDENBOEK.NL","1,165","1,187","1,222","1,266","1,032","1,174","1,091","1,239","1,160","730","1,033","1,140","1,287","1,458","1,377"
"53","[P]","    SERIALSSOLUTIONS.COM","1,718","1,558","1,087","1,212","1,460","1,536","1,645","1,200","881","1,072","1,048","1,460","2,054","1,835","1,186"
"54","[P]","    BrainPOP","1,489","1,249","1,135","1,179","1,349","1,335","1,347","1,357","578","331","882","1,698","1,913","1,466","1,182"
"55","[P]","    CALEND.RU","1,577","1,515","1,150","1,155","1,169","1,186","1,219","1,280","1,222","1,009","1,105","1,323","1,484","1,647","1,173"
"56","[P]","    ANGLAISFACILE.COM","1,329","1,247","1,208","1,366","1,281","1,116","1,129","1,104","1,023","614","704","1,131","1,227","1,275","1,145"
"57","[P]","    ENGLISCH-HILFEN.DE","1,106","1,221","1,125","1,054","1,115","1,194","1,213","1,304","1,008","665","542","1,165","1,292","1,343","1,139"
"58","[P]","    TRANSLIT.RU","1,500","1,540","1,595","1,364","1,177","1,280","1,148","1,219","1,105","1,141","1,325","1,238","1,261","1,264","1,128"
"59","[P]","    ALC.CO.JP","1,025","970","990","1,059","890","888","870","1,027","911","964","844","924","1,027","1,146","1,126"
"60","[P]","    BOOKZ.RU","1,375","1,257","1,222","1,378","1,327","1,331","1,239","1,125","1,017","958","916","1,073","985","1,165","1,084"
"61","[P]","    ACRONYMFINDER.COM","1,683","1,497","1,347","1,571","1,342","1,528","1,585","1,334","1,223","1,440","1,169","1,297","1,129","1,204","1,065"
"62","[P]","    NOLO.COM","844","695","949","1,016","998","1,216","1,075","1,170","1,158","1,514","1,397","1,313","1,706","1,457","1,056"
"63","[P]","    ARABIC-KEYBOARD.ORG","1,185","1,151","1,201","1,241","1,391","1,117","1,239","1,182","1,105","1,083","919","989","1,064","1,072","1,042"
"64","[P](U)","    ALTALEX.COM","977","968","817","984","864","902","874","861","823","996","644","1,077","1,274","1,250","1,039"
"65","[P]","    PWN.PL","1,112","1,088","981","1,250","1,004","1,056","1,060","1,106","1,054","682","762","992","1,111","1,207","1,024"
"66","[P]","    SOZLUK.NET","732","777","763","879","685","806","683","773","521","530","520","568","754","1,051","995"
"67","[P]","    BNF.FR","813","810","835","866","740","812","768","808","639","566","566","633","868","1,092","940"
"68","[P]","    EMERALDINSIGHT.COM","1,213","1,217","1,085","926","853","1,211","1,030","989","764","823","780","862","1,314","1,341","928"
"69","[P]","    BIOGRAFIASYVIDAS.COM","2,684","2,284","1,068","1,379","1,556","1,914","2,116","2,125","1,459","1,154","1,654","2,245","2,239","1,907","915"
"70","[P]","    DEXONLINE.RO","897","886","821","950","948","1,017","950","948","884","739","728","897","1,145","1,012","899"
"71","[P]","    123HELPME.COM","1,757","1,899","1,442","1,282","1,522","1,901","1,744","1,556","864","760","619","1,161","1,096","1,009","870"
"72","[P]","    VERTALEN.NU","797","752","802","791","688","827","718","766","820","598","820","1,005","910","895","829"
"73","[P]","    SMARTDRAW.COM","1,250","1,171","929","1,023","998","1,136","1,041","1,093","965","1,015","942","1,113","1,198","1,049","818"
"74","[P]","    ArticlesBase.com Sites","1,379","1,385","1,064","1,086","1,222","1,593","1,464","1,226","956","857","976","927","930","1,014","816"
"75","[P]","    BUSINESSBALLS.COM","877","774","924","975","700","840","771","817","733","787","705","805","870","643","791"
"76","[P]","    PHRASES.ORG.UK","1,080","698","974","1,055","1,075","1,010","1,070","988","918","915","755","864","832","863","786"
"77","[P]","    ASKMEHELPDESK.COM","1,858","1,659","1,455","1,478","1,194","1,389","1,190","1,137","1,073","1,196","953","1,115","1,010","786","757"
"78","[P]","    SYNONYMES.COM","684","823","640","697","841","839","805","797","726","411","411","597","793","766","742"
"79","[P]","    ENGLISHPAGE.COM","805","837","644","639","751","755","855","764","614","426","435","805","890","929","723"
"80","[P]","    USHISTORY.ORG","840","662","608","625","609","572","612","597","410","351","323","952","1,173","975","708"
"81","[P]","    MOREWORDS.COM","909","920","881","1,120","979","1,126","1,091","981","869","853","959","839","1,084","882","697"
"82","[P](u)","    QUESTIA.COM","910","935","698","736","1,007","1,081","1,116","839","623","603","602","813","951","845","663"
"83","[P]","    DICOCITATIONS.COM","531","552","755","630","530","515","439","427","405","376","319","514","567","623","634"
"84","[P]","    THINKEXIST.COM","3,457","2,881","2,625","2,353","2,206","2,286","2,007","1,698","1,316","976","1,129","1,378","1,270","854","631"
"85","[P]","    OMNIGLOT.COM","703","667","768","740","655","816","760","675","674","621","726","767","905","644","628"
"86","[P]","    MIRSLOVAREI.COM","852","633","594","331","295","280","422","523","407","85","85","342","401","496","617"
"87","[P]","    ZARGAN.COM","770","782","799","745","627","710","660","697","632","401","383","387","499","678","614"
"88","[P]","    VDICT.COM","798","696","592","689","500","710","661","643","595","682","696","639","767","694","607"
"89","[P]","    UNIVERSALIS.FR","636","610","647","604","712","730","659","577","346","246","247","442","493","534","601"
"90","[P]","    POETS.ORG","585","603","616","583","639","768","829","671","439","469","482","764","723","865","585"
"91","[P]","    AIES.CN","292","293","327","337","250","330","468","529","483","641","710","548","515","541","583"
"92","[P]","    SACRED-TEXTS.COM","552","511","556","499","509","491","521","521","485","481","439","489","621","563","582"
"93","[P]","    SLD.CU","1,181","1,112","721","736","859","928","1,059","1,025","808","653","837","883","1,013","878","571"
"94","[P]","    NORTHPOLE.COM","85","401","1,165","88","28","34","34","32","27","36","66","74","114","202","559"
"95","[P]","    ALDEBARAN.RU","1,049","997","884","1,140","861","815","703","669","594","566","498","578","536","645","558"
"96","[P]","    REPEC.ORG","783","660","649","691","563","704","775","734","567","541","549","505","747","693","532"
"97","[P]","    HONEYWELL.COM","807","553","656","771","720","757","625","728","702","709","648","706","673","620","527"
"98","[P]","    WEBELEMENTS.COM","858","820","506","665","604","575","531","480","437","302","297","963","1,043","803","526"
"99","[P]","    NOTAIRES.FR","400","406","279","358","344","448","293","598","339","492","480","561","538","584","509"
"100","[M]","    QUIBBLO.COM","1,211","1,102","999","992","754","1,043","1,862","802","662","789","594","490","573","600","506"
"101","[P]","    OCLC.ORG","422","371","407","504","631","711","510","538","511","442","434","375","592","469","487"
"102","[P]","    THAIGOODVIEW.COM","690","1,002","974","1,139","880","488","325","513","709","692","711","681","348","550","480"
"103","[P]","    NOODLETOOLS.COM","446","500","404","365","423","505","634","597","207","57","96","347","575","562","475"
"104","[P]","    SCIELO.CL","861","877","556","505","463","607","721","729","607","469","520","664","733","679","462"
"105","[P]","    INGENTACONNECT.COM","714","617","697","569","792","863","815","651","574","569","568","505","710","496","460"
"106","[P]","    Farlex.com Sites","891","822","888","892","1,220","1,545","1,780","1,180","768","863","947","1,057","1,110","806","449"
"107","[P]","    LEXICOOL.COM","354","331","334","342","265","318","278","322","290","377","376","399","551","424","433"
"108","[P]","    GOGEN-ALLGUIDE.COM","596","601","551","706","498","583","517","508","637","478","470","481","445","476","427"
"109","[P]","    BIYOGRAFI.INFO","113","125","130","166","97","158","211","214","118","100","105","113","160","338","418"
"110","[P]","    JEWISHVIRTUALLIBRARY.ORG","472","511","528","518","482","644","514","520","329","245","339","467","418","409","402"
"111","[P]","    ERUDITION.RU","488","448","588","390","345","364","477","592","283","53","45","335","373","369","402"
"112","[C]","    LIBRARYTHING.COM","528","502","421","497","552","624","628","553","591","637","652","641","628","563","401"
"113","[P]","    STARS21.COM","584","457","497","439","360","395","342","354","338","352","305","320","351","352","392"
"114","[P]","    WISSEN.DE","349","392","370","562","521","499","532","508","504","278","247","385","358","463","376"
"115","[P]","    TRADUCEGRATIS.COM","748","818","647","655","514","652","589","556","454","369","408","409","470","393","374"
"116","[P]","    EGO4U.DE","345","421","358","348","332","412","489","424","401","175","140","332","330","445","372"
"117","[P]","    YEMINLISOZLUK.COM","276","331","420","383","260","262","217","152","155","171","164","217","250","519","368"
"118","[P]","    TRANSLATE.PL","639","532","446","532","481","472","420","380","384","317","330","388","482","458","364"
"119","[P]","    STROYPORTAL.RU","482","454","428","431","468","470","415","368","332","422","403","453","464","432","347"
"120","[P]","    WWWW4.COM","304","304","459","315","290","308","364","295","210","103","117","232","244","326","344"
"121","[P]","    TOPLUMDUSMANI.NET","584","766","720","514","388","561","630","405","196","105","69","261","278","422","334"
"122","[P]","    OSZK.HU","439","435","418","482","426","471","411","395","320","235","240","336","402","446","331"
"123","[P]","    ENERGYGUIDE.COM","830","841","736","934","587","418","472","409","304","425","312","313","341","259","327"
"124","[P]","    QURANEXPLORER.COM","358","351","369","420","358","423","431","395","363","684","407","319","371","313","319"
"125","[P]","    ONELOOK.COM","430","491","406","395","342","414","312","447","450","419","367","420","425","362","311"
"126","[P]","    ALA.ORG","300","277","244","373","299","376","372","229","217","338","350","478","310","247","308"
"127","[P]","    MORFIX.CO.IL","354","364","349","309","230","265","297","253","271","281","270","271","350","301","308"
"128","[P]","    NYPL.ORG","306","268","325","353","240","265","321","269","328","346","321","328","421","296","295"
"129","[P]","    MANSIONINGLES.COM","539","475","322","349","463","351","419","534","418","426","449","504","572","516","280"
"130","[P]","    MEGAESSAYS.COM","511","430","413","396","425","555","471","318","187","189","134","318","427","485","275"
"131","[P]","    BIREME.BR","314","317","171","166","264","402","527","574","528","406","565","589","584","622","270"
"132","[P]","    EXAMPLEESSAYS.COM","370","409","298","272","335","425","377","389","202","238","167","274","357","375","270"
"133","[P]","    ACTUALICESE.COM","470","429","304","446","478","503","583","574","397","418","475","477","462","434","268"
"134","[P]","    THEOI.COM","237","263","171","261","316","303","234","285","202","192","252","245","400","383","262"
"135","[P]","    CALCULATOR.COM","203","234","173","307","260","293","295","378","191","278","198","257","346","225","241"
"136","[P]","    U-S-HISTORY.COM","380","333","431","324","393","462","455","382","204","43","158","296","349","306","232"
"137","[P]","    EVERYTHING2.COM","324","290","314","380","348","429","455","305","287","291","231","233","286","296","229"
"138","[C]","    Voila.fr Translation","292","305","315","449","371","447","273","340","377","215","214","236","265","267","219"
"139","[P]","    KDD.CC","199","259","281","229","154","265","318","401","352","317","312","289","279","284","215"
"140","[P]","    PSICOLOGIA-ONLINE.COM","374","341","200","267","300","365","392","335","262","256","305","298","392","333","206"
"141","[C]","    BOOKFINDER.COM","335","290","225","383","189","301","205","204","164","202","194","172","250","176","203"
"142","[P]","    CUCUMIS.ORG","180","179","174","158","157","160","176","149","156","250","143","186","161","212","199"
"143","[P]","    HOWTODOTHINGS.COM","727","724","541","484","477","602","378","423","282","204","228","260","219","264","199"
"144","[P]","    ARKITERA.COM","167","186","171","170","116","149","137","121","167","136","90","95","117","198","191"
"145","[P]","    NEWWORLDENCYCLOPEDIA.ORG","538","498","414","358","361","478","419","265","224","163","179","342","320","274","182"
"146","[P]","    MYDICT.COM","287","381","327","288","317","273","277","272","277","166","153","170","210","167","177"
"147","[P]","    VISUALTHESAURUS.COM","213","224","200","217","206","215","283","178","105","139","190","206","353","302","175"
"148","[P]","    AMERICANRHETORIC.COM","150","193","113","260","143","168","144","143","162","76","203","183","150","215","173"
"149","[P]","    IPL.ORG","211","251","187","240","249","269","184","360","132","162","194","187","217","221","171"
"150","[P]","    ZENO.ORG","207","238","196","238","195","199","154","180","158","96","85","147","159","180","170"
"151","[P]","    ABIPUR.DE","160","255","243","222","220","261","306","266","194","44","84","136","199","227","165"
"152","[P]","    VICTORIANWEB.ORG","253","274","200","222","207","263","213","251","131","90","122","177","264","267","162"
"153","[P]","    KWINTESSENTIAL.CO.UK","455","465","389","271","359","401","425","441","245","178","83","197","185","249","161"
"154","[P]","    LUMINARIUM.ORG","163","230","157","181","186","134","125","172","121","125","117","145","193","154","159"
"155","[P]","    FOURMILAB.CH","207","228","173","157","166","170","196","152","97","115","152","106","116","148","147"
"156","[P]","    GLOSSARY.RU","197","178","240","175","112","113","135","126","85","28","25","75","83","144","146"
"157","[P]","    INFOVISUAL.INFO","395","403","330","267","173","246","231","169","135","86","102","182","220","273","145"
"158","[P]","    CUMMINGSSTUDYGUIDES.NET","263","294","183","256","212","144","151","152","93","31","67","165","179","161","142"
"159","[P]","    EYEWITNESSTOHISTORY.COM","240","217","209","226","234","289","341","285","165","102","139","168","189","223","141"
"160","[P]","    FAMOUSPOETSANDPOEMS.COM","404","294","294","158","187","241","188","260","90","117","106","131","125","149","139"
"161","[P]","    GEOGRAPH.ORG.UK","532","430","447","264","189","207","275","185","192","152","244","215","194","144","139"
"162","[P]","    FRENCH-LINGUISTICS.CO.UK*","277","199","165","246","173","210","230","222","136","103","80","218","256","150","139"
"163","[P]","    NCIKU.COM","196","181","217","275","203","225","224","174","172","170","205","179","153","151","134"
"164","[P]","    ELITESKILLS.COM","275","271","195","182","207","250","214","193","100","80","73","127","140","162","133"
"165","[M]","    Informit Network","213","367","280","271","292","309","277","243","145","227","183","169","189","207","133"
"166","[P]","    POEMSOURCE.COM","251","354","375","258","349","184","151","205","229","116","105","143","99","217","129"
"167","[P]","    ATLANTS.LV","118","110","123","119","101","131","127","143","58","36","33","88","90","160","121"
"168","[P]","    FREELANG.NET","149","183","172","197","123","144","172","136","152","95","122","147","91","69","118"
"169","[P]","    NATIVE-LANGUAGES.ORG","322","293","178","131","182","167","168","156","103","94","88","255","262","158","113"
"170","[P]","    INFORMATIONSARCHIV.NET","191","286","276","321","269","255","239","266","222","178","189","177","153","172","106"
"171","[P]","    ECHEAT.COM","145","158","163","103","139","191","216","113","47","32","37","78","116","97","97"
"172","[P]","    PANTHEON.ORG","218","176","137","173","210","220","156","175","138","123","142","178","177","141","96"
"173","[P]","    ARTCYCLOPEDIA.COM","232","181","158","182","129","158","175","98","97","62","85","133","150","105","95"
"174","[P]","    FREEDICT.COM","165","156","156","200","135","152","143","175","189","113","150","97","88","125","93"
"175","[P]","    LIB.OH.US","239","176","164","186","178","142","98","100","86","148","104","98","90","155","91"
"176","[P]","    QUOTELAND.COM","154","143","181","143","187","120","145","109","124","124","72","89","96","182","86"
"177","[P]","    ALLWORDS.COM","134","108","91","75","90","138","149","101","48","92","82","52","88","64","85"
"178","[P]","    DICTS.INFO","233","216","198","187","110","144","128","114","88","94","91","74","79","41","83"
"179","[P]","    ALLGREATQUOTES.COM","303","330","246","172","181","249","200","254","97","82","58","60","124","94","83"
"180","[P]","    LEXINTER.NET","125","164","150","172","194","134","101","58","63","38","38","80","378","84","82"
"181","[P]","    EPNET.COM","85","98","71","101","88","87","103","54","57","60","54","61","148","145","82"
"182","[P]","    Antiqbook","76","67","89","62","82","93","58","69","47","65","112","73","82","175","82"
"183","[P]","    WORDWEBONLINE.COM","156","115","159","206","101","128","113","142","120","153","102","115","109","81","80"
"184","[P]","    WAPEDIA.MOBI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85","72"
"185","[P]","    YOURCHILDLEARNS.COM","178","159","120","129","145","117","158","115","90","99","174","211","232","244","60"
"186","[P]","    PLANETADISSER.COM","73","91","107","48","65","81","124","126","89","19","21","47","35","N/A","58"
"187","[P]","    DEFINICION.ORG","334","291","147","229","271","284","359","364","239","178","253","181","163","128","55"
"188","[P]","    BrainyMedia Sites","137","134","104","142","138","202","160","132","106","150","108","41","42","60","48"
"189","[P]","    MADSCI.ORG","114","128","99","111","104","131","90","64","43","24","39","82","98","106","47"
"190","[P]","    MANAGEMENTHELP.ORG","228","202","154","162","207","295","220","148","115","110","50","119","130","88","46"
"191","[P]","    LEARNENGLISH.ORG.UK","69","77","45","44","29","35","31","44","17","29","21","65","101","66","44"
"192","[P]","    JURIS.DE","91","148","150","163","146","70","88","127","101","81","163","90","109","125","40"
"193","[P]","    TOPPRODUCT.NL","113","103","80","121","86","112","73","64","59","34","124","32","55","28","37"
"194","[P]","    LECTLAW.COM","102","127","87","86","107","98","76","117","78","37","18","64","68","31","37"
"195","[P]","    LOTSOFESSAYS.COM","365","403","191","168","171","238","168","118","78","32","40","36","61","42","36"
"196","[P]","    TRANSLATION-GUIDE.COM","59","39","31","52","28","41","58","28","21","33","25","35","37","36","35"
"197","[P]","    MOLWICK.COM","118","112","78","63","103","134","127","68","62","36","53","44","40","48","28"
"198","[P]","    POEMOFQUOTES.COM","45","68","65","66","120","112","85","58","67","55","27","28","33","33","28"
"199","[P]","    ACADEMON.COM","132","129","86","56","65","89","48","58","50","42","14","42","59","73","27"
"200","[P]","    SOBRESITES.COM","31","24","23","29","62","55","61","61","45","15","46","41","28","36","26"
"201","[P]","    WISDOMQUOTES.COM","91","91","171","81","79","63","77","51","98","60","60","49","47","N/A","21"
"202","[P]","    BEST-LOVE-POEMS.COM","138","119","107","86","65","80","67","86","43","50","44","34","34","35","18"
"203","[P]","    NETPOETS.COM","94","46","53","32","44","57","46","25","56","37","29","16","20","22","18"
"204","[P]","    ABCPEDIA.COM","186","136","79","64","52","49","36","66","40","30","31","39","33","41","18"
"205","[P]","    SAIDWHAT.CO.UK","73","68","100","25","43","65","63","31","27","20","19","22","21","49","7"
"206","[P]","    FOREIGNWORD.COM","26","35","20","20","29","31","26","N/A","N/A","N/A","N/A","N/A","11","N/A","N/A"
"207","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","322","50","117","94","55","95","74","66","130","110","78","72","25","N/A","N/A"
"208","[P]","    SPRINGERLINK.COM","3,036","1,473","40","57","64","82","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"209","[P]","    LKWDPL.ORG","47","76","68","60","123","111","51","52","39","N/A","N/A","N/A","N/A","N/A","N/A"
"210","[P]","    KNOWLEDGERUSH.COM","18","22","14","18","45","19","34","21","15","18","21","28","9","18","N/A"
"211","[M]","    5BALLOV.RU","54","101","27","18","40","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"212","[P]","    NEDIR.NET","43","32","32","30","53","35","31","26","15","20","N/A","20","N/A","N/A","N/A"
"213","[P]","    TDK.ORG.TR","65","52","79","108","85","85","56","60","91","27","N/A","34","27","46","N/A"
"214","[P]","    SEVGILIYE.COM","62","76","75","80","115","41","32","35","20","26","N/A","N/A","25","57","N/A"
