"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: December 2012 - December 2013","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 1/22/2014","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013"
"1","    United States","82,348","84,506","82,348","85,825","85,546","83,875","78,190","81,411","81,212","82,731","85,391","82,397","76,353"
"2","    World-Wide","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471","532,699","490,200"
"3","    Non-US","390,204","403,967","400,652","431,785","431,203","437,892","421,388","410,695","415,663","423,173","445,080","450,302","413,847"
"4","    Canada","14,618","14,771","14,305","14,909","15,087","14,791","14,251","13,683","13,480","13,789","14,152","13,827","12,885"
"5","    Argentina","5,148","4,583","4,878","6,186","6,429","6,617","6,461","6,106","7,036","6,659","7,068","6,935","5,314"
"6","    Australia","5,008","5,252","5,248","5,783","5,688","5,984","5,669","5,358","5,549","5,306","5,409","5,191","4,439"
"7","    Austria","2,193","2,280","2,028","2,223","2,197","2,252","2,159","1,917","1,926","2,001","2,052","2,077","1,967"
"8","    Belgium","2,667","2,773","2,564","2,755","2,696","2,868","2,665","2,218","2,449","2,495","2,709","2,677","2,375"
"9","    Brazil","14,500","14,571","26,330","30,284","29,931","29,791","30,366","26,173","28,079","27,982","28,839","29,521","23,443"
"10","    Chile","2,619","2,401","1,708","2,398","2,598","2,610","2,640","2,414","2,479","2,266","2,486","2,461","1,919"
"11","    China","4,457","4,194","3,218","4,608","7,412","8,173","7,265","7,996","7,828","6,147","7,900","8,437","8,684"
