"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,ABBREVIATIONS.CO...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: February 2013 - April 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,ABBREVIATIONS.CO...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/1/2014","","","","","",""

"","","","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014","Mar-2014","Apr-2014"
"18","[P]","    ARCHIVE.ORG","10,617","11,441","11,811","11,677","11,728","11,905","11,344","11,130","11,506","11,528","11,618","12,220","11,305","12,069","11,056"
"19","[M](U)","    INSTRUCTABLES.COM","8,240","8,837","8,310","8,272","8,158","8,343","8,500","8,117","9,264","9,983","9,971","10,183","9,292","10,448","10,405"
"20","[P]","    URBANDICTIONARY.COM","14,227","16,382","15,735","15,660","14,774","15,595","14,701","14,221","15,433","15,305","12,864","12,509","10,735","11,263","10,397"
"21","[M]","    ICIBA.COM","5,179","7,421","9,930","10,037","8,982","9,859","9,459","8,839","8,676","8,800","8,467","6,080","6,767","9,947","9,623"
"22","[C]","    SCIENCEDIRECT.COM","6,050","7,359","7,372","6,658","5,347","5,444","5,185","6,408","7,605","7,190","6,098","5,811","6,705","7,700","7,356"
"23","[C]","    Yandex Dictionary","7,265","7,574","7,181","6,650","5,762","5,318","5,437","7,233","7,545","8,419","8,258","7,654","7,288","7,671","7,169"
"24","[M]","    WEBLIO.JP","7,245","7,343","7,634","8,248","8,277","8,911","7,410","7,551","8,122","7,740","7,450","8,068","6,997","6,692","6,557"
"25","[P]","    BIBLEGATEWAY.COM","5,927","6,599","6,441","6,299","5,578","5,712","6,153","6,588","6,535","6,767","5,765","6,066","5,890","6,736","6,058"
"26","[P](U)","    WISEGEEK.COM","13,201","13,402","10,573","7,333","5,862","5,437","4,813","5,374","6,187","5,943","5,100","5,474","5,305","5,929","5,791"
"27","[P](U)","    EASYBIB.COM (w/ history)","3,848","4,319","4,780","4,166","1,457","920","968","2,913","4,500","5,092","4,503","2,855","4,013","5,241","5,521"
"28","[M]","    17U.COM","3,448","4,251","7,383","7,085","7,860","10,059","8,734","7,558","6,088","4,421","4,091","3,946","3,615","4,524","5,447"
"29","[M]","    LAROUSSE.FR","3,303","3,738","3,510","3,633","3,037","2,408","2,456","3,490","4,428","4,617","4,445","4,673","4,819","5,612","5,445"
"30","[C](U)","    DICIONARIOINFORMAL.COM.BR (w/ history)","4,914","6,396","6,604","6,372","6,374","5,737","6,307","6,068","7,225","7,118","4,846","4,306","5,001","5,497","5,171"
"31","[P]","    5156EDU.COM","1,486","2,438","3,777","4,211","3,652","3,811","3,412","4,160","3,940","3,831","4,124","2,905","3,245","5,093","4,424"
"32","[P]","    TURNITIN.COM","2,941","3,668","3,882","3,391","1,653","1,007","1,693","3,742","4,702","4,439","3,850","2,603","3,375","4,176","4,411"
"33","[S](U)","    SPANISHDICT.COM (w/ history)","3,844","4,121","4,249","4,145","3,305","3,305","3,603","4,066","4,539","4,054","3,420","3,640","3,599","4,123","4,308"
"34","[C]","    Naver.com Knowledge iN","3,095","2,995","2,757","3,132","2,827","2,449","2,743","2,572","2,971","3,286","3,418","3,887","4,341","4,036","4,201"
"35","[M](U)","    Demand Media Network","5,334","5,551","5,381","4,800","4,594","4,396","4,119","4,354","4,538","4,213","3,650","3,576","3,684","4,246","3,860"
"36","[P]","    DICT.CC","4,427","4,726","4,583","4,525","4,379","4,153","3,944","4,187","4,575","4,597","4,026","4,600","4,139","3,872","3,744"
"37","[M]","    FUTURA-SCIENCES.COM","5,301","5,559","4,215","4,019","3,801","3,127","2,625","3,690","3,795","4,313","4,233","3,883","3,985","3,771","3,706"
"38","[M]","    SOCIETE.COM","2,253","2,580","2,645","2,458","2,329","2,671","2,411","3,006","3,261","2,688","2,804","3,540","3,363","4,106","3,660"
"39","[P]","    LEXILOGOS.COM","3,908","4,105","3,817","4,117","3,706","3,901","3,557","3,864","3,669","4,041","4,044","3,937","3,607","4,080","3,547"
"40","[M]","    DUDEN.DE (w/ history)","2,819","3,033","2,974","3,172","3,215","2,792","2,797","3,306","3,694","3,770","3,231","3,768","3,420","3,807","3,541"
"41","[M](u)","    YOURDICTIONARY.COM","4,219","4,593","4,662","4,400","3,353","3,046","3,066","4,778","4,960","4,474","3,566","4,180","4,089","3,923","3,507"
"42","[P]","    SCIELO.BR","2,151","3,343","3,361","3,168","3,001","2,161","2,577","2,913","3,395","3,823","2,210","1,871","2,588","3,327","3,479"
"43","[C]","    Naver.com Dictionary","1,375","1,941","1,915","2,082","1,841","1,563","1,802","1,739","2,263","2,151","2,668","2,471","2,564","3,179","3,221"
"44","[P]","    IXL.COM","3,424","3,386","3,277","3,045","2,326","2,286","2,618","4,327","4,630","5,020","3,101","4,194","3,752","3,365","2,905"
"45","[P]","    DEFINICION.DE","2,845","2,771","3,113","3,040","2,387","1,701","3,169","3,680","3,968","3,241","1,693","2,562","3,397","3,367","2,755"
"46","[M]","    TRANSLATE.RU","3,504","3,661","3,372","3,092","2,361","2,091","2,045","2,972","2,990","3,473","3,378","3,081","3,091","3,098","2,650"
"47","[C](U)","    Yahoo Dictionary","4,327","4,643","3,768","3,795","3,805","4,097","3,847","3,743","3,685","3,455","2,983","2,770","2,468","2,475","2,545"
"48","[M]","    WOXIKON.DE (w/ history)","2,471","2,694","2,574","2,618","2,830","2,206","2,303","2,666","2,401","2,807","2,514","2,937","2,875","2,660","2,515"
"49","[P]","    ITUSOZLUK.COM","1,863","1,996","1,979","1,956","1,706","1,914","1,971","1,943","1,898","2,918","2,876","2,899","2,377","2,509","2,469"
"50","[P]","    UN.ORG","2,184","2,993","2,750","2,720","2,195","1,933","1,973","2,850","3,024","5,085","2,568","2,511","2,537","3,328","2,423"
"51","[P]","    BIBLIOTEKAR.RU","2,313","2,581","2,674","2,559","2,069","1,143","1,054","1,935","2,292","2,654","2,822","2,488","2,357","2,392","2,370"
"52","[P](U)","    POEMHUNTER.COM","3,672","3,609","3,791","3,640","2,724","2,344","2,134","2,567","2,658","2,909","2,426","2,338","2,501","2,714","2,335"
"53","[P]","    ENOTES.COM (w/ history)","4,495","4,319","4,210","3,247","1,721","1,170","1,267","2,204","2,396","2,156","1,865","1,818","1,949","2,391","2,241"
"54","[M]","    INFOPLEASE.COM (w/ history)","2,697","2,880","3,059","3,250","2,313","1,998","2,255","3,121","3,532","3,343","2,856","3,037","2,655","2,648","2,218"
"55","[P]","    TURKCEBILGI.COM","1,584","1,915","2,037","1,943","1,228","1,070","960","1,194","1,394","2,191","2,410","2,223","1,507","2,032","2,178"
"56","[P]","    WORLDCAT.ORG","2,512","2,763","2,486","2,187","1,934","1,917","2,027","2,318","2,533","2,353","2,161","2,340","2,226","2,526","2,170"
"57","[P]","    CONSUMERREPORTS.ORG","3,015","2,710","2,742","2,817","2,780","3,093","2,752","2,794","2,832","3,015","2,594","2,656","2,150","2,416","2,107"
"58","[M]","    WER-WEISS-WAS.DE","4,273","4,495","3,564","3,316","3,075","2,964","2,975","2,879","2,715","2,780","2,420","2,770","2,408","2,066","2,060"
"59","[C](U)","    WEBOPEDIA.COM (w/ history)","1,388","1,678","1,808","1,832","1,622","1,600","1,706","1,717","1,828","1,999","1,843","1,764","2,099","2,278","2,046"
"60","[P]","    COINMILL.COM","2,473","2,570","2,544","2,717","2,931","3,079","3,262","2,786","2,616","2,786","2,705","3,091","2,288","2,274","1,991"
"61","[S](u)","    CLIFFSNOTES.COM (w/ history)","2,551","2,924","3,274","882","349","357","540","1,073","1,574","1,550","1,392","1,482","1,659","2,058","1,969"
"62","[P]","    SLOVO.WS","1,385","1,374","1,567","1,136","288","138","212","2,647","2,173","2,410","2,273","1,759","1,960","1,801","1,966"
"63","[P]","    BIOGRAFIASYVIDAS.COM","1,556","1,914","2,116","2,125","1,459","1,154","1,654","2,245","2,239","1,907","915","1,384","1,860","2,190","1,871"
"64","[P]","    NOLO.COM","998","1,216","1,075","1,170","1,158","1,514","1,397","1,313","1,706","1,457","1,056","1,475","1,392","1,591","1,826"
"65","[M](U)","    ANTOLOJI.COM","2,516","3,396","2,860","2,625","1,770","1,594","1,342","1,551","2,019","2,231","2,397","1,913","1,702","2,124","1,757"
"66","[P]","    SERIALSSOLUTIONS.COM","1,460","1,536","1,645","1,200","881","1,072","1,048","1,460","2,054","1,835","1,186","1,343","1,418","1,537","1,716"
"67","[P]","    SO100.CN","546","1,026","1,572","1,841","1,991","1,180","804","1,391","1,527","1,983","2,614","1,655","1,193","1,742","1,670"
"68","[P]","    KLERK.RU","1,311","1,362","1,423","1,137","1,058","991","901","1,033","1,333","1,436","1,551","1,738","1,628","1,746","1,620"
"69","[S](U)","    ABBREVIATIONS.COM (w/ history)","1,196","1,349","1,268","1,299","1,107","1,090","1,013","1,057","1,207","986","1,021","1,130","1,301","1,513","1,558"
"70","[P]","    PEOPLES.RU","1,209","1,260","1,300","1,303","1,092","1,067","1,058","1,323","1,435","1,674","1,750","2,144","1,848","1,576","1,471"
"71","[P]","    GUNS.RU","1,808","1,710","691","1,045","1,041","1,136","1,136","1,169","1,178","1,461","1,452","1,471","1,423","1,550","1,428"
"72","[C](U)","    ANSWERBAG.COM*","4,090","4,365","4,170","3,140","2,436","2,364","2,262","2,200","2,308","1,962","1,707","1,778","1,572","1,615","1,413"
"73","[P]","    MIRSOVETOV.RU","2,094","2,267","1,937","1,837","1,751","1,634","1,555","1,679","1,555","1,790","1,649","1,671","1,509","1,458","1,375"
"74","[P]","    QUECHOISIR.ORG","862","786","702","647","663","865","979","1,068","1,447","1,089","1,505","1,169","1,347","1,413","1,323"
"75","[P]","    TRANSLATED.NET","1,821","2,144","2,036","1,967","1,795","1,869","1,921","1,974","2,251","2,282","1,500","1,212","1,139","1,324","1,309"
"76","[M]","    ALMANAC.COM","643","984","841","827","917","777","1,129","866","1,091","724","577","951","935","1,227","1,289"
"77","[P]","    ONLINECONVERSION.COM","1,621","1,764","1,993","1,677","1,433","1,629","1,552","1,806","1,832","1,779","1,591","1,909","1,644","1,340","1,229"
"78","[M](U)","    ICARITO.CL","776","1,208","1,365","1,427","1,167","818","1,336","1,417","1,584","1,436","541","520","793","1,246","1,178"
"79","[P]","    EMERALDINSIGHT.COM","853","1,211","1,030","989","764","823","780","862","1,314","1,341","928","805","783","1,129","1,169"
"80","[P]","    CALEND.RU","1,169","1,186","1,219","1,280","1,222","1,009","1,105","1,323","1,484","1,647","1,173","1,159","1,202","1,211","1,153"
"81","[P]","    SYNONYMES.COM","841","839","805","797","726","411","411","597","793","766","742","816","766","856","1,076"
"82","[S](U)","    BOOKRAGS.COM","1,969","2,129","2,218","2,188","1,151","853","1,034","1,364","1,474","1,414","1,103","999","991","1,284","1,054"
"83","[P]","    BrainPOP","1,349","1,335","1,347","1,357","578","331","882","1,698","1,913","1,466","1,182","1,149","1,375","1,176","1,044"
"84","[P]","    ALC.CO.JP","890","888","870","1,027","911","964","844","924","1,027","1,146","1,126","1,214","1,024","936","1,040"
"85","[P]","    TRANSLIT.RU","1,177","1,280","1,148","1,219","1,105","1,141","1,325","1,238","1,261","1,264","1,128","1,192","1,136","1,107","1,037"
"86","[P](u)","    QUESTIA.COM","1,007","1,081","1,116","839","623","603","602","813","951","845","663","845","804","1,009","1,004"
"87","[P]","    ARABIC-KEYBOARD.ORG","1,391","1,117","1,239","1,182","1,105","1,083","919","989","1,064","1,072","1,042","1,007","1,008","966","1,003"
"88","[P]","    ENGLISCH-HILFEN.DE","1,115","1,194","1,213","1,304","1,008","665","542","1,165","1,292","1,343","1,139","1,122","1,029","1,143","1,000"
"89","[P]","    ANGLAISFACILE.COM","1,281","1,116","1,129","1,104","1,023","614","704","1,131","1,227","1,275","1,145","1,099","917","1,169","970"
"90","[P]","    ACRONYMFINDER.COM","1,342","1,528","1,585","1,334","1,223","1,440","1,169","1,297","1,129","1,204","1,065","1,037","1,050","950","952"
"91","[P]","    BOOKZ.RU","1,327","1,331","1,239","1,125","1,017","958","916","1,073","985","1,165","1,084","1,141","1,045","953","943"
"92","[P]","    Farlex.com Sites","1,220","1,545","1,780","1,180","768","863","947","1,057","1,110","806","449","878","870","994","929"
"93","[P]","    ArticlesBase.com Sites","1,222","1,593","1,464","1,226","956","857","976","927","930","1,014","816","874","898","907","910"
"94","[M](U)","    ENCYCLOPEDIA.COM (w/ history)","2,026","2,013","2,001","1,640","1,006","728","771","1,210","1,389","1,199","834","860","898","946","908"
"95","[P]","    SMARTDRAW.COM","998","1,136","1,041","1,093","965","1,015","942","1,113","1,198","1,049","818","967","900","989","904"
"96","[P]","    SLD.CU","859","928","1,059","1,025","808","653","837","883","1,013","878","571","743","823","952","896"
"97","[P]","    MIJNWOORDENBOEK.NL","1,032","1,174","1,091","1,239","1,160","730","1,033","1,140","1,287","1,458","1,377","1,249","1,226","1,002","893"
"98","[P]","    PWN.PL","1,004","1,056","1,060","1,106","1,054","682","762","992","1,111","1,207","1,024","1,170","893","1,064","882"
"99","[P]","    VERTALEN.NU","688","827","718","766","820","598","820","1,005","910","895","829","840","782","734","872"
"100","[P]","    DEXONLINE.RO","948","1,017","950","948","884","739","728","897","1,145","1,012","899","1,093","950","968","838"
"101","[P]","    THINKEXIST.COM","2,206","2,286","2,007","1,698","1,316","976","1,129","1,378","1,270","854","631","900","829","739","832"
"102","[P]","    123HELPME.COM","1,522","1,901","1,744","1,556","864","760","619","1,161","1,096","1,009","870","766","754","797","797"
"103","[P]","    ALTALEX.COM","864","902","874","861","823","996","644","1,077","1,274","1,250","1,039","1,249","946","889","795"
"104","[P]","    POETS.ORG","639","768","829","671","439","469","482","764","723","865","585","760","748","777","772"
"105","[M](u)","    HIGHBEAM.COM (w/ history)","1,654","1,639","1,553","1,032","814","832","729","813","902","832","642","650","619","814","677"
"106","[P]","    BUSINESSBALLS.COM","700","840","771","817","733","787","705","805","870","643","791","731","702","897","661"
"107","[P]","    ASKMEHELPDESK.COM","1,194","1,389","1,190","1,137","1,073","1,196","953","1,115","1,010","786","757","926","878","658","653"
"108","[P]","    SOZLUK.NET","685","806","683","773","521","530","520","568","754","1,051","995","871","705","929","635"
"109","[P]","    SCIELO.CL","463","607","721","729","607","469","520","664","733","679","462","451","532","668","635"
"110","[P]","    BNF.FR","740","812","768","808","639","566","566","633","868","1,092","940","1,185","959","935","623"
"111","[P]","    ENGLISHPAGE.COM","751","755","855","764","614","426","435","805","890","929","723","815","646","762","615"
"112","[P]","    OMNIGLOT.COM","655","816","760","675","674","621","726","767","905","644","628","749","678","700","603"
"113","[P]","    NOTAIRES.FR","344","448","293","598","339","492","480","561","538","584","509","566","502","603","594"
"114","[P]","    ZARGAN.COM","627","710","660","697","632","401","383","387","499","678","614","599","534","611","594"
"115","[P]","    BIREME.BR","264","402","527","574","528","406","565","589","584","622","270","277","495","577","589"
"116","[P]","    MOREWORDS.COM","979","1,126","1,091","981","869","853","959","839","1,084","882","697","899","835","615","575"
"117","[P]","    AIES.CN","250","330","468","529","483","641","710","548","515","541","583","458","376","617","575"
"118","[P]","    PHRASES.ORG.UK","1,075","1,010","1,070","988","918","915","755","864","832","863","786","644","711","677","571"
"119","[M]","    BIOLOGY-ONLINE.ORG","814","897","865","847","558","318","381","1,058","1,096","871","663","698","612","731","570"
"120","[P]","    USHISTORY.ORG","609","572","612","597","410","351","323","952","1,173","975","708","727","768","583","556"
"121","[P]","    DICOCITATIONS.COM","530","515","439","427","405","376","319","514","567","623","634","748","637","591","555"
"122","[C]","    LIBRARYTHING.COM","552","624","628","553","591","637","652","641","628","563","401","732","555","496","550"
"123","[P]","    REPEC.ORG","563","704","775","734","567","541","549","505","747","693","532","551","554","689","544"
"124","[P]","    HONEYWELL.COM","720","757","625","728","702","709","648","706","673","620","527","648","627","643","526"
"125","[P]","    UNIVERSALIS.FR","712","730","659","577","346","246","247","442","493","534","601","505","703","605","522"
"126","[P]","    TOPLUMDUSMANI.NET","388","561","630","405","196","105","69","261","278","422","334","366","269","373","520"
"127","[P]","    DISCOVERMAGAZINE.COM","648","589","558","419","597","532","590","629","551","737","434","522","364","632","516"
"128","[P]","    INGENTACONNECT.COM","792","863","815","651","574","569","568","505","710","496","460","480","391","512","503"
"129","[P]","    VDICT.COM","500","710","661","643","595","682","696","639","767","694","607","520","678","641","491"
"130","[P]","    OCLC.ORG","631","711","510","538","511","442","434","375","592","469","487","418","561","447","488"
"131","[P]","    JEWISHVIRTUALLIBRARY.ORG","482","644","514","520","329","245","339","467","418","409","402","296","366","353","474"
"132","[P]","    BIYOGRAFI.INFO","97","158","211","214","118","100","105","113","160","338","418","450","359","558","466"
"133","[P]","    YEMINLISOZLUK.COM","260","262","217","152","155","171","164","217","250","519","368","452","246","402","462"
"134","[P]","    ACTUALICESE.COM","478","503","583","574","397","418","475","477","462","434","268","433","508","495","460"
"135","[P]","    LEXICOOL.COM","265","318","278","322","290","377","376","399","551","424","433","521","543","469","454"
"136","[P]","    MANSIONINGLES.COM","463","351","419","534","418","426","449","504","572","516","280","417","448","438","435"
"137","[M](U)","    LIFE123.COM","1,298","1,530","1,475","1,275","1,013","693","421","456","510","486","421","417","397","461","430"
"138","[P]","    NOODLETOOLS.COM","423","505","634","597","207","57","96","347","575","562","475","446","454","641","429"
"139","[P]","    SACRED-TEXTS.COM","509","491","521","521","485","481","439","489","621","563","582","566","375","422","428"
"140","[C]","    WEBMATH.COM","472","421","509","547","387","392","534","991","915","813","610","603","668","484","422"
"141","[M]","    QUIBBLO.COM","754","1,043","1,862","802","662","789","594","490","573","600","506","525","429","494","417"
"142","[M]","    SAPERE.IT","484","433","427","487","384","523","336","479","493","414","313","549","467","539","417"
"143","[P]","    STROYPORTAL.RU","468","470","415","368","332","422","403","453","464","432","347","334","345","371","416"
"144","[P]","    OSZK.HU","426","471","411","395","320","235","240","336","402","446","331","481","420","467","411"
"145","[P]","    ENERGYGUIDE.COM","587","418","472","409","304","425","312","313","341","259","327","397","385","319","393"
"146","[P]","    PSICOLOGIA-ONLINE.COM","300","365","392","335","262","256","305","298","392","333","206","250","339","437","383"
"147","[P]","    GOGEN-ALLGUIDE.COM","498","583","517","508","637","478","470","481","445","476","427","495","442","396","379"
"148","[P]","    ALDEBARAN.RU","861","815","703","669","594","566","498","578","536","645","558","529","423","452","379"
"149","[P]","    STARS21.COM","360","395","342","354","338","352","305","320","351","352","392","372","305","319","366"
"150","[P]","    MIRSLOVAREI.COM","295","280","422","523","407","85","85","342","401","496","617","421","374","391","357"
"151","[P]","    INFOVISUAL.INFO","173","246","231","169","135","86","102","182","220","273","145","199","190","168","353"
"152","[P]","    ERUDITION.RU","345","364","477","592","283","53","45","335","373","369","402","282","264","323","315"
"153","[P]","    TRANSLATE.PL","481","472","420","380","384","317","330","388","482","458","364","423","354","349","304"
"154","[P]","    WISSEN.DE","521","499","532","508","504","278","247","385","358","463","376","562","386","490","287"
"155","[S](u)","    CODEGURU.COM (w/ history)","413","507","442","460","382","337","349","386","444","317","348","307","273","346","277"
"156","[P]","    NYPL.ORG","240","265","321","269","328","346","321","328","421","296","295","377","374","353","275"
"157","[P]","    MORFIX.CO.IL","230","265","297","253","271","281","270","271","350","301","308","290","270","320","253"
"158","[P]","    QURANEXPLORER.COM","358","423","431","395","363","684","407","319","371","313","319","276","271","228","252"
"159","[P]","    WEBELEMENTS.COM","604","575","531","480","437","302","297","963","1,043","803","526","534","412","486","251"
"160","[P]","    THEOI.COM","316","303","234","285","202","192","252","245","400","383","262","320","203","262","244"
"161","[P]","    HOWTODOTHINGS.COM","477","602","378","423","282","204","228","260","219","264","199","231","245","211","243"
"162","[P]","    KDD.CC","154","265","318","401","352","317","312","289","279","284","215","229","185","269","242"
"163","[P]","    U-S-HISTORY.COM","393","462","455","382","204","43","158","296","349","306","232","164","268","168","237"
"164","[P]","    ONELOOK.COM","342","414","312","447","450","419","367","420","425","362","311","348","296","288","237"
"165","[P]","    EGO4U.DE","332","412","489","424","401","175","140","332","330","445","372","393","239","357","234"
"166","[P]","    TRADUCEGRATIS.COM","514","652","589","556","454","369","408","409","470","393","374","402","316","305","233"
"167","[P]","    ALA.ORG","299","376","372","229","217","338","350","478","310","247","308","377","410","363","233"
"168","[P]","    ARKITERA.COM","116","149","137","121","167","136","90","95","117","198","191","293","156","198","233"
"169","[P]","    EYEWITNESSTOHISTORY.COM","234","289","341","285","165","102","139","168","189","223","141","217","127","102","216"
"170","[P]","    WWWW4.COM","290","308","364","295","210","103","117","232","244","326","344","271","197","159","214"
"171","[P]","    NEWWORLDENCYCLOPEDIA.ORG","361","478","419","265","224","163","179","342","320","274","182","200","223","246","202"
"172","[P]","    THAIGOODVIEW.COM","880","488","325","513","709","692","711","681","348","550","480","554","560","266","197"
"173","[P]","    VICTORIANWEB.ORG","207","263","213","251","131","90","122","177","264","267","162","206","232","174","195"
"174","[P]","    EVERYTHING2.COM","348","429","455","305","287","291","231","233","286","296","229","252","192","179","191"
"175","[P]","    EXAMPLEESSAYS.COM","335","425","377","389","202","238","167","274","357","375","270","261","186","201","190"
"176","[P]","    IPL.ORG","249","269","184","360","132","162","194","187","217","221","171","170","141","124","189"
"177","[P]","    KWINTESSENTIAL.CO.UK","359","401","425","441","245","178","83","197","185","249","161","147","210","131","184"
"178","[P]","    INFORMATIONSARCHIV.NET","269","255","239","266","222","178","189","177","153","172","106","144","136","156","180"
"179","[P]","    CUCUMIS.ORG","157","160","176","149","156","250","143","186","161","212","199","142","119","175","179"
"180","[P]","    NCIKU.COM","203","225","224","174","172","170","205","179","153","151","134","205","164","124","175"
"181","[P]","    MEGAESSAYS.COM","425","555","471","318","187","189","134","318","427","485","275","266","259","245","169"
"182","[C]","    Voila.fr Translation","371","447","273","340","377","215","214","236","265","267","219","259","160","231","168"
"183","[P]","    FAMOUSPOETSANDPOEMS.COM","187","241","188","260","90","117","106","131","125","149","139","207","134","153","164"
"184","[M](u)","    LOVEPOEMSANDQUOTES.COM (w/ history)","267","234","221","181","147","195","129","154","224","199","193","261","281","243","162"
"185","[M]","    Informit Network","292","309","277","243","145","227","183","169","189","207","133","139","130","255","160"
"186","[P]","    JURIS.DE","146","70","88","127","101","81","163","90","109","125","40","115","102","149","151"
"187","[P]","    ABIPUR.DE","220","261","306","266","194","44","84","136","199","227","165","220","187","251","148"
"188","[M]","    ALLEXPERTS.COM","294","240","268","130","125","189","146","80","109","163","103","86","107","67","147"
"189","[M]","    THECANADIANENCYCLOPEDIA.COM","429","468","570","458","350","279","238","281","360","376","111","187","231","143","146"
"190","[P]","    CALCULATOR.COM","260","293","295","378","191","278","198","257","346","225","241","236","186","155","144"
"191","[M]","    NETPME.FR","219","207","227","329","140","132","162","232","171","157","121","261","162","219","139"
"192","[M](U)","    ILMAINENSANAKIRJA.FI (w/ history)","88","115","92","66","90","88","76","78","66","84","159","183","167","174","133"
"193","[P]","    LIB.OH.US","178","142","98","100","86","148","104","98","90","155","91","166","86","181","132"
"194","[P]","    FOURMILAB.CH","166","170","196","152","97","115","152","106","116","148","147","100","157","135","130"
"195","[C]","    BOOKFINDER.COM","189","301","205","204","164","202","194","172","250","176","203","164","113","179","125"
"196","[P]","    AMERICANRHETORIC.COM","143","168","144","143","162","76","203","183","150","215","173","348","193","187","122"
"197","[P]","    MADSCI.ORG","104","131","90","64","43","24","39","82","98","106","47","87","105","139","120"
"198","[P]","    MYDICT.COM","317","273","277","272","277","166","153","170","210","167","177","175","161","154","111"
"199","[P]","    ARTCYCLOPEDIA.COM","129","158","175","98","97","62","85","133","150","105","95","109","71","87","111"
"200","[P]","    PANTHEON.ORG","210","220","156","175","138","123","142","178","177","141","96","131","134","123","110"
"201","[P]","    ZENO.ORG","195","199","154","180","158","96","85","147","159","180","170","146","169","203","110"
