"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: January 2012 - March 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 4/15/2013","","","","","",""

"","","","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013"
"","","    Total Internet : Total Audience ","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797"
"1","[P]","    Wikimedia Foundation Sites","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610"
"2","[C](U)","    Yahoo! Answers","255,897","250,048","257,704","247,396","248,834","241,753","231,699","285,149","290,423","309,347","306,205","294,797","313,515","303,340","313,820"
"3","[C]","    Baidu Answers","135,923","145,462","159,364","150,837","147,236","151,130","162,873","163,402","158,907","163,801","162,524","163,143","162,348","141,707","162,379"
"4","[C]","    Baidu Encyclopedia","83,530","99,302","102,442","95,174","92,660","93,376","99,357","98,440","91,891","97,166","100,417","101,704","99,365","85,217","105,082"
"5","[P](U)","    Answers.com Sites","80,319","81,167","84,201","83,222","89,732","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728"
"6","[P](U)","    Wikia Sites","50,086","47,809","50,647","48,711","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337"
"7","[C]","    SINA iAsk","46,355","49,887","49,259","37,429","33,053","35,169","40,080","39,639","42,383","47,115","50,160","48,162","47,339","37,151","47,746"
"8","[P](U)","    WORDREFERENCE.COM","15,671","16,464","17,733","16,573","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517"
"9","[P](u)","    Encyclopaedia Britannica","18,604","18,661","18,685","16,951","16,757","14,168","13,292","14,706","17,690","20,648","19,831","18,527","22,007","22,394","23,714"
"10","[C]","    Goo Teaching","25,084","23,966","25,802","23,964","25,072","24,349","25,400","25,617","25,350","24,148","23,990","23,828","24,918","22,713","23,613"
"11","[P]","    URBANDICTIONARY.COM","14,705","14,138","13,170","13,240","14,082","14,240","13,934","13,917","14,118","14,129","14,034","13,979","15,056","14,227","16,382"
"12","[M](U)","    HOWSTUFFWORKS.COM*","14,037","13,631","13,628","12,406","12,975","11,247","10,913","12,507","13,385","15,697","14,959","12,663","14,414","13,137","13,532"
"13","[P](U)","    WISEGEEK.COM","7,700","7,688","8,055","7,719","9,102","7,254","6,659","7,742","8,767","10,563","10,642","10,608","12,859","13,201","13,402"
"14","[M]","    REVERSO.NET*","11,490","11,326","11,705","10,985","11,738","10,157","8,837","8,687","10,930","12,081","12,215","11,476","11,974","11,480","12,591"
