"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria...","","","","","","My Metrix"
"Total Internet,Wikimedia Foundation Sites","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: April 2011 - April 2012","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Total Internet,Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 5/21/2012","","","","","",""

"","","Total Internet","","","","","","","","","","","","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012"
"1","    United States","182,764","184,212","182,908","183,400","184,601","186,431","188,490","188,195","186,922","187,358","187,538","190,694","188,478","65,710","69,353","68,320","71,855","75,535","79,656","82,245","80,497","80,464","85,219","83,537","82,588","81,583"
"2","    World-Wide","1,362,369","1,373,976","1,383,098","1,394,031","1,411,178","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","380,716","411,061","399,362","393,543","422,779","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380"
"3","    Non-US","1,179,605","1,189,763","1,200,190","1,210,631","1,226,577","1,233,884","1,243,448","1,250,682","1,257,170","1,263,230","1,260,622","1,280,720","1,289,332","315,006","341,709","331,042","321,688","347,243","374,873","394,382","394,226","376,599","396,938","392,163","406,814","391,797"
"4","    Canada","23,386","23,403","23,421","23,429","23,464","23,502","23,547","23,607","23,629","23,647","24,069","23,981","25,463","12,524","12,728","12,432","12,004","12,742","13,537","14,008","14,192","13,948","14,602","14,513","14,413","15,081"
"5","    Argentina","12,991","13,038","13,086","13,133","13,181","13,229","13,277","13,326","13,374","13,423","13,390","13,490","13,523","5,319","5,530","5,526","5,274","6,013","5,989","5,953","5,952","4,959","4,614","4,872","5,992","5,806"
"6","    Australia","13,585","13,630","13,675","13,720","13,764","13,718","13,824","13,862","13,894","13,927","13,849","13,996","14,025","4,806","5,284","5,294","5,166","5,739","5,740","5,794","5,614","4,961","5,393","5,553","5,955","5,669"
"7","    Austria","4,665","4,676","4,688","4,699","4,710","4,722","4,733","4,745","4,756","4,767","4,743","4,790","4,816","1,793","1,942","1,951","1,781","1,904","1,883","2,078","2,037","2,043","2,141","2,064","2,134","2,017"
"8","    Belgium","5,924","5,944","5,965","5,985","6,006","6,026","6,047","6,068","6,088","6,109","6,093","6,150","6,174","2,115","2,483","2,410","2,176","2,323","2,511","2,742","2,721","2,645","2,764","2,669","2,666","2,650"
"9","    Brazil","42,027","42,532","43,040","43,553","44,135","44,377","45,222","45,726","46,272","46,328","45,490","45,478","45,478","14,111","15,301","14,816","12,287","16,345","17,056","16,720","17,107","13,505","13,280","14,815","17,421","16,415"
"10","    Chile","7,329","7,338","7,346","7,355","7,363","7,372","7,380","7,389","7,397","7,406","7,355","7,423","7,431","2,929","3,066","3,079","2,770","3,291","3,331","3,393","3,334","2,865","2,538","2,330","3,161","3,260"
"11","    China","308,590","313,005","317,483","322,026","325,664","328,367","330,108","330,867","331,477","332,089","326,323","333,315","333,930","2,866","3,492","3,960","4,814","5,163","5,709","7,386","7,355","8,803","8,766","7,886","9,249","6,666"
"12","    Colombia","12,869","13,023","13,179","13,337","13,498","13,660","13,823","13,989","14,157","14,327","14,499","14,499","14,499","6,185","6,929","6,109","6,555","7,809","7,873","7,958","7,543","5,397","6,292","7,539","7,760","7,312"
"13","    Denmark","3,644","3,649","3,655","3,660","3,665","3,671","3,676","3,682","3,687","3,693","3,673","3,704","3,711","1,146","1,289","1,211","1,015","1,204","1,309","1,324","1,275","1,286","1,391","1,342","1,330","1,276"
"14","    Finland","3,342","3,349","3,355","3,362","3,368","3,374","3,381","3,387","3,394","3,400","3,390","3,414","3,421","1,545","1,648","1,540","1,579","1,666","1,770","1,711","1,789","1,755","1,877","1,796","1,888","1,803"
"15","    France","42,300","42,335","42,374","42,406","42,441","42,349","42,520","42,939","43,009","43,076","42,911","43,209","43,207","18,245","19,381","18,742","18,150","18,754","20,405","21,298","21,446","20,056","21,767","19,523","19,363","19,611"
"16","    Germany","49,860","49,993","50,128","50,264","50,410","50,139","50,704","50,856","51,008","51,166","50,951","51,485","51,600","21,599","24,063","23,909","23,428","23,983","24,897","25,394","25,790","25,116","26,869","25,607","25,655","24,970"
"17","    Hong Kong","4,385","4,397","4,410","4,423","4,436","4,448","4,461","4,474","4,487","4,500","4,484","4,514","4,520","1,239","1,341","1,262","1,228","1,347","1,531","1,650","1,601","1,547","1,608","1,649","1,697","1,747"
"18","    India","43,269","43,701","44,138","44,580","45,025","45,476","45,930","46,390","46,854","47,322","54,179","56,318","57,838","12,801","13,701","14,163","14,979","15,944","16,180","16,019","16,425","16,425","17,205","18,771","19,402","18,688"
"19","    Ireland","2,064","2,079","2,094","2,109","2,337","2,343","2,349","2,355","2,361","2,367","2,354","2,379","2,385","707","800","737","736","867","934","943","967","879","966","934","932","948"
"20","    Israel","4,316","4,333","4,349","4,366","4,376","4,387","4,398","4,408","4,419","4,430","4,422","4,451","4,462","1,807","1,991","1,794","1,693","1,757","1,962","2,093","2,058","2,089","2,126","2,062","2,018","2,064"
"21","    Italy","23,087","23,210","23,341","23,478","23,613","23,748","23,986","24,225","24,468","24,712","28,247","28,556","28,560","9,079","9,685","9,293","8,628","8,767","9,988","10,778","10,680","10,081","10,977","12,027","11,981","11,367"
"22","    Japan","73,270","73,360","73,450","73,450","73,450","73,155","73,450","73,450","73,450","73,450","73,027","73,450","73,466","31,453","34,292","34,617","36,608","38,562","39,203","40,481","39,705","38,353","41,038","40,107","41,013","39,626"
