"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: December 2012 - February 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/21/2014","","","","","",""

"","","","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014"
"11","[M]","    REVERSO.NET*","11,476","11,974","11,480","12,591","11,900","11,893","10,514","10,245","9,843","11,930","13,986","13,583","12,475","13,562","12,473"
"12","[P]","    ARCHIVE.ORG","9,938","11,655","10,617","11,441","11,811","11,677","11,728","11,905","11,344","11,130","11,506","11,528","11,618","12,220","11,305"
"13","[P]","    URBANDICTIONARY.COM","13,979","15,056","14,227","16,382","15,735","15,660","14,774","15,595","14,701","14,221","15,433","15,305","12,864","12,509","10,735"
"14","[M](U)","    HOWSTUFFWORKS.COM*","12,663","14,414","13,137","13,532","12,425","11,979","10,409","10,172","10,826","11,672","13,241","12,793","10,560","11,197","10,253"
"15","[P]","    LAWTIME.CN","4,501","5,286","3,129","5,476","7,896","8,787","8,171","9,834","8,987","7,931","8,032","7,245","8,929","6,835","7,184"
"16","[M]","    ICIBA.COM","7,109","6,666","5,179","7,421","9,930","10,037","8,982","9,859","9,459","8,839","8,676","8,800","8,467","6,080","6,767"
"17","[C]","    SCIENCEDIRECT.COM","6,261","6,729","6,050","7,359","7,372","6,658","5,347","5,444","5,185","6,408","7,605","7,190","6,098","5,811","6,705"
"18","[P]","    BIBLEGATEWAY.COM","5,685","5,957","5,927","6,599","6,441","6,299","5,578","5,712","6,153","6,588","6,535","6,767","5,765","6,066","5,890"
"19","[P](U)","    WISEGEEK.COM","10,608","12,859","13,201","13,402","10,573","7,333","5,862","5,437","4,813","5,374","6,187","5,943","5,100","5,474","5,305"
"20","[M]","    LAROUSSE.FR","3,255","3,346","3,303","3,738","3,510","3,633","3,037","2,408","2,456","3,490","4,428","4,617","4,445","4,673","4,819"
"21","[C]","    Naver.com Knowledge iN","8,618","9,424","3,095","2,995","2,757","3,132","2,827","2,449","2,743","2,572","2,971","3,286","3,418","3,887","4,341"
"22","[P]","    DICT.CC","3,650","4,325","4,427","4,726","4,583","4,525","4,379","4,153","3,944","4,187","4,575","4,597","4,026","4,600","4,139"
"23","[P]","    IXL.COM","2,760","3,601","3,424","3,386","3,277","3,045","2,326","2,286","2,618","4,327","4,630","5,020","3,101","4,194","3,752"
"24","[M](U)","    Demand Media Network","5,131","5,741","5,334","5,551","5,381","4,800","4,594","4,396","4,119","4,354","4,538","4,213","3,650","3,576","3,684"
"25","[P]","    LEXILOGOS.COM","4,428","4,343","3,908","4,105","3,817","4,117","3,706","3,901","3,557","3,864","3,669","4,041","4,044","3,937","3,607"
"26","[P]","    DEFINICION.DE","1,474","2,099","2,845","2,771","3,113","3,040","2,387","1,701","3,169","3,680","3,968","3,241","1,693","2,562","3,397"
"27","[P]","    TURNITIN.COM","2,971","2,370","2,941","3,668","3,882","3,391","1,653","1,007","1,693","3,742","4,702","4,439","3,850","2,603","3,375"
"28","[P]","    5156EDU.COM","2,199","2,159","1,486","2,438","3,777","4,211","3,652","3,811","3,412","4,160","3,940","3,831","4,124","2,905","3,245"
"29","[P]","    SPISHY.RU","2,955","2,549","2,576","2,013","2,544","1,853","462","190","175","3,087","3,329","2,732","3,246","2,809","2,710"
"30","[P]","    SCIELO.BR","1,491","1,410","2,151","3,343","3,361","3,168","3,001","2,161","2,577","2,913","3,395","3,823","2,210","1,871","2,588"
"31","[C]","    Naver.com Dictionary","4,500","3,807","1,375","1,941","1,915","2,082","1,841","1,563","1,802","1,739","2,263","2,151","2,668","2,471","2,564"
"32","[P]","    UN.ORG","2,175","2,354","2,184","2,993","2,750","2,720","2,195","1,933","1,973","2,850","3,024","5,085","2,568","2,511","2,537"
"33","[P](U)","    POEMHUNTER.COM","3,111","3,417","3,672","3,609","3,791","3,640","2,724","2,344","2,134","2,567","2,658","2,909","2,426","2,338","2,501"
"34","[C](U)","    Yahoo Dictionary","4,875","4,988","4,327","4,643","3,768","3,795","3,805","4,097","3,847","3,743","3,685","3,455","2,983","2,770","2,468"
"35","[M]","    WER-WEISS-WAS.DE","4,364","5,104","4,273","4,495","3,564","3,316","3,075","2,964","2,975","2,879","2,715","2,780","2,420","2,770","2,408"
"36","[P]","    ITUSOZLUK.COM","2,584","2,552","1,863","1,996","1,979","1,956","1,706","1,914","1,971","1,943","1,898","2,918","2,876","2,899","2,377"
"37","[P]","    BIBLIOTEKAR.RU","2,670","2,436","2,313","2,581","2,674","2,559","2,069","1,143","1,054","1,935","2,292","2,654","2,822","2,488","2,357"
"38","[P]","    COINMILL.COM","2,141","2,433","2,473","2,570","2,544","2,717","2,931","3,079","3,262","2,786","2,616","2,786","2,705","3,091","2,288"
"39","[P]","    WORLDCAT.ORG","2,361","2,448","2,512","2,763","2,486","2,187","1,934","1,917","2,027","2,318","2,533","2,353","2,161","2,340","2,226"
"40","[P]","    CONSUMERREPORTS.ORG","3,181","3,281","3,015","2,710","2,742","2,817","2,780","3,093","2,752","2,794","2,832","3,015","2,594","2,656","2,150"
"41","[P]","    SLOVO.WS","1,542","1,388","1,385","1,374","1,567","1,136","288","138","212","2,647","2,173","2,410","2,273","1,759","1,960"
"42","[P]","    BIOGRAFIASYVIDAS.COM","1,068","1,379","1,556","1,914","2,116","2,125","1,459","1,154","1,654","2,245","2,239","1,907","915","1,384","1,860"
"43","[P]","    PEOPLES.RU","1,330","1,254","1,209","1,260","1,300","1,303","1,092","1,067","1,058","1,323","1,435","1,674","1,750","2,144","1,848"
"44","[P]","    ONLINECONVERSION.COM","1,485","1,660","1,621","1,764","1,993","1,677","1,433","1,629","1,552","1,806","1,832","1,779","1,591","1,909","1,644"
"45","[P]","    KLERK.RU","1,212","1,429","1,311","1,362","1,423","1,137","1,058","991","901","1,033","1,333","1,436","1,551","1,738","1,628"
"46","[C](U)","    ANSWERBAG.COM*","4,056","4,405","4,090","4,365","4,170","3,140","2,436","2,364","2,262","2,200","2,308","1,962","1,707","1,778","1,572"
"47","[P]","    MIRSOVETOV.RU","2,373","2,288","2,094","2,267","1,937","1,837","1,751","1,634","1,555","1,679","1,555","1,790","1,649","1,671","1,509"
"48","[P]","    TURKCEBILGI.COM","2,004","1,819","1,584","1,915","2,037","1,943","1,228","1,070","960","1,194","1,394","2,191","2,410","2,223","1,507"
"49","[P]","    GUNS.RU","2,128","2,148","1,808","1,710","691","1,045","1,041","1,136","1,136","1,169","1,178","1,461","1,452","1,471","1,423"
"50","[P]","    SERIALSSOLUTIONS.COM","1,087","1,212","1,460","1,536","1,645","1,200","881","1,072","1,048","1,460","2,054","1,835","1,186","1,343","1,418"
"51","[P]","    NOLO.COM","949","1,016","998","1,216","1,075","1,170","1,158","1,514","1,397","1,313","1,706","1,457","1,056","1,475","1,392"
"52","[P]","    BrainPOP","1,135","1,179","1,349","1,335","1,347","1,357","578","331","882","1,698","1,913","1,466","1,182","1,149","1,375"
"53","[P]","    QUECHOISIR.ORG","788","648","862","786","702","647","663","865","979","1,068","1,447","1,089","1,505","1,169","1,347"
"54","[P]","    MIJNWOORDENBOEK.NL","1,222","1,266","1,032","1,174","1,091","1,239","1,160","730","1,033","1,140","1,287","1,458","1,377","1,249","1,226"
"55","[P]","    CALEND.RU","1,150","1,155","1,169","1,186","1,219","1,280","1,222","1,009","1,105","1,323","1,484","1,647","1,173","1,159","1,202"
"56","[P]","    SO100.CN","1,317","1,226","546","1,026","1,572","1,841","1,991","1,180","804","1,391","1,527","1,983","2,614","1,655","1,193"
"57","[P]","    TRANSLATED.NET","1,844","2,145","1,821","2,144","2,036","1,967","1,795","1,869","1,921","1,974","2,251","2,282","1,500","1,212","1,139"
"58","[P]","    TRANSLIT.RU","1,595","1,364","1,177","1,280","1,148","1,219","1,105","1,141","1,325","1,238","1,261","1,264","1,128","1,192","1,136"
"59","[P]","    ACRONYMFINDER.COM","1,347","1,571","1,342","1,528","1,585","1,334","1,223","1,440","1,169","1,297","1,129","1,204","1,065","1,037","1,050"
"60","[P]","    BOOKZ.RU","1,222","1,378","1,327","1,331","1,239","1,125","1,017","958","916","1,073","985","1,165","1,084","1,141","1,045"
"61","[P]","    ENGLISCH-HILFEN.DE","1,125","1,054","1,115","1,194","1,213","1,304","1,008","665","542","1,165","1,292","1,343","1,139","1,122","1,029"
"62","[P]","    ALC.CO.JP","990","1,059","890","888","870","1,027","911","964","844","924","1,027","1,146","1,126","1,214","1,024"
"63","[P]","    ARABIC-KEYBOARD.ORG","1,201","1,241","1,391","1,117","1,239","1,182","1,105","1,083","919","989","1,064","1,072","1,042","1,007","1,008"
"64","[P]","    BNF.FR","835","866","740","812","768","808","639","566","566","633","868","1,092","940","1,185","959"
"65","[P]","    DEXONLINE.RO","821","950","948","1,017","950","948","884","739","728","897","1,145","1,012","899","1,093","950"
"66","[P](u)","    ALTALEX.COM","817","984","864","902","874","861","823","996","644","1,077","1,274","1,250","1,039","1,249","946"
"67","[P]","    ANGLAISFACILE.COM","1,208","1,366","1,281","1,116","1,129","1,104","1,023","614","704","1,131","1,227","1,275","1,145","1,099","917"
"68","[P]","    SMARTDRAW.COM","929","1,023","998","1,136","1,041","1,093","965","1,015","942","1,113","1,198","1,049","818","967","900"
"69","[P]","    ArticlesBase.com Sites","1,064","1,086","1,222","1,593","1,464","1,226","956","857","976","927","930","1,014","816","874","898"
"70","[P]","    PWN.PL","981","1,250","1,004","1,056","1,060","1,106","1,054","682","762","992","1,111","1,207","1,024","1,170","893"
"71","[P]","    ASKMEHELPDESK.COM","1,455","1,478","1,194","1,389","1,190","1,137","1,073","1,196","953","1,115","1,010","786","757","926","878"
"72","[P]","    Farlex.com Sites","888","892","1,220","1,545","1,780","1,180","768","863","947","1,057","1,110","806","449","878","870"
"73","[P]","    MOREWORDS.COM","881","1,120","979","1,126","1,091","981","869","853","959","839","1,084","882","697","899","835"
"74","[P]","    THINKEXIST.COM","2,625","2,353","2,206","2,286","2,007","1,698","1,316","976","1,129","1,378","1,270","854","631","900","829"
"75","[P]","    SLD.CU","721","736","859","928","1,059","1,025","808","653","837","883","1,013","878","571","743","823"
"76","[P](u)","    QUESTIA.COM","698","736","1,007","1,081","1,116","839","623","603","602","813","951","845","663","845","804"
"77","[P]","    EMERALDINSIGHT.COM","1,085","926","853","1,211","1,030","989","764","823","780","862","1,314","1,341","928","805","783"
"78","[P]","    VERTALEN.NU","802","791","688","827","718","766","820","598","820","1,005","910","895","829","840","782"
"79","[P]","    USHISTORY.ORG","608","625","609","572","612","597","410","351","323","952","1,173","975","708","727","768"
"80","[P]","    SYNONYMES.COM","640","697","841","839","805","797","726","411","411","597","793","766","742","816","766"
"81","[P]","    123HELPME.COM","1,442","1,282","1,522","1,901","1,744","1,556","864","760","619","1,161","1,096","1,009","870","766","754"
"82","[P]","    POETS.ORG","616","583","639","768","829","671","439","469","482","764","723","865","585","760","748"
"83","[P]","    PHRASES.ORG.UK","974","1,055","1,075","1,010","1,070","988","918","915","755","864","832","863","786","644","711"
"84","[P]","    SOZLUK.NET","763","879","685","806","683","773","521","530","520","568","754","1,051","995","871","705"
"85","[P]","    UNIVERSALIS.FR","647","604","712","730","659","577","346","246","247","442","493","534","601","505","703"
"86","[P]","    BUSINESSBALLS.COM","924","975","700","840","771","817","733","787","705","805","870","643","791","731","702"
"87","[P]","    VDICT.COM","592","689","500","710","661","643","595","682","696","639","767","694","607","520","678"
"88","[P]","    OMNIGLOT.COM","768","740","655","816","760","675","674","621","726","767","905","644","628","749","678"
"89","[P]","    ENGLISHPAGE.COM","644","639","751","755","855","764","614","426","435","805","890","929","723","815","646"
"90","[P]","    DICOCITATIONS.COM","755","630","530","515","439","427","405","376","319","514","567","623","634","748","637"
"91","[P]","    HONEYWELL.COM","656","771","720","757","625","728","702","709","648","706","673","620","527","648","627"
"92","[P]","    OCLC.ORG","407","504","631","711","510","538","511","442","434","375","592","469","487","418","561"
"93","[P]","    THAIGOODVIEW.COM","974","1,139","880","488","325","513","709","692","711","681","348","550","480","554","560"
"94","[C]","    LIBRARYTHING.COM","421","497","552","624","628","553","591","637","652","641","628","563","401","732","555"
"95","[P]","    REPEC.ORG","649","691","563","704","775","734","567","541","549","505","747","693","532","551","554"
"96","[P]","    LEXICOOL.COM","334","342","265","318","278","322","290","377","376","399","551","424","433","521","543"
"97","[P]","    ZARGAN.COM","799","745","627","710","660","697","632","401","383","387","499","678","614","599","534"
"98","[P]","    SCIELO.CL","556","505","463","607","721","729","607","469","520","664","733","679","462","451","532"
"99","[P]","    ACTUALICESE.COM","304","446","478","503","583","574","397","418","475","477","462","434","268","433","508"
"100","[P]","    NOTAIRES.FR","279","358","344","448","293","598","339","492","480","561","538","584","509","566","502"
"101","[P]","    BIREME.BR","171","166","264","402","527","574","528","406","565","589","584","622","270","277","495"
"102","[P]","    NOODLETOOLS.COM","404","365","423","505","634","597","207","57","96","347","575","562","475","446","454"
"103","[P]","    MANSIONINGLES.COM","322","349","463","351","419","534","418","426","449","504","572","516","280","417","448"
"104","[P]","    GOGEN-ALLGUIDE.COM","551","706","498","583","517","508","637","478","470","481","445","476","427","495","442"
"105","[M]","    QUIBBLO.COM","999","992","754","1,043","1,862","802","662","789","594","490","573","600","506","525","429"
"106","[P]","    ALDEBARAN.RU","884","1,140","861","815","703","669","594","566","498","578","536","645","558","529","423"
"107","[P]","    OSZK.HU","418","482","426","471","411","395","320","235","240","336","402","446","331","481","420"
"108","[P]","    WEBELEMENTS.COM","506","665","604","575","531","480","437","302","297","963","1,043","803","526","534","412"
"109","[P]","    ALA.ORG","244","373","299","376","372","229","217","338","350","478","310","247","308","377","410"
"110","[P]","    INGENTACONNECT.COM","697","569","792","863","815","651","574","569","568","505","710","496","460","480","391"
"111","[P]","    WISSEN.DE","370","562","521","499","532","508","504","278","247","385","358","463","376","562","386"
"112","[P]","    ENERGYGUIDE.COM","736","934","587","418","472","409","304","425","312","313","341","259","327","397","385"
"113","[P]","    AIES.CN","327","337","250","330","468","529","483","641","710","548","515","541","583","458","376"
"114","[P]","    SACRED-TEXTS.COM","556","499","509","491","521","521","485","481","439","489","621","563","582","566","375"
"115","[P]","    MIRSLOVAREI.COM","594","331","295","280","422","523","407","85","85","342","401","496","617","421","374"
"116","[P]","    NYPL.ORG","325","353","240","265","321","269","328","346","321","328","421","296","295","377","374"
"117","[P]","    JEWISHVIRTUALLIBRARY.ORG","528","518","482","644","514","520","329","245","339","467","418","409","402","296","366"
"118","[P]","    BIYOGRAFI.INFO","130","166","97","158","211","214","118","100","105","113","160","338","418","450","359"
"119","[P]","    TRANSLATE.PL","446","532","481","472","420","380","384","317","330","388","482","458","364","423","354"
"120","[P]","    STROYPORTAL.RU","428","431","468","470","415","368","332","422","403","453","464","432","347","334","345"
"121","[P]","    PSICOLOGIA-ONLINE.COM","200","267","300","365","392","335","262","256","305","298","392","333","206","250","339"
"122","[P]","    TRADUCEGRATIS.COM","647","655","514","652","589","556","454","369","408","409","470","393","374","402","316"
"123","[P]","    STARS21.COM","497","439","360","395","342","354","338","352","305","320","351","352","392","372","305"
"124","[P]","    ONELOOK.COM","406","395","342","414","312","447","450","419","367","420","425","362","311","348","296"
"125","[P]","    QURANEXPLORER.COM","369","420","358","423","431","395","363","684","407","319","371","313","319","276","271"
"126","[P]","    MORFIX.CO.IL","349","309","230","265","297","253","271","281","270","271","350","301","308","290","270"
"127","[P]","    TOPLUMDUSMANI.NET","720","514","388","561","630","405","196","105","69","261","278","422","334","366","269"
"128","[P]","    U-S-HISTORY.COM","431","324","393","462","455","382","204","43","158","296","349","306","232","164","268"
"129","[P]","    ERUDITION.RU","588","390","345","364","477","592","283","53","45","335","373","369","402","282","264"
"130","[P]","    MEGAESSAYS.COM","413","396","425","555","471","318","187","189","134","318","427","485","275","266","259"
"131","[P]","    YEMINLISOZLUK.COM","420","383","260","262","217","152","155","171","164","217","250","519","368","452","246"
"132","[P]","    HOWTODOTHINGS.COM","541","484","477","602","378","423","282","204","228","260","219","264","199","231","245"
"133","[P]","    EGO4U.DE","358","348","332","412","489","424","401","175","140","332","330","445","372","393","239"
"134","[P]","    VICTORIANWEB.ORG","200","222","207","263","213","251","131","90","122","177","264","267","162","206","232"
"135","[P]","    QUOTELAND.COM","181","143","187","120","145","109","124","124","72","89","96","182","86","87","231"
"136","[P]","    NEWWORLDENCYCLOPEDIA.ORG","414","358","361","478","419","265","224","163","179","342","320","274","182","200","223"
"137","[P]","    POEMSOURCE.COM","375","258","349","184","151","205","229","116","105","143","99","217","129","76","211"
"138","[P]","    KWINTESSENTIAL.CO.UK","389","271","359","401","425","441","245","178","83","197","185","249","161","147","210"
"139","[P]","    THEOI.COM","171","261","316","303","234","285","202","192","252","245","400","383","262","320","203"
"140","[P]","    WWWW4.COM","459","315","290","308","364","295","210","103","117","232","244","326","344","271","197"
"141","[P]","    AMERICANRHETORIC.COM","113","260","143","168","144","143","162","76","203","183","150","215","173","348","193"
"142","[P]","    EVERYTHING2.COM","314","380","348","429","455","305","287","291","231","233","286","296","229","252","192"
"143","[P]","    INFOVISUAL.INFO","330","267","173","246","231","169","135","86","102","182","220","273","145","199","190"
"144","[P]","    ABIPUR.DE","243","222","220","261","306","266","194","44","84","136","199","227","165","220","187"
"145","[P]","    CALCULATOR.COM","173","307","260","293","295","378","191","278","198","257","346","225","241","236","186"
"146","[P]","    EXAMPLEESSAYS.COM","298","272","335","425","377","389","202","238","167","274","357","375","270","261","186"
"147","[P]","    KDD.CC","281","229","154","265","318","401","352","317","312","289","279","284","215","229","185"
"148","[P]","    ZENO.ORG","196","238","195","199","154","180","158","96","85","147","159","180","170","146","169"
"149","[P]","    NCIKU.COM","217","275","203","225","224","174","172","170","205","179","153","151","134","205","164"
"150","[P]","    MYDICT.COM","327","288","317","273","277","272","277","166","153","170","210","167","177","175","161"
"151","[P]","    NATIVE-LANGUAGES.ORG","178","131","182","167","168","156","103","94","88","255","262","158","113","154","160"
"152","[C]","    Voila.fr Translation","315","449","371","447","273","340","377","215","214","236","265","267","219","259","160"
"153","[P]","    FOURMILAB.CH","173","157","166","170","196","152","97","115","152","106","116","148","147","100","157"
"154","[P]","    ARKITERA.COM","171","170","116","149","137","121","167","136","90","95","117","198","191","293","156"
"155","[P]","    DEFINICION.ORG","147","229","271","284","359","364","239","178","253","181","163","128","55","108","146"
"156","[P]","    IPL.ORG","187","240","249","269","184","360","132","162","194","187","217","221","171","170","141"
"157","[P]","    INFORMATIONSARCHIV.NET","276","321","269","255","239","266","222","178","189","177","153","172","106","144","136"
"158","[P]","    WORDWEBONLINE.COM","159","206","101","128","113","142","120","153","102","115","109","81","80","106","134"
"159","[P]","    PANTHEON.ORG","137","173","210","220","156","175","138","123","142","178","177","141","96","131","134"
"160","[P]","    FAMOUSPOETSANDPOEMS.COM","294","158","187","241","188","260","90","117","106","131","125","149","139","207","134"
"161","[M]","    Informit Network","280","271","292","309","277","243","145","227","183","169","189","207","133","139","130"
"162","[P]","    Antiqbook","89","62","82","93","58","69","47","65","112","73","82","175","82","97","127"
"163","[P]","    EYEWITNESSTOHISTORY.COM","209","226","234","289","341","285","165","102","139","168","189","223","141","217","127"
"164","[P]","    GLOSSARY.RU","240","175","112","113","135","126","85","28","25","75","83","144","146","59","125"
"165","[P]","    CUCUMIS.ORG","174","158","157","160","176","149","156","250","143","186","161","212","199","142","119"
"166","[P]","    CUMMINGSSTUDYGUIDES.NET","183","256","212","144","151","152","93","31","67","165","179","161","142","155","114"
"167","[C]","    BOOKFINDER.COM","225","383","189","301","205","204","164","202","194","172","250","176","203","164","113"
"168","[P]","    YOURCHILDLEARNS.COM","120","129","145","117","158","115","90","99","174","211","232","244","60","115","112"
"169","[P]","    GEOGRAPH.ORG.UK","447","264","189","207","275","185","192","152","244","215","194","144","139","116","112"
"170","[P]","    GROUNDHOG.ORG","N/A","68","108","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","70","107"
"171","[P]","    MADSCI.ORG","99","111","104","131","90","64","43","24","39","82","98","106","47","87","105"
"172","[P]","    JURIS.DE","150","163","146","70","88","127","101","81","163","90","109","125","40","115","102"
"173","[P]","    VISUALTHESAURUS.COM","200","217","206","215","283","178","105","139","190","206","353","302","175","255","99"
"174","[P]","    ATLANTS.LV","123","119","101","131","127","143","58","36","33","88","90","160","121","118","98"
"175","[P]","    LUMINARIUM.ORG","157","181","186","134","125","172","121","125","117","145","193","154","159","326","97"
"176","[P]","    ELITESKILLS.COM","195","182","207","250","214","193","100","80","73","127","140","162","133","212","96"
"177","[P]","    LEXINTER.NET","150","172","194","134","101","58","63","38","38","80","378","84","82","94","94"
"178","[P]","    LIB.OH.US","164","186","178","142","98","100","86","148","104","98","90","155","91","166","86"
"179","[P]","    EPNET.COM","71","101","88","87","103","54","57","60","54","61","148","145","82","118","84"
"180","[P]","    FRENCH-LINGUISTICS.CO.UK*","165","246","173","210","230","222","136","103","80","218","256","150","139","135","80"
"181","[P]","    MANAGEMENTHELP.ORG","154","162","207","295","220","148","115","110","50","119","130","88","46","106","79"
"182","[P]","    PETS4YOU.COM","72","61","74","90","75","47","54","55","72","46","49","83","N/A","95","72"
"183","[P]","    ARTCYCLOPEDIA.COM","158","182","129","158","175","98","97","62","85","133","150","105","95","109","71"
"184","[P]","    FREELANG.NET","172","197","123","144","172","136","152","95","122","147","91","69","118","80","61"
"185","[P]","    ECHEAT.COM","163","103","139","191","216","113","47","32","37","78","116","97","97","88","57"
"186","[P]","    VITALREC.COM","112","71","107","79","86","74","63","58","48","38","43","61","N/A","41","56"
"187","[P]","    WAPEDIA.MOBI","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","85","72","68","53"
"188","[P]","    BrainyMedia Sites","104","142","138","202","160","132","106","150","108","41","42","60","48","62","49"
"189","[P]","    POEMOFQUOTES.COM","65","66","120","112","85","58","67","55","27","28","33","33","28","58","48"
"190","[P]","    TRANSLATION-GUIDE.COM","31","52","28","41","58","28","21","33","25","35","37","36","35","38","44"
"191","[P]","    SOBRESITES.COM","23","29","62","55","61","61","45","15","46","41","28","36","26","N/A","43"
"192","[P]","    LOTSOFESSAYS.COM","191","168","171","238","168","118","78","32","40","36","61","42","36","34","43"
"193","[P]","    DICTS.INFO","198","187","110","144","128","114","88","94","91","74","79","41","83","93","42"
"194","[P]","    ACADEMON.COM","86","56","65","89","48","58","50","42","14","42","59","73","27","34","40"
"195","[P]","    ALLGREATQUOTES.COM","246","172","181","249","200","254","97","82","58","60","124","94","83","56","40"
"196","[P]","    LEARNENGLISH.ORG.UK","45","44","29","35","31","44","17","29","21","65","101","66","44","43","38"
"197","[P]","    ALLWORDS.COM","91","75","90","138","149","101","48","92","82","52","88","64","85","44","31"
"198","[P]","    FREEDICT.COM","156","200","135","152","143","175","189","113","150","97","88","125","93","98","31"
"199","[P]","    ABCPEDIA.COM","79","64","52","49","36","66","40","30","31","39","33","41","18","30","29"
"200","[P]","    TOPPRODUCT.NL","80","121","86","112","73","64","59","34","124","32","55","28","37","48","29"
"201","[P]","    MOLWICK.COM","78","63","103","134","127","68","62","36","53","44","40","48","28","26","27"
"202","[P]","    BEST-LOVE-POEMS.COM","107","86","65","80","67","86","43","50","44","34","34","35","18","51","26"
"203","[P]","    WIKILEARNING.COM","179","194","221","216","237","239","15","N/A","N/A","14","12","N/A","N/A","N/A","20"
"204","[P]","    NORTHPOLE.COM","1,165","88","28","34","34","32","27","36","66","74","114","202","559","47","19"
"205","[P]","    LECTLAW.COM","87","86","107","98","76","117","78","37","18","64","68","31","37","12","15"
"206","[P]","    NETPOETS.COM","53","32","44","57","46","25","56","37","29","16","20","22","18","18","14"
"207","[P]","    ESSAYFINDER.COM","10","10","N/A","18","N/A","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"208","[P]","    DICODUNET.COM","61","94","50","55","62","34","23","22","N/A","37","43","27","N/A","N/A","N/A"
"209","[P]","    LABLAA.ORG","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"210","[P]","    LYCAEUM.ORG","N/A","20","N/A","31","31","29","11","N/A","N/A","N/A","17","N/A","N/A","N/A","N/A"
"211","[P]","    KNOWLEDGERUSH.COM","14","18","45","19","34","21","15","18","21","28","9","18","N/A","37","N/A"
"212","[P]","    SPRINGERLINK.COM","40","57","64","82","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"213","[P]","    FOREIGNWORD.COM","20","20","29","31","26","N/A","N/A","N/A","N/A","N/A","11","N/A","N/A","10","N/A"
"214","[P]","    SAIDWHAT.CO.UK","100","25","43","65","63","31","27","20","19","22","21","49","7","13","N/A"
