"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2014 comScore, Inc"
"","","","Time Period :: December 2012 - February 2014","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/21/2014","","","","","",""

"","","","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Dec-2013","Jan-2014","Feb-2014"
"","","    Total Internet : Total Audience ","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029","1,596,237","1,604,290","1,611,886","1,619,952","1,627,086","1,632,535","1,627,681"
"1","[P]","    Google Sites","1,136,502","1,140,056","1,123,439","1,163,988","1,179,091","1,185,840","1,194,404","1,208,800","1,208,941","1,209,554","1,214,986","1,222,761","1,232,646","1,220,700","1,210,350"
"2","[P](u)","    Microsoft Sites","868,099","878,268","852,263","896,209","914,598","920,877","891,369","877,967","858,463","867,869","887,403","890,718","897,966","893,485","858,433"
"3","[P](u)","    Yahoo Sites","735,098","736,122","708,166","742,145","742,804","742,449","711,502","724,542","727,051","718,607","717,790","711,133","694,754","705,562","677,271"
"4","[P]","    Wikimedia Foundation Sites","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471","532,699","490,200","495,362","474,139"
"5","[P](u)","    Amazon Sites","388,671","383,891","352,119","384,160","390,465","395,669","383,802","403,717","405,993","401,154","400,418","419,839","416,846","392,042","374,027"
"6","[P]","    Baidu.com Inc.","275,988","256,277","254,261","288,897","328,472","335,319","356,664","358,243","354,603","356,025","351,599","348,008","355,931","342,999","342,749"
"7","[P]","    Alibaba.com Corporation","262,344","257,643","221,562","254,821","313,176","321,168","314,272","317,744","333,168","357,868","358,717","363,615","370,330","355,152","340,491"
"8","[P]","    TENCENT Inc.","285,268","283,652","274,535","285,968","340,079","334,617","338,853","341,391","340,053","335,772","336,537","335,802","332,589","335,028","322,262"
"9","[P]","    Sohu.com Inc.","259,412","259,286","245,316","260,138","312,454","314,511","312,305","317,645","318,611","299,723","320,141","313,388","317,145","313,597","314,101"
"10","[P]","    Qihoo.com Sites","102,009","105,084","106,631","112,337","142,142","146,925","149,197","162,539","149,280","177,927","300,265","301,166","303,337","306,144","297,970"
"11","[P]","    Apple Inc.","314,241","303,827","289,082","306,872","302,251","306,120","300,297","297,702","297,974","314,312","301,442","301,093","304,492","290,904","273,882"
"12","[P](u)","    Ask Network","317,486","331,927","254,087","273,799","277,281","290,440","283,949","290,419","303,111","296,370","303,957","296,391","286,853","288,554","267,105"
"13","[P](u)","    Youku & Tudou","148,691","149,112","131,245","149,580","192,749","266,842","267,873","262,765","287,653","278,012","279,111","268,044","266,384","268,386","247,334"
