"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: May 2012 - July 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 8/20/2013","","","","","",""

"","","","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013"
"12","[P](u)","    CBS Interactive","247,019","245,461","249,047","255,418","270,247","283,104","283,103","279,517","275,358","245,140","270,899","287,474","291,450","281,473","281,778"
"13","[P](u)","    Youku Inc.","104,820","109,842","124,267","124,037","128,844","139,425","146,793","148,691","149,112","131,245","149,580","192,749","266,842","267,873","262,765"
"14","[P](u)","    Glam Media","244,243","215,704","224,483","241,643","252,199","296,357","298,337","296,810","318,758","276,802","294,231","297,215","296,276","283,805","252,706"
"15","[P]","    eBay","247,162","238,478","245,569","248,452","248,920","252,380","247,262","252,154","246,959","226,441","244,653","240,874","242,756","240,614","251,910"
"16","[P]","    SINA Corporation","157,930","163,349","169,154","173,504","173,198","172,764","178,113","185,155","179,539","161,851","181,686","243,762","238,654","241,203","247,144"
"17","[P]","    BitTorrent Network","231,239","229,281","232,224","229,913","230,739","230,614","231,969","238,517","240,352","236,761","247,655","243,892","244,956","244,552","246,771"
"18","[P](U)","    AOL, Inc.","215,645","215,991","208,658","217,044","218,366","224,968","223,002","220,331","226,026","213,157","221,865","217,725","223,081","211,573","218,890"
"19","[P](U)","    Tudou Sites","80,186","84,486","95,553","94,803","91,206","92,786","112,643","120,807","111,285","88,456","103,767","142,327","208,179","217,058","213,094"
"20","[P]","    NetEase.com Inc.","109,430","119,691","132,694","136,275","120,893","122,656","129,225","135,638","130,688","108,546","124,012","180,625","187,975","181,573","195,503"
"21","[P](u)","    Viacom Digital","194,945","193,136","186,941","187,928","189,859","193,004","191,589","191,739","189,425","183,334","187,104","187,388","192,496","187,231","191,503"
"22","[P]","    TWITTER.COM","200,620","188,483","175,669","170,819","167,131","182,897","181,729","189,780","189,819","175,485","185,095","174,401","186,089","182,990","166,785"
"23","[P]","    Qihoo.com Sites","83,534","83,976","86,492","88,519","88,627","94,167","99,759","102,009","105,084","106,631","112,337","142,142","146,925","149,197","162,539"
"24","[P]","    Adobe Sites","141,060","137,531","138,414","191,650","163,452","143,165","150,790","135,321","144,067","165,798","169,791","151,617","149,192","139,420","159,219"
"25","[P](u)","    Turner Digital","114,584","116,304","108,162","112,121","118,492","129,053","131,446","127,077","125,134","120,602","127,780","139,383","130,310","122,339","125,426"
"26","[P](U)","    DAILYMOTION.COM","94,410","90,491","88,594","96,545","100,516","105,828","104,550","110,420","111,915","107,257","112,707","110,322","115,367","116,812","116,538"
"27","[P](U)","    IDG Network","42,878","42,880","41,621","44,903","45,247","45,218","46,011","44,197","46,450","43,500","48,012","102,144","105,833","109,595","113,940"
"28","[P]","    Axel Springer AG","89,727","88,147","84,994","85,264","90,304","96,058","93,474","101,773","109,402","101,822","107,857","105,601","109,436","108,488","113,161"
"29","[P]","    KuGou Inc.","63,908","68,553","87,601","89,784","92,738","98,090","96,593","97,476","96,191","85,285","92,858","111,190","112,584","104,359","105,185"
"30","[P](U)","    Demand Media","112,544","109,050","111,734","122,203","125,615","137,175","127,140","116,938","125,465","125,721","126,716","125,412","121,316","103,002","102,707"
"31","[P]","    PPStream, Inc.","58,777","61,962","70,636","74,266","72,466","76,267","75,980","83,214","85,886","77,423","74,352","87,773","89,924","93,394","99,835"
"32","[P]","    Oak Pacific Interactive Sites","59,745","64,854","70,148","67,427","70,120","79,841","84,063","78,264","71,822","56,873","62,432","89,896","89,689","95,576","97,465"
"33","[P](U)","    Terra - Telefonica","103,753","107,144","104,577","103,763","102,539","104,387","103,441","101,322","99,094","92,219","99,161","100,255","104,950","98,075","96,611"
"34","[P]","    Yandex Sites","82,008","80,883","81,379","81,318","82,637","85,807","86,845","89,965","90,359","89,862","94,719","93,050","93,120","92,978","94,247"
"35","[P]","    Priceline.com Incorporated","58,713","64,277","71,331","67,029","59,468","60,376","61,953","56,709","69,034","66,184","72,758","72,318","74,522","80,805","92,597"
"36","[P](u)","    NetShelter Technology Media","155,302","151,448","91,002","93,657","95,317","95,310","92,162","92,161","94,962","83,625","89,515","83,905","85,522","85,848","85,655"
"37","[P]","    Xinhua News Agency","26,571","27,605","30,253","30,882","30,842","29,987","38,020","36,584","32,132","26,851","45,624","63,225","64,977","74,903","85,370"
"38","[P]","    PPLive Inc.","59,551","68,358","68,993","69,007","64,669","68,479","69,553","76,109","72,518","65,113","69,737","88,367","90,681","87,128","83,306"
"39","[P](U)","    Answers.com Sites","89,732","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728","105,285","102,123","88,239","83,207"
"40","[P](u)","    Federated Media Publishing","277,017","278,570","263,871","270,287","280,125","300,892","295,505","235,818","99,503","85,459","88,858","91,244","87,511","79,076","82,243"
"41","[P](u)","    BBC Sites","74,298","72,090","71,757","79,690","73,403","79,012","76,141","74,472","79,513","74,792","80,076","80,454","80,011","79,842","81,412"
"42","[P]","    People's Daily online","24,343","27,195","27,339","31,315","37,470","33,026","48,051","48,532","47,588","40,441","49,726","68,887","75,224","68,560","78,773"
"43","[P]","    Expedia Inc","51,199","56,528","62,750","56,894","49,331","47,560","43,169","42,402","51,724","47,707","55,846","60,049","62,090","66,093","77,886"
"44","[P]","    Sun Microsystems, Inc.","35,598","34,394","43,400","42,449","46,606","46,040","38,704","36,477","43,215","48,467","57,413","83,117","76,855","88,660","77,868"
"45","[P]","    China Central Television Sites","26,068","36,835","47,286","51,099","35,681","37,706","43,850","43,483","46,465","45,102","48,484","70,354","73,637","87,856","77,388"
"46","[P](u)","    Gannett Sites","65,590","62,905","66,080","71,632","67,823","71,562","67,906","64,832","69,496","65,784","70,239","71,754","68,747","67,461","76,683"
"47","[P]","    PCPOP Sites","36,669","36,346","44,153","46,838","50,811","48,380","52,879","58,662","52,464","39,892","51,284","76,071","73,465","72,590","75,764"
"48","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","51,137","48,154","47,880","57,553","61,208","63,406","62,455","58,175","65,927","62,938","66,863","67,713","69,212","67,283","74,901"
"49","[P]","    Sony Online","64,605","66,683","72,148","67,806","67,331","67,895","69,655","74,744","69,013","64,828","76,260","65,989","67,345","76,335","71,038"
"50","[P]","    EA Online","58,819","64,079","66,486","62,641","62,276","65,886","66,399","66,161","66,782","67,246","72,114","67,704","65,533","68,445","69,323"
"51","[P]","    Orange Sites","72,858","67,695","62,267","62,315","66,311","76,291","83,355","74,936","75,136","72,925","76,789","76,145","75,295","70,805","69,203"
"52","[P]","    AVG Technologies","61,324","63,086","70,524","81,224","91,021","80,469","73,653","71,550","82,247","91,561","95,792","68,515","70,140","74,941","68,662"
"53","[P](u)","    Hearst Corporation","23,206","22,755","20,768","21,792","22,175","25,711","31,129","29,313","79,836","74,290","76,390","69,433","66,219","63,211","68,339"
"54","[P]","    56.COM","33,324","35,849","44,461","44,368","44,367","53,468","56,746","62,688","57,232","44,299","56,119","79,282","81,514","65,661","68,047"
"55","[P]","    Valve Corporation","21,810","23,076","26,148","27,845","53,050","53,329","55,393","59,898","60,197","59,480","60,069","58,708","59,911","61,651","67,843"
"56","[P]","    Wal-Mart","55,421","55,963","58,725","57,443","56,459","56,163","75,178","74,017","58,168","59,730","63,182","60,238","60,673","61,996","67,546"
"57","[P](u)","    Spil Games","64,497","65,511","65,819","61,901","55,863","58,966","59,207","63,945","62,802","60,309","66,097","63,641","63,472","64,544","65,741"
"58","[P]","    The Mozilla Organization","119,062","158,001","144,036","109,963","105,320","88,262","97,222","76,297","79,174","75,467","80,737","86,060","78,595","70,713","64,097"
"59","[P](U)","    UOL","51,383","51,351","50,065","49,818","48,662","51,623","50,011","48,787","48,753","56,759","59,130","58,003","60,699","61,216","64,093"
"60","[P]","    58.COM","35,863","38,076","42,166","40,419","39,700","39,222","40,172","39,725","38,688","34,931","45,622","58,666","62,428","56,906","63,261"
"61","[P]","    Rakuten Inc","72,785","72,255","70,386","70,047","68,285","68,426","66,304","68,153","65,981","60,216","62,335","59,493","62,648","60,311","62,876"
"62","[P]","    China Telecom Sites","67,545","63,041","64,389","61,114","58,752","47,554","42,576","41,582","47,982","25,300","34,974","67,360","68,622","62,489","61,837"
"63","[P]","    NHN Corporation","79,567","78,740","79,064","80,387","79,028","77,429","76,659","77,174","77,634","60,053","61,397","60,836","62,144","60,478","61,679"
"64","[P]","    2345.COM","27,500","30,639","34,768","33,074","34,568","39,925","44,422","45,377","40,365","33,055","38,305","60,079","64,421","58,523","61,292"
"65","[P]","    GSN Games","40,944","40,356","41,276","38,785","32,727","33,287","33,206","38,876","44,203","42,106","48,824","46,887","59,967","59,800","60,839"
"66","[P](U)","    Wikia Sites","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647","60,192","58,364","60,141"
"67","[P](U)","    ESPN","54,072","58,975","55,640","61,575","72,971","66,710","62,716","59,913","62,688","50,606","63,194","59,818","57,120","65,417","58,980"
"68","[P]","    FC2 inc.","60,551","60,543","61,191","61,452","60,552","59,494","58,640","58,424","58,985","55,463","57,491","56,861","57,425","57,092","57,538"
"69","[P]","    craigslist, inc.","56,339","57,165","59,667","56,995","53,878","52,079","50,218","48,901","51,921","50,757","53,948","53,983","52,515","52,852","56,610"
"70","[P](u)","    SpinMedia","72,934","76,120","74,543","79,536","75,573","76,209","74,930","81,988","81,160","62,276","63,476","61,151","56,693","54,327","55,416"
"71","[P](U)","    CCM-Benchmark","50,116","47,047","44,585","41,687","42,847","45,841","47,142","48,099","50,486","47,847","53,570","59,596","58,677","56,936","54,728"
"72","[P]","    MEDIAFIRE.COM","90,294","86,651","84,311","81,281","80,100","74,173","69,379","70,131","69,192","62,623","70,616","66,827","64,631","54,769","54,326"
"73","[P]","    China Mobile Sites","35,862","33,908","37,184","37,335","37,801","38,811","41,439","45,498","40,976","32,505","37,375","50,727","60,436","55,686","54,248"
"74","[P]","    Deutsche Telekom","54,206","54,202","53,095","52,399","55,510","56,852","57,674","56,252","56,510","51,080","53,621","55,371","56,382","53,060","53,713"
"75","[P](u)","    Globo","46,731","47,116","46,779","46,869","45,869","47,817","45,826","43,688","46,368","46,919","50,997","50,646","51,073","51,081","52,107"
"76","[P]","    MercadoLibre","40,743","39,412","39,834","39,536","38,887","40,431","40,653","41,243","42,603","45,938","50,092","50,008","51,016","50,170","51,906"
"77","[P]","    WIKIHOW.COM","23,774","26,468","28,973","26,123","25,205","27,069","25,610","25,544","27,953","28,634","36,439","40,712","45,624","47,653","50,917"
"78","[P]","    Ctrip.com International","14,432","17,891","19,901","20,445","22,861","22,978","22,112","22,694","27,214","23,357","26,778","41,707","42,200","43,826","50,372"
"79","[P]","    DANGDANG.COM","28,808","37,925","22,851","26,787","29,785","30,052","33,064","30,134","26,241","18,602","27,190","36,036","41,699","42,231","49,968"
"80","[P](u)","    Disney Online","49,669","50,044","50,478","49,300","48,010","49,148","44,133","44,451","42,331","40,327","48,469","43,980","44,509","46,771","49,931"
"81","[P](U)","    CraveOnline (Evolve Media LLC.)","37,900","36,367","34,144","34,716","32,787","53,956","54,870","61,794","62,598","54,858","57,268","53,860","50,549","49,104","49,434"
"82","[P](u)","    OLX Inc.","56,140","52,514","53,045","50,606","52,659","55,401","53,345","47,010","50,245","44,185","51,306","47,173","42,996","44,498","48,878"
"83","[P](u)","    Break Media","81,251","79,976","82,133","69,900","64,012","61,190","60,056","60,214","58,755","50,280","54,403","50,365","48,489","46,638","48,446"
"84","[P](u)","    WebMD Health","32,168","31,411","31,219","44,771","44,972","50,281","48,490","44,643","52,723","48,101","51,304","51,632","48,736","45,304","48,403"
"85","[P]","    Conde Nast Digital","45,581","38,072","35,659","40,197","41,820","45,345","43,409","45,399","50,071","44,332","49,570","49,897","50,090","46,762","48,135"
"86","[P](U)","    New York Times Digital","132,671","123,804","120,868","134,693","133,489","54,990","55,505","47,412","51,127","47,797","52,018","59,253","51,278","46,027","47,938"
"87","[P]","    CHINA.COM.CN","13,863","14,172","14,962","15,972","17,047","17,707","25,209","19,425","18,182","14,264","28,292","48,537","50,143","44,854","47,927"
"88","[P]","    MIH Limited","51,728","48,853","50,115","52,171","53,566","54,291","53,319","55,357","60,331","53,494","54,000","50,732","49,614","45,823","47,280"
"89","[P]","    GANJI.COM","21,379","21,421","26,610","26,034","25,349","26,383","26,763","25,733","25,607","19,091","33,858","42,229","43,446","41,843","46,962"
"90","[P](U)","    YELP.COM","35,158","34,984","35,269","37,738","36,521","38,361","37,788","38,856","43,025","41,155","44,259","42,620","43,692","43,285","46,829"
"91","[P](U)","    Meredith Digital","42,132","41,749","42,362","42,587","42,784","50,330","51,144","59,585","52,518","47,036","51,994","43,059","44,988","44,481","46,756"
"92","[P]","    Samsung Group","42,859","43,833","43,955","42,473","42,110","43,453","46,167","51,359","41,136","36,211","44,438","46,158","52,604","45,472","46,564"
"93","[P]","    Infospace Network","8,717","9,962","11,475","10,344","11,919","12,873","12,053","18,407","24,483","26,433","26,370","28,828","25,039","33,308","46,191"
"94","[P]","    Gretech Corp.","59,908","58,690","57,698","56,847","55,332","54,762","53,372","54,619","55,639","46,799","43,780","42,921","44,780","44,109","44,236"
"95","[P]","    NETFLIX.COM","35,518","34,029","37,007","34,401","36,453","36,829","36,174","40,653","40,912","39,718","45,163","42,470","42,593","43,984","43,816"
"96","[P]","    China Construction Bank","20,182","20,707","22,852","24,609","25,294","25,534","28,497","30,794","31,335","24,127","27,718","39,557","42,237","40,699","43,504"
"97","[P]","    Technorati Media","123,727","112,688","111,714","114,410","109,892","88,851","82,650","84,149","87,499","64,448","81,390","47,089","44,567","44,421","43,378"
"98","[P]","    United-Internet Sites","36,352","35,532","37,311","38,207","35,963","36,385","35,442","36,604","37,544","35,756","38,716","38,624","38,748","38,837","42,657"
"99","[P]","    HEXUN.COM","20,709","21,123","25,302","24,178","34,546","31,926","35,533","33,434","30,802","16,420","26,816","40,685","42,043","37,922","42,482"
"100","[P](U)","    Gawker Media","29,752","29,793","29,456","35,061","39,390","39,033","33,405","39,472","43,325","38,450","38,628","39,753","42,259","41,137","42,030"
"101","[P]","    Hewlett Packard","35,892","34,283","38,109","36,218","37,893","37,844","37,284","37,728","40,566","34,408","40,217","42,779","39,334","39,489","41,830"
"102","[P]","    120ASK.COM","15,676","16,541","18,763","19,010","18,402","20,653","21,507","20,619","21,357","16,866","24,520","37,117","41,891","36,530","39,783"
"103","[P](u)","    YP Local Media Network","37,990","34,423","35,316","36,531","34,235","35,788","34,403","32,216","31,928","30,762","33,743","35,195","36,398","36,909","39,748"
"104","[P](u)","    SheKnows","34,075","35,307","37,619","39,263","39,321","41,760","39,073","42,392","43,227","37,493","39,554","41,270","41,121","43,392","39,697"
"105","[P]","    NTT Group","43,102","41,720","42,538","42,495","42,149","40,975","39,923","39,816","40,920","37,672","39,032","37,352","38,162","37,683","38,886"
"106","[P](U)","    AlloCine Sites","26,348","27,627","28,360","28,011","27,698","30,317","32,107","34,512","35,202","34,013","35,536","39,696","40,144","36,639","38,609"
"107","[P](U)","    Internet Brands, Inc.","44,800","41,680","41,071","43,612","42,012","43,732","40,146","41,035","44,422","37,798","41,203","40,348","40,956","37,557","38,286"
"108","[P]","    Alloy Digital Properties","42,355","36,922","37,259","36,991","29,967","33,750","34,008","36,204","34,467","30,881","34,888","37,320","34,551","32,820","38,112"
"109","[P](u)","    Time Warner (Excl. Turner/WB)","38,331","37,608","25,171","27,106","26,373","28,277","26,928","27,652","38,565","37,039","38,466","39,238","38,053","38,529","38,060"
"110","[P](U)","    Monster, Inc.","44,312","42,031","45,630","45,463","45,133","49,367","45,518","39,484","48,163","43,548","44,510","42,765","37,438","37,108","37,720"
"111","[P]","    FUNSHION.COM","16,334","17,449","17,741","16,980","21,192","22,885","26,553","31,611","33,369","24,340","27,515","37,993","39,042","35,786","37,675"
"112","[P](U)","    Times Internet Limited","30,189","28,994","31,147","32,063","32,368","35,302","34,290","35,723","36,160","32,919","35,096","35,467","36,747","37,789","36,872"
"113","[P](U)","    Scripps Networks Interactive Inc.","31,127","30,576","31,569","33,748","33,869","35,979","40,436","42,385","39,009","35,031","37,715","34,088","33,410","34,052","36,739"
"114","[P]","    CyberAgent","43,723","43,432","44,658","44,562","43,954","41,774","41,099","40,549","40,457","36,605","39,956","38,603","39,469","39,502","36,169"
"115","[P](u)","    Slahdot Media","40,107","39,172","37,769","38,687","40,086","43,785","42,101","42,956","44,156","40,330","43,450","38,152","36,937","35,138","36,111"
"116","[P]","    39.NET","12,481","12,274","15,193","16,860","16,735","17,748","18,023","18,675","20,040","16,815","23,587","35,911","38,099","33,553","35,663"
"117","[P](u)","    Everyday Health","35,418","33,409","33,359","36,791","34,236","38,196","40,637","35,763","39,259","36,666","38,930","37,313","36,744","33,967","35,214"
"118","[P](U)","    T365 - Tribune","40,344","37,066","38,963","42,879","43,304","45,060","43,567","42,470","41,095","40,299","37,147","39,300","39,052","33,905","35,051"
"119","[P]","    SouFun.com Limited","22,412","25,505","27,312","28,564","18,525","18,845","20,383","19,441","15,579","15,717","23,996","33,450","34,770","30,315","34,400"
"120","[P]","    Dwango Co., Ltd.","36,314","36,368","36,616","36,781","36,204","35,955","34,313","34,682","35,084","32,951","34,701","34,337","34,300","33,495","34,043"
"121","[P]","    Otto Gruppe","33,552","30,261","31,065","30,517","32,686","35,150","38,975","36,708","36,970","33,935","39,220","35,087","33,411","32,355","33,879"
"122","[P]","    DUOWAN.COM","14,972","17,101","20,970","21,101","18,963","21,168","22,237","23,552","23,767","21,981","22,653","28,676","31,304","30,022","33,493"
"123","[P](u)","    IG Portal","68,891","67,373","64,613","31,297","30,577","31,514","29,721","28,809","30,007","31,409","32,633","32,395","32,988","32,606","33,259"
"124","[P]","    6.CN","12,727","12,871","12,823","13,297","13,478","11,598","10,409","12,077","15,630","16,008","18,903","23,566","27,166","27,674","32,764"
"125","[P](u)","    Discovery Digital Media Sites","38,186","32,818","32,125","35,453","37,466","42,885","41,214","36,932","40,169","36,197","37,098","36,907","40,037","39,121","32,614"
"126","[P]","    UPLOADED.NET","31,062","27,983","27,193","17,011","124","72","34,139","34,349","35,095","34,848","38,248","34,754","35,726","32,836","32,404"
"127","[P]","    Real.com Network","57,995","59,874","55,859","41,768","40,761","44,298","39,766","44,656","41,034","35,094","39,992","36,622","33,205","36,155","32,183"
"128","[P](u)","    Prisa","35,689","34,546","28,804","28,728","30,226","32,401","30,531","26,720","29,956","29,932","31,538","33,010","32,609","31,352","31,218"
"129","[P](U)","    Dow Jones & Company","33,348","33,050","33,521","37,355","36,567","40,027","37,683","31,365","35,024","32,357","33,980","35,226","32,307","32,385","31,190"
"130","[P]","    Hubert Burda Media","33,500","31,841","32,524","32,073","32,269","31,917","31,592","33,176","36,088","32,801","35,575","31,404","32,484","31,496","31,030"
"131","[P]","    7K7K.COM","13,440","15,733","21,926","23,622","17,685","19,606","18,998","19,078","20,887","22,700","17,502","23,329","22,256","24,134","30,821"
"132","[P](U)","    DEVIANTART.COM","41,941","39,913","38,924","40,507","40,542","43,687","41,705","43,822","45,380","30,010","32,092","31,705","30,934","30,064","30,713"
"133","[P](u)","    The Washington Post Company","28,803","28,030","27,984","35,805","32,519","38,019","35,196","34,445","33,057","32,718","34,550","37,170","35,507","30,398","29,868"
"134","[P](u)","    Populis","25,363","23,380","25,007","26,781","25,838","28,535","27,812","25,410","26,608","26,402","28,752","30,249","29,433","28,732","29,525"
"135","[P]","    Oracle Corporation","13,301","11,751","10,964","11,342","14,384","15,808","13,834","13,701","15,305","13,115","14,295","13,482","13,934","30,724","29,450"
"136","[P]","    Rambler Media","23,662","23,783","23,047","22,724","24,378","26,056","26,614","26,239","26,768","28,398","31,373","30,787","31,470","27,100","29,335"
"137","[P]","    CDC Corporation Sites","15,504","14,816","16,335","17,946","21,914","18,123","18,625","18,799","19,662","15,475","18,901","30,637","30,026","27,093","29,033"
"138","[P](U)","    WORDREFERENCE.COM","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020","36,206","31,727","29,009"
"139","[P]","    Vodafone Group","28,401","28,474","28,412","28,044","28,373","29,298","27,976","29,961","31,675","29,728","30,920","28,988","27,911","26,400","28,948"
"140","[P]","    Agricultural Bank of China","13,678","13,957","16,557","17,247","18,288","18,720","20,099","20,681","21,325","16,977","19,869","27,136","28,655","26,866","28,803"
"141","[P](u)","    Network 18","26,070","24,401","25,788","27,010","27,887","30,152","29,975","31,181","30,994","27,171","27,496","28,213","28,872","29,169","28,750"
"142","[P]","    Groupe Lagardere","34,531","32,543","29,964","28,680","28,964","30,345","29,383","30,842","31,635","28,177","31,687","29,028","29,352","28,190","28,691"
"143","[P]","    IKEA","22,933","22,860","25,057","26,892","27,375","26,450","27,465","26,606","29,639","24,533","27,416","25,428","25,022","24,831","28,308"
"144","[P]","    China Economic Net","4,526","4,711","5,953","6,602","7,677","5,567","7,498","6,934","7,830","6,204","8,508","11,754","13,674","22,591","28,197"
"145","[P]","    Kering","36,424","34,675","34,202","31,530","33,674","34,408","35,983","37,643","34,872","32,579","33,975","34,311","34,310","34,188","27,744"
"146","[P](U)","    Forbes Digital","20,226","19,326","18,537","21,018","21,222","25,264","23,801","22,969","26,383","25,604","26,964","26,196","26,431","26,051","27,676"
"147","[P](u)","    Liberty Interactive Corporation","33,628","27,683","26,557","28,913","29,859","35,649","34,966","34,849","29,314","31,623","28,368","27,509","34,677","27,179","27,498"
"148","[P]","    CRI Online Sites","8,986","8,051","9,409","9,357","9,618","8,372","7,570","7,761","7,592","6,195","10,501","20,292","24,247","22,388","27,243"
"149","[P]","    Symantec","28,606","28,133","28,176","27,101","28,170","28,561","27,278","27,185","27,596","24,251","26,834","27,147","27,235","28,151","26,996"
"150","[P]","    RTL Group Sites","32,106","30,339","30,366","29,293","29,647","28,448","27,477","28,255","28,793","25,902","28,346","28,030","29,525","28,337","26,929"
"151","[P]","    TQ Digital Entertainment","14,564","16,150","17,389","18,364","19,467","19,035","18,150","20,219","19,016","19,780","20,720","25,442","24,721","23,117","26,847"
"152","[P]","    AT&T, Inc.","21,627","22,790","23,439","23,809","24,873","23,175","23,449","27,522","26,305","25,054","27,427","26,312","26,678","27,127","26,766"
"153","[P](u)","    Best Buy Sites","24,788","25,020","26,243","26,860","27,056","25,989","44,011","41,790","28,690","23,584","26,055","23,513","23,480","24,526","26,638"
"154","[P]","    Sakura Internet","30,801","31,493","31,955","31,226","30,644","29,109","28,280","28,412","28,617","25,188","26,255","26,267","27,649","26,449","26,620"
"155","[P](u)","    Grupo Abril","19,268","21,175","20,326","22,333","21,769","22,737","21,688","19,798","21,644","23,997","26,672","26,538","27,283","27,090","26,573"
"156","[P](u)","    Ticketmaster","26,621","25,651","25,756","27,299","27,892","29,404","30,365","27,986","27,975","28,875","29,195","28,184","27,601","25,166","26,515"
"157","[P](u)","    Yellowbook Network","36,301","37,044","30,658","30,784","29,421","27,612","24,062","26,715","28,914","25,720","26,721","24,004","27,783","23,745","26,508"
"158","[P]","    Target Corporation","23,667","24,596","26,413","26,437","25,155","27,270","38,183","38,105","25,417","24,167","25,626","24,492","24,965","23,915","26,482"
"159","[P]","    BADOO.COM","36,492","25,868","26,473","25,429","25,108","24,159","23,211","22,937","24,626","24,239","25,582","26,317","25,722","24,718","26,387"
"160","[P](U)","    Telegraph Media Group","16,431","15,873","17,477","17,562","17,807","30,083","30,748","29,476","31,161","27,474","27,335","28,107","26,618","24,718","26,078"
"161","[P]","    NIH","26,297","23,952","22,666","23,243","26,040","29,480","27,623","23,817","25,985","26,214","28,449","27,271","26,797","25,274","26,055"
"162","[P]","    GMO Internet Group","33,550","33,884","33,530","32,962","31,776","30,568","29,279","29,338","29,783","25,816","27,403","26,729","26,879","25,597","26,028"
"163","[P](U)","    CareerBuilder LLC","26,982","25,472","26,574","27,665","26,859","28,340","27,185","24,773","26,636","25,409","27,120","25,944","26,056","24,307","25,892"
"164","[P]","    RosBusinessConsulting","33,340","31,703","30,577","30,908","31,257","32,917","32,864","32,844","32,041","31,118","32,761","29,172","28,306","26,105","25,442"
"165","[P]","    McAfee.com Sites","21,261","20,804","23,468","22,390","19,519","19,877","20,440","20,000","20,524","20,443","23,776","22,385","23,286","22,823","25,384"
"166","[P]","    Seesaa","33,132","32,061","32,223","31,200","30,798","27,432","26,861","26,774","26,341","23,456","24,989","24,584","25,320","25,140","25,334"
"167","[P]","    Gruner+Jahr Sites","25,536","24,636","22,097","23,350","23,768","24,708","25,096","27,078","27,564","24,691","26,356","24,647","24,452","23,908","25,147"
