"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: May 2012 - July 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 8/20/2013","","","","","",""

"","","","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013"
"","","    Total Internet : Total Audience ","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029"
"1","[P]","    Google Sites","1,150,223","1,157,992","1,173,102","1,161,178","1,133,937","1,140,335","1,124,825","1,136,502","1,140,056","1,123,439","1,163,988","1,179,091","1,185,840","1,194,404","1,208,800"
"2","[P](u)","    Microsoft Sites","840,482","863,276","857,640","853,791","849,708","871,044","873,262","868,099","878,268","852,263","896,209","914,598","920,877","891,369","877,967"
"3","[P](u)","    Yahoo! Sites","698,974","694,477","679,619","698,651","715,742","730,535","728,361","735,098","736,122","708,166","742,145","742,804","742,449","711,502","724,542"
"4","[P]","    Wikimedia Foundation Sites","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107"
"5","[P](u)","    Amazon Sites","348,139","342,898","349,307","352,400","362,129","369,504","379,102","388,671","383,891","352,119","384,160","390,465","395,669","383,802","403,717"
"6","[P]","    Baidu.com Inc.","258,963","265,875","268,978","273,986","268,810","275,406","272,449","275,988","256,277","254,261","288,897","328,472","335,319","356,664","358,243"
"7","[P]","    TENCENT Inc.","264,853","266,708","272,969","276,181","280,038","279,937","280,478","285,268","283,652","274,535","285,968","340,079","334,617","338,853","341,391"
"8","[P]","    Alibaba.com Corporation","211,748","207,704","213,129","221,261","226,107","243,191","257,086","262,344","257,643","221,562","254,821","313,176","321,168","314,272","317,744"
"9","[P]","    Sohu.com Inc.","228,400","224,609","244,115","249,030","248,946","254,822","255,678","259,412","259,286","245,316","260,138","312,454","314,511","312,305","317,645"
"10","[P]","    Apple Inc.","301,594","297,900","297,106","289,245","308,688","299,868","300,081","314,241","303,827","289,082","306,872","302,251","306,120","300,297","297,702"
"11","[P](u)","    Ask Network","271,312","266,161","267,977","263,633","240,050","315,681","305,867","317,486","331,927","254,087","273,799","277,281","290,440","283,949","290,419"
