"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : June 2008 - August 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 9/29/2009",

"Items 1 to 1000","",""," Jun-2008"," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009",
"","","Total Internet : Total Audience ","860,514","949,583","960,198","971,945","984,396","996,304","1,007,730","1,020,582","1,078,911","1,092,598","1,108,031","1,122,331","1,135,656","1,151,381","1,165,194",
"1","[P]","Google Sites","649,096","722,454","742,390","748,539","753,081","758,588","775,980","771,553","816,983","830,663","845,623","840,410","844,245","853,820","867,618",
"2","[P]","Microsoft Sites","572,292","636,377","645,223","646,072","639,829","638,570","646,915","632,548","675,272","692,479","690,986","682,205","691,362","701,834","707,803",
"3","[P]","Yahoo! Sites","507,559","542,174","552,203","555,269","557,687","554,145","562,571","558,114","578,479","594,149","590,301","570,250","581,337","591,758","595,983",
"4","[P]","FACEBOOK.COM","132,105","144,845","153,945","161,122","181,772","200,189","221,791","236,292","275,642","294,675","307,101","316,000","340,011","369,551","389,525",
"5","[P]","Wikimedia Foundation Sites","251,502","244,326","248,539","272,109","277,208","280,969","272,998","289,811","300,751","327,148","320,043","317,255","302,940","295,484","307,641",
"6","[P]","AOL LLC","256,679","271,020","268,065","264,196","267,783","268,312","273,020","271,016","276,793","285,517","290,751","286,826","279,556","268,383","260,547",
"7","[P]","eBay","238,400","236,762","233,263","228,805","233,044","233,173","240,947","231,552","234,560","250,156","246,147","238,148","233,483","236,819","243,335",
"8","[P]","Amazon Sites","155,108","159,813","156,750","156,720","159,807","169,903","187,354","188,202","183,003","194,928","192,441","188,602","185,035","197,306","200,671",
"9","[P]","CBS Interactive","35,979","171,234","172,895","174,198","174,183","171,724","178,844","180,319","185,642","202,560","192,200","185,351","185,679","195,695","194,036",
"10","[P]","Ask Network","124,603","142,242","138,045","144,689","153,488","160,489","164,513","164,191","164,566","172,552","169,916","171,613","173,766","191,752","189,937",
"11","[P]","Apple Inc.","134,621","140,009","142,011","143,583","145,753","147,928","161,500","157,639","158,272","170,395","167,912","166,754","173,022","177,227","176,468",
"12","[P]","Fox Interactive Media","165,143","174,447","167,956","165,265","169,075","168,475","172,841","173,366","175,276","183,137","179,563","177,340","169,831","170,109","164,612",
"13","[P]","The Mozilla Organization","51,614","103,966","83,853","100,244","77,620","102,559","114,338","82,643","128,380","153,830","152,229","113,431","137,198","138,866","161,893",
"14","[P]","Adobe Sites","107,304","111,352","110,116","123,383","127,977","124,740","123,623","127,543","127,087","140,950","134,270","132,617","145,847","148,608","148,378",
"15","[P]","TENCENT Inc.","84,330","133,198","139,113","147,993","155,708","157,213","158,617","156,047","155,603","154,583","154,478","148,169","152,192","146,398","145,701",
"16","[P]","Baidu.com Inc.","83,330","130,172","137,394","143,754","149,514","148,748","152,447","147,419","147,589","147,281","147,447","152,087","148,322","145,361","145,573",
"17","[P]","WordPress","98,117","103,404","103,296","110,745","112,764","115,123","117,155","120,192","126,168","144,111","143,042","145,981","137,299","140,139","137,478",
"18","[P]","Glam Media","76,942","80,839","75,252","88,296","97,589","95,166","110,577","103,134","102,198","108,824","110,811","117,663","110,408","114,547","112,688",
"19","[P]","SINA Corporation","61,467","98,317","115,004","109,481","110,931","110,509","112,375","109,487","111,460","111,761","111,114","98,596","100,274","101,584","108,467",
"20","[P]","Alibaba.com Corporation","51,183","73,214","86,085","95,230","85,931","91,244","94,532","82,441","85,617","89,725","84,349","82,439","91,979","96,175","102,480",
"21","[P]","Viacom Digital","87,316","84,826","88,240","87,199","89,793","88,478","90,099","92,194","91,484","97,221","97,238","97,019","100,556","101,529","98,670",
"22","[P]","NetShelter Technology Media","28,418","30,715","34,285","45,389","49,572","58,427","74,173","77,884","83,103","90,673","90,224","90,564","86,665","89,889","93,644",
"23","[P]","New York Times Digital","69,736","70,616","69,429","73,220","74,104","74,082","73,467","85,820","83,901","87,705","85,779","84,111","80,054","81,170","83,294",
"24","[P]","Sohu.com Inc.","45,769","76,158","88,477","85,426","81,860","79,746","85,866","76,420","80,777","81,027","80,113","69,524","70,984","76,920","82,719",
"25","[P]","NetEase.com Inc.","50,271","79,856","88,951","82,918","81,618","79,453","78,657","70,925","76,055","76,297","75,534","69,096","73,027","75,242","82,070",
"26","[P]","Real.com Network","53,336","70,170","76,117","73,430","74,440","74,444","75,819","77,150","79,927","83,971","83,363","80,082","78,115","86,401","80,793",
"27","[P]","RapidShare AG","40,315","43,799","45,442","46,224","49,508","55,209","59,289","64,872","71,469","79,562","77,053","79,201","75,470","79,125","78,903",
"28","[P]","Turner Network","71,981","66,658","74,478","71,678","72,197","76,461","73,052","85,785","77,830","78,052","79,488","79,520","81,476","81,576","76,309",
"29","[P]","Xunlei Networking","40,485","63,797","76,485","84,985","78,188","86,303","93,121","85,474","82,953","74,169","68,501","63,076","68,049","69,580","72,969",
"30","[P]","Technorati Media","9,820","10,425","11,990","27,075","34,588","36,953","34,974","39,532","44,847","59,397","57,462","61,334","51,379","58,261","69,337",
"31","[P]","BitTorrent Network","25,432","29,675","30,148","30,656","32,825","36,329","41,332","44,533","47,296","52,276","55,390","57,364","60,313","63,324","66,187",
"32","[P]","Answers.com Sites","30,661","30,005","34,079","39,598","41,814","41,545","39,696","44,958","45,703","50,176","51,780","52,660","48,261","51,579","65,930",
"33","[P]","Expedia Inc","58,691","64,011","59,216","49,627","47,843","46,626","44,410","55,481","54,497","58,896","57,930","56,453","59,572","67,218","63,560",
"34","[P]","Gorilla Nation","69,656","70,271","67,134","62,570","65,242","57,911","61,148","64,463","63,376","68,393","65,330","65,845","59,506","64,179","61,796",
"35","[P]","Photobucket.com LLC","46,276","46,394","46,167","43,928","45,450","44,927","46,303","48,842","58,571","86,406","62,011","75,805","59,610","63,894","61,625",
"36","[P]","Sony Online","57,669","56,828","56,364","54,644","55,453","60,933","64,409","62,630","57,930","57,333","58,110","63,566","62,857","62,179","61,506",
"37","[P]","Tudou Sites","N/A","N/A","N/A","58,115","59,833","59,240","65,565","66,080","62,144","58,410","57,408","49,314","50,310","57,459","60,208",
"38","[P]","DAILYMOTION.COM","36,601","35,838","33,727","32,960","37,309","39,628","40,603","42,872","47,693","53,554","57,775","54,495","54,529","57,584","58,154",
"39","[P]","Lycos Sites","60,253","56,229","57,951","57,083","59,592","57,842","56,324","58,538","61,004","64,331","62,378","60,464","56,496","57,528","57,386",
"40","[P]","Break Media","23,480","28,246","29,779","31,438","31,970","33,454","36,641","39,918","41,732","44,754","45,794","53,316","52,208","57,333","55,896",
"41","[P]","TWITTER.COM*","2,855","2,607","4,304","5,570","4,361","5,137","4,354","6,090","9,821","19,115","32,146","37,323","44,520","51,623","54,696",
"42","[P]","Demand Media","37,061","38,701","37,393","36,891","40,058","38,087","41,146","43,814","43,700","47,481","48,442","50,112","46,659","52,606","54,643",
"43","[P]","Terra - Telefonica","46,998","48,334","46,625","48,433","48,491","46,964","50,507","49,341","50,113","54,770","51,701","51,864","50,324","53,810","54,545",
"44","[P]","HI5.COM","56,367","56,714","55,936","58,669","57,211","58,069","60,862","59,694","63,270","63,652","60,789","54,635","57,699","59,427","54,374",
"45","[P]","Orange Sites","53,535","53,330","52,051","53,397","55,063","59,515","53,860","51,518","55,095","61,079","58,118","57,708","54,780","52,108","54,323",
