"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: June 2012 - August 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 9/20/2013","","","","","",""

"","","","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013"
"","","    Total Internet : Total Audience ","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029","1,596,237"
"1","[P]","    Wikimedia Foundation Sites","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875"
"2","[C](U)","    Yahoo! Answers","241,753","231,699","285,149","290,423","309,347","306,205","294,797","313,515","303,340","313,820","313,754","313,857","290,174","293,825","300,342"
"3","[C]","    Baidu Answers","151,130","162,873","163,402","158,907","163,801","162,524","163,143","162,348","141,707","162,379","215,038","219,083","210,828","214,863","213,025"
"4","[C]","    Baidu Encyclopedia","93,376","99,357","98,440","91,891","97,166","100,417","101,704","99,365","85,217","105,082","145,171","147,479","139,603","144,890","142,928"
"5","[P](u)","    Answers.com Sites","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728","105,285","102,123","88,239","83,207","84,651"
"6","[C]","    SINA iAsk","35,169","40,080","39,639","42,383","47,115","50,160","48,162","47,339","37,151","47,746","65,642","66,588","60,458","65,437","65,410"
"7","[P](U)","    Wikia Sites","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647","60,192","58,364","60,141","61,440"
"8","[P](u)","    WORDREFERENCE.COM","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020","36,206","31,727","29,009","28,883"
"9","[C]","    Goo Teaching","24,349","25,400","25,617","25,350","24,148","23,990","23,828","24,918","22,713","23,613","22,034","23,014","22,056","22,154","21,018"
"10","[P](u)","    Encyclopaedia Britannica","14,168","13,292","14,706","17,690","20,648","19,831","18,527","22,007","22,394","23,714","23,254","22,339","18,437","17,614","17,564"
"11","[P]","    URBANDICTIONARY.COM","14,240","13,934","13,917","14,118","14,129","14,034","13,979","15,056","14,227","16,382","15,735","15,660","14,774","15,595","14,701"
"12","[P]","    ARCHIVE.ORG","7,476","8,247","8,813","9,510","9,527","10,258","9,938","11,655","10,617","11,441","11,811","11,677","11,728","11,905","11,344"
"13","[M](u)","    HOWSTUFFWORKS.COM*","11,247","10,913","12,507","13,385","15,697","14,959","12,663","14,414","13,137","13,532","12,425","11,979","10,409","10,172","10,826"
"14","[M]","    REVERSO.NET*","10,157","8,837","8,687","10,930","12,081","12,215","11,476","11,974","11,480","12,591","11,900","11,893","10,514","10,245","9,843"
"15","[M]","    ICIBA.COM","5,896","5,637","5,957","6,627","6,651","7,075","7,109","6,666","5,179","7,421","9,930","10,037","8,982","9,859","9,459"
"16","[P]","    LAWTIME.CN","1,517","2,523","3,352","3,527","3,698","3,775","4,501","5,286","3,129","5,476","7,896","8,787","8,171","9,834","8,987"
"17","[P]","    BIBLEGATEWAY.COM","5,202","4,804","5,110","5,698","5,778","5,508","5,685","5,957","5,927","6,599","6,441","6,299","5,578","5,712","6,153"
"18","[C]","    SCIENCEDIRECT.COM","4,893","4,291","4,135","5,675","7,343","7,075","6,261","6,729","6,050","7,359","7,372","6,658","5,347","5,444","5,185"
"19","[P](u)","    WISEGEEK.COM","7,254","6,659","7,742","8,767","10,563","10,642","10,608","12,859","13,201","13,402","10,573","7,333","5,862","5,437","4,813"
"20","[M](u)","    Demand Media Network","5,494","5,392","5,769","6,519","6,765","5,953","5,131","5,741","5,334","5,551","5,381","4,800","4,594","4,396","4,119"
"21","[P]","    DICT.CC","3,969","3,872","3,807","3,960","3,635","3,828","3,650","4,325","4,427","4,726","4,583","4,525","4,379","4,153","3,944"
"22","[C]","    Yahoo! Dictionary","6,826","6,825","6,478","6,424","6,519","5,881","4,875","4,988","4,327","4,643","3,768","3,795","3,805","4,097","3,847"
"23","[P]","    LEXILOGOS.COM","4,942","4,308","3,873","4,195","4,265","4,277","4,428","4,343","3,908","4,105","3,817","4,117","3,706","3,901","3,557"
"24","[P]","    5156EDU.COM","1,776","1,573","1,712","1,897","2,114","2,268","2,199","2,159","1,486","2,438","3,777","4,211","3,652","3,811","3,412"
"25","[P]","    COINMILL.COM","2,087","2,057","1,897","1,668","1,971","2,309","2,141","2,433","2,473","2,570","2,544","2,717","2,931","3,079","3,262"
"26","[P]","    DEFINICION.DE","2,360","1,655","2,959","3,391","3,680","3,251","1,474","2,099","2,845","2,771","3,113","3,040","2,387","1,701","3,169"
"27","[M]","    WER-WEISS-WAS.DE","5,155","5,186","4,904","4,439","4,850","4,802","4,364","5,104","4,273","4,495","3,564","3,316","3,075","2,964","2,975"
"28","[P]","    CONSUMERREPORTS.ORG","2,288","2,300","2,770","2,918","3,141","3,702","3,181","3,281","3,015","2,710","2,742","2,817","2,780","3,093","2,752"
"29","[C]","    Naver.com Knowledge iN","11,704","11,097","10,516","10,054","10,090","9,149","8,618","9,424","3,095","2,995","2,757","3,132","2,827","2,449","2,743"
"30","[P]","    IXL.COM","2,545","2,451","2,317","3,075","3,658","3,692","2,760","3,601","3,424","3,386","3,277","3,045","2,326","2,286","2,618"
"31","[P]","    SCIELO.BR","1,864","1,261","1,934","2,217","2,354","2,384","1,491","1,410","2,151","3,343","3,361","3,168","3,001","2,161","2,577"
"32","[M]","    LAROUSSE.FR","2,167","1,744","1,793","2,512","3,120","3,225","3,255","3,346","3,303","3,738","3,510","3,633","3,037","2,408","2,456"
"33","[C](U)","    ANSWERBAG.COM*","3,591","3,393","3,905","3,797","4,153","3,937","4,056","4,405","4,090","4,365","4,170","3,140","2,436","2,364","2,262"
"34","[P](u)","    POEMHUNTER.COM","2,505","2,216","2,264","2,706","3,340","3,271","3,111","3,417","3,672","3,609","3,791","3,640","2,724","2,344","2,134"
"35","[P]","    WORLDCAT.ORG","1,686","1,866","1,641","2,295","2,546","2,455","2,361","2,448","2,512","2,763","2,486","2,187","1,934","1,917","2,027"
"36","[P]","    UN.ORG","2,159","1,688","1,821","2,578","2,629","2,802","2,175","2,354","2,184","2,993","2,750","2,720","2,195","1,933","1,973"
"37","[P]","    ITUSOZLUK.COM","3,033","2,661","2,931","2,842","2,652","2,724","2,584","2,552","1,863","1,996","1,979","1,956","1,706","1,914","1,971"
