"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: June 2012 - August 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 9/20/2013","","","","","",""

"","","","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013"
"38","[P]","    TRANSLATED.NET","1,382","1,295","1,317","1,556","1,707","1,932","1,844","2,145","1,821","2,144","2,036","1,967","1,795","1,869","1,921"
"39","[C]","    Naver.com Dictionary","5,393","5,145","4,746","4,981","4,367","4,594","4,500","3,807","1,375","1,941","1,915","2,082","1,841","1,563","1,802"
"40","[M]","    WEBOPEDIA.COM","1,329","1,475","1,431","1,773","1,601","1,515","1,314","1,428","1,388","1,678","1,808","1,832","1,622","1,600","1,706"
"41","[P]","    TURNITIN.COM","1,387","932","1,551","2,852","3,660","3,316","2,971","2,370","2,941","3,668","3,882","3,391","1,653","1,007","1,693"
"42","[P]","    BIOGRAFIASYVIDAS.COM","2,102","1,512","2,056","2,663","2,684","2,284","1,068","1,379","1,556","1,914","2,116","2,125","1,459","1,154","1,654"
"43","[P]","    MIRSOVETOV.RU","2,173","2,049","2,083","1,980","2,304","2,224","2,373","2,288","2,094","2,267","1,937","1,837","1,751","1,634","1,555"
"44","[P]","    ONLINECONVERSION.COM","1,730","1,513","1,402","1,508","1,618","1,402","1,485","1,660","1,621","1,764","1,993","1,677","1,433","1,629","1,552"
"45","[P]","    NOLO.COM","648","742","614","692","844","695","949","1,016","998","1,216","1,075","1,170","1,158","1,514","1,397"
"46","[P]","    TRANSLIT.RU","1,203","1,205","1,159","1,374","1,500","1,540","1,595","1,364","1,177","1,280","1,148","1,219","1,105","1,141","1,325"
"47","[P]","    ACRONYMFINDER.COM","1,788","1,560","1,882","1,873","1,683","1,497","1,347","1,571","1,342","1,528","1,585","1,334","1,223","1,440","1,169"
"48","[P]","    GUNS.RU","1,904","1,911","2,047","1,922","2,116","1,957","2,128","2,148","1,808","1,710","691","1,045","1,041","1,136","1,136"
"49","[P]","    THINKEXIST.COM","4,694","3,721","3,577","3,728","3,457","2,881","2,625","2,353","2,206","2,286","2,007","1,698","1,316","976","1,129"
"50","[P]","    CALEND.RU","1,349","1,048","1,187","1,528","1,577","1,515","1,150","1,155","1,169","1,186","1,219","1,280","1,222","1,009","1,105"
"51","[P]","    PEOPLES.RU","1,521","1,183","1,045","1,278","1,411","1,320","1,330","1,254","1,209","1,260","1,300","1,303","1,092","1,067","1,058"
"52","[P]","    BIBLIOTEKAR.RU","1,851","1,152","1,078","2,135","2,727","2,387","2,670","2,436","2,313","2,581","2,674","2,559","2,069","1,143","1,054"
"53","[P]","    SERIALSSOLUTIONS.COM","855","933","978","1,203","1,718","1,558","1,087","1,212","1,460","1,536","1,645","1,200","881","1,072","1,048"
"54","[P]","    MIJNWOORDENBOEK.NL","1,105","914","781","1,141","1,165","1,187","1,222","1,266","1,032","1,174","1,091","1,239","1,160","730","1,033"
"55","[P]","    QUECHOISIR.ORG","637","593","507","628","861","774","788","648","862","786","702","647","663","865","979"
"56","[P]","    ArticlesBase.com Sites","1,325","1,037","1,221","1,354","1,379","1,385","1,064","1,086","1,222","1,593","1,464","1,226","956","857","976"
"57","[P]","    TURKCEBILGI.COM","1,407","1,313","1,249","1,660","2,175","2,247","2,004","1,819","1,584","1,915","2,037","1,943","1,228","1,070","960"
"58","[P]","    MOREWORDS.COM","698","657","567","784","909","920","881","1,120","979","1,126","1,091","981","869","853","959"
"59","[P]","    ASKMEHELPDESK.COM","2,766","2,780","2,177","1,982","1,858","1,659","1,455","1,478","1,194","1,389","1,190","1,137","1,073","1,196","953"
"60","[P]","    Farlex.com Sites","939","815","3,306","867","891","822","888","892","1,220","1,545","1,780","1,180","768","863","947"
"61","[P]","    SMARTDRAW.COM","1,070","1,051","1,056","972","1,250","1,171","929","1,023","998","1,136","1,041","1,093","965","1,015","942"
"62","[P]","    ARABIC-KEYBOARD.ORG","1,305","1,148","1,065","1,008","1,185","1,151","1,201","1,241","1,391","1,117","1,239","1,182","1,105","1,083","919"
"63","[P]","    BOOKZ.RU","1,255","1,169","1,154","1,313","1,375","1,257","1,222","1,378","1,327","1,331","1,239","1,125","1,017","958","916"
"64","[P]","    KLERK.RU","991","997","895","937","1,203","1,108","1,212","1,429","1,311","1,362","1,423","1,137","1,058","991","901"
"65","[P]","    BrainPOP","578","336","697","1,205","1,489","1,249","1,135","1,179","1,349","1,335","1,347","1,357","578","331","882"
"66","[P]","    ALC.CO.JP","1,215","1,205","984","1,039","1,025","970","990","1,059","890","888","870","1,027","911","964","844"
"67","[P]","    SLD.CU","1,156","894","971","988","1,181","1,112","721","736","859","928","1,059","1,025","808","653","837"
"68","[P]","    VERTALEN.NU","785","627","632","720","797","752","802","791","688","827","718","766","820","598","820"
"69","[P]","    SO100.CN","724","703","873","943","861","1,062","1,317","1,226","546","1,026","1,572","1,841","1,991","1,180","804"
"70","[P]","    EMERALDINSIGHT.COM","670","577","718","903","1,213","1,217","1,085","926","853","1,211","1,030","989","764","823","780"
"71","[P]","    PWN.PL","954","592","573","933","1,112","1,088","981","1,250","1,004","1,056","1,060","1,106","1,054","682","762"
"72","[P]","    PHRASES.ORG.UK","984","854","944","913","1,080","698","974","1,055","1,075","1,010","1,070","988","918","915","755"
"73","[P]","    DEXONLINE.RO","728","601","583","757","897","886","821","950","948","1,017","950","948","884","739","728"
"74","[P]","    OMNIGLOT.COM","682","588","552","605","703","667","768","740","655","816","760","675","674","621","726"
"75","[P]","    THAIGOODVIEW.COM","1,136","1,246","1,038","1,159","690","1,002","974","1,139","880","488","325","513","709","692","711"
"76","[P]","    AIES.CN","162","207","234","274","292","293","327","337","250","330","468","529","483","641","710"
"77","[P]","    BUSINESSBALLS.COM","842","676","673","778","877","774","924","975","700","840","771","817","733","787","705"
"78","[P]","    ANGLAISFACILE.COM","1,276","835","665","1,241","1,329","1,247","1,208","1,366","1,281","1,116","1,129","1,104","1,023","614","704"
"79","[P]","    VDICT.COM","856","847","845","774","798","696","592","689","500","710","661","643","595","682","696"
"80","[C]","    LIBRARYTHING.COM","525","356","546","486","528","502","421","497","552","624","628","553","591","637","652"
"81","[P]","    HONEYWELL.COM","539","698","533","609","807","553","656","771","720","757","625","728","702","709","648"
"82","[P]","    ALTALEX.COM","863","812","538","824","977","968","817","984","864","902","874","861","823","996","644"
"83","[P]","    123HELPME.COM","1,066","701","741","1,426","1,757","1,899","1,442","1,282","1,522","1,901","1,744","1,556","864","760","619"
"84","[P](u)","    QUESTIA.COM","751","587","563","812","910","935","698","736","1,007","1,081","1,116","839","623","603","602"
"85","[M]","    QUIBBLO.COM","1,370","1,479","1,341","1,414","1,211","1,102","999","992","754","1,043","1,862","802","662","789","594"
"86","[P]","    INGENTACONNECT.COM","511","616","516","556","714","617","697","569","792","863","815","651","574","569","568"
"87","[P]","    BNF.FR","458","427","481","581","813","810","835","866","740","812","768","808","639","566","566"
"88","[P]","    BIREME.BR","261","169","242","309","314","317","171","166","264","402","527","574","528","406","565"
"89","[P]","    REPEC.ORG","430","431","428","494","783","660","649","691","563","704","775","734","567","541","549"
"90","[P]","    ENGLISCH-HILFEN.DE","964","598","603","1,008","1,106","1,221","1,125","1,054","1,115","1,194","1,213","1,304","1,008","665","542"
"91","[P]","    SOZLUK.NET","644","572","547","678","732","777","763","879","685","806","683","773","521","530","520"
"92","[P]","    SCIELO.CL","759","635","668","829","861","877","556","505","463","607","721","729","607","469","520"
"93","[P]","    ALDEBARAN.RU","1,058","1,049","1,046","989","1,049","997","884","1,140","861","815","703","669","594","566","498"
"94","[P]","    POETS.ORG","428","317","359","485","585","603","616","583","639","768","829","671","439","469","482"
"95","[P]","    NOTAIRES.FR","295","305","243","392","400","406","279","358","344","448","293","598","339","492","480"
"96","[P]","    ACTUALICESE.COM","545","521","441","407","470","429","304","446","478","503","583","574","397","418","475"
"97","[P]","    GOGEN-ALLGUIDE.COM","600","644","640","667","596","601","551","706","498","583","517","508","637","478","470"
"98","[P]","    MANSIONINGLES.COM","505","385","360","432","539","475","322","349","463","351","419","534","418","426","449"
"99","[P]","    SACRED-TEXTS.COM","429","482","485","503","552","511","556","499","509","491","521","521","485","481","439"
"100","[P]","    ENGLISHPAGE.COM","684","408","439","673","805","837","644","639","751","755","855","764","614","426","435"
"101","[P]","    OCLC.ORG","259","336","342","441","422","371","407","504","631","711","510","538","511","442","434"
"102","[P]","    SYNONYMES.COM","641","473","453","697","684","823","640","697","841","839","805","797","726","411","411"
"103","[P]","    TRADUCEGRATIS.COM","756","733","659","759","748","818","647","655","514","652","589","556","454","369","408"
"104","[P]","    QURANEXPLORER.COM","539","682","565","341","358","351","369","420","358","423","431","395","363","684","407"
"105","[P]","    STROYPORTAL.RU","475","469","508","467","482","454","428","431","468","470","415","368","332","422","403"
"106","[P]","    ZARGAN.COM","632","579","576","645","770","782","799","745","627","710","660","697","632","401","383"
"107","[P]","    LEXICOOL.COM","342","304","265","336","354","331","334","342","265","318","278","322","290","377","376"
"108","[P]","    ONELOOK.COM","306","382","300","459","430","491","406","395","342","414","312","447","450","419","367"
"109","[P]","    ALA.ORG","278","242","160","260","300","277","244","373","299","376","372","229","217","338","350"
"110","[M]","    CODEGURU.COM","570","556","465","472","620","468","507","408","413","507","442","460","382","337","349"
"111","[P]","    JEWISHVIRTUALLIBRARY.ORG","394","283","367","521","472","511","528","518","482","644","514","520","329","245","339"
"112","[P]","    TRANSLATE.PL","629","502","468","587","639","532","446","532","481","472","420","380","384","317","330"
"113","[P]","    USHISTORY.ORG","436","291","355","597","840","662","608","625","609","572","612","597","410","351","323"
"114","[P]","    NYPL.ORG","254","367","273","312","306","268","325","353","240","265","321","269","328","346","321"
"115","[P]","    DICOCITATIONS.COM","882","622","639","700","531","552","755","630","530","515","439","427","405","376","319"
"116","[P]","    ENERGYGUIDE.COM","879","998","910","926","830","841","736","934","587","418","472","409","304","425","312"
"117","[P]","    KDD.CC","245","205","229","244","199","259","281","229","154","265","318","401","352","317","312"
"118","[P]","    PSICOLOGIA-ONLINE.COM","416","261","313","353","374","341","200","267","300","365","392","335","262","256","305"
"119","[P]","    STARS21.COM","486","463","375","417","584","457","497","439","360","395","342","354","338","352","305"
"120","[P]","    WEBELEMENTS.COM","364","168","245","675","858","820","506","665","604","575","531","480","437","302","297"
"121","[P]","    MORFIX.CO.IL","5","44","340","337","354","364","349","309","230","265","297","253","271","281","270"
"122","[P]","    DEFINICION.ORG","328","231","373","380","334","291","147","229","271","284","359","364","239","178","253"
"123","[P]","    THEOI.COM","211","234","256","299","237","263","171","261","316","303","234","285","202","192","252"
"124","[P]","    UNIVERSALIS.FR","437","258","238","459","636","610","647","604","712","730","659","577","346","246","247"
"125","[P]","    WISSEN.DE","244","201","145","247","349","392","370","562","521","499","532","508","504","278","247"
"126","[P]","    GEOGRAPH.ORG.UK","421","364","432","398","532","430","447","264","189","207","275","185","192","152","244"
"127","[P]","    OSZK.HU","314","249","287","365","439","435","418","482","426","471","411","395","320","235","240"
"128","[P]","    EVERYTHING2.COM","356","393","322","276","324","290","314","380","348","429","455","305","287","291","231"
"129","[P]","    HOWTODOTHINGS.COM","810","661","637","833","727","724","541","484","477","602","378","423","282","204","228"
"130","[C]","    Voila.fr Translation","348","259","257","319","292","305","315","449","371","447","273","340","377","215","214"
"131","[P]","    SLOVO.WS","142","64","143","1,776","1,739","1,466","1,542","1,388","1,385","1,374","1,567","1,136","288","138","212"
"132","[P]","    NCIKU.COM","119","167","167","158","196","181","217","275","203","225","224","174","172","170","205"
"133","[P]","    AMERICANRHETORIC.COM","142","88","137","219","150","193","113","260","143","168","144","143","162","76","203"
"134","[P]","    CALCULATOR.COM","121","133","106","129","203","234","173","307","260","293","295","378","191","278","198"
"135","[P]","    IPL.ORG","148","173","98","221","211","251","187","240","249","269","184","360","132","162","194"
"136","[C]","    BOOKFINDER.COM","326","245","323","336","335","290","225","383","189","301","205","204","164","202","194"
"137","[P]","    VISUALTHESAURUS.COM","180","164","285","178","213","224","200","217","206","215","283","178","105","139","190"
"138","[P]","    INFORMATIONSARCHIV.NET","246","245","311","324","191","286","276","321","269","255","239","266","222","178","189"
"139","[M]","    Informit Network","206","256","235","244","213","367","280","271","292","309","277","243","145","227","183"
"140","[P]","    NEWWORLDENCYCLOPEDIA.ORG","363","300","278","471","538","498","414","358","361","478","419","265","224","163","179"
"141","[P]","    SPISHY.RU","282","125","259","2,970","2,899","2,773","2,955","2,549","2,576","2,013","2,544","1,853","462","190","175"
"142","[P]","    YOURCHILDLEARNS.COM","119","200","133","191","178","159","120","129","145","117","158","115","90","99","174"
"143","[P]","    EXAMPLEESSAYS.COM","372","246","183","402","370","409","298","272","335","425","377","389","202","238","167"
"144","[P]","    YEMINLISOZLUK.COM","259","260","248","231","276","331","420","383","260","262","217","152","155","171","164"
"145","[P]","    JURIS.DE","148","126","84","145","91","148","150","163","146","70","88","127","101","81","163"
"146","[P]","    U-S-HISTORY.COM","226","143","132","328","380","333","431","324","393","462","455","382","204","43","158"
"147","[P]","    MYDICT.COM","311","294","339","325","287","381","327","288","317","273","277","272","277","166","153"
"148","[P]","    FOURMILAB.CH","161","149","166","293","207","228","173","157","166","170","196","152","97","115","152"
"149","[P]","    FREEDICT.COM","217","203","205","192","165","156","156","200","135","152","143","175","189","113","150"
"150","[P]","    CUCUMIS.ORG","175","206","150","149","180","179","174","158","157","160","176","149","156","250","143"
"151","[P]","    PANTHEON.ORG","153","205","116","178","218","176","137","173","210","220","156","175","138","123","142"
"152","[P]","    EGO4U.DE","337","122","148","347","345","421","358","348","332","412","489","424","401","175","140"
"153","[P]","    EYEWITNESSTOHISTORY.COM","171","154","112","176","240","217","209","226","234","289","341","285","165","102","139"
"154","[P]","    MEGAESSAYS.COM","310","224","199","491","511","430","413","396","425","555","471","318","187","189","134"
"155","[P]","    TOPPRODUCT.NL","104","120","97","92","113","103","80","121","86","112","73","64","59","34","124"
"156","[P]","    VICTORIANWEB.ORG","224","187","152","238","253","274","200","222","207","263","213","251","131","90","122"
"157","[P]","    FREELANG.NET","212","200","201","220","149","183","172","197","123","144","172","136","152","95","122"
"158","[M]","    POETRY.COM","99","95","85","95","123","87","136","143","122","173","137","126","120","94","118"
"159","[P]","    LUMINARIUM.ORG","170","88","107","156","163","230","157","181","186","134","125","172","121","125","117"
"160","[P]","    WWWW4.COM","250","87","119","298","304","304","459","315","290","308","364","295","210","103","117"
"161","[P]","    Antiqbook","55","44","64","65","76","67","89","62","82","93","58","69","47","65","112"
"162","[P]","    BrainyMedia Sites","153","165","130","154","137","134","104","142","138","202","160","132","106","150","108"
"163","[P]","    FAMOUSPOETSANDPOEMS.COM","285","321","268","302","404","294","294","158","187","241","188","260","90","117","106"
"164","[P]","    BIYOGRAFI.INFO","89","73","85","78","113","125","130","166","97","158","211","214","118","100","105"
"165","[P]","    POEMSOURCE.COM","385","233","267","219","251","354","375","258","349","184","151","205","229","116","105"
"166","[P]","    LIB.OH.US","282","263","261","279","239","176","164","186","178","142","98","100","86","148","104"
"167","[P]","    WORDWEBONLINE.COM","116","102","108","122","156","115","159","206","101","128","113","142","120","153","102"
"168","[P]","    INFOVISUAL.INFO","294","221","249","346","395","403","330","267","173","246","231","169","135","86","102"
"169","[P]","    NOODLETOOLS.COM","199","61","114","419","446","500","404","365","423","505","634","597","207","57","96"
"170","[P]","    DICTS.INFO","271","252","223","323","233","216","198","187","110","144","128","114","88","94","91"
"171","[P]","    ARKITERA.COM","156","133","151","144","167","186","171","170","116","149","137","121","167","136","90"
"172","[P]","    NATIVE-LANGUAGES.ORG","253","208","203","262","322","293","178","131","182","167","168","156","103","94","88"
"173","[P]","    ZENO.ORG","184","140","112","161","207","238","196","238","195","199","154","180","158","96","85"
"174","[P]","    MIRSLOVAREI.COM","390","219","208","574","852","633","594","331","295","280","422","523","407","85","85"
"175","[P]","    ARTCYCLOPEDIA.COM","125","96","167","171","232","181","158","182","129","158","175","98","97","62","85"
"176","[P]","    ABIPUR.DE","190","46","85","167","160","255","243","222","220","261","306","266","194","44","84"
"177","[P]","    KWINTESSENTIAL.CO.UK","493","340","356","630","455","465","389","271","359","401","425","441","245","178","83"
"178","[P]","    ALLWORDS.COM","178","143","116","163","134","108","91","75","90","138","149","101","48","92","82"
"179","[P]","    FRENCH-LINGUISTICS.CO.UK*","213","116","108","281","277","199","165","246","173","210","230","222","136","103","80"
"180","[P]","    WEBSTERS-ONLINE-DICTIONARY.ORG","307","365","381","347","322","50","117","94","55","95","74","66","130","110","78"
"181","[P]","    ILMAINENSANAKIRJA.FI","95","81","101","102","106","123","84","109","88","115","92","66","90","88","76"
"182","[P]","    ELITESKILLS.COM","237","175","230","243","275","271","195","182","207","250","214","193","100","80","73"
"183","[P]","    QUOTELAND.COM","199","201","213","183","154","143","181","143","187","120","145","109","124","124","72"
"184","[P]","    PETS4YOU.COM","107","58","94","83","89","96","72","61","74","90","75","47","54","55","72"
"185","[P]","    TOPLUMDUSMANI.NET","259","218","197","453","584","766","720","514","388","561","630","405","196","105","69"
"186","[P]","    CUMMINGSSTUDYGUIDES.NET","161","116","109","276","263","294","183","256","212","144","151","152","93","31","67"
"187","[P]","    NORTHPOLE.COM","46","31","46","50","85","401","1,165","88","28","34","34","32","27","36","66"
"188","[P]","    WISDOMQUOTES.COM","283","178","154","81","91","91","171","81","79","63","77","51","98","60","60"
"189","[P]","    ALLGREATQUOTES.COM","357","190","298","378","303","330","246","172","181","249","200","254","97","82","58"
"190","[P]","    EPNET.COM","98","67","70","148","85","98","71","101","88","87","103","54","57","60","54"
"191","[P]","    MOLWICK.COM","141","93","115","142","118","112","78","63","103","134","127","68","62","36","53"
"192","[P]","    MANAGEMENTHELP.ORG","277","129","158","198","228","202","154","162","207","295","220","148","115","110","50"
"193","[P]","    VITALREC.COM","96","143","137","72","110","74","112","71","107","79","86","74","63","58","48"
"194","[P]","    SOBRESITES.COM","44","35","51","45","31","24","23","29","62","55","61","61","45","15","46"
"195","[P]","    ERUDITION.RU","209","76","91","300","488","448","588","390","345","364","477","592","283","53","45"
"196","[P]","    BEST-LOVE-POEMS.COM","280","215","147","116","138","119","107","86","65","80","67","86","43","50","44"
"197","[P]","    LOTSOFESSAYS.COM","282","150","176","225","365","403","191","168","171","238","168","118","78","32","40"
"198","[P]","    MADSCI.ORG","80","67","50","94","114","128","99","111","104","131","90","64","43","24","39"
"199","[P]","    LEXINTER.NET","192","154","70","136","125","164","150","172","194","134","101","58","63","38","38"
"200","[P]","    ECHEAT.COM","107","70","62","83","145","158","163","103","139","191","216","113","47","32","37"
"201","[P]","    ATLANTS.LV","86","37","43","97","118","110","123","119","101","131","127","143","58","36","33"
"202","[P]","    ABCPEDIA.COM","192","101","148","155","186","136","79","64","52","49","36","66","40","30","31"
"203","[P]","    NETPOETS.COM","57","31","47","50","94","46","53","32","44","57","46","25","56","37","29"
"204","[P]","    POEMOFQUOTES.COM","59","43","57","56","45","68","65","66","120","112","85","58","67","55","27"
"205","[P]","    TRANSLATION-GUIDE.COM","71","61","30","81","59","39","31","52","28","41","58","28","21","33","25"
"206","[P]","    GLOSSARY.RU","170","67","53","161","197","178","240","175","112","113","135","126","85","28","25"
"207","[P]","    KNOWLEDGERUSH.COM","23","44","16","19","18","22","14","18","45","19","34","21","15","18","21"
"208","[P]","    PLANETADISSER.COM","129","19","26","42","73","91","107","48","65","81","124","126","89","19","21"
"209","[P]","    LEARNENGLISH.ORG.UK","36","20","34","50","69","77","45","44","29","35","31","44","17","29","21"
"210","[P]","    SAIDWHAT.CO.UK","77","70","39","69","73","68","100","25","43","65","63","31","27","20","19"
"211","[P]","    LECTLAW.COM","147","99","110","102","102","127","87","86","107","98","76","117","78","37","18"
"212","[P]","    ACADEMON.COM","74","86","53","83","132","129","86","56","65","89","48","58","50","42","14"
"213","[P]","    LKWDPL.ORG","45","30","23","79","47","76","68","60","123","111","51","52","39","N/A","N/A"
"214","[P]","    LABLAA.ORG","N/A","N/A","N/A","N/A","N/A","48","26","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"215","[P]","    ESSAYFINDER.COM","12","21","43","39","26","14","10","10","N/A","18","N/A","15","N/A","N/A","N/A"
"216","[P]","    GROUNDHOG.ORG","N/A","N/A","N/A","N/A","N/A","N/A","N/A","68","108","N/A","N/A","N/A","N/A","N/A","N/A"
