MEDIA TREND REPORT,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
,,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,,Time Period :,Time Period :,March 2008 - May 2009,March 2008 - May 2009,March 2008 - May 2009,March 2008 - May 2009,March 2008 - May 2009,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2009 comScore, Inc","©2009 comScore, Inc","©2009 comScore, Inc",,,,
,,,Media :,Media :,"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,6/25/2009,6/25/2009,6/25/2009,6/25/2009,6/25/2009,,,,,,,,
,,,,,,,,,,,,,,,,,
Items 1 to 300,Items 1 to 300,Items 1 to 300,Mar-2008,Apr-2008,May-2008,Jun-2008,Jul-2008,Aug-2008,Sep-2008,Oct-2008,Nov-2008,Dec-2008,Jan-2009,Feb-2009,Mar-2009,Apr-2009,May-2009
,,Total Internet : Total Audience ,"840,590","849,580","853,119","860,514","949,583","960,198","971,945","984,396","996,304","1,007,730","1,020,582","1,078,911","1,092,598","1,108,031","1,122,331"
1,[P],Wikimedia Foundation Sites,"256,061","261,414","263,120","251,502","244,326","248,539","272,109","277,208","280,969","272,998","289,811","300,751","327,148","320,043","317,255"
2,[C],Yahoo! Answers,"129,630","141,939","143,909","142,715","146,075","149,337","152,436","153,957","143,925","144,741","155,702","163,464","177,859","178,535","170,319"
3,[C],Baidu Answers,"27,939","32,522","34,501","37,140","60,399","69,075","73,697","74,097","68,363","71,500","64,327","71,848","69,060","70,580","78,630"
4,[P],Answers.com Sites,"32,951","32,739","31,110","30,661","30,005","34,079","39,598","41,814","41,545","39,696","44,958","45,703","50,176","51,780","52,660"
5,[C],Baidu Encyclopedia,"12,454","7,377","7,058","8,372","12,914","15,552","24,002","34,697","33,597","38,909","35,407","42,677","42,871","41,207","36,967"
6,[M],Ciao Sites (w/ history),"26,408","27,237","26,576","24,226","23,910","23,046","25,219","25,338","25,989","26,134","27,658","25,504","27,028","25,934","25,089"
7,[M],THEFREEDICTIONARY.COM (w/ history),"5,317","5,331","5,310","4,085","4,655","3,841","13,653","14,756","15,678","14,768","17,368","18,656","21,480","23,172","22,202"
8,[M],DICTIONARY.COM (w/ history),"20,345","19,261","18,690","14,997","14,100","16,208","21,354","21,377","19,899","19,724","21,783","20,439","21,606","21,024","20,618"
9,[P],Encyclopaedia Britannica,"15,316","15,321","15,960","13,648","11,418","11,328","15,148","15,038","13,468","13,170","14,750","15,005","17,056","15,950","15,460"
10,[C],Naver.com Knowledge IN,"11,966","12,288","12,638","11,916","11,526","14,632","13,582","14,785","14,269","15,294","14,945","16,208","16,162","16,546","14,900"
11,[C],Goo Teaching,"11,252","10,810","10,608","9,716","8,967","8,919","9,172","9,635","9,961","10,495","12,828","11,327","13,450","13,204","14,351"
12,[P],Wikia Sites,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"11,981","12,348","14,135","14,274"
13,[P],ASSOCIATEDCONTENT.COM,"6,961","7,772","7,953","8,011","8,651","8,679","8,920","10,947","9,969","10,587","11,085","10,611","11,603","11,865","13,164"
14,[C],SINA iAsk,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"24,318","22,250","22,628","20,110","24,586","20,549","15,035","13,144"
15,[P],WORDREFERENCE.COM,"7,286","8,134","8,372","7,116","6,133","6,479","8,633","9,152","8,716","7,912","8,588","9,805","11,148","10,822","11,389"
16,[C],Yahoo! Dictionary,"11,419","11,057","11,023","10,348","10,448","10,353","10,252","9,678","10,351","10,037","11,055","10,343","10,890","11,155","11,245"
17,[M],REVERSO.NET*,"6,130","6,570","6,830","6,021","4,988","5,362","7,238","8,029","7,599","6,849","7,791","8,712","10,080","9,607","11,007"
18,[M],HOWSTUFFWORKS.COM (w/ history),"8,497","8,522","9,301","8,011","7,035","6,563","7,486","8,249","7,299","7,972","9,182","8,703","10,149","9,895","9,732"
19,[P],URBANDICTIONARY.COM,"5,245","5,383","5,278","5,157","5,413","5,000","5,238","5,941","5,431","6,100","6,323","6,515","7,472","7,980","7,454"
20,[C],ANSWERBAG.COM*,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"6,440","5,853","6,910","6,337","6,884","6,570","6,854"
21,[M],ICIBA.COM,"4,485","3,748","3,326","3,753","5,611","8,057","7,905","7,085","7,571","6,889","5,214","6,521","6,930","7,708","6,563"
22,[C],Naver.com Dictionary,"5,414","5,111","5,206","5,153","4,147","4,900","6,175","6,287","5,684","6,071","5,884","6,581","6,820","7,030","6,168"
23,[P],SPRINGERLINK.COM,"7,317","7,256","6,776","5,895","5,252","2,058","5,991","6,330","6,140","5,177","5,500","5,794","7,231","6,785","6,096"
24,[M],Demand Media Network,"19,816","20,242","21,843","20,591","21,285","21,950","23,825","26,153","5,642","5,544","6,040","5,923","6,468","6,573","6,047"
25,[P],ARCHIVE.ORG,"3,401","3,336","3,601","3,402","3,469","3,349","3,395","3,897","4,011","4,158","4,597","4,757","5,753","5,681","5,359"
26,[M],WER-WEISS-WAS.DE,"3,810","4,368","3,244","3,377","3,587","3,640","4,047","3,779","4,440","4,299","5,120","4,729","5,408","5,002","5,287"
27,[C],ENCYCLOPEDIA.COM (w/ history),"3,331","3,804","3,992","3,315","3,067","2,846","2,768","3,131","3,183","2,634","3,415","3,768","4,575","4,062","4,600"
28,[M],THESAURUS.COM (w/ history),"5,122","4,919","4,208","3,509","3,046","3,407","5,055","5,416","4,589","4,416","5,134","4,813","5,350","5,004","4,498"
29,[C],HIGHBEAM.COM (w/ history),"3,335","2,324","1,919","1,432","1,718","1,584","1,993","3,240","4,416","5,541","5,627","5,725","5,909","5,103","4,387"
30,[P],WISEGEEK.COM,"2,325","2,149","2,447","2,330","2,527","2,411","3,337","3,340","3,141","2,951","4,032","3,995","4,298","4,025","4,280"
31,[P],ArticlesBase.com Sites,721,"1,080","1,327","1,220","1,656","1,593","2,374","2,493","2,606","2,874","4,434","4,506","4,970","4,790","4,223"
32,[P],FUTURA-SCIENCES.COM,"3,174","2,690","2,491","2,608","2,089","1,734","2,694","3,192","3,073","2,629","3,595","3,830","4,522","4,384","4,046"
33,[P],THINKEXIST.COM,"2,834","2,644","3,023","2,815","2,511","2,574","2,724","2,983","2,914","2,958","3,044","3,743","3,815","3,959","3,936"
34,[C],Mail.Ru - Answers,"1,840","1,536","1,705","1,966","2,568","2,876","3,779","3,571","3,709","4,359","4,644","3,865","4,306","4,308","3,859"
35,[P],SOURTIMES.ORG,"3,499","3,372","3,469","2,920","2,918","2,874","2,763","2,678","2,919","2,600","2,701","3,595","4,262","4,016","3,821"
36,[P],WAPEDIA.MOBI,N/A,N/A,"1,696","1,090","1,150","1,276","1,428","1,101","1,488","1,500","1,666","1,696","3,444","3,656","3,752"
