"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria...","","","","","","My Metrix"
"Wikimedia Foundation Sites","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: January 2012 - January 2013","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Visits (000)","","","","","",""
"","","","Date :: 2/25/2013","","","","","",""

"","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013"
"1","    United States","466,749","480,418","478,355","483,076","485,282","454,898","481,357","476,934","491,610","504,728","459,879","481,627","495,658"
"2","    World-Wide","2,446,103","2,376,108","2,453,117","2,349,554","2,512,085","2,299,069","2,220,478","2,194,025","2,295,916","2,410,054","2,346,176","2,260,244","2,499,930"
"3","    Non-US","1,979,354","1,895,690","1,974,762","1,866,478","2,026,803","1,844,171","1,739,121","1,717,091","1,804,306","1,905,325","1,886,297","1,778,618","2,004,272"
"4","    Canada","116,282","112,186","116,973","117,584","114,676","110,391","107,302","97,651","101,773","113,203","111,873","105,198","112,987"
"5","    Argentina","16,423","18,365","23,954","22,866","25,851","23,449","21,798","23,559","21,438","23,626","23,112","19,186","16,834"
"6","    Australia","28,516","28,730","32,847","31,745","34,749","31,745","30,135","31,207","29,832","32,715","28,364","24,008","26,825"
"7","    Austria","11,228","9,881","10,056","10,066","10,369","8,623","7,596","7,843","8,141","9,098","9,471","9,516","11,206"
"8","    Belgium","12,774","11,085","10,513","10,597","11,781","10,787","8,125","8,722","8,483","10,061","10,907","10,998","12,403"
"9","    Brazil","43,063","49,147","62,470","57,598","62,210","58,231","48,423","59,518","59,186","60,168","62,765","49,353","53,103"
"10","    Chile","10,055","8,210","12,645","13,637","14,745","14,085","11,637","12,869","11,519","12,425","11,920","9,469","8,620"
"11","    China","27,292","24,354","26,169","19,259","18,574","14,243","12,184","11,571","10,396","10,485","10,128","9,220","8,405"
"12","    Colombia","28,273","44,271","42,466","36,496","41,262","27,836","31,455","23,002","21,737","23,048","19,372","10,844","13,918"
"13","    Denmark","6,428","5,664","6,061","5,903","6,279","6,231","4,474","4,647","5,651","6,013","6,267","5,502","6,361"
"14","    Finland","11,890","10,756","12,170","10,978","11,995","9,627","9,745","8,965","9,223","9,685","10,098","9,517","10,266"
"15","    France","112,584","99,180","97,122","90,416","105,490","89,307","88,365","84,850","91,177","100,875","102,387","96,486","104,000"
