"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: March 2011 - May 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 6/18/2012","","","","","",""

"","","","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012"
"","","    Total Internet : Total Audience ","1,350,539","1,362,369","1,373,976","1,383,098","1,394,031","1,411,178","1,420,316","1,431,939","1,438,877","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382"
"1","[P]","    Google Sites","996,706","990,970","1,009,699","1,023,643","1,031,584","1,048,918","1,066,695","1,083,316","1,081,821","1,092,912","1,107,467","1,107,171","1,139,459","1,142,257","1,150,223"
"2","[P]","    Microsoft Sites","895,813","892,893","905,454","882,818","898,728","887,917","914,237","878,510","886,560","897,860","889,202","855,114","874,946","841,169","840,482"
"3","[P]","    FACEBOOK.COM","692,998","697,970","713,647","734,240","736,465","752,382","769,655","788,181","792,999","794,349","805,604","790,100","805,722","809,399","828,817"
"4","[P](u)","    Yahoo! Sites","679,738","676,356","689,105","671,573","673,798","686,311","701,378","702,712","707,537","702,031","706,276","688,394","712,066","697,754","698,974"
"5","[P]","    Wikimedia Foundation Sites","400,011","380,716","411,061","399,362","393,543","422,779","454,529","476,627","474,723","457,063","482,157","475,699","489,402","473,380","492,393"
"6","[P](u)","    Amazon Sites","271,264","268,611","284,321","282,233","288,766","302,455","319,548","338,444","350,769","366,199","368,190","353,548","361,472","347,640","348,139"
"7","[P](u)","    Apple Inc.","234,944","228,366","244,182","246,889","256,743","260,749","264,537","299,360","285,234","295,771","302,250","290,757","306,808","296,129","301,594"
"8","[P](u)","    Federated Media Publishing","85,491","85,344","93,250","94,062","93,714","96,838","100,738","102,452","281,185","279,312","273,076","232,100","275,790","267,104","277,017"
"9","[P](u)","    Ask Network","236,956","220,341","224,060","212,548","217,771","227,266","240,805","255,792","245,416","239,319","266,079","243,983","263,148","256,039","271,312"
"10","[P]","    TENCENT Inc.","214,254","216,190","220,707","229,175","237,849","243,094","245,220","249,286","248,554","248,644","252,822","249,661","264,118","267,441","264,853"
"11","[P]","    Baidu.com Inc.","202,995","201,227","211,060","215,086","225,898","231,609","237,997","243,226","241,368","246,108","250,655","252,933","262,638","259,294","258,963"
"12","[P]","    eBay","218,809","215,085","225,893","223,520","224,511","230,320","232,945","244,368","243,222","241,919","254,801","237,301","241,017","238,224","247,162"
"13","[P](u)","    CBS Interactive","234,656","217,686","220,230","214,019","217,962","226,901","242,571","244,382","238,148","245,870","259,109","253,798","270,398","249,467","247,019"
"14","[P](u)","    Glam Media","204,134","200,186","213,528","203,630","200,757","202,836","206,764","210,711","209,031","216,334","232,000","220,460","212,773","223,379","244,243"
