"Multi-Country Media Trend","","","Geography :: Worldwide, Non-US, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, Argentina, Australia, Austria                                                               ...","","","","","","My Metrix"
"Total Internet,Wikimedia Foundation Sites","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: November 2012 - November 2013","","","","","",""
"","","","Target :: Persons 15+","","","","","",""
"","","","Media :: Total Internet,Wikimedia Foundation Sites","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 12/20/2013","","","","","",""

"","","Total Internet","","","","","","","","","","","","","[P] Wikimedia Foundation Sites","","","","","","","","","","",""
"","","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013","Jul-2013","Aug-2013","Sep-2013","Oct-2013","Nov-2013"
"1","    United States","188,412","189,457","189,931","190,121","191,374","191,117","191,510","192,173","196,347","196,999","196,483","196,591","196,357","82,516","82,348","84,506","82,348","85,825","85,546","83,875","78,190","81,411","81,212","82,731","85,391","82,397"
"2","    World-Wide","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688","1,582,029","1,596,237","1,604,290","1,611,886","1,619,952","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578","492,107","496,875","505,904","530,471","532,699"
"3","    Non-US","1,331,143","1,336,044","1,340,964","1,336,647","1,363,423","1,369,661","1,375,014","1,380,515","1,385,681","1,399,238","1,407,807","1,415,295","1,423,595","401,974","390,204","403,967","400,652","431,785","431,203","437,892","421,388","410,695","415,663","423,173","445,080","450,302"
"4","    Canada","25,491","25,451","25,411","25,361","25,286","25,532","25,544","25,572","25,558","25,531","25,543","25,231","25,172","14,946","14,618","14,771","14,305","14,909","15,087","14,791","14,251","13,683","13,480","13,789","14,152","13,827"
"5","    Argentina","13,760","13,794","13,828","13,710","14,127","14,392","14,656","14,921","15,185","17,780","17,849","17,918","17,987","5,844","5,148","4,583","4,878","6,186","6,429","6,617","6,461","6,106","7,036","6,659","7,068","6,935"
"6","    Australia","14,233","14,268","14,301","14,117","14,371","14,404","14,437","14,469","14,498","14,520","14,547","14,573","14,597","5,517","5,008","5,252","5,248","5,783","5,688","5,984","5,669","5,358","5,549","5,306","5,409","5,191"
"7","    Austria","5,000","5,027","5,054","5,027","5,109","5,137","5,141","5,145","5,150","5,154","5,159","5,163","5,167","2,114","2,193","2,280","2,028","2,223","2,197","2,252","2,159","1,917","1,926","2,001","2,052","2,077"
"8","    Belgium","6,346","6,371","6,395","6,353","6,444","6,469","6,469","6,469","6,469","6,469","6,469","6,469","6,469","2,697","2,667","2,773","2,564","2,755","2,696","2,868","2,665","2,218","2,449","2,495","2,709","2,677"
"9","    Brazil","45,763","45,803","45,843","61,484","62,122","62,667","63,211","63,753","64,295","64,842","65,386","65,929","66,473","17,145","14,500","14,571","26,330","30,284","29,931","29,791","30,366","26,173","28,079","27,982","28,839","29,521"
"10","    Chile","7,457","7,457","7,457","5,609","5,742","5,783","5,824","5,865","5,907","5,949","5,992","6,035","6,078","3,030","2,619","2,401","1,708","2,398","2,598","2,610","2,640","2,414","2,479","2,266","2,486","2,461"
"11","    China","342,332","343,784","345,242","339,689","348,177","349,613","350,127","350,707","351,218","351,729","352,317","352,827","353,347","4,866","4,457","4,194","3,218","4,608","7,412","8,173","7,265","7,996","7,828","6,147","7,900","8,437"
"12","    Colombia","9,603","9,723","9,844","9,811","10,090","10,215","10,343","10,471","10,601","11,777","11,937","12,100","12,265","4,523","3,210","3,725","5,007","5,363","5,479","5,603","4,876","5,389","5,983","5,887","6,139","5,608"
"13","    Denmark","3,764","3,772","3,780","3,739","3,795","3,802","3,810","3,817","3,824","3,831","3,838","3,846","3,853","1,319","1,292","1,330","1,230","1,288","1,278","1,323","1,269","1,057","1,140","1,160","1,234","1,225"
"14","    Finland","3,469","3,476","3,483","3,458","3,497","3,504","3,512","3,520","3,528","3,536","3,544","3,552","3,560","1,884","1,853","1,916","1,768","1,885","1,882","1,930","1,678","1,689","1,808","1,777","1,759","1,778"
"15","    France","43,267","43,021","43,020","42,499","43,021","42,610","42,610","42,604","42,604","42,604","42,604","42,604","42,604","20,316","20,208","20,026","19,547","20,425","20,413","20,777","19,979","20,256","20,558","21,209","22,241","22,166"
