Multi-Country Media Trend,,Geography :,Geography :,"Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India",,,,,,,,
Wikimedia Foundation Sites,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,Time Period :,Time Period :,December 2008 - February 2010,December 2008 - February 2010,December 2008 - February 2010,December 2008 - February 2010,December 2008 - February 2010,,,,,,,,
,,Target :,Target :,Persons 15+,Persons 15+,Persons 15+,Persons 15+,Persons 15+,,,"©2010 comScore, Inc","©2010 comScore, Inc","©2010 comScore, Inc",,,
,,Media :,Media :,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,,,,,,,,
,,Measures :,Measures :,% Reach,% Reach,% Reach,% Reach,% Reach,,,,,,,,
,,Date :,Date :,3/30/2010,3/30/2010,3/30/2010,3/30/2010,3/30/2010,,,,,,,,
,,,,,,,,,,,,,,,,
Location,Location,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites
Location,Location,Dec-08,Jan-09,Feb-09,Mar-09,Apr-09,May-09,Jun-09,Jul-09,Aug-09,Sep-09,Oct-09,Nov-09,Dec-09,Jan-10,Feb-10
2,    Europe,37.3,39.4,38.5,40.9,38.3,37.6,35.2,33.7,34.2,37.4,39,39,38.6,40.3,39.2
1,    North America,34.5,36.6,35.5,36,37.8,36.8,34.4,34.9,35.6,37.3,38.2,38.5,39.1,41.1,39.9
3,    Latin America,30.4,29.6,33.9,41.5,39.8,39.6,38.3,33.1,36.8,38.4,39,38.4,32.5,33.5,36.7
4,    World-Wide,27.1,28.4,27.9,29.9,28.9,28.3,26.7,25.7,26.4,27.6,29,28.7,28.4,29.5,28.7
6,    Middle East - Africa,31,31.5,24.8,28.2,26,24.9,20.8,20.6,21.9,22,26.9,26.2,28.3,27.2,24.9
5,    India,20,20.8,20,21,20.2,21,21.7,22.6,23.7,23.7,25.7,25.8,26.3,27.4,26.4
7,    Asia Pacific,15.9,16.8,16.4,17.8,17,16.6,16.5,15.9,16.2,16.1,17,16.5,16.7,17.4,15.3
8,    China,1.3,1,1.1,1.4,1.6,1.5,2.2,1.8,1.6,1.3,1.6,1.6,1.5,1.4,1.2
,,,,,,,,,,,,,,,,
,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,,,,,,,,
,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,,,,,,,,
