Media Trend,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,,Time Period :,Time Period :,June 2009 - August 2010,June 2009 - August 2010,June 2009 - August 2010,June 2009 - August 2010,June 2009 - August 2010,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2010 comScore, Inc","©2010 comScore, Inc","©2010 comScore, Inc",,,,
,,,Media :,Media :,"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,9/23/2010,9/23/2010,9/23/2010,9/23/2010,9/23/2010,,,,,,,,
,,,,,,,,,,,,,,,,,
Media/Measures,Media/Measures,Media/Measures,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010
,,    Total Internet : Total Audience ,"1,135,656","1,151,381","1,165,194","1,179,318","1,190,151","1,206,051","1,222,237","1,237,448","1,203,547","1,219,389","1,231,777","1,244,104","1,253,406","1,261,762","1,285,378"
1,[P],    Google Sites,"844,245","853,820","867,618","879,176","891,949","889,522","899,426","919,720","883,498","907,371","921,153","931,583","942,199","952,484","971,045"
2,[P],    Microsoft Sites,"691,362","701,834","707,803","717,910","732,862","730,348","727,410","734,177","734,981","757,017","728,546","789,035","799,898","800,636","814,562"
3,[P],    Yahoo! Sites,"581,337","591,758","595,983","602,610","605,544","601,503","594,349","598,881","558,892","585,632","588,305","622,343","620,796","621,898","631,803"
4,[P],    FACEBOOK.COM,"340,011","369,551","389,525","410,953","430,209","438,146","468,708","471,447","462,682","484,209","519,076","548,134","550,939","571,480","598,084"
5,[P],    Wikimedia Foundation Sites,"302,940","295,484","307,641","325,998","344,563","345,805","347,020","364,719","345,218","370,744","374,846","388,932","379,112","360,225","373,392"
6,[P],    Amazon Sites,"185,035","197,306","200,671","201,904","212,204","223,851","240,584","244,658","224,564","230,804","222,873","228,083","221,785","230,554","237,156"
7,[P],    eBay,"233,483","236,819","243,335","239,634","243,461","246,712","262,746","259,866","241,811","255,651","253,924","252,803","217,671","217,586","222,435"
8,[P](U),"    AOL, Inc.","279,556","268,383","260,547","255,088","258,392","256,386","268,197","267,055","255,999","262,514","263,704","266,787","255,895","248,233","221,158"
9,[P],    Apple Inc.,"173,022","177,227","176,468","183,163","187,991","192,620","209,500","204,258","190,382","201,406","212,251","213,166","213,671","212,905","219,498"
10,[P](u),    Ask Network,"173,766","191,752","189,937","207,555","209,779","213,975","215,730","227,804","214,937","225,365","223,251","215,039","208,313","211,622","216,371"
11,[P](u),    CBS Interactive,"185,679","195,695","194,036","195,794","201,899","201,809","211,360","211,785","190,589","210,468","204,916","211,496","204,162","209,288","214,875"
12,[P],    TENCENT Inc.,"152,192","146,398","145,701","149,803","151,019","152,325","153,376","156,423","168,183","172,822","173,092","175,771","177,789","182,572","191,021"
13,[P](u),    Glam Media,"110,408","114,547","112,688","125,516","134,385","140,755","159,793","163,824","158,082","164,100","163,918","164,189","167,420","173,248","186,414"
14,[P],    Baidu.com Inc.,"148,322","145,361","145,573","147,472","152,490","152,398","152,199","157,107","163,041","169,952","174,710","180,965","174,672","179,920","181,984"
15,[P](u),    Viacom Digital,"100,556","101,529","98,670","95,491","96,631","96,031","100,745","98,240","99,080","104,384","104,191","106,744","107,604","114,632","160,606"
16,[P],    Sohu.com Inc.,"70,984","76,920","82,719","81,062","84,744","77,542","78,854","82,346","80,281","87,868","87,560","92,687","141,924","148,037","151,068"
17,[P],    Fox Interactive Media,"169,831","170,109","164,612","168,677","166,036","159,182","174,582","173,819","163,112","166,556","164,719","164,232","156,838","152,425","149,145"
18,[P],    Adobe Sites,"145,847","148,608","148,378","150,206","149,878","140,052","140,011","148,064","134,055","134,960","129,969","127,339","142,179","140,194","137,103"
19,[P](u),    NetShelter Technology Media,"86,665","89,889","93,644","97,337","104,930","108,239","122,455","121,798","108,545","114,461","113,104","127,533","124,655","128,768","133,820"
20,[P],    WordPress,"137,299","140,139","137,478","141,231","151,764","154,480","159,639","161,390","144,524","159,605","157,881","166,638","165,581","152,680","127,530"
21,[P],    Alibaba.com Corporation,"91,979","96,175","102,480","104,549","106,638","110,156","112,039","99,928","90,405","108,535","118,156","121,047","116,898","119,716","123,509"
22,[P],    The Mozilla Organization,"137,198","138,866","161,893","155,889","135,902","147,930","167,697","197,403","165,047","150,599","178,374","99,868","153,074","177,820","119,782"
23,[P](u),    Turner Network,"81,476","81,576","76,309","75,835","90,422","92,054","103,274","113,485","114,551","112,285","115,407","121,489","116,046","118,083","118,324"
24,[P](u),    New York Times Digital,"80,054","81,170","83,294","86,648","91,515","91,973","96,534","101,547","93,673","97,868","99,015","121,397","115,346","113,786","115,427"
25,[P],    SINA Corporation,"100,274","101,584","108,467","106,004","112,604","106,412","100,110","104,150","103,181","110,307","110,024","110,364","111,177","115,536","114,102"
26,[P],    BitTorrent Network,"60,313","63,324","66,187","68,277","73,801","77,061","81,709","87,677","84,012","86,555","91,145","95,586","98,305","103,359","107,261"
27,[P],    CONDUIT.COM,"43,471","45,574","48,273","49,109","51,699","53,641","60,548","67,870","66,694","75,649","86,418","97,034","102,563","104,257","104,986"
28,[P](u),    Technorati Media,"51,379","58,261","69,337","76,878","66,273","71,371","70,446","73,086","78,738","83,219","80,785","91,715","88,865","96,512","98,485"
29,[P],    TWITTER.COM,"44,520","51,623","54,696","58,435","58,345","60,337","65,196","73,535","69,540","79,427","83,629","90,220","92,804","94,813","95,915"
30,[P](u),    Demand Media,"46,659","52,606","54,643","73,394","76,939","73,367","70,856","76,976","74,650","82,118","81,888","86,707","86,277","91,851","92,652"
31,[P],    NetEase.com Inc.,"73,027","75,242","82,070","86,774","93,950","89,859","81,563","81,445","75,771","82,816","83,165","84,495","83,472","84,436","87,344"
32,[P],    Expedia Inc,"59,572","67,218","63,560","59,685","59,177","56,615","58,134","69,674","64,587","72,013","69,377","73,344","74,991","87,151","84,179"
33,[P],    Youku Inc.,"42,296","51,800","53,105","49,626","50,935","51,213","50,255","60,611","64,433","65,984","66,822","73,582","75,448","55,798","83,917"
34,[P],    Xunlei Networking,"68,049","69,580","72,969","65,738","67,562","68,085","63,868","64,712","61,085","69,716","77,236","69,665","69,507","67,411","76,929"
35,[P](u),    Terra - Telefonica,"50,324","53,810","54,545","55,290","56,835","55,192","57,900","60,655","59,289","59,182","60,319","73,099","74,653","75,816","74,726"
36,[P](u),    Break Media Network,"52,208","57,333","55,896","59,961","61,807","66,819","69,008","68,369","62,469","68,852","68,312","75,231","77,131","74,378","74,178"
37,[P],    Tudou Sites,"50,310","57,459","60,208","58,352","63,822","62,476","60,020","62,798","61,710","61,618","61,949","65,446",N/A,"69,529","73,979"
38,[P](u),    Federated Media Publishing,"26,105","29,417","36,002","41,567","41,818","36,193","51,703","62,609","61,120","64,739","63,831","71,167","71,853","71,399","72,958"
39,[P],    MEGAUPLOAD.COM,"44,290","49,623","49,992","50,370","55,205","57,469","62,442","62,840","59,569","62,183","62,878","66,827","67,033","70,677","72,949"
40,[P],    4SHARED.COM,"38,646","42,200","43,731","43,768","49,575","48,970","53,535","55,014","47,534","57,007","59,582","61,747","66,903","68,229","70,301"
41,[P](u),    DAILYMOTION.COM,"54,529","57,584","58,154","55,010","58,434","61,610","64,835","64,925","52,629","50,010","49,183","62,024","63,545","65,741","70,231"
42,[P](U),    Answers.com Sites,"48,261","51,579","65,930","83,059","84,120","75,959","67,705","76,526","71,835","75,753","72,044","71,924","68,465","68,301","68,976"
43,[P],    RapidShare AG,"75,470","79,125","78,903","77,833","83,194","82,576","83,592","81,532","69,897","71,297","70,921","70,823","70,668","68,169","68,708"
44,[P],    Sony Online,"62,857","62,179","61,506","65,664","68,947","74,103","74,779","68,071","56,801","69,286","63,024","68,299","70,644","70,781","66,131"
45,[P],    Orange Sites,"54,780","52,108","54,323","55,592","57,756","58,818","57,651","57,699","55,974","58,796","59,487","66,130","62,944","59,282","62,807"
46,[P],    Real.com Network,"78,115","86,401","80,793","77,981","84,514","76,784","81,687","77,557","67,739","80,602","68,679","67,479","64,778","67,976","62,090"
47,[P],    BBC Sites,"45,224","46,038","44,599","45,465","55,306","55,128","57,513","63,425","57,217","55,629","57,652","64,948","64,876","61,831","61,535"
48,[P],    Spil Games,"47,090","53,508","51,698","48,964","50,379","50,763","53,518","49,327","47,072","48,788","48,836","52,570","53,251","56,969","58,612"
49,[P],"    craigslist, inc.","46,992","48,942","49,436","48,211","46,214","46,181","45,894","50,420","50,301","52,539","52,611","54,067","53,607","56,139","56,452"
