Media Trend,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,,Time Period :,Time Period :,April 2009 - June 2010,April 2009 - June 2010,April 2009 - June 2010,April 2009 - June 2010,April 2009 - June 2010,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2010 comScore, Inc","©2010 comScore, Inc","©2010 comScore, Inc",,,,
,,,Media :,Media :,"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,7/26/2010,7/26/2010,7/26/2010,7/26/2010,7/26/2010,,,,,,,,
,,,,,,,,,,,,,,,,,
Media/Measures,Media/Measures,Media/Measures,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010
,,    Total Internet : Total Audience ,"1,108,031","1,122,331","1,135,656","1,151,381","1,165,194","1,179,318","1,190,151","1,206,051","1,222,237","1,237,448","1,203,547","1,219,389","1,231,777","1,244,104","1,255,520"
1,[P],    Wikimedia Foundation Sites,"320,043","317,255","302,940","295,484","307,641","325,998","344,563","345,805","347,020","364,719","345,218","370,744","374,846","388,932","379,344"
2,[C],    Yahoo! Answers,"178,535","170,319","165,595","173,002","178,754","187,718","201,784","200,546","183,770","181,942","183,320","198,495","196,712","212,103","209,682"
3,[C],    Baidu Answers,"70,580","78,630","81,646","87,326","93,624","93,424","99,691","95,874","89,560","91,283","86,050","94,572","97,196","101,908","98,491"
4,[P](U),    Answers.com Sites,"51,780","52,660","48,261","51,579","65,930","83,059","84,120","75,959","67,705","76,526","71,835","75,753","72,044","71,924","68,472"
5,[C],    Baidu Encyclopedia,"41,207","36,967","40,775","43,666","48,365","48,966","53,582","52,284","48,173","48,589","45,526","56,222","55,288","59,520","59,017"
6,[C],    SINA iAsk,"15,035","13,144","17,549","20,290","21,700","21,320","23,851","21,572","19,238","20,411","16,801","21,742","22,959","23,812","28,241"
7,[P](u),    Wikia Sites,"14,135","14,274","14,200","16,457","16,963","16,438","17,902","18,312","20,525","21,169","21,929","24,076","23,033","26,101","25,140"
8,[M],    THEFREEDICTIONARY.COM,"23,172","22,202","20,303","20,108","19,825","21,200","23,117","24,891","23,204","26,364","23,622","25,207","25,004","25,212","22,274"
9,[P](U),    ASSOCIATEDCONTENT.COM,"11,865","13,164","11,606","11,889","11,993","11,788","13,534","13,876","17,961","18,045","18,263","20,502","20,274","20,347","21,112"
10,[P](u),    Encyclopaedia Britannica,"15,950","15,460","12,371","12,780","13,062","21,360","24,751","22,649","19,998","22,116","21,901","23,821","22,555","21,497","19,389"
11,[C],    Goo Teaching,"13,204","14,351","13,939","15,565","15,922","17,017","16,763","17,008","16,270","17,820","17,384","18,301","18,148","17,214","17,203"
12,[C],    Naver.com Knowledge IN,"16,546","14,900","14,388","14,954","15,266","15,187","15,340","16,095","15,140","14,809","13,482","14,271","13,467","14,300","13,881"
13,[P],    WORDREFERENCE.COM,"10,822","11,389","10,268","9,312","9,947","12,456","13,099","12,880","11,309","11,920","12,431","14,516","14,179","14,544","12,966"
14,[M](u),    HOWSTUFFWORKS.COM*,"9,895","9,732","7,901","8,662","8,780","10,233","9,863","13,879","13,463","14,339","13,219","14,042","12,534","14,355","12,423"
15,[C],    Mail.Ru - Answers,"4,308","3,859","3,892","4,709","5,951","5,904","6,193","6,507","7,044","7,126","6,625","7,305","7,458","8,067","12,218"
16,[C],    Yahoo! Dictionary,"11,155","11,245","10,676","10,750","9,563","10,610","10,935","10,788","10,292","10,739","10,018","10,929","10,349","10,688","10,495"
17,[P](u),    ArticlesBase.com Sites,"4,790","4,223","4,739","6,311","6,441","6,893","8,222","8,447","8,145","8,752","8,217","9,815","9,086","9,684","10,181"
