Media Trend,,,Geography :,Geography :,Worldwide,Worldwide,Worldwide,Worldwide,Worldwide,,,,,,,,
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,Location :,Location :,Home and Work,Home and Work,Home and Work,Home and Work,Home and Work,,,,,,,,
,,,Time Period :,Time Period :,May 2010 - July 2011,May 2010 - July 2011,May 2010 - July 2011,May 2010 - July 2011,May 2010 - July 2011,,,,,,,,
,,,Target :,Target :,Total Audience,Total Audience,Total Audience,Total Audience,Total Audience,,"©2011 comScore, Inc","©2011 comScore, Inc","©2011 comScore, Inc",,,,
,,,Media :,Media :,"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...",,,,,,,,
,,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,,Date :,Date :,8/19/2011,8/19/2011,8/19/2011,8/19/2011,8/19/2011,,,,,,,,
,,,,,,,,,,,,,,,,,
Media/Measures,Media/Measures,Media/Measures,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011,Jun-2011,Jul-2011
,,    Total Internet : Total Audience ,"1,244,104","1,253,406","1,261,762","1,285,378","1,294,784","1,304,632","1,313,926","1,323,535","1,333,403","1,339,496","1,350,539","1,362,369","1,373,976","1,383,098","1,394,031"
1,[P],    Google Sites,"931,583","942,199","952,484","971,045","976,431","976,693","970,109","972,486","985,289","976,374","996,706","990,970","1,009,699","1,023,643","1,031,584"
2,[P],    Microsoft Sites,"789,035","799,898","800,636","814,562","827,496","840,677","869,373","867,914","889,163","837,039","895,813","892,893","905,454","882,818","898,728"
3,[P],    FACEBOOK.COM,"548,134","550,939","571,480","598,084","620,269","633,548","647,482","662,420","675,361","676,733","692,998","697,970","713,647","734,240","736,465"
4,[P](u),    Yahoo! Sites,"622,343","620,796","621,898","631,803","629,981","632,993","630,275","627,523","639,715","659,277","679,738","676,356","689,105","671,573","673,798"
5,[P],    Wikimedia Foundation Sites,"388,932","379,112","360,225","373,392","398,178","408,350","410,816","395,472","413,957","379,415","400,011","380,716","411,061","399,362","393,543"
6,[P](u),    Amazon Sites,"228,083","221,785","230,554","237,156","234,334","245,082","252,698","263,450","258,169","233,765","271,264","268,611","284,321","282,233","288,766"
7,[P],    Apple Inc.,"213,166","213,671","212,905","219,498","226,129","227,768","228,285","240,557","236,347","221,271","234,944","228,366","244,182","246,889","256,743"
8,[P],    TENCENT Inc.,"175,771","177,789","182,572","191,021","197,617","204,266","211,656","215,211","208,512","207,793","214,254","216,190","220,707","229,175","237,849"
9,[P](U),"    AOL, Inc.","266,787","255,895","248,233","221,158","218,426","232,439","239,205","239,550","243,275","229,394","247,697","237,258","238,860","231,564","227,626"
10,[P],    Baidu.com Inc.,"180,965","174,672","179,920","181,984","184,728","185,318","184,703","185,005","190,956","192,845","202,995","201,227","211,060","215,086","225,898"
11,[P],    eBay,"252,803","217,671","217,586","222,435","221,574","222,283","229,915","225,280","226,079","211,945","218,809","215,085","225,893","223,520","224,511"
12,[P](u),    CBS Interactive,"211,496","204,162","209,288","214,875","223,388","222,329","229,265","221,362","226,135","210,949","234,656","217,686","220,230","214,019","217,962"
13,[P](u),    Ask Network,"215,039","208,313","211,622","216,371","221,821","225,397","233,155","233,444","234,884","220,019","236,956","220,341","224,060","212,548","217,771"
14,[P](u),    Glam Media,"164,189","167,420","173,248","186,414","179,892","181,888","197,937","196,886","202,299","194,173","204,134","200,186","213,528","203,630","200,757"
15,[P],    Sohu.com Inc.,"92,687","141,924","148,037","151,068","155,256","157,870","161,682","165,027","172,126","170,043","177,534","178,930","182,179","189,558","195,592"
16,[P](u),    WordPress,"166,638","165,581","152,680","127,530","136,953","148,133","147,510","137,226","141,605","137,720","149,736","141,917","158,032","150,784","195,181"
