Multi-Country Media Trend,,Geography :,Geography :,"Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States",,,,,,,,
Wikimedia Foundation Sites,,Location :,Location :,Home and Work,Home and Work,Home and Work,Home and Work,Home and Work,,,,,,,,
,,Time Period :,Time Period :,March 2010 - May 2011,March 2010 - May 2011,March 2010 - May 2011,March 2010 - May 2011,March 2010 - May 2011,,,,,,,,
,,Target :,Target :,Persons 15+,Persons 15+,Persons 15+,Persons 15+,Persons 15+,,,"©2011 comScore, Inc","©2011 comScore, Inc","©2011 comScore, Inc",,,
,,Media :,Media :,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,,,,,,,,
,,Measures :,Measures :,Total Pages Viewed (MM),Total Pages Viewed (MM),Total Pages Viewed (MM),Total Pages Viewed (MM),Total Pages Viewed (MM),,,,,,,,
,,Date :,Date :,6/21/2011,6/21/2011,6/21/2011,6/21/2011,6/21/2011,,,,,,,,
,,,,,,,,,,,,,,,,
Location,Location,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites
Location,Location,Mar-2010,Apr-2010,May-2010,Jun-2010,Jul-2010,Aug-2010,Sep-2010,Oct-2010,Nov-2010,Dec-2010,Jan-2011,Feb-2011,Mar-2011,Apr-2011,May-2011
1,    United States,"1,163","1,194","1,206","1,074","1,013",996,"1,058","1,067","1,071","1,016","1,058",918,930,886,964
2,    World-Wide,"5,295","5,337","5,517","5,093","4,675","4,852","5,305","5,481","5,588","5,035","5,711","4,888","5,278","4,943","5,778"
3,    China,17,21,15,16,13,26,25,41,48,39,50,33,26,25,32
4,    India,116,116,125,131,136,139,147,161,156,155,171,135,137,131,145
5,    Middle East - Africa,291,287,295,240,253,263,290,354,290,278,299,289,305,291,349
6,    Asia Pacific,"1,015",995,"1,063","1,043","1,045","1,117","1,109","1,133","1,116","1,006","1,134",973,"1,080","1,040","1,236"
7,    Europe,"2,069","2,090","2,172","2,058","1,783","1,827","2,154","2,228","2,396","2,168","2,596","2,070","2,222","2,046","2,449"
8,    Latin America,559,572,585,494,407,468,512,500,515,369,389,439,509,449,521
9,    North America,"1,362","1,393","1,402","1,257","1,186","1,177","1,239","1,264","1,271","1,214","1,293","1,117","1,163","1,117","1,224"
,,,,,,,,,,,,,,,,
,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,,,,,,,,
,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,[P]         Property,,,,,,,,
,[M]         Media Title,[M]         Media Title,[M]         Media Title,[M]         Media Title,[M]         Media Title,[M]         Media Title,[M]         Media Title,[M]         Media Title,,,,,,,,
,[C]         Channel,[C]         Channel,[C]         Channel,[C]         Channel,[C]         Channel,[C]         Channel,[C]         Channel,[C]         Channel,,,,,,,,
,[S]         Subchannel,[S]         Subchannel,[S]         Subchannel,[S]         Subchannel,[S]         Subchannel,[S]         Subchannel,[S]         Subchannel,[S]         Subchannel,,,,,,,,
,[G]         Group,[G]         Group,[G]         Group,[G]         Group,[G]         Group,[G]         Group,[G]         Group,[G]         Group,,,,,,,,
,[SG]         Subgroup,[SG]         Subgroup,[SG]         Subgroup,[SG]         Subgroup,[SG]         Subgroup,[SG]         Subgroup,[SG]         Subgroup,[SG]         Subgroup,,,,,,,,
,[E]         Custom Entity,[E]         Custom Entity,[E]         Custom Entity,[E]         Custom Entity,[E]         Custom Entity,[E]         Custom Entity,[E]         Custom Entity,[E]         Custom Entity,,,,,,,,
