"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Universe :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: April 2012 - June 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 7/18/2013","","","","","",""

"","","","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013","Mar-2013","Apr-2013","May-2013","Jun-2013"
"","","    Total Internet : Total Audience ","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768","1,554,797","1,560,778","1,566,524","1,572,688"
"1","[P]","    Wikimedia Foundation Sites","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999","517,610","516,749","521,767","499,578"
"2","[C](U)","    Yahoo! Answers","247,396","248,834","241,753","231,699","285,149","290,423","309,347","306,205","294,797","313,515","303,340","313,820","313,754","313,857","290,174"
"3","[C]","    Baidu Answers","150,837","147,236","151,130","162,873","163,402","158,907","163,801","162,524","163,143","162,348","141,707","162,379","215,038","219,083","210,828"
"4","[C]","    Baidu Encyclopedia","95,174","92,660","93,376","99,357","98,440","91,891","97,166","100,417","101,704","99,365","85,217","105,082","145,171","147,479","139,603"
"5","[P](U)","    Answers.com Sites","83,222","89,732","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943","101,728","105,285","102,123","88,239"
"6","[C]","    SINA iAsk","37,429","33,053","35,169","40,080","39,639","42,383","47,115","50,160","48,162","47,339","37,151","47,746","65,642","66,588","60,458"
"7","[P](U)","    Wikia Sites","48,711","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423","57,337","58,647","60,192","58,364"
"8","[P](U)","    WORDREFERENCE.COM","16,573","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250","34,517","36,020","36,206","31,727"
"9","[C]","    Goo Teaching","23,964","25,072","24,349","25,400","25,617","25,350","24,148","23,990","23,828","24,918","22,713","23,613","22,034","23,014","22,056"
"10","[P](u)","    Encyclopaedia Britannica","16,951","16,757","14,168","13,292","14,706","17,690","20,648","19,831","18,527","22,007","22,394","23,714","23,254","22,339","18,437"
"11","[P]","    URBANDICTIONARY.COM","13,240","14,082","14,240","13,934","13,917","14,118","14,129","14,034","13,979","15,056","14,227","16,382","15,735","15,660","14,774"
"12","[P]","    ARCHIVE.ORG","7,502","8,583","7,476","8,247","8,813","9,510","9,527","10,258","9,938","11,655","10,617","11,441","11,811","11,677","11,728"
"13","[M]","    REVERSO.NET*","10,985","11,738","10,157","8,837","8,687","10,930","12,081","12,215","11,476","11,974","11,480","12,591","11,900","11,893","10,514"
"14","[M](U)","    HOWSTUFFWORKS.COM*","12,406","12,975","11,247","10,913","12,507","13,385","15,697","14,959","12,663","14,414","13,137","13,532","12,425","11,979","10,409"
"15","[M]","    ICIBA.COM","5,601","6,154","5,896","5,637","5,957","6,627","6,651","7,075","7,109","6,666","5,179","7,421","9,930","10,037","8,982"
"16","[P]","    LAWTIME.CN","2,358","1,204","1,517","2,523","3,352","3,527","3,698","3,775","4,501","5,286","3,129","5,476","7,896","8,787","8,171"
"17","[P](U)","    WISEGEEK.COM","7,719","9,102","7,254","6,659","7,742","8,767","10,563","10,642","10,608","12,859","13,201","13,402","10,573","7,333","5,862"
"18","[P]","    BIBLEGATEWAY.COM","5,334","5,572","5,202","4,804","5,110","5,698","5,778","5,508","5,685","5,957","5,927","6,599","6,441","6,299","5,578"
"19","[C]","    SCIENCEDIRECT.COM","7,261","7,198","4,893","4,291","4,135","5,675","7,343","7,075","6,261","6,729","6,050","7,359","7,372","6,658","5,347"
"20","[M](U)","    Demand Media Network","6,211","7,040","5,494","5,392","5,769","6,519","6,765","5,953","5,131","5,741","5,334","5,551","5,381","4,800","4,594"
"21","[P]","    DICT.CC","3,992","4,432","3,969","3,872","3,807","3,960","3,635","3,828","3,650","4,325","4,427","4,726","4,583","4,525","4,379"
