"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: July 2011 - September 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 10/30/2012","","","","","",""

"","","","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012"
"14","[P]","    eBay","224,511","230,320","232,945","244,368","243,222","241,919","254,801","237,301","241,017","238,224","247,162","238,478","245,569","248,452","248,920"
"15","[P](u)","    Ask Network","217,771","227,266","240,805","255,792","245,416","239,319","266,079","243,983","263,148","256,039","271,312","266,161","267,977","263,633","240,050"
"16","[P]","    BitTorrent Network","172,531","173,435","180,816","193,170","194,166","200,213","209,851","214,775","222,911","224,746","231,239","229,281","232,224","229,913","230,739"
"17","[P]","    Alibaba.com Corporation","164,230","167,517","167,324","184,715","186,245","198,329","191,038","193,567","212,963","208,185","211,748","207,704","213,129","221,261","226,107"
"18","[P](U)","    AOL, Inc.","227,626","227,538","220,379","224,822","219,953","221,648","218,280","218,284","221,302","215,274","215,645","215,991","208,658","217,044","218,366"
"19","[P](u)","    Viacom Digital","182,883","186,754","187,364","195,624","192,958","197,389","194,582","188,965","196,208","192,172","194,945","193,136","186,941","187,928","189,859"
"20","[P]","    SINA Corporation","139,096","137,986","147,155","153,389","150,065","155,718","163,853","159,730","167,814","158,500","157,930","163,349","169,154","173,504","173,198"
"21","[P]","    TWITTER.COM","146,413","155,968","157,303","166,536","167,903","175,613","181,872","178,157","188,006","190,379","200,620","188,483","175,669","170,819","167,131"
"22","[P]","    Adobe Sites","134,096","144,970","147,315","152,887","151,765","161,875","182,234","150,409","158,563","152,712","141,060","137,531","138,414","191,650","163,452"
"23","[P]","    Xunlei Networking (w/ history)","78,302","82,408","85,226","94,080","92,285","94,576","101,063","111,945","89,948","89,131","120,204","114,663","N/A","146,654","150,861"
"24","[P](U)","    New York Times Digital","108,536","113,033","124,192","137,403","138,948","135,000","141,903","134,466","136,017","127,092","132,671","123,804","120,868","134,693","133,489"
"25","[P]","    Youku Inc.","91,018","86,607","94,225","102,199","99,129","98,086","109,040","105,606","117,610","109,237","104,820","109,842","124,267","124,037","128,844"
"26","[P](U)","    Demand Media","91,674","98,036","95,438","93,599","98,235","94,072","101,138","97,615","104,273","104,701","112,544","109,050","111,734","122,203","125,615"
"27","[P]","    NetEase.com Inc.","93,060","91,763","99,370","97,234","100,758","103,039","103,534","110,372","115,776","109,177","109,430","119,691","132,694","136,275","120,893"
"28","[P](u)","    Turner Digital","130,388","134,007","126,995","128,659","123,550","123,264","129,934","122,612","122,156","112,807","114,584","116,304","108,162","112,121","118,492"
"29","[C]","    Warner Music","102,635","101,308","104,783","113,734","114,882","117,285","113,898","112,213","118,437","118,443","121,185","120,114","114,030","112,616","114,114"
"30","[P](u)","    Technorati Media","107,253","108,087","117,349","122,549","117,494","112,180","118,653","114,164","122,967","120,462","123,727","112,688","111,714","114,410","109,892"
"31","[M](U)","    LINKEDIN.COM (w/ history)","82,454","88,172","92,112","92,451","94,823","88,742","100,062","100,231","107,259","103,095","106,848","108,220","105,209","114,749","108,845"
"32","[P]","    The Mozilla Organization","112,887","126,894","134,629","96,492","108,468","112,291","131,089","120,557","109,936","109,129","119,062","158,001","144,036","109,963","105,320"
"33","[P](U)","    Terra - Telefonica","93,215","97,598","99,592","99,654","98,329","97,434","96,185","91,036","94,879","98,297","103,753","107,144","104,577","103,763","102,539"
"34","[P](U)","    DAILYMOTION.COM","83,971","85,089","88,764","96,648","94,808","95,449","93,161","93,354","98,443","109,532","94,410","90,491","88,594","96,545","100,516"
"35","[M]","    IFENG.COM","50,095","51,175","57,212","61,407","62,585","59,993","60,614","62,155","66,958","68,637","66,110","65,737","72,702","82,223","96,000"
"36","[P](u)","    NetShelter Technology Media","140,404","142,521","146,239","152,455","145,783","143,638","146,508","142,435","149,757","147,677","155,302","151,448","91,002","93,657","95,317"
"37","[P](U)","    Answers.com Sites","61,860","69,164","79,301","77,203","76,924","70,652","80,319","81,167","84,201","83,222","89,732","80,433","75,602","84,121","93,320"
"38","[P]","    KuGou Inc.","49,539","45,198","41,019","40,017","39,526","39,944","41,253","44,561","60,957","67,871","63,908","68,553","87,601","89,784","92,738"
"39","[P]","    Tudou Sites","77,914","74,838","76,920","82,203","80,337","83,807","94,839","94,665","99,255","96,009","80,186","84,486","95,553","94,803","91,206"
"40","[P]","    AVG Technologies","34,400","33,435","33,860","40,205","24,428","32,517","39,951","43,217","46,943","57,069","61,324","63,086","70,524","81,224","91,021"
"41","[P](u)","    Axel Springer AG","66,842","67,806","71,500","76,990","76,371","77,208","92,150","87,813","88,013","86,941","89,727","88,147","84,994","85,264","90,304"
"42","[P]","    Qihoo.com Sites","34,446","37,397","35,697","40,387","44,422","48,654","49,239","58,305","73,112","81,558","83,534","83,976","86,492","88,519","88,627"
"43","[M]","    360.CN","33,806","36,599","34,248","38,326","41,811","46,464","47,426","57,455","72,084","80,840","82,700","83,015","85,414","86,448","88,232"
"44","[P]","    BABYLON.COM","51,396","57,840","63,402","51,413","54,732","63,599","67,783","72,695","84,109","92,505","100,049","106,416","117,586","90,733","84,783"
"45","[P]","    Yandex Sites","64,116","64,632","68,765","70,071","71,503","74,405","76,946","76,237","79,433","80,772","82,008","80,883","81,379","81,318","82,637"
"46","[P]","    MEDIAFIRE.COM","70,062","74,926","78,122","84,086","84,676","89,541","96,031","93,594","93,398","86,759","90,294","86,651","84,311","81,281","80,100"
"47","[P]","    NHN Corporation","70,131","74,056","76,868","77,961","76,866","77,023","79,661","78,997","78,995","78,506","79,567","78,740","79,064","80,387","79,028"
"48","[M]","    Mail.Ru Sites","60,536","60,204","62,938","65,813","67,234","69,875","72,515","73,375","77,595","76,532","76,821","74,968","74,893","75,030","78,030"
"49","[P](u)","    BUZZMEDIA","41,757","43,993","41,886","44,168","44,335","46,055","47,081","44,318","38,537","62,124","72,934","76,120","74,543","79,536","75,573"
"50","[P](u)","    BBC Sites","67,675","72,209","71,250","77,127","74,949","72,739","75,671","73,269","73,232","72,097","74,298","72,090","71,757","79,690","73,403"
"51","[P](U)","    ESPN","55,383","62,111","75,141","71,555","69,509","66,265","61,894","56,783","64,753","57,784","54,072","58,975","55,640","61,575","72,971"
"52","[P]","    PPStream, Inc.","61,807","60,906","58,619","59,397","58,404","53,863","52,951","52,152","62,846","61,815","58,777","61,962","70,636","74,266","72,466"
"53","[P]","    Oak Pacific Interactive Sites","71,947","52,969","51,075","57,597","60,901","62,301","64,091","65,875","72,091","63,400","59,745","64,854","70,148","67,427","70,120"
"54","[P]","    Rakuten Inc","59,031","62,198","63,498","71,032","71,831","75,263","71,654","68,319","69,836","70,750","72,785","72,255","70,386","70,047","68,285"
"55","[P](u)","    Gannett Sites","53,985","58,635","55,644","56,690","56,766","58,353","62,556","70,932","69,145","64,451","65,590","62,905","66,080","71,632","67,823"
"56","[P]","    Sony Online","62,537","66,022","66,621","70,878","73,191","77,159","75,304","72,734","68,179","59,812","64,605","66,683","72,148","67,806","67,331"
"57","[P]","    Orange Sites","63,491","68,846","72,576","79,220","79,663","68,994","73,561","68,461","71,353","69,394","72,858","67,695","62,267","62,315","66,311"
"58","[P]","    PPLive Inc.","36,738","43,656","43,732","46,375","47,282","53,121","61,413","59,113","66,142","64,008","59,551","68,358","68,993","69,007","64,669"
"59","[P](u)","    Break Media","68,983","71,597","70,011","72,371","70,221","74,839","79,068","79,026","79,818","78,591","81,251","79,976","82,133","69,900","64,012"
"60","[P]","    EA Online","36,641","38,869","44,440","51,940","46,301","49,229","46,290","62,120","66,698","59,617","58,819","64,079","66,486","62,641","62,276"
"61","[P](u)","    Schibsted (Anuntis-Infojobs-20minutos)","40,241","42,120","44,108","44,860","45,406","43,783","47,424","46,253","49,045","49,122","51,137","48,154","47,880","57,553","61,208"
"62","[P]","    FC2 inc.","53,236","56,007","56,994","59,124","58,320","58,816","60,779","60,237","60,687","60,214","60,551","60,543","61,191","61,452","60,552"
"63","[M]","    4SHARED.COM* (w/ history)","81,619","82,142","84,759","77,214","72,865","73,476","75,431","72,187","77,321","87,844","86,435","84,353","69,219","62,423","59,841"
"64","[P]","    Priceline.com Incorporated","53,032","49,213","44,955","45,385","45,514","41,594","49,960","49,541","49,356","55,763","58,713","64,277","71,331","67,029","59,468"
"65","[P]","    China Telecom Sites","7,841","6,102","5,892","6,931","6,245","6,326","5,071","5,259","40,821","61,079","67,545","63,041","64,389","61,114","58,752"
"66","[P]","    Wal-Mart","48,053","50,087","49,499","58,072","73,336","72,011","54,372","50,534","51,469","51,996","55,421","55,963","58,725","57,443","56,459"
"67","[P](u)","    Spil Games","59,376","59,091","52,967","57,460","56,023","64,527","63,345","59,257","61,382","68,498","64,497","65,511","65,819","61,901","55,863"
"68","[C]","    ODNOKLASSNIKI.RU","38,079","42,280","44,118","46,310","46,782","48,889","58,072","51,592","53,106","51,349","52,008","51,836","53,727","53,778","55,808"
"69","[P]","    Deutsche Telekom","49,101","51,673","51,862","54,130","52,846","53,057","53,730","52,565","53,075","54,726","54,206","54,202","53,095","52,399","55,510"
"70","[P]","    Gretech Corp.","57,766","59,317","62,969","63,890","62,790","64,496","66,326","62,154","62,192","59,593","59,908","58,690","57,698","56,847","55,332"
"71","[P](U)","    Weather Channel, The","64,950","74,674","65,791","63,513","59,856","60,530","65,712","63,341","61,553","59,577","58,343","57,951","59,574","61,777","54,212"
"72","[P]","    craigslist, inc.","57,504","58,985","57,482","56,540","54,844","53,283","57,069","56,658","57,298","55,824","56,339","57,165","59,667","56,995","53,878"
"73","[P]","    MIH Limited","40,098","41,226","42,249","45,151","43,431","48,341","48,595","45,478","46,838","48,624","51,728","48,853","50,115","52,171","53,566"
"74","[P]","    DEPOSITFILES.COM","27,662","27,652","29,040","32,118","31,361","31,691","40,328","56,705","59,170","57,044","58,581","55,513","56,213","53,636","53,151"
"75","[P](U)","    Wikia Sites","39,524","40,031","40,340","44,585","47,134","47,619","50,086","47,809","50,647","48,711","50,808","50,505","50,541","52,108","53,111"
"76","[P]","    Valve Corporation","15,431","16,482","17,390","19,165","20,379","21,216","20,904","20,592","21,162","21,236","21,810","23,076","26,148","27,845","53,050"
"77","[P]","    OLX Inc.","45,834","47,868","46,932","46,699","46,440","44,453","51,777","52,278","55,081","53,225","56,140","52,514","53,045","50,606","52,659"
"78","[P](U)","    Hearst Digital Media","23,182","25,336","25,726","29,420","28,826","43,119","42,439","48,051","47,762","51,451","59,944","65,267","43,783","51,239","51,651"
"79","[P]","    PCPOP Sites","28,946","26,192","29,025","33,820","33,237","35,795","36,560","39,134","46,886","41,370","36,669","36,346","44,153","46,838","50,811"
"80","[P]","    Expedia Inc","96,945","90,073","83,120","80,395","79,120","82,633","49,255","46,728","52,141","49,920","51,199","56,528","62,750","56,894","49,331"
"81","[M]","    Livedoor Co.,Ltd.","38,202","40,285","43,195","43,851","43,596","43,122","45,193","45,431","46,988","46,704","47,514","47,196","48,050","49,041","49,073"
"82","[P](u)","    Grupo Intercom","34,373","35,681","35,778","37,544","37,910","35,897","40,167","48,351","51,478","48,316","53,004","49,771","49,949","48,629","49,061"
"83","[P](U)","    UOL","49,845","49,506","50,122","51,153","52,203","52,109","51,599","48,370","51,163","51,055","51,383","51,351","50,065","49,818","48,662"
"84","[M]","    Steam (App) (w/ history)","32,068","32,682","35,053","37,360","39,186","40,774","41,936","42,644","44,436","44,481","47,138","47,885","48,637","48,817","48,020"
"85","[P](u)","    Disney Online","49,450","48,569","49,744","54,156","49,620","54,765","50,119","48,404","52,427","49,343","49,669","50,044","50,478","49,300","48,010"
"86","[P](U)","    Indeed","29,007","26,672","31,889","32,229","31,909","27,023","37,788","34,631","37,735","38,217","40,960","42,691","45,071","46,396","46,870"
"87","[P]","    Sun Microsystems, Inc.","31,415","26,685","26,683","32,088","35,614","31,613","30,199","28,931","38,443","37,479","35,598","34,394","43,400","42,449","46,606"
"88","[P](u)","    Globo","35,953","39,315","40,559","45,806","47,430","44,668","47,683","44,867","46,469","45,567","46,731","47,116","46,779","46,869","45,869"
"89","[P](u)","    IDG Network","43,137","45,320","45,381","51,583","49,764","53,003","49,894","46,630","45,948","41,891","42,878","42,880","41,621","44,903","45,247"
"90","[P](u)","    Monster, Inc.","45,180","45,278","43,859","45,369","44,779","41,085","45,175","46,794","51,183","43,699","44,312","42,031","45,630","45,463","45,133"
"91","[P](u)","    WebMD Health","37,629","38,912","38,761","41,091","39,394","36,895","32,354","31,256","32,582","31,304","32,168","31,411","31,219","44,771","44,972"
"92","[P]","    IncrediMail Ltd","6,901","6,782","8,996","10,894","14,938","19,682","19,918","20,785","24,262","19,238","20,651","27,880","34,985","40,400","44,805"
"93","[P]","    56.COM","35,657","34,338","39,178","40,994","32,378","30,057","28,259","29,674","35,137","34,174","33,324","35,849","44,461","44,368","44,367"
"94","[M](U)","    AuFeminin","39,135","40,230","41,160","44,875","45,656","45,829","47,161","44,340","44,912","43,245","45,432","43,583","41,342","42,743","44,147"
"95","[P]","    CyberAgent","36,532","38,155","38,714","39,681","39,709","39,139","41,786","41,753","44,582","42,784","43,723","43,432","44,658","44,562","43,954"
"96","[P](U)","    Tribune Interactive","41,521","43,111","42,658","42,038","40,930","42,028","44,403","42,132","43,273","40,968","40,344","37,066","38,963","42,879","43,304"
"97","[P]","    CCM-Benchmark","40,028","44,945","46,037","51,155","50,991","51,400","55,204","52,361","51,982","51,089","50,116","47,047","44,585","41,687","42,847"
"98","[P](U)","    Meredith Women's Network","18,080","16,440","16,234","19,147","19,840","21,239","19,342","21,473","21,697","41,851","42,132","41,749","42,362","42,587","42,784"
"99","[P]","    NTT Group","40,345","41,125","42,199","42,712","42,196","41,512","43,502","42,135","44,091","41,342","43,102","41,720","42,538","42,495","42,149"
"100","[P]","    Samsung Group","28,672","29,487","33,067","35,730","37,065","44,987","38,633","34,770","36,569","35,002","42,859","43,833","43,955","42,473","42,110"
"101","[P](U)","    Internet Brands, Inc.","38,046","39,182","41,188","41,806","40,086","39,964","42,852","41,511","43,794","43,846","44,800","41,680","41,071","43,612","42,012"
"102","[P]","    Conde Nast Digital","36,864","40,361","40,502","45,134","47,114","48,033","47,609","43,494","45,494","45,678","45,581","38,072","35,659","40,197","41,820"
"103","[P]","    Real.com Network","56,748","53,874","54,950","62,514","61,953","65,571","60,466","54,681","52,619","49,663","57,995","59,874","55,859","41,768","40,761"
"104","[M](u)","    SLIDESHARE.NET (w/ history)","15,186","20,817","26,981","30,514","31,093","22,377","21,731","24,696","28,967","28,234","33,669","27,297","23,240","25,193","40,678"
"105","[P](U)","    DEVIANTART.COM","37,592","38,775","37,879","40,757","39,709","43,198","46,817","42,846","42,562","41,452","41,941","39,913","38,924","40,507","40,542"
"106","[P](u)","    Geeknet","36,067","36,823","37,653","40,645","40,763","41,266","42,656","40,748","42,410","40,299","40,107","39,172","37,769","38,687","40,086"
"107","[P]","    FILESTUBE.COM","48,914","49,354","51,632","57,749","56,423","58,096","62,760","63,006","64,694","64,323","58,962","51,666","50,848","46,514","39,741"
"108","[P]","    58.COM","28,898","28,293","31,272","38,028","30,319","28,431","29,546","33,042","38,032","35,145","35,863","38,076","42,166","40,419","39,700"
"109","[P](u)","    Gawker Media","27,667","28,194","29,727","32,936","30,531","31,889","34,025","30,941","32,296","31,402","29,752","29,793","29,456","35,061","39,390"
"110","[P](u)","    SheKnows (Evolve Media Corp.)","29,513","30,941","30,919","29,253","34,478","35,646","35,175","32,988","32,857","32,690","34,075","35,307","37,619","39,263","39,321"
"111","[P]","    MercadoLibre","35,707","38,421","36,904","38,175","38,167","37,583","38,856","35,994","38,647","38,683","40,743","39,412","39,834","39,536","38,887"
"112","[P]","    Hewlett Packard","41,350","44,352","49,156","53,575","51,034","52,063","40,667","36,607","39,695","35,919","35,892","34,283","38,109","36,218","37,893"
"113","[P](U)","    Photobucket.com LLC","49,670","51,601","50,258","49,661","49,550","48,097","49,570","47,394","48,002","46,334","47,174","46,086","43,077","43,008","37,883"
"114","[P]","    China Mobile Sites","26,743","28,498","28,460","29,837","30,641","35,093","34,632","35,342","37,753","33,193","35,862","33,908","37,184","37,335","37,801"
"115","[P]","    People's Daily online","20,674","21,084","19,474","20,196","22,932","24,832","21,189","27,236","30,986","25,834","24,343","27,195","27,339","31,315","37,470"
"116","[P](u)","    Discovery Digital Media Sites","36,578","37,442","39,100","40,587","38,698","37,956","40,527","39,024","40,159","38,051","38,186","32,818","32,125","35,453","37,466"
"117","[P](u)","    Dow Jones & Company","31,208","35,494","34,281","34,704","31,356","29,875","31,841","32,509","32,781","31,891","33,348","33,050","33,521","37,355","36,567"
"118","[P](U)","    YELP.COM","35,005","35,256","33,470","33,189","30,811","31,613","32,643","32,272","34,180","33,837","35,158","34,984","35,269","37,738","36,521"
"119","[P]","    RapidShare AG","41,874","41,593","40,554","42,854","41,703","41,215","47,682","54,462","51,192","49,485","49,770","42,276","42,055","39,646","36,502"
"120","[P]","    NETFLIX.COM","30,955","30,163","32,766","29,716","28,337","37,382","34,063","36,379","34,251","33,343","35,518","34,029","37,007","34,401","36,453"
"121","[P]","    Dwango Co., Ltd.","27,261","29,490","30,647","32,263","32,908","33,162","34,574","34,130","36,101","35,600","36,314","36,368","36,616","36,781","36,204"
"122","[P](u)","    Fox Interactive Media","95,943","37,407","41,502","44,630","39,643","36,591","35,750","33,340","36,105","32,966","34,475","30,088","29,767","30,421","36,032"
"123","[P]","    United-Internet Sites","31,002","36,480","37,131","37,913","37,349","37,905","41,715","36,462","37,358","37,001","36,352","35,532","37,311","38,207","35,963"
"124","[P]","    China Central Television Sites","22,191","20,938","24,378","24,480","23,458","26,758","23,843","25,401","29,010","25,475","26,068","36,835","47,286","51,099","35,681"
"125","[P]","    2345.COM","34,477","35,807","34,434","35,204","34,524","35,798","33,419","32,819","32,544","26,919","27,500","30,639","34,768","33,074","34,568"
"126","[P]","    HEXUN.COM","19,380","17,426","15,827","18,082","18,450","22,136","27,696","16,540","20,913","21,638","20,709","21,123","25,302","24,178","34,546"
"127","[P](u)","    Everyday Health","34,217","34,243","35,044","34,819","35,697","33,321","38,015","35,274","37,125","35,109","35,418","33,409","33,359","36,791","34,236"
"128","[P](u)","    YP Local Media Network","40,519","39,919","38,871","37,369","35,246","36,215","36,153","35,558","36,451","35,416","37,990","34,423","35,316","36,531","34,235"
"129","[P]","    Lycos Global Search And Media","33,202","36,410","37,407","40,406","42,903","33,486","35,672","36,816","38,465","35,528","36,213","32,859","34,487","36,380","33,889"
"130","[P](U)","    Scripps Networks Interactive Inc.","28,873","29,274","28,918","31,267","36,209","36,249","34,870","30,812","30,780","31,499","31,127","30,576","31,569","33,748","33,869"
"131","[P]","    Groupe PPR","30,485","31,620","34,230","34,792","37,621","39,277","37,905","34,810","36,221","34,644","36,424","34,675","34,202","31,530","33,674"
"132","[P](U)","    CraveOnline (Evolve Media Corp.)","31,189","32,946","37,051","38,756","36,470","40,782","40,563","39,439","38,507","38,171","37,900","36,367","34,144","34,716","32,787"
"133","[P]","    GSN Games","45,795","45,340","40,645","40,375","37,700","40,001","39,831","39,881","39,793","40,872","40,944","40,356","41,276","38,785","32,727"
"134","[P]","    Otto Gruppe","30,702","30,445","33,087","36,481","37,158","36,010","35,630","35,591","34,943","31,634","33,552","30,261","31,065","30,517","32,686"
"135","[M]","    UCOZ.RU","24,353","25,232","27,146","30,197","30,212","31,531","34,366","34,932","35,733","33,452","33,592","30,745","28,118","28,740","32,617"
"136","[P](u)","    The Washington Post Company","27,816","30,633","29,392","32,765","32,356","32,808","34,119","31,710","32,358","31,000","28,803","28,030","27,984","35,805","32,519"
"137","[P]","    DOUBAN.COM","19,012","19,214","21,743","25,219","24,978","28,352","29,323","32,118","31,887","28,813","28,105","29,072","31,876","32,716","32,463"
"138","[P](U)","    Times Internet Limited","22,782","23,403","24,159","23,393","25,425","26,513","26,818","25,748","28,061","28,474","30,189","28,994","31,147","32,063","32,368"
"139","[P]","    TARINGA.NET","29,845","31,484","32,743","32,683","31,432","30,783","32,362","30,348","32,524","31,994","34,495","32,451","32,237","31,027","32,275"
"140","[P]","    Hubert Burda Media","33,034","33,645","33,664","36,336","33,799","33,456","35,761","33,782","33,741","32,753","33,500","31,841","32,524","32,073","32,269"
"141","[P](u)","    GMO Internet Group","28,510","30,780","31,599","32,616","32,452","31,459","33,780","33,272","34,198","33,228","33,550","33,884","33,530","32,962","31,776"
"142","[P]","    RosBusinessConsulting","31,412","31,522","32,341","33,463","33,464","34,729","34,109","34,474","35,663","33,226","33,340","31,703","30,577","30,908","31,257"
"143","[P](U)","    NFL Internet Group","11,771","22,738","30,393","29,048","29,145","28,927","27,955","15,864","12,157","14,510","9,700","8,293","10,069","21,669","31,176"
"144","[P]","    Ebuzzing","28,464","30,830","30,753","32,143","32,052","31,395","33,608","32,962","33,833","37,587","36,600","33,142","31,240","30,845","31,088"
"145","[M]","    4399.COM","31,749","29,053","22,275","25,188","21,599","21,826","30,615","28,195","26,906","28,557","25,188","29,482","40,524","40,811","31,006"
"146","[P]","    Xinhua News Agency","26,215","24,855","26,168","26,575","26,550","27,043","24,704","28,185","30,002","28,305","26,571","27,605","30,253","30,882","30,842"
"147","[P]","    Groupe Pages Jaunes","34,636","33,521","32,931","34,464","33,289","31,960","32,403","32,050","32,693","31,224","32,959","30,926","31,078","30,351","30,813"
"148","[P](u)","    Seesaa","27,649","28,896","29,964","31,181","31,127","30,878","33,198","31,922","34,300","32,888","33,132","32,061","32,223","31,200","30,798"
"149","[P]","    Sakura Internet","25,908","26,536","28,144","30,352","29,501","29,172","30,233","30,091","31,592","30,451","30,801","31,493","31,955","31,226","30,644"
"150","[P](u)","    IG Portal","29,259","61,505","64,505","67,975","70,602","83,045","80,138","74,934","76,505","68,069","68,891","67,373","64,613","31,297","30,577"
"151","[P]","    Nokia","26,952","28,430","30,033","31,404","31,213","31,042","27,578","26,347","26,585","25,111","24,742","24,219","24,103","26,415","30,351"
"152","[P](u)","    Prisa","21,636","26,226","34,113","35,676","36,069","33,838","35,827","34,324","37,956","36,303","35,689","34,546","28,804","28,728","30,226"
"153","[P]","    Alloy Digital Properties","43,912","43,396","42,628","51,698","53,608","56,740","49,905","51,984","55,427","39,928","42,355","36,922","37,259","36,991","29,967"
"154","[P](u)","    Liberty Media Holding Corporation","22,555","27,668","30,097","36,669","32,531","35,046","29,864","31,769","27,588","29,241","33,628","27,683","26,557","28,913","29,859"
"155","[P]","    DANGDANG.COM","16,002","19,075","22,207","25,849","29,079","26,060","26,436","30,164","33,144","26,637","28,808","37,925","22,851","26,787","29,785"
"156","[P]","    RTL Group Sites","27,269","26,453","27,348","29,182","27,229","27,548","28,628","30,105","29,381","29,918","32,106","30,339","30,366","29,293","29,647"
"157","[P]","    Opera Software","32,838","33,462","36,033","35,314","34,480","41,437","38,440","36,290","37,490","34,892","34,763","31,637","29,757","29,337","29,607"
"158","[P]","    United Online, Inc","23,731","24,742","22,842","21,530","22,271","21,286","23,538","20,160","20,408","18,750","18,830","15,976","18,926","24,926","29,545"
"159","[P](U)","    WORDREFERENCE.COM","11,473","13,716","16,344","17,806","17,349","14,229","15,671","16,464","17,733","16,573","18,354","15,998","24,285","25,495","29,422"
"160","[P](u)","    Yellowbook Network","31,052","40,889","44,566","45,294","41,933","37,808","43,441","37,083","37,909","37,177","36,301","37,044","30,658","30,784","29,421"
"161","[M]","    IT168.COM","14,968","18,005","19,673","22,999","21,238","18,693","20,071","18,230","21,817","18,940","19,367","19,677","26,393","27,238","29,302"
"162","[P]","    Groupe Lagardere","46,413","43,618","44,540","44,618","43,997","31,431","33,635","32,927","33,972","33,049","34,531","32,543","29,964","28,680","28,964"
"163","[M]","    ICBC.COM.CN","16,295","17,037","16,504","20,131","19,733","22,373","23,302","23,763","26,027","21,936","23,518","25,280","27,851","28,256","28,750"
"164","[P]","    Nifty Corporation","27,856","28,585","29,356","30,460","29,193","28,851","30,028","29,763","30,473","28,664","30,256","29,146","30,208","29,158","28,504"
"165","[P]","    CONDUIT.COM","17,246","18,191","23,656","26,160","28,168","18,814","22,741","23,968","28,176","29,190","35,423","30,830","31,422","32,521","28,411"
"166","[P]","    Vodafone Group","27,271","28,573","27,345","30,509","28,925","29,468","28,502","29,014","28,279","28,906","28,401","28,474","28,412","28,044","28,373"
