MULTI-COUNTRY MEDIA TREND REPORT,,Geography :,Geography :,"Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India, United States",,,,,,,,
,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,Time Period :,Time Period :,March 2008 - May 2009,March 2008 - May 2009,March 2008 - May 2009,March 2008 - May 2009,March 2008 - May 2009,,,,,,,,
,,Target :,Target :,Persons 15+,Persons 15+,Persons 15+,Persons 15+,Persons 15+,,"¸2009 comScore, Inc","¸2009 comScore, Inc","¸2009 comScore, Inc",,,,
,,Media :,Media :,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,,,,,,,,
,,Measures :,Measures :,Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),Total Unique Visitors (000),,,,,,,,
,,Date :,Date :,7/21/2009,7/21/2009,7/21/2009,7/21/2009,7/21/2009,,,,,,,,
,,,,,,,,,,,,,,,,
Items 1 to 9,Items 1 to 9,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites
Items 1 to 9,Items 1 to 9, Mar-2008, Apr-2008, May-2008, Jun-2008, Jul-2008, Aug-2008, Sep-2008, Oct-2008, Nov-2008, Dec-2008, Jan-2009, Feb-2009, Mar-2009, Apr-2009, May-2009
,World-Wide,"256,061","261,414","263,120","251,502","244,326","248,539","272,109","277,208","280,969","272,998","289,811","300,751","327,148","320,043","317,255"
,Europe,"92,283","93,642","95,234","89,427","86,905","83,931","98,304","102,955","106,199","105,318","112,449","117,828","126,474","119,578","118,874"
,Asia Pacific,"62,380","63,963","63,560","65,764","65,838","66,895","68,291","65,703","68,371","66,026","71,203","70,862","78,009","76,024","75,595"
,North America,"63,518","63,827","63,186","58,272","57,347","59,494","64,075","66,785","65,133","63,782","67,971","65,855","66,878","70,908","69,387"
,United States,"53,400","53,433","53,062","48,695","48,220","50,171","53,951","56,340","54,556","52,860","56,159","54,150","54,783","58,977","57,684"
,Latin America,"24,542","26,347","27,002","26,099","23,220","26,847","28,886","27,974","27,416","22,769","22,558","27,440","34,229","33,400","33,870"
,Middle East - Africa,"13,337","13,634","14,139","11,941","11,016","11,371","12,553","13,790","13,850","15,103","15,630","18,765","21,558","20,133","19,529"
,India,"5,200","5,079","5,264","5,979","5,720","6,217","6,025","5,799","6,286","6,421","6,764","6,587","7,014","6,807","7,168"
,China,669,"2,288",994,958,232,"1,382","2,735","2,037","2,185","2,286","1,825","2,002","2,752","3,115","2,936"
,,,,,,,,,,,,,,,,
,Media Metrix 2.0 Legend,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
, [P]         Property,,,,,,,,,,,,,,,
, [M]         Media Title,,,,,,,,,,,,,,,
, [C]         Channel,,,,,,,,,,,,,,,
, [S]         Subchannel,,,,,,,,,,,,,,,
, [G]         Group,,,,,,,,,,,,,,,
, [SG]         Subgroup,,,,,,,,,,,,,,,
, [E]         Custom Entity,,,,,,,,,,,,,,,
, [N]         Ad Network,,,,,,,,,,,,,,,
, [A#]         Alternate Rollup,,,,,,,,,,,,,,,
, [X1]         Extended Network,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
, (H)        Full Hybrid - Used to identify entities that are measured and reported completely based on Panel-Centric Hybrid (Panel + Census) measurement.,,,,,,,,,,,,,,,
," (h)         Partial Hybrid - Used to identify entities with at least one child entity that is Full Hybrid, but not all.",,,,,,,,,,,,,,,
, w/History    Trend combines media previously reported under different parent and/or different level.,,,,,,,,,,,,,,,
, *           Indicates that the entity has assigned traffic to certain pages in the domain to other entities,,,,,,,,,,,,,,,
, **         Indicates that the entity is an advertising network.,,,,,,,,,,,,,,,
, ...         Indicates data used fell below minimum reporting standards and/or data not available.,,,,,,,,,,,,,,,
, N/A      Indicates data is not available in the data set for reporting for the specified time period.,,,,,,,,,,,,,,,
, #          Caution - small base may result in unstable projection.,,,,,,,,,,,,,,,
, ##        Directional purposes only - base too unstable for reliable projection.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
, Details on minimum reporting standards are located at: http://mymetrix.comscore.com/mmx/definitions_minreportingstandards.asp,,,,,,,,,,,,,,,
