Multi-Country Media Trend,,Geography :,Geography :,"Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India","Worldwide, Middle East - Africa, Asia Pacific, Europe, Latin America, North America, China, India",,,,,,,,
Wikimedia Foundation Sites,,Location :,Location :,All Locations,All Locations,All Locations,All Locations,All Locations,,,,,,,,
,,Time Period :,Time Period :,April 2009 - June 2010,April 2009 - June 2010,April 2009 - June 2010,April 2009 - June 2010,April 2009 - June 2010,,,,,,,,
,,Target :,Target :,Persons 15+,Persons 15+,Persons 15+,Persons 15+,Persons 15+,,,"©2010 comScore, Inc","©2010 comScore, Inc","©2010 comScore, Inc",,,
,,Media :,Media :,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,Wikimedia Foundation Sites,,,,,,,,
,,Measures :,Measures :,% Reach,% Reach,% Reach,% Reach,% Reach,,,,,,,,
,,Date :,Date :,7/26/2010,7/26/2010,7/26/2010,7/26/2010,7/26/2010,,,,,,,,
,,,,,,,,,,,,,,,,
Location,Location,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites,[P] Wikimedia Foundation Sites
Location,Location,Apr-2009,May-2009,Jun-2009,Jul-2009,Aug-2009,Sep-2009,Oct-2009,Nov-2009,Dec-2009,Jan-2010,Feb-2010,Mar-2010,Apr-2010,May-2010,Jun-2010
1,    World-Wide,28.9,28.3,26.7,25.7,26.4,27.6,29.0,28.7,28.4,29.5,28.7,30.4,30.4,31.3,30.2
2,    China,1.6,1.5,2.2,1.8,1.6,1.3,1.6,1.6,1.5,1.4,1.2,1.4,1.6,1.0,1.0
3,    India,20.2,21.0,21.7,22.6,23.7,23.7,25.7,25.8,26.3,27.4,26.4,27.7,28.4,30.1,31.6
4,    Middle East - Africa,26.0,24.9,20.8,20.6,21.9,22.0,26.9,26.2,28.3,27.2,24.9,28.3,28.1,29.2,25.6
5,    Asia Pacific,17.0,16.6,16.5,15.9,16.2,16.1,17.0,16.5,16.7,17.4,15.3,16.2,15.9,16.3,16.1
6,    Europe,38.3,37.6,35.2,33.7,34.2,37.4,39.0,39.0,38.6,40.3,39.2,40.8,41.4,43.0,43.0
7,    Latin America,39.8,39.6,38.3,33.1,36.8,38.4,39.0,38.4,32.5,33.5,36.7,43.1,43.2,44.1,41.2
8,    North America,37.8,36.8,34.4,34.9,35.6,37.3,38.2,38.5,39.1,41.1,39.9,41.0,40.9,41.5,38.9
,,,,,,,,,,,,,,,,
,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,Media Metrix 2.0 Legend,,,,,,,,
