"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","Location :: Home and Work","","","","","","(c)2013 comScore, Inc"
"","","","Time Period :: December 2011 - February 2013","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/18/2013","","","","","",""

"","","","Dec-2011","Jan-2012","Feb-2012","Mar-2012","Apr-2012","May-2012","Jun-2012","Jul-2012","Aug-2012","Sep-2012","Oct-2012","Nov-2012","Dec-2012","Jan-2013","Feb-2013"
"","","    Total Internet : Total Audience ","1,444,092","1,450,588","1,448,160","1,471,414","1,477,810","1,484,382","1,491,181","1,498,415","1,500,916","1,506,929","1,513,410","1,519,555","1,525,501","1,530,895","1,526,768"
"1","[P]","    Wikimedia Foundation Sites","457,063","482,157","475,699","489,402","473,380","492,393","469,644","451,821","456,255","474,864","488,364","484,489","472,552","488,473","482,999"
"2","[C](U)","    Yahoo! Answers","247,060","255,897","250,048","257,704","247,396","248,834","241,753","231,699","285,149","290,423","309,347","306,205","294,797","313,515","303,340"
"3","[C]","    Baidu Answers","130,243","135,923","145,462","159,364","150,837","147,236","151,130","162,873","163,402","158,907","163,801","162,524","163,143","162,348","141,707"
"4","[P](U)","    Answers.com Sites","70,652","80,319","81,167","84,201","83,222","89,732","80,433","75,602","84,121","93,320","100,413","96,951","91,098","93,216","89,943"
"5","[C]","    Baidu Encyclopedia","80,078","83,530","99,302","102,442","95,174","92,660","93,376","99,357","98,440","91,891","97,166","100,417","101,704","99,365","85,217"
"6","[P](U)","    Wikia Sites","47,619","50,086","47,809","50,647","48,711","50,808","50,505","50,541","52,108","53,111","59,358","59,266","59,631","62,446","54,423"
"7","[C]","    SINA iAsk","47,024","46,355","49,887","49,259","37,429","33,053","35,169","40,080","39,639","42,383","47,115","50,160","48,162","47,339","37,151"
"8","[P](U)","    WORDREFERENCE.COM","14,229","15,671","16,464","17,733","16,573","18,354","15,998","24,285","25,495","29,422","32,623","31,470","25,329","29,938","31,250"
"9","[C]","    Goo Teaching","23,869","25,084","23,966","25,802","23,964","25,072","24,349","25,400","25,617","25,350","24,148","23,990","23,828","24,918","22,713"
"10","[P](u)","    Encyclopaedia Britannica","17,262","18,604","18,661","18,685","16,951","16,757","14,168","13,292","14,706","17,690","20,648","19,831","18,527","22,007","22,394"
"11","[P]","    URBANDICTIONARY.COM","14,666","14,705","14,138","13,170","13,240","14,082","14,240","13,934","13,917","14,118","14,129","14,034","13,979","15,056","14,227"
"12","[P](U)","    WISEGEEK.COM","6,660","7,700","7,688","8,055","7,719","9,102","7,254","6,659","7,742","8,767","10,563","10,642","10,608","12,859","13,201"
"13","[M](U)","    HOWSTUFFWORKS.COM*","12,250","14,037","13,631","13,628","12,406","12,975","11,247","10,913","12,507","13,385","15,697","14,959","12,663","14,414","13,137"
"14","[M]","    REVERSO.NET*","10,198","11,490","11,326","11,705","10,985","11,738","10,157","8,837","8,687","10,930","12,081","12,215","11,476","11,974","11,480"
"15","[P]","    ARCHIVE.ORG","10,331","11,491","10,531","8,243","7,502","8,583","7,476","8,247","8,813","9,510","9,527","10,258","9,938","11,655","10,617"
"16","[C]","    SCIENCEDIRECT.COM","4,134","4,211","4,844","6,355","7,261","7,198","4,893","4,291","4,135","5,675","7,343","7,075","6,261","6,729","6,050"
"17","[P]","    BIBLEGATEWAY.COM","4,561","5,280","5,429","5,238","5,334","5,572","5,202","4,804","5,110","5,698","5,778","5,508","5,685","5,957","5,927"
"18","[M](U)","    Demand Media Network","5,632","6,272","6,187","6,524","6,211","7,040","5,494","5,392","5,769","6,519","6,765","5,953","5,131","5,741","5,334"
"19","[M]","    ICIBA.COM","6,918","6,637","6,893","6,723","5,601","6,154","5,896","5,637","5,957","6,627","6,651","7,075","7,109","6,666","5,179"
"20","[P]","    DICT.CC","3,941","4,153","4,052","3,814","3,992","4,432","3,969","3,872","3,807","3,960","3,635","3,828","3,650","4,325","4,427"
"21","[C](U)","    Yahoo! Dictionary","8,613","8,595","7,985","8,024","7,370","7,457","6,826","6,825","6,478","6,424","6,519","5,881","4,875","4,988","4,327"
"22","[M]","    WER-WEISS-WAS.DE","4,536","5,053","4,889","5,198","5,130","5,687","5,155","5,186","4,904","4,439","4,850","4,802","4,364","5,104","4,273"
"23","[C](U)","    ANSWERBAG.COM*","2,974","3,296","3,699","4,523","4,270","4,753","3,591","3,393","3,905","3,797","4,153","3,937","4,056","4,405","4,090"
"24","[P]","    LEXILOGOS.COM","5,164","5,524","5,208","5,583","5,161","5,509","4,942","4,308","3,873","4,195","4,265","4,277","4,428","4,343","3,908"
"25","[P](U)","    POEMHUNTER.COM","2,700","3,011","3,238","3,141","2,966","3,344","2,505","2,216","2,264","2,706","3,340","3,271","3,111","3,417","3,672"
"26","[P]","    IXL.COM","2,973","4,572","4,634","4,533","3,552","3,133","2,545","2,451","2,317","3,075","3,658","3,692","2,760","3,601","3,424"
"27","[M]","    LAROUSSE.FR","1,980","2,098","2,394","2,346","2,366","2,465","2,167","1,744","1,793","2,512","3,120","3,225","3,255","3,346","3,303"
"28","[P]","    LAWTIME.CN","2,846","2,584","3,111","2,384","2,358","1,204","1,517","2,523","3,352","3,527","3,698","3,775","4,501","5,286","3,129"
"29","[C]","    Naver.com Knowledge iN","16,947","16,776","14,724","13,234","12,766","13,044","11,704","11,097","10,516","10,054","10,090","9,149","8,618","9,424","3,095"
"30","[P]","    CONSUMERREPORTS.ORG","2,520","2,413","2,302","2,448","2,163","2,411","2,288","2,300","2,770","2,918","3,141","3,702","3,181","3,281","3,015"
"31","[P]","    TURNITIN.COM","1,722","1,734","2,240","2,949","2,564","2,427","1,387","932","1,551","2,852","3,660","3,316","2,971","2,370","2,941"
"32","[P]","    DEFINICION.DE","1,133","1,681","2,509","3,001","2,415","3,007","2,360","1,655","2,959","3,391","3,680","3,251","1,474","2,099","2,845"
"33","[P]","    DUDEN.DE","1,222","1,543","1,433","1,618","1,406","1,568","1,722","1,585","1,619","2,005","2,181","2,208","2,250","2,973","2,819"
"34","[P]","    SPISHY.RU","1,542","1,362","1,534","1,524","1,845","1,612","282","125","259","2,970","2,899","2,773","2,955","2,549","2,576"
"35","[P]","    WORLDCAT.ORG","2,052","2,167","2,489","2,491","2,315","2,179","1,686","1,866","1,641","2,295","2,546","2,455","2,361","2,448","2,512"
"36","[P]","    COINMILL.COM","2,745","2,894","2,067","2,289","1,930","2,251","2,087","2,057","1,897","1,668","1,971","2,309","2,141","2,433","2,473"
"37","[P]","    WOXIKON.DE","2,094","2,253","2,108","2,123","2,140","2,305","2,349","2,101","2,133","2,459","2,543","2,782","2,429","2,760","2,471"
"38","[P]","    BIBLIOTEKAR.RU","2,222","2,130","1,900","2,131","2,039","2,442","1,851","1,152","1,078","2,135","2,727","2,387","2,670","2,436","2,313"
"39","[P]","    THINKEXIST.COM","5,388","5,716","5,809","5,457","5,079","5,355","4,694","3,721","3,577","3,728","3,457","2,881","2,625","2,353","2,206"
"40","[P]","    UN.ORG","1,949","1,931","2,502","2,805","2,187","2,699","2,159","1,688","1,821","2,578","2,629","2,802","2,175","2,354","2,184"
"41","[P]","    SCIELO.BR","2,150","2,100","2,344","3,522","2,342","2,482","1,864","1,261","1,934","2,217","2,354","2,384","1,491","1,410","2,151"
"42","[P]","    MIRSOVETOV.RU","2,479","2,630","2,474","2,704","2,242","2,338","2,173","2,049","2,083","1,980","2,304","2,224","2,373","2,288","2,094"
"43","[P]","    ITUSOZLUK.COM","3,543","3,892","3,216","3,418","3,422","3,611","3,033","2,661","2,931","2,842","2,652","2,724","2,584","2,552","1,863"
"44","[P]","    TRANSLATED.NET","951","1,159","1,059","1,158","1,067","1,347","1,382","1,295","1,317","1,556","1,707","1,932","1,844","2,145","1,821"
"45","[P]","    GUNS.RU","2,095","2,235","2,362","2,438","2,202","2,135","1,904","1,911","2,047","1,922","2,116","1,957","2,128","2,148","1,808"
"46","[P]","    ONLINECONVERSION.COM","1,640","1,892","2,169","1,959","1,601","1,987","1,730","1,513","1,402","1,508","1,618","1,402","1,485","1,660","1,621"
"47","[P]","    TURKCEBILGI.COM","2,655","2,310","2,243","2,643","2,616","2,312","1,407","1,313","1,249","1,660","2,175","2,247","2,004","1,819","1,584"
"48","[P]","    BIOGRAFIASYVIDAS.COM","1,206","1,829","2,266","2,740","2,420","2,898","2,102","1,512","2,056","2,663","2,684","2,284","1,068","1,379","1,556"
"49","[P]","    123HELPME.COM","1,366","1,318","1,647","1,829","1,651","1,903","1,066","701","741","1,426","1,757","1,899","1,442","1,282","1,522"
"50","[P]","    5156EDU.COM","2,017","1,361","1,903","1,879","1,772","1,662","1,776","1,573","1,712","1,897","2,114","2,268","2,199","2,159","1,486"
"51","[P]","    SERIALSSOLUTIONS.COM","863","1,071","1,156","1,466","1,451","1,136","855","933","978","1,203","1,718","1,558","1,087","1,212","1,460"
"52","[P]","    ARABIC-KEYBOARD.ORG","1,533","1,531","1,414","1,386","1,297","1,413","1,305","1,148","1,065","1,008","1,185","1,151","1,201","1,241","1,391"
"53","[M]","    WEBOPEDIA.COM","1,192","1,563","1,618","1,525","1,569","1,512","1,329","1,475","1,431","1,773","1,601","1,515","1,314","1,428","1,388"
"54","[P]","    SLOVO.WS","879","779","883","776","979","966","142","64","143","1,776","1,739","1,466","1,542","1,388","1,385"
"55","[C]","    Naver.com Dictionary","6,897","6,069","5,082","5,100","5,294","5,709","5,393","5,145","4,746","4,981","4,367","4,594","4,500","3,807","1,375"
"56","[P]","    BrainPOP","925","1,275","1,482","1,284","1,071","1,122","578","336","697","1,205","1,489","1,249","1,135","1,179","1,349"
