"Media Trend","","","Geography :: Worldwide","","","","","","My Metrix"
"114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","Location :: Home and Work","","","","","","(c)2012 comScore, Inc"
"","","","Time Period :: December 2010 - February 2012","","","","","",""
"","","","Target :: Total Audience","","","","","",""
"","","","Media :: 114LA.COM,120ASK.COM,123GREETINGS.COM,1616.NET,19L...","","","","","",""
"","","","Measures :: Total Unique Visitors (000)","","","","","",""
"","","","Date :: 3/20/2012","","","","","",""

"","","","Dec-2010","Jan-2011","Feb-2011","Mar-2011","Apr-2011","May-2011","Jun-2011","Jul-2011","Aug-2011","Sep-2011","Oct-2011","Nov-2011","Dec-2011","Jan-2012","Feb-2012"
"35","[P](U)","    DAILYMOTION.COM","83,224","85,922","92,168","109,601","110,552","114,292","101,929","83,971","85,089","88,764","96,648","94,808","95,449","93,161","93,354"
"36","[P](U)","    Terra - Telefonica","86,936","88,688","85,461","92,590","91,273","93,018","91,737","93,215","97,598","99,592","99,654","98,329","97,434","96,185","91,036"
"37","[P]","    Axel Springer AG","28,843","29,914","27,783","69,817","65,524","56,997","65,630","66,842","67,806","71,500","76,990","76,371","77,208","92,150","87,813"
"38","[P](U)","    Answers.com Sites","86,847","94,594","91,449","98,716","87,301","88,487","71,866","61,860","69,164","79,301","77,203","76,924","70,652","80,319","81,167"
"39","[P](u)","    Break Media","81,504","83,285","72,279","74,696","70,203","72,789","70,860","68,983","71,597","70,011","72,371","70,221","74,839","79,068","79,026"
"40","[P]","    NHN Corporation","40,054","41,280","39,004","41,727","40,465","42,383","41,891","70,131","74,056","76,868","77,961","76,866","77,023","79,661","78,997"
"41","[P]","    Yandex Sites","56,421","57,497","57,163","58,814","58,751","60,543","61,976","64,116","64,632","68,765","70,071","71,503","74,405","76,946","76,237"
"42","[P]","    iG","24,223","24,935","27,185","29,409","29,933","31,237","32,190","29,259","61,505","64,505","67,975","70,602","83,045","80,138","74,934"
"43","[P](u)","    BBC Sites","66,305","67,469","65,659","80,594","71,434","74,281","65,593","67,675","72,209","71,250","77,127","74,949","72,739","75,671","73,269"
"44","[P]","    Sony Online","69,364","66,393","59,487","63,402","58,923","67,799","66,787","62,537","66,022","66,621","70,878","73,191","77,159","75,304","72,734"
"45","[P]","    BABYLON.COM","35,756","39,205","37,763","42,589","40,310","48,634","49,031","51,396","57,840","63,402","51,413","54,732","63,599","67,783","72,695"
"46","[P]","    4SHARED.COM*","78,872","79,629","74,007","75,906","76,149","82,695","80,610","81,619","82,142","84,759","77,214","72,865","73,476","75,431","72,187"
"47","[P](u)","    Gannett Sites","47,942","51,387","49,738","54,487","53,589","56,973","53,509","53,985","58,635","55,644","56,690","56,766","58,353","62,556","70,932"
"48","[P]","    Orange Sites","60,598","63,211","62,162","66,043","66,989","70,685","67,491","63,491","68,846","72,576","79,220","79,663","68,994","73,561","68,461"
"49","[P]","    Rakuten Inc","59,747","59,608","56,701","57,528","55,379","60,840","57,785","59,031","62,198","63,498","71,032","71,831","75,263","71,654","68,319"
"50","[P]","    Oak Pacific Interactive Sites","44,631","47,522","44,751","52,534","59,437","72,664","74,031","71,947","52,969","51,075","57,597","60,901","62,301","64,091","65,875"
