"MEDIA TREND REPORT","","","Geography : Worldwide","","","","","","MyMetrix"
"","","","Location : All Locations","","","","","","MediaMetrix 2.0"
"","","","Time Period : July 2008 - September 2009","","","","","","(c)2009 comScore, Inc"
"","","","Target : Total Audience",
"","","","Media : 123HELPME.COM,17U.COM,5156EDU.COM,5BALLOV.RU,Abach...",
"","","","Measures : Total Unique Visitors (000)",
"","","","Date : 10/26/2009",

"Items 1 to 300","",""," Jul-2008"," Aug-2008"," Sep-2008"," Oct-2008"," Nov-2008"," Dec-2008"," Jan-2009"," Feb-2009"," Mar-2009"," Apr-2009"," May-2009"," Jun-2009"," Jul-2009"," Aug-2009"," Sep-2009",
"","","Total Internet : Total Audience ","949,583","960,198","971,945","984,396","996,304","1,007,730","1,020,582","1,078,911","1,092,598","1,108,031","1,122,331","1,135,656","1,151,381","1,165,194","1,179,318",
"1","[P]","Wikimedia Foundation Sites","244,326","248,539","272,109","277,208","280,969","272,998","289,811","300,751","327,148","320,043","317,255","302,940","295,484","307,641","325,998",
"2","[C]","Yahoo! Answers","146,075","149,337","152,436","153,957","143,925","144,741","155,702","163,464","177,859","178,535","170,319","165,595","173,002","178,754","187,718",
"3","[C]","Baidu Answers","60,399","69,075","73,697","74,097","68,363","71,500","64,327","71,848","69,060","70,580","78,630","81,646","87,326","93,624","93,424",
"4","[P]","Answers.com Sites","30,005","34,079","39,598","41,814","41,545","39,696","44,958","45,703","50,176","51,780","52,660","48,261","51,579","65,930","83,059",
"5","[C]","Baidu Encyclopedia","12,914","15,552","24,002","34,697","33,597","38,909","35,407","42,677","42,871","41,207","36,967","40,775","43,666","48,365","48,966",
"6","[M]","DICTIONARY.COM","14,100","16,208","21,354","21,377","19,899","19,724","21,783","20,439","21,606","21,024","20,618","17,784","17,371","18,172","37,570",
"7","[P]","Encyclopaedia Britannica","11,418","11,328","15,148","15,038","13,468","13,170","14,750","15,005","17,056","15,950","15,460","12,371","12,780","13,062","21,360",
"8","[C]","SINA iAsk","N/A","N/A","N/A","24,318","22,250","22,628","20,110","24,586","20,549","15,035","13,144","17,549","20,290","21,700","21,320",
"9","[M]","THEFREEDICTIONARY.COM (w/ history)","4,655","3,841","13,653","14,756","15,678","14,768","17,368","18,656","21,480","23,172","22,202","20,303","20,108","19,825","21,200",
"10","[C]","Goo Teaching","8,967","8,919","9,172","9,635","9,961","10,495","12,828","11,327","13,450","13,204","14,351","13,939","15,565","15,922","17,017",
"11","[P]","Wikia Sites","N/A","N/A","N/A","N/A","N/A","N/A","N/A","11,981","12,348","14,135","14,274","14,200","16,457","16,963","16,438",
"12","[C]","Naver.com Knowledge IN","11,526","14,632","13,582","14,785","14,269","15,294","14,945","16,208","16,162","16,546","14,900","14,388","14,954","15,266","15,187",
"13","[P]","WORDREFERENCE.COM","6,133","6,479","8,633","9,152","8,716","7,912","8,588","9,805","11,148","10,822","11,389","10,268","9,312","9,947","12,456",
"14","[M]","REVERSO.NET*","4,988","5,362","7,238","8,029","7,599","6,849","7,791","8,712","10,080","9,607","11,007","10,334","9,470","9,854","12,292",
"15","[P]","ASSOCIATEDCONTENT.COM","8,651","8,679","8,920","10,947","9,969","10,587","11,085","10,611","11,603","11,865","13,164","11,606","11,889","11,993","11,788",
"16","[M]","ICIBA.COM","5,611","8,057","7,905","7,085","7,571","6,889","5,214","6,521","6,930","7,708","6,563","9,414","10,880","8,111","11,779",
"17","[C]","Yahoo! Dictionary","10,448","10,353","10,252","9,678","10,351","10,037","11,055","10,343","10,890","11,155","11,245","10,676","10,750","9,563","10,610",
"18","[M]","THESAURUS.COM","3,046","3,407","5,055","5,416","4,589","4,416","5,134","4,813","5,350","5,004","4,498","3,915","3,670","4,207","10,237",
"19","[M]","HOWSTUFFWORKS.COM","7,035","6,563","7,486","8,249","7,299","7,972","9,182","8,703","10,149","9,895","9,732","7,901","8,662","8,780","10,233",
"20","[P]","URBANDICTIONARY.COM","5,413","5,000","5,238","5,941","5,431","6,100","6,323","6,515","7,472","7,980","7,454","7,066","8,056","8,199","7,933",
