Afghanistan,<a href="http://en.wikipedia.org/wiki/Afghanistan" title="Afghanistan">Afghanistan</a>,25_500_100,1_487_878,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Afghanistan.svg/22px-Flag_of_Afghanistan.svg.png" width="22" height="15">
Albania,<a href="http://en.wikipedia.org/wiki/Albania" title="Albania">Albania</a>,2_831_741,1_467_387,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/22px-Flag_of_Albania.svg.png" width="22" height="16">
Algeria,<a href="http://en.wikipedia.org/wiki/Algeria" title="Algeria">Algeria</a>,37_100_000,5_131_601,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/22px-Flag_of_Algeria.svg.png" width="22" height="15">
American American Samoa,<a href="http://en.wikipedia.org/wiki/American_Samoa" title="American Samoa">American Samoa</a>,55_519,connected,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_American_Samoa.svg/22px-Flag_of_American_Samoa.svg.png" width="22" height="11">
American Samoa,<a href="http://en.wikipedia.org/wiki/Samoa" title="Samoa">Samoa</a>,186_340,13_440,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Samoa.svg/22px-Flag_of_Samoa.svg.png" width="22" height="11">
Andorra,<a href="http://en.wikipedia.org/wiki/Andorra" title="Andorra">Andorra</a>,78_115,68_708,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/22px-Flag_of_Andorra.svg.png" width="22" height="15">
Angola,<a href="http://en.wikipedia.org/wiki/Angola" title="Angola">Angola</a>,20_609_294,2_592_409,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/22px-Flag_of_Angola.svg.png" width="22" height="15">
Anguilla,<a href="http://en.wikipedia.org/wiki/Anguilla" title="Anguilla">Anguilla</a>,13_452,7_176,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Anguilla.svg/22px-Flag_of_Anguilla.svg.png" width="22" height="11">
Antigua and Barbuda,<a href="http://en.wikipedia.org/wiki/Antigua_and_Barbuda" title="Antigua and Barbuda">Antigua and Barbuda</a>,86_295,72_065,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/22px-Flag_of_Antigua_and_Barbuda.svg.png" width="22" height="15">
Argentina,<a href="http://en.wikipedia.org/wiki/Argentina" title="Argentina">Argentina</a>,40_117_096,28_000_000,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/22px-Flag_of_Argentina.svg.png" width="22" height="14">
Armenia,<a href="http://en.wikipedia.org/wiki/Armenia" title="Armenia">Armenia</a>,3_275_700,453_952,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/22px-Flag_of_Armenia.svg.png" width="22" height="11">
Aruba,<a href="http://en.wikipedia.org/wiki/Aruba" title="Aruba">Aruba</a>,101_484,60_557,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Flag_of_Aruba.svg/22px-Flag_of_Aruba.svg.png" width="22" height="15">
Australia,<a href="http://en.wikipedia.org/wiki/Australia" title="Australia">Australia</a>,22_783_055,19_554_832,<img alt="" src="//upload.wikimedia.org/wikipedia/en/thumb/b/b9/Flag_of_Australia.svg/22px-Flag_of_Australia.svg.png" width="22" height="11">
Austria,<a href="http://en.wikipedia.org/wiki/Austria" title="Austria">Austria</a>,8_452_835,6_557_389,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/22px-Flag_of_Austria.svg.png" width="22" height="15">
Azerbaijan,<a href="http://en.wikipedia.org/wiki/Azerbaijan" title="Azerbaijan">Azerbaijan</a>,9_235_100,4_698_640,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/22px-Flag_of_Azerbaijan.svg.png" width="22" height="11">
Bahamas,<a href="http://en.wikipedia.org/wiki/The_Bahamas" title="The Bahamas">Bahamas</a>,353_658,connected,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/22px-Flag_of_the_Bahamas.svg.png" width="22" height="11">
Bahrain,<a href="http://en.wikipedia.org/wiki/Bahrain" title="Bahrain">Bahrain</a>,1_234_571,935_323,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/22px-Flag_of_Bahrain.svg.png" width="22" height="13">
Bangladesh,<a href="http://en.wikipedia.org/wiki/Bangladesh" title="Bangladesh">Bangladesh</a>,152_518_015,7_928_527,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/22px-Flag_of_Bangladesh.svg.png" width="22" height="13">
Barbados,<a href="http://en.wikipedia.org/wiki/Barbados" title="Barbados">Barbados</a>,274_200,205_756,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/22px-Flag_of_Barbados.svg.png" width="22" height="15">
Belarus,<a href="http://en.wikipedia.org/wiki/Belarus" title="Belarus">Belarus</a>,9_459_000,3_825_957,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/22px-Flag_of_Belarus.svg.png" width="22" height="11">
Belgium,<a href="http://en.wikipedia.org/wiki/Belgium" title="Belgium">Belgium</a>,10_839_905,8_136_552,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_Belgium_%28civil%29.svg/22px-Flag_of_Belgium_%28civil%29.svg.png" width="22" height="15">
Belize,<a href="http://en.wikipedia.org/wiki/Belize" title="Belize">Belize</a>,312_971,44_033,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/22px-Flag_of_Belize.svg.png" width="22" height="15">
Benin,<a href="http://en.wikipedia.org/wiki/Benin" title="Benin">Benin</a>,9_352_000,326_376,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/22px-Flag_of_Benin.svg.png" width="22" height="15">
Bermuda,<a href="http://en.wikipedia.org/wiki/Bermuda" title="Bermuda">Bermuda</a>,64_237,60_668,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bermuda.svg/22px-Flag_of_Bermuda.svg.png" width="22" height="11">
Bhutan,<a href="http://en.wikipedia.org/wiki/Bhutan" title="Bhutan">Bhutan</a>,720_679,148_770,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Flag_of_Bhutan.svg/22px-Flag_of_Bhutan.svg.png" width="22" height="15">
Bolivia,<a href="http://en.wikipedia.org/wiki/Bolivia" title="Bolivia">Bolivia</a>,10_426_155,3_035_605,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/22px-Flag_of_Bolivia.svg.png" width="22" height="15">
Bosnia and Herzegovina,<a href="http://en.wikipedia.org/wiki/Bosnia_and_Herzegovina" title="Bosnia and Herzegovina">Bosnia and Herzegovina</a>,3_868_621,2_329_415,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Flag_of_Bosnia_and_Herzegovina.svg/22px-Flag_of_Bosnia_and_Herzegovina.svg.png" width="22" height="11">
Botswana,<a href="http://en.wikipedia.org/wiki/Botswana" title="Botswana">Botswana</a>,2_024_904,144_578,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_Botswana.svg/22px-Flag_of_Botswana.svg.png" width="22" height="15">
Brazil,<a href="http://en.wikipedia.org/wiki/Brazil" title="Brazil">Brazil</a>,193_946_886,81_798_000,<img alt="" src="//upload.wikimedia.org/wikipedia/en/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png" width="22" height="15">
British Virgin Islands,<a href="http://en.wikipedia.org/wiki/British_Virgin_Islands" title="British Virgin Islands">British Virgin Islands</a>,29_537,connected,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/4/42/Flag_of_the_British_Virgin_Islands.svg/22px-Flag_of_the_British_Virgin_Islands.svg.png" width="22" height="11">
Brunei,<a href="http://en.wikipedia.org/wiki/Brunei" title="Brunei">Brunei</a>,393_162,225_058,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/22px-Flag_of_Brunei.svg.png" width="22" height="11">
Bulgaria,<a href="http://en.wikipedia.org/wiki/Bulgaria" title="Bulgaria">Bulgaria</a>,7_364_570,3_617_754,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/22px-Flag_of_Bulgaria.svg.png" width="22" height="13">
Burkina Faso,<a href="http://en.wikipedia.org/wiki/Burkina_Faso" title="Burkina Faso">Burkina Faso</a>,15_730_977,502_544,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/22px-Flag_of_Burkina_Faso.svg.png" width="22" height="15">
Burundi,<a href="http://en.wikipedia.org/wiki/Burundi" title="Burundi">Burundi</a>,8_749_000,113_400,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/22px-Flag_of_Burundi.svg.png" width="22" height="13">
Cambodia,<a href="http://en.wikipedia.org/wiki/Cambodia" title="Cambodia">Cambodia</a>,14_478_000,455_753,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/22px-Flag_of_Cambodia.svg.png" width="22" height="15">
Cameroon,<a href="http://en.wikipedia.org/wiki/Cameroon" title="Cameroon">Cameroon</a>,19_406_100,985_565,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/22px-Flag_of_Cameroon.svg.png" width="22" height="15">
Canada,<a href="http://en.wikipedia.org/wiki/Canada" title="Canada">Canada</a>,34_948_200,27_757_540,<img alt="" src="//upload.wikimedia.org/wikipedia/en/thumb/c/cf/Flag_of_Canada.svg/22px-Flag_of_Canada.svg.png" width="22" height="11">
Cape Verde,<a href="http://en.wikipedia.org/wiki/Cape_Verde" title="Cape Verde">Cape Verde</a>,491_875,165_152,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/22px-Flag_of_Cape_Verde.svg.png" width="22" height="13">
Caribbean Netherlands,<a href="http://en.wikipedia.org/wiki/Caribbean_Netherlands" title="Caribbean Netherlands">Caribbean Netherlands</a>,21_133,connected,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/2/20/Flag_of_the_Netherlands.svg/22px-Flag_of_the_Netherlands.svg.png" width="22" height="15">
Cayman Islands,<a href="http://en.wikipedia.org/wiki/Cayman_Islands" title="Cayman Islands">Cayman Islands</a>,55_456,35_694,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/22px-Flag_of_the_Cayman_Islands.svg.png" width="22" height="11">
Central African Republic,<a href="http://en.wikipedia.org/wiki/Central_African_Republic" title="Central African Republic">Central African Republic</a>,4_576_000,108_901,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/22px-Flag_of_the_Central_African_Republic.svg.png" width="22" height="15">
Chad,<a href="http://en.wikipedia.org/wiki/Chad" title="Chad">Chad</a>,11_274_106,204_420,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/22px-Flag_of_Chad.svg.png" width="22" height="15">
Chile,<a href="http://en.wikipedia.org/wiki/Chile" title="Chile">Chile</a>,16_572_475,9_116_147,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/22px-Flag_of_Chile.svg.png" width="22" height="15">
China,<a href="http://en.wikipedia.org/wiki/China" title="China">China</a>,1_347_350_000,513_100_000,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/22px-Flag_of_the_People%27s_Republic_of_China.svg.png" width="22" height="15">
Christmas Island,<a href="http://en.wikipedia.org/wiki/Christmas_Island" title="Christmas Island">Christmas Island</a>,2_072,connected,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Christmas_Island.svg/22px-Flag_of_Christmas_Island.svg.png" width="22" height="11">
Cocos (Keeling) Islands,<a href="http://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands" title="Cocos (Keeling) Islands">Cocos (Keeling) Islands</a>,550,connected,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Cocos_%28Keeling%29_Islands.svg/22px-Flag_of_the_Cocos_%28Keeling%29_Islands.svg.png" width="22" height="11">
Colombia,<a href="http://en.wikipedia.org/wiki/Colombia" title="Colombia">Colombia</a>,46_741_000,25_000_000,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/22px-Flag_of_Colombia.svg.png" width="22" height="15">
Comoros,<a href="http://en.wikipedia.org/wiki/Comoros" title="Comoros">Comoros</a>,669_300,39_704,<img alt="" src="//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/22px-Flag_of_the_Comoros.svg.png" width="22" height="13">
