date ascii,date,Mobile,Msie,Firefox,Chrome,other,Safari (Mobile),Android (Mobile),other (Mobile),Opera,Opera (Mobile),
2012-02-11,"=DATE(2012,2,11)",9.63,29.24,21.18,20.34,17.20,5.01,2.73,0.95,2.41,0.94,
2012-02-18,"=DATE(2012,2,18)",9.76,28.50,21.40,20.24,17.68,5.06,2.79,0.96,2.42,0.96,
2012-02-25,"=DATE(2012,2,25)",9.65,28.72,21.27,20.53,17.43,4.99,2.73,0.96,2.40,0.97,
2012-03-03,"=DATE(2012,3,3)",9.79,28.61,21.21,20.37,17.73,5.07,2.80,0.96,2.29,0.97,
2012-03-10,"=DATE(2012,3,10)",9.87,28.53,21.27,20.47,17.47,5.07,2.79,0.98,2.38,1.02,
2012-03-17,"=DATE(2012,3,17)",10.00,28.48,21.01,20.34,17.80,5.14,2.89,0.97,2.37,1.00,
2012-03-24,"=DATE(2012,3,24)",10.01,27.95,21.08,20.46,18.11,5.17,2.88,0.96,2.39,0.99,
2012-03-31,"=DATE(2012,3,31)",10.69,26.94,20.90,20.18,18.91,5.61,3.11,0.97,2.38,1.00,
2012-04-07,"=DATE(2012,4,7)",10.11,26.99,20.60,20.57,19.38,5.26,2.95,0.97,2.35,0.93,
2012-04-14,"=DATE(2012,4,14)",6.49,28.69,21.60,21.63,19.26,3.30,1.89,0.66,2.33,0.65,
2012-04-21,"=DATE(2012,4,21)",10.04,27.58,20.84,20.95,18.34,5.16,2.96,0.97,2.24,0.96,
2012-04-28,"=DATE(2012,4,28)",10.36,26.89,20.40,21.10,19.06,5.34,3.09,1.00,2.19,0.93,
2012-05-05,"=DATE(2012,5,5)",9.80,27.04,20.58,21.05,19.32,5.10,2.93,0.85,2.21,0.92,
2012-05-12,"=DATE(2012,5,12)",10.04,27.63,20.43,21.27,18.31,5.18,3.00,0.84,2.32,1.02,
2012-05-19,"=DATE(2012,5,19)",10.09,27.69,20.00,21.72,18.24,5.19,3.05,0.85,2.26,1.00,
2012-05-26,"=DATE(2012,5,26)",10.26,26.61,19.79,23.43,17.62,5.27,3.13,0.87,2.29,0.99,
2012-06-02,"=DATE(2012,6,2)",10.44,27.06,19.56,23.22,17.55,5.41,3.18,0.89,2.17,0.97,
2012-06-09,"=DATE(2012,6,9)",10.42,27.59,19.37,23.03,17.53,5.41,3.18,0.86,2.06,0.97,
2012-06-16,"=DATE(2012,6,16)",10.54,27.97,18.93,23.18,17.38,5.47,3.23,0.88,2.00,0.97,
2012-06-23,"=DATE(2012,6,23)",10.92,26.57,18.93,23.37,18.28,5.67,3.35,0.91,1.93,0.99,
2012-06-30,"=DATE(2012,6,30)",11.70,25.01,19.09,23.46,18.84,6.15,3.61,0.94,1.90,1.00,
2012-07-07,"=DATE(2012,7,7)",11.69,25.40,18.99,23.49,18.49,6.11,3.63,0.95,1.94,1.00,
2012-07-14,"=DATE(2012,7,14)",11.75,25.78,19.14,23.50,17.98,6.12,3.69,0.94,1.86,1.00,
2012-07-21,"=DATE(2012,7,21)",11.72,26.97,18.74,23.07,17.69,6.13,3.66,0.93,1.81,1.00,
2012-07-28,"=DATE(2012,7,28)",12.28,25.83,19.29,23.14,17.53,6.43,3.81,0.99,1.93,1.04,
2012-08-04,"=DATE(2012,8,4)",12.30,26.04,19.43,23.33,17.01,6.41,3.84,1.01,1.88,1.05,
2012-08-11,"=DATE(2012,8,11)",12.79,25.77,18.71,24.00,16.86,6.56,4.08,1.06,1.87,1.09,
2012-08-18,"=DATE(2012,8,18)",12.10,25.33,18.62,24.40,17.72,6.15,3.90,1.00,1.83,1.05,
2012-08-25,"=DATE(2012,8,25)",11.91,24.98,19.20,25.04,16.97,6.07,3.85,0.96,1.91,1.02,
2012-09-01,"=DATE(2012,9,1)",11.96,24.74,19.36,25.06,16.97,6.12,3.91,0.94,1.91,0.98,
2012-09-08,"=DATE(2012,9,8)",11.66,24.89,19.54,25.29,16.68,5.88,3.85,0.93,1.94,1.00,
2012-09-15,"=DATE(2012,9,15)",12.08,24.53,19.17,25.38,16.83,6.06,4.00,1.00,2.01,1.02,
2012-09-22,"=DATE(2012,9,22)",12.14,24.20,19.26,25.55,16.85,6.13,4.00,0.98,2.00,1.03,
2012-09-29,"=DATE(2012,9,29)",12.45,22.75,18.96,26.08,17.75,6.41,4.05,0.98,2.01,1.02,
2012-10-06,"=DATE(2012,10,6)",
2012-10-13,"=DATE(2012,10,13)",


date ascii,date,Mobile,Msie,Firefox,Chrome,other,Safari (Mobile),Android (Mobile),other (Mobile),Opera,Opera (Mobile),
2011-05-01,"=DATE(2011,5,1)",70178,205771,136833,82087,67015,32737,11658,20758,14030,5024,
2011-05-07,"=DATE(2011,5,7)",69888,203275,132778,79701,64258,32299,11644,20756,14019,5188,
2011-05-14,"=DATE(2011,5,14)",70231,201841,134498,80082,64203,32444,11931,20432,14387,5422,
2011-05-21,"=DATE(2011,5,21)",70165,196357,132505,81915,62218,32183,12031,20597,14514,5353,
2011-05-28,"=DATE(2011,5,28)",71416,187109,126064,80555,72692,32783,12268,20967,13838,5397,
2011-06-04,"=DATE(2011,6,4)",70563,189575,128684,81098,63514,31890,12116,21320,14009,5236,
2011-06-11,"=DATE(2011,6,11)",73026,182568,124359,80438,61743,32801,12524,22487,13379,5213,
2011-06-18,"=DATE(2011,6,18)",76287,180523,125518,81104,61268,34577,13237,23077,13398,5395,
2011-06-25,"=DATE(2011,6,25)",75353,173341,121089,78175,58946,34026,13137,22883,12490,5306,
2011-07-02,"=DATE(2011,7,2)",76940,167613,118293,76948,58681,35241,13583,22810,11960,5304,
2011-07-09,"=DATE(2011,7,9)",76885,167143,123729,77249,59271,34914,13671,23004,11862,5295,
2011-07-16,"=DATE(2011,7,16)",79835,171551,122112,79476,64048,36440,14442,23574,11969,5377,
2011-07-23,"=DATE(2011,7,23)",83178,172355,131074,81599,73557,37459,15325,24804,12121,5588,
2011-07-30,"=DATE(2011,7,30)",74251,168179,130298,81065,70292,33158,13397,22989,11857,4707,
2011-08-06,"=DATE(2011,8,6)",66285,174255,129422,85618,68466,27163,9504,25691,11933,3926,
2011-08-13,"=DATE(2011,8,13)",60848,163524,120110,84215,63899,24525,8641,24158,10876,3522,
2011-08-20,"=DATE(2011,8,20)",61704,166601,124241,84883,66286,24727,9000,24410,11004,3565,
2011-08-27,"=DATE(2011,8,27)",64292,163267,121719,85291,65117,26070,9917,24563,10849,3741,
2011-09-03,"=DATE(2011,9,3)",62822,150485,115935,82155,60103,25670,9608,23969,10803,3574,
2011-09-10,"=DATE(2011,9,10)",9471,149674,109266,81329,59708,7580,891,681,10771,317,
2011-09-17,"=DATE(2011,9,17)",
2011-09-24,"=DATE(2011,9,24)",
2011-10-01,"=DATE(2011,10,1)",
2011-10-08,"=DATE(2011,10,8)",
2011-10-15,"=DATE(2011,10,15)",36971,190736,132179,100312,88457,3989,9645,19220,15780,4116,
2011-10-22,"=DATE(2011,10,22)",40895,183218,131280,102264,87900,4466,10697,21518,16133,4214,
2011-10-29,"=DATE(2011,10,29)",47732,194459,141851,109761,95435,4872,12531,25339,18963,4989,
2011-11-05,"=DATE(2011,11,5)",49417,198583,146230,116229,95538,4993,13019,26259,17674,5144,
2011-11-12,"=DATE(2011,11,12)",48647,195479,143893,116441,114920,4895,12682,25867,16478,5202,
2011-11-19,"=DATE(2011,11,19)",50256,181514,136661,112071,122323,5071,13313,26588,14614,5282,
2011-11-26,"=DATE(2011,11,26)",50193,182623,136659,113860,106523,5013,13445,26528,14809,5205,
2011-12-03,"=DATE(2011,12,3)",50200,178349,134969,113067,99099,4947,13458,26520,14747,5274,
2011-12-10,"=DATE(2011,12,10)",50344,173402,133127,112218,98859,4943,13591,26547,14770,5262,
2011-12-17,"=DATE(2011,12,17)",56838,153787,120043,101051,95368,5517,15405,29967,14902,5949,
2011-12-24,"=DATE(2011,12,24)",94477,140566,109551,94329,95053,8755,26056,51464,14296,8201,
2011-12-31,"=DATE(2011,12,31)",61685,166154,125397,108553,101080,6326,17329,33079,16643,4950,
2012-01-07,"=DATE(2012,1,7)",61018,191397,138847,121856,103876,19717,17195,18519,21344,5587,
2012-01-14,"=DATE(2012,1,14)",62864,191159,139882,128649,104878,32926,17847,6198,21936,5891,
2012-01-21,"=DATE(2012,1,21)",61602,185858,137976,124764,104364,31864,17866,6036,18729,5835,
2012-01-28,"=DATE(2012,1,28)",59950,185241,136485,125401,105658,30787,17410,5928,16080,5825,
2012-02-04,"=DATE(2012,2,4)",60314,185437,135256,127951,105804,31272,17236,5893,15296,5911,
2012-02-11,"=DATE(2012,2,11)",60976,185173,134151,128797,108904,31724,17303,6023,15262,5925,
2012-02-18,"=DATE(2012,2,18)",61787,180422,135504,128150,111935,32011,17633,6092,15320,6050,
2012-02-25,"=DATE(2012,2,25)",61174,182167,134864,130228,110570,31641,17309,6085,15200,6138,
2012-03-03,"=DATE(2012,3,3)",61581,179987,133457,128178,111543,31869,17588,6022,14406,6101,
2012-03-10,"=DATE(2012,3,10)",60961,176296,131441,126491,107957,31353,17245,6080,14733,6281,
2012-03-17,"=DATE(2012,3,17)",60977,173661,128130,124038,108526,31344,17601,5939,14431,6092,
2012-03-24,"=DATE(2012,3,24)",60169,168019,126762,122996,108883,31110,17316,5789,14392,5952,
2012-03-31,"=DATE(2012,3,31)",62719,158090,122671,118444,110950,32912,18228,5692,13979,5885,
2012-04-07,"=DATE(2012,4,7)",61974,165370,126214,126012,118717,32240,18081,5936,14410,5715,
2012-04-14,"=DATE(2012,4,14)",39631,175050,131822,131990,117502,20114,11503,4033,14242,3980,
2012-04-21,"=DATE(2012,4,21)",63080,173235,130875,131581,115167,32412,18596,6069,14077,6001,
2012-04-28,"=DATE(2012,4,28)",62933,163388,123941,128187,115810,32441,18782,6048,13329,5661,
2012-05-05,"=DATE(2012,5,5)",61971,170954,130079,133043,122160,32222,18529,5398,13972,5822,
2012-05-12,"=DATE(2012,5,12)",61685,169742,125500,130652,112475,31791,18418,5179,14248,6295,
2012-05-19,"=DATE(2012,5,19)",63040,172969,124971,135717,113949,32410,19069,5293,14094,6268,
2012-05-26,"=DATE(2012,5,26)",64744,167897,124905,147841,111159,33270,19721,5504,14463,6249,
2012-06-02,"=DATE(2012,6,2)",66818,173118,125158,148529,112279,34600,20315,5714,13896,6187,
2012-06-09,"=DATE(2012,6,9)",66883,177042,124295,147790,112464,34735,20415,5522,13215,6210,
2012-06-16,"=DATE(2012,6,16)",66366,176113,119222,145975,109445,34428,20324,5511,12566,6101,
2012-06-23,"=DATE(2012,6,23)",65973,160564,114398,141226,110449,34250,20233,5488,11677,6000,
2012-06-30,"=DATE(2012,6,30)",58707,125487,95775,117694,94521,30839,18121,4736,9555,5010,
2012-07-07,"=DATE(2012,7,7)",69132,150142,112257,138850,109308,36119,21473,5609,11449,5928,
2012-07-14,"=DATE(2012,7,14)",69411,152298,113070,138860,106224,36131,21827,5560,10961,5892,
2012-07-21,"=DATE(2012,7,21)",71196,163920,113870,140197,107482,37231,22217,5670,11007,6078,
2012-07-28,"=DATE(2012,7,28)",73289,154229,115176,138167,104681,38419,22748,5915,11518,6206,
2012-08-04,"=DATE(2012,8,4)",73278,155129,115750,138965,101343,38164,22856,5992,11168,6265,
2012-08-11,"=DATE(2012,8,11)",76942,155040,112569,144357,101418,39448,24525,6386,11257,6582,
2012-08-18,"=DATE(2012,8,18)",74125,155103,114058,149403,108534,37662,23892,6147,11191,6422,
2012-08-25,"=DATE(2012,8,25)",73977,155158,119267,155539,105426,37692,23948,5987,11884,6349,
2012-09-01,"=DATE(2012,9,1)",74527,154177,120683,156149,105765,38115,24391,5888,11908,6133,
2012-09-08,"=DATE(2012,9,8)",74252,158480,124431,161042,106230,37448,24523,5891,12335,6389,
2012-09-15,"=DATE(2012,9,15)",75227,152722,119330,157995,104797,37721,24927,6198,12486,6380,
2012-09-22,"=DATE(2012,9,22)",76509,152513,121364,160997,106169,38599,25217,6196,12601,6496,
2012-09-29,"=DATE(2012,9,29)",77773,142124,118439,162908,110878,40053,25269,6093,12539,6357,
2012-10-06,"=DATE(2012,10,6)",
2012-10-13,"=DATE(2012,10,13)",
