date ascii,date,Mobile,Msie,Firefox,Chrome,other,Safari (Mobile),Android (Mobile),other (Mobile),Opera,Opera (Mobile),
2011-05-01,"=DATE(2011,5,1)",12.19,35.73,23.76,14.25,11.64,5.68,2.02,3.60,2.44,0.87,
2011-05-07,"=DATE(2011,5,7)",12.39,36.05,23.55,14.13,11.39,5.73,2.06,3.68,2.49,0.92,
2011-05-14,"=DATE(2011,5,14)",12.42,35.71,23.79,14.17,11.36,5.74,2.11,3.61,2.55,0.96,
2011-05-21,"=DATE(2011,5,21)",12.58,35.21,23.76,14.69,11.16,5.77,2.16,3.69,2.60,0.96,
2011-05-28,"=DATE(2011,5,28)",12.95,33.92,22.85,14.60,13.18,5.94,2.22,3.80,2.51,0.98,
2011-06-04,"=DATE(2011,6,4)",12.89,34.63,23.51,14.81,11.60,5.83,2.21,3.89,2.56,0.96,
2011-06-11,"=DATE(2011,6,11)",13.64,34.09,23.22,15.02,11.53,6.13,2.34,4.20,2.50,0.97,
2011-06-18,"=DATE(2011,6,18)",14.18,33.55,23.33,15.07,11.39,6.43,2.46,4.29,2.49,1.00,
2011-06-25,"=DATE(2011,6,25)",14.51,33.37,23.31,15.05,11.35,6.55,2.53,4.41,2.40,1.02,
2011-07-02,"=DATE(2011,7,2)",15.07,32.84,23.17,15.08,11.50,6.90,2.66,4.47,2.34,1.04,
2011-07-09,"=DATE(2011,7,9)",14.90,32.38,23.97,14.97,11.48,6.76,2.65,4.46,2.30,1.03,
2011-07-16,"=DATE(2011,7,16)",15.09,32.43,23.08,15.02,12.11,6.89,2.73,4.46,2.26,1.02,
2011-07-23,"=DATE(2011,7,23)",15.02,31.12,23.66,14.73,13.28,6.76,2.77,4.48,2.19,1.01,
2011-07-30,"=DATE(2011,7,30)",13.85,31.38,24.31,15.13,13.12,6.19,2.50,4.29,2.21,0.88,
2011-08-06,"=DATE(2011,8,6)",12.37,32.51,24.15,15.97,12.77,5.07,1.77,4.79,2.23,0.73,
2011-08-13,"=DATE(2011,8,13)",12.09,32.48,23.86,16.73,12.69,4.87,1.72,4.80,2.16,0.70,
2011-08-20,"=DATE(2011,8,20)",11.99,32.37,24.14,16.49,12.88,4.80,1.75,4.74,2.14,0.69,
2011-08-27,"=DATE(2011,8,27)",12.59,31.98,23.84,16.71,12.75,5.11,1.94,4.81,2.13,0.73,
2011-09-03,"=DATE(2011,9,3)",13.03,31.20,24.04,17.03,12.46,5.32,1.99,4.97,2.24,0.74,
2011-09-10,"=DATE(2011,9,10)",2.25,35.62,26.00,19.35,14.21,1.80,0.21,0.16,2.56,0.08,
2011-09-17,"=DATE(2011,9,17)",
2011-09-24,"=DATE(2011,9,24)",
2011-10-01,"=DATE(2011,10,1)",
2011-10-08,"=DATE(2011,10,8)",
2011-10-15,"=DATE(2011,10,15)",6.55,33.79,23.42,17.77,15.67,0.71,1.71,3.41,2.80,0.73,
2011-10-22,"=DATE(2011,10,22)",7.28,32.62,23.37,18.21,15.65,0.80,1.90,3.83,2.87,0.75,
2011-10-29,"=DATE(2011,10,29)",7.85,31.97,23.32,18.05,15.69,0.80,2.06,4.17,3.12,0.82,
2011-11-05,"=DATE(2011,11,5)",7.92,31.84,23.45,18.64,15.32,0.80,2.09,4.21,2.83,0.82,
2011-11-12,"=DATE(2011,11,12)",7.65,30.74,22.63,18.31,18.07,0.77,1.99,4.07,2.59,0.82,
2011-11-19,"=DATE(2011,11,19)",8.14,29.40,22.13,18.15,19.81,0.82,2.16,4.31,2.37,0.86,
2011-11-26,"=DATE(2011,11,26)",8.30,30.20,22.60,18.83,17.62,0.83,2.22,4.39,2.45,0.86,
2011-12-03,"=DATE(2011,12,3)",8.50,30.21,22.86,19.15,16.78,0.84,2.28,4.49,2.50,0.89,
2011-12-10,"=DATE(2011,12,10)",8.64,29.76,22.85,19.26,16.97,0.85,2.33,4.56,2.53,0.90,
2011-12-17,"=DATE(2011,12,17)",10.49,28.37,22.15,18.64,17.60,1.02,2.84,5.53,2.75,1.10,
2011-12-24,"=DATE(2011,12,24)",17.23,25.64,19.98,17.20,17.34,1.60,4.75,9.39,2.61,1.50,
2011-12-31,"=DATE(2011,12,31)",10.64,28.67,21.64,18.73,17.44,1.09,2.99,5.71,2.87,0.85,
2012-01-07,"=DATE(2012,1,7)",9.56,29.98,21.75,19.09,16.27,3.09,2.69,2.90,3.34,0.88,
2012-01-14,"=DATE(2012,1,14)",9.68,29.44,21.54,19.81,16.15,5.07,2.75,0.95,3.38,0.91,
2012-01-21,"=DATE(2012,1,21)",9.73,29.35,21.79,19.70,16.48,5.03,2.82,0.95,2.96,0.92,
2012-01-28,"=DATE(2012,1,28)",9.53,29.46,21.71,19.94,16.80,4.90,2.77,0.94,2.56,0.93,
2012-02-04,"=DATE(2012,2,4)",9.57,29.43,21.47,20.31,16.79,4.96,2.74,0.94,2.43,0.94,
