date ascii,date,Mobile,Msie,Firefox,Chrome,other,Safari (Mobile),Android (Mobile),other (Mobile),Opera,Opera (Mobile),
2011-05-01,"=DATE(2011,5,1)",80027,172160,132115,83669,65480,39194,13036,23095,13765,4702,
2011-05-02,"=DATE(2011,5,2)",72379,212119,144688,87007,71013,34681,11862,21044,14340,4792,
2011-05-03,"=DATE(2011,5,3)",68043,214361,142644,83594,70421,31268,11262,20334,14631,5179,
2011-05-04,"=DATE(2011,5,4)",67546,219347,140315,83922,67502,30814,11188,20196,14426,5348,
2011-05-05,"=DATE(2011,5,5)",67212,216835,136194,80855,65349,30295,11441,20255,13924,5221,
2011-05-06,"=DATE(2011,5,6)",65862,199804,125045,73475,62327,30171,11160,19628,13096,4903,
2011-05-07,"=DATE(2011,5,7)",73219,155420,114039,71793,59158,35002,12147,21345,12781,4725,
2011-05-08,"=DATE(2011,5,8)",79625,165662,127940,80862,63950,38945,12997,22745,14092,4938,
2011-05-09,"=DATE(2011,5,9)",68950,229543,143944,84896,68581,31617,11480,20903,14305,4950,
2011-05-10,"=DATE(2011,5,10)",65657,223286,139734,82960,68315,29975,11001,19443,14755,5238,
2011-05-11,"=DATE(2011,5,11)",67630,227072,141022,84150,65665,30337,11163,20641,14611,5489,
2011-05-12,"=DATE(2011,5,12)",68126,221293,137250,80187,64458,30497,11577,20457,14344,5595,
2011-05-13,"=DATE(2011,5,13)",66013,200653,125518,73065,59681,29722,11145,19760,13250,5386,
2011-05-14,"=DATE(2011,5,14)",74794,159530,115643,73476,59176,35701,12504,21520,13202,5069,
2011-05-15,"=DATE(2011,5,15)",80391,178698,135919,86090,63742,39313,12962,22793,16137,5323,
2011-05-16,"=DATE(2011,5,16)",69743,221811,144651,84405,66011,32137,12168,19981,15283,5457,
2011-05-17,"=DATE(2011,5,17)",66386,221991,142700,83207,66835,30266,11318,19236,14836,5566,
2011-05-18,"=DATE(2011,5,18)",66739,222942,139957,81738,66915,29904,11320,19812,14347,5703,
2011-05-19,"=DATE(2011,5,19)",66504,213114,138520,78909,68019,29505,11406,20055,14085,5538,
2011-05-20,"=DATE(2011,5,20)",67063,194802,124099,72752,58724,30288,11843,19628,12823,5304,
2011-05-21,"=DATE(2011,5,21)",73110,151670,113739,73813,55184,34783,12710,20567,13221,5050,
2011-05-22,"=DATE(2011,5,22)",79594,168792,130896,85125,60638,38714,13472,22401,16107,5007,
2011-05-23,"=DATE(2011,5,23)",70745,220139,143353,85104,66494,32315,12094,20764,15254,5572,
2011-05-24,"=DATE(2011,5,24)",65923,215374,139345,83931,63587,29574,11187,19758,14672,5404,
2011-05-25,"=DATE(2011,5,25)",67514,215831,140051,86636,63521,29979,11768,20309,14582,5458,
2011-05-26,"=DATE(2011,5,26)",67829,210940,135771,83491,63992,30435,11569,20221,14519,5604,
2011-05-27,"=DATE(2011,5,27)",66442,191758,124384,75305,62114,29482,11423,20159,13249,5378,
2011-05-28,"=DATE(2011,5,28)",73570,151924,111428,72937,57181,34712,12794,21055,13178,5009,
2011-05-29,"=DATE(2011,5,29)",78603,164163,124980,82853,72745,37652,13561,22286,14966,5104,
2011-05-30,"=DATE(2011,5,30)",75637,200648,135654,85535,79201,35246,13019,21649,14623,5723,
2011-05-31,"=DATE(2011,5,31)",67708,210356,135105,83979,79353,30210,11637,20529,13688,5332,
2011-06-01,"=DATE(2011,6,1)",67275,206373,129301,82337,80551,29948,11598,20238,13448,5491,
2011-06-02,"=DATE(2011,6,2)",69418,194534,127812,81385,76356,31430,11761,20509,14009,5718,
2011-06-03,"=DATE(2011,6,3)",67705,181770,118174,74862,63462,30283,11511,20507,12956,5404,
2011-06-04,"=DATE(2011,6,4)",78509,147736,111003,72545,57045,34849,12765,25714,13146,5181,
2011-06-05,"=DATE(2011,6,5)",80792,162577,128856,83614,61557,38641,13573,23537,14888,5041,
2011-06-06,"=DATE(2011,6,6)",67711,206416,137201,84640,64118,30869,11586,19879,14262,5377,
2011-06-07,"=DATE(2011,6,7)",65464,209909,134698,84226,66126,28961,11578,19591,14266,5334,
2011-06-08,"=DATE(2011,6,8)",65661,205864,134855,83236,68784,29427,11369,19466,14509,5399,
2011-06-09,"=DATE(2011,6,9)",67232,204797,134247,84178,65966,29911,11800,20395,13947,5126,
2011-06-10,"=DATE(2011,6,10)",68573,189730,119932,75251,61002,30576,12141,20660,13051,5196,
2011-06-11,"=DATE(2011,6,11)",77163,152183,109601,73203,57354,35668,13239,23205,12426,5051,
2011-06-12,"=DATE(2011,6,12)",85458,161581,121486,82595,60651,40235,14426,25511,13921,5286,
2011-06-13,"=DATE(2011,6,13)",75868,200012,136164,87560,65425,34665,12957,23073,14940,5173,
